mout fu irie z	---|-|----⌫|
li a nnemis	-|-⌫-----|
quantnostresireot	----|-----|---|-|
estéenenf eret il	----|-|---⌫-|-|-|
enot gité adan	-|-|----|---|
desautres tant	--|-----|---|
co ml iplo t.e t	--⌫|-⌫|---⌫||-⌫|
u iren t cesienorent	-⌫----⌫|-|-|-|----|
moltgrant merueilleets	---|----|--------|-||
asemblerent	----------|
etdirent quiest	-|-----|--|--|
cisthomq ui	---|--|-⌫-|
esforciezcaren	--------|--|-|
nozfermetezrienqui	--|-------|---|--|
fustrepost	---|-----|
co ntr elui	--⌫---⌫|--|
ne potestre	-|--|----|
gardeeq ue	-----|-⌫-|
faceceque lui plaist	---|-|--|--|-----|
cen ecuidoiensnos	-|-⌫|--------|--|
mie que n ushompoist	--|--|-⌫-|--|----|
nai stredef emequine	---⌫---|-|-⌫--|--|-|
fust nostres	---|------|
quiainsisnos	--|-----|--|
des truit c oment en est	---⌫----|-⌫----|-|--|
ilnezquenos	-|--|--|--|
niauonsconeu	||----|----|
delit d enul	----|-⌫|--|
hom eterrien	---⌫|------|
com nosauo nsueu e t	--|--|---⌫-|--|-⌫|
seude tozautreshomes	--|-|--|-----|----|
lors respont unsautres	---|------|--|-----|
enemis ce nosa morz	-----|-|--||---|
quenos cuidames	--|--|-------|
q uemiel znos uausist.	-⌫-|----⌫|--|------||
memb reuosqueli	----⌫-|--|--|-|
proph ete pall erent	-----⌫--|----⌫----|
etdiso ient queli filz	-|----⌫---|--|-|---|
dieuuendroit e n	---|-------|-⌫|
pors auue rle pechie	--|-⌫----⌫|-|-----|
d eueet dadanet	|--|-||---|-|
desautrespecheors	--|-----|-------|
qui liplairoit.	--|-|-------||
et no salienssi	-|--⌫|-----|-|
prenoiens et les	--------|-|--|
tormentiensp lusqueles	----------|-⌫--|--|--|
autresetnosfai soient	-----|-|--|---⌫-----|
semblantquenostre	-------|--|-----|
greuoitdenoiant	------|-|-----|
confo rtoientlesautres	-----⌫------|--|-----|
peche o rspar c e	-----⌫-⌫-|--|-⌫|
qu ildisoientque cil	-|-|-------|--|--|
n estroitent erre qui	-⌫------|-|-⌫---|--|
le suenroit	--⌫|------|
deliurer.tant	-------||---|
qu eorestauenu .et	--⌫|-|--|----||-|
seil nenos	-|-|-|--|
auoit toluz qu e cels n e	----|----|--⌫|---|-⌫|
porroitchaloir	------|------|
toluz touz l esa u tre sse	----|---|-⌫-|-⌫-⌫---⌫|-|
ilfontquesa iges.	-|---|--|--⌫---||
come nt fon t	----⌫-|---⌫|
mielesaut r es	--|--|---⌫-⌫-|
respontdont	------|---|
sauez uosque il	----|--|--|-|
faitlauerd une iaue	---|----||--|---|
etpar cele	-|--|---|
laué ledelit delpere	----|-|----|--|---|
et delamere	-|-|-|---|
pa rqu oin osles deu io ns	--⌫|--⌫-|-⌫-|--|---⌫--⌫-|
auoiretpar q uo in os	----|-|--|-⌫--⌫|-⌫-|
les pr enoio ns entoz	--|--⌫-----⌫-|-|--|
les leus ounos	--|---|-|--|
u oulo i ens or lesauons	-⌫----⌫-⌫--|-|--|----|
perduzp arcellauement	-----|-⌫-|--|-------|
quenosn auonsnul	--|--||----|--|
pooirsorels deu antque	----|--|--|---⌫-----|
ilmeismesreu i engne	-|------|---⌫-⌫----|
pars es e uures .	--|-⌫-|-⌫----||
einsinosaabaissi é	----|--||-------⌫-|
nostr epooir ettolu et	-----⌫|----|-|---|-|
enco r queila dit et	----⌫|--|-||--|-|
comendéetlaissié minis tr es	-------|-|-------|-----⌫--⌫-|
qui l essauue ron ti a	--|-⌫-|-----⌫---⌫|-⌫|
tantnau ro nt	---||--⌫--⌫-|
noseuuresseil	--|-----|-|-|
seuuel entrepantiret	-|----⌫--|-------|-|
nozeuure sguerpiret	--|-----⌫|------|-|
f aire ce queli	-⌫---|-|--|-|
menistrelorcom enderont	-------|--|---⌫-------|
par ce lesauonsnos	--|-|--|----|--|
seilsont saige.mout	-|-|---|----||---|
afaite sperit al sustance	|---|-⌫------⌫-|-------|
porh omesau uer est	--|-⌫--|---⌫--|--|
uenuzenterre naistrede	----|-|----|------|-|
etsilmeismeset	-|-||------|-|
essaiam es en toutes les	-------⌫-|-|-----|--|
menie resque	-----⌫--|--|
n os poismes	-⌫-|------|
essaieretnos ueimes	------|-|--|-----|
que nos netrouamesen	--|--|-|-------|-|
lu i nuledenoz	--⌫|---|-|--|
e uuressi uo ltsauuerl	-⌫----|-|--⌫-|-----||
euuredelome .mout a	----|-||--||---||
ch ier cel	--⌫--|--|
omequ antsi gra ntpoi ne	--|--⌫--|-|---⌫-|---⌫-|
a soufertpourauoirle	|------|---|----|-|
moltdeuroionspen er coment	---|--------|---⌫-|-----|
nosp oissons	--|-⌫------|
rauoi r le carilne	-----⌫|-|--|-|-|
nostoltrien	--|---|---|
quinos tre	--|---⌫--|
doie estre.etp o r ce	---|----||-|-⌫-⌫|-|
nos deuroiensp ener	--|--------|-⌫---|
p oissiensen gingnier	-⌫-------|--⌫-------|
e tfai renoz	-⌫|---⌫-|--|
telmaniere quil n e	--|------|-|-|-⌫|
sepoiss entrepantir	-|-----⌫--|-------|
neparle ra cels	-|-----⌫||---|
quoiil eussie nt le	---|-|------⌫-|-|
pardonqueil rachata	-----|--|-|------|
desa mort .lorsdient	-|-|---||---|----|
tuite nsem ble	---|-⌫----⌫--|
nos a u ons	--|-⌫-⌫--|
desque ilpu etpard oner	-----|-|--⌫-|----⌫---|
trusquealafinde l	------||-|--|-||
en se souresdont	-|--⌫|----|---|
ilsuent .et quantil	-|----||-|----|-|
a urat o z	-⌫--|-⌫-⌫|
no z silaurons perdu	--⌫|-||-----|----|
por quilserepente	--|-|-|-|------|
le comendeme ntd es ministres.	-|---------⌫-|-⌫-|--------||
et ei nsi lesauons	-|--⌫--|--|----|
per duz seno sne	---⌫--|-|--⌫|-|
lore m blon.mai sque n os	--|-⌫-⌫---||---⌫|--|-⌫-|
aplusn uitetde storbé	|---|-⌫--|-|--⌫------|
etporc ha cé	-|----⌫--⌫--|
saue nueenterrelo rs	-|--⌫--|-|----|--⌫-|
parolent e ntr eu set	-------|-⌫--|--⌫|-|
dientcilqui nos	----|--|--|--|
ont p lusnuitsi son t	--|-⌫--|---|-|---⌫|
cilquidirentnoueles	--|--|-----|------|
desauenu e	-|-|----⌫|
ce so nt cilp ar	-|--⌫-|--|-⌫-|
ligraind resdomaiges nos	-|------⌫--|-------|--|
es tuenuz.	--⌫|----||
quarquantil plus le	---|----|-|---|-|
diseientet n osplus	-------|-|-⌫-|---|
tormen toienssi no s	------⌫-----|-|--⌫|
queseh a st a	--|-|-⌫-⌫--⌫|
d e uenirpor elsaidie r	-⌫|----|--|--|-----⌫|
et secorrepor	-|------|--|
tormentq ue noslor	------|-⌫-|--|--|
f e ismes .maiscom ent	-⌫-⌫----||---|---⌫--|
porriensnosauo irun	-------|--|---⌫-|-|
quipallas t et deist	--|------⌫|-|----|
nozsenset nozpooi rs	--|---|-|--|----⌫-|
et nostr eafaire si	-|-----⌫|-----|-|
comnoslauo m	--|--||---⌫|
nosauonspooirde	--|----|----|-|
sauoirtou teschoses	-----|---⌫--|-----|
a leesetse	-⌫---|-|-|
nos auoien s zzhomequi	--|------⌫|-|---|--|
eust pooiret	---|----|-|
seustc eschosesetil	----|-⌫-|-----|-|-|
fust au ec les	---|--⌫-|--|
ho mesenterre	--⌫--|-|----|
lesno sporr oit	--|--⌫|----⌫--|
a id ieraengingnier an si	-⌫--⌫--||---------|--⌫-|
c om liprophete nos	-⌫-|-|-------|--|
engingnoientquiestoient	-----------|--|-------|
au ecnosetnosdiso ien t	--⌫-|--|-|--|----⌫---⌫|
cequenosne	-|--|--|-|
cuidoi onspasque	------⌫--|--|--|
poist.an si diroitil	----||--⌫-|-----|-|
les chosesqu i seroie n t	--|-----|--⌫|------⌫-⌫|
fetes etdite s	----|-|----⌫|
siser o i t	-|---⌫-⌫-⌫|
cemoltcr eude	-|---|--⌫-|-|
tuitensamble	---|-------|
moltauroit bienes p loitié	---|-----|---|--⌫-⌫------|
porroit zztel	------|-|--|
cil seroitm outcreuz.	--|-----|-⌫--|----||
lo rsditli u nsie	--⌫-|--|-|-⌫-|-|
naipointdepooir	|-|----|-|----|
de conce uoir	-|-----⌫---|
nedef airesemen c e en	-|-|-⌫---|-----⌫-⌫|-|
lepooi rie lferoie	-|----⌫|-||-----|
carie a i unefemme	--|-|-⌫|--|----|
qui fait et dit	--|---|-|--|
q uantqueie uo il .	-⌫------|-|--⌫-||
a utredient	-⌫---|----|
p uetb ien	-⌫--|-⌫--|
prendresemble nced	------|------⌫--||
ethabiter afemmemai s	-|------||----|---⌫|
i l couientqueil	-⌫|------|--|-|
lapra i ngneauplus	-|---⌫-⌫---|-|---|
priuee m entquilporra	------⌫-⌫--|-|-|----|
eteinsidient	-|----|----|
etont e mpr isqueil	-|--|-⌫---⌫-|--|-|
en gendrontunhomequi	--⌫-------|-|---|--|
lorengin gnera les	--|-----⌫----|--|
mout s ont	---|-⌫--|
quantilcuident que	----|-|------|--|
n os tresire qui	-⌫--⌫--|---|--|
tot se tnesaiche ces	--|--⌫|-|-----|--|
euure s.einsis emprist	-----⌫||-----|------|
deablesafaire	------||----|
hom e quieust samemoi re	---⌫|--|---|-|-----⌫-|
etsonsen por	-|--|--|--|
en gingnierleihesucrist	--⌫-------|-|----|----|
poezsau oir que	---|---⌫--|--|
mo ltest deable sfolse t	--⌫-|--|------⌫|---|-⌫|
moltdeuons	---|-----|
estreirié	----|----|
ch osenous en gingne.	--⌫--|---|--⌫-----||
eins isedeparten t de	----⌫|-|--------⌫|-|
cestc onseiletsont	---|-⌫-----|-|---|
ceste euure	----|----|
qui dis t quil	--|---⌫|-|-|
auoitpoo irdel a fame	----|---⌫-|-|-⌫|---|
nesat ar da	-||--⌫--⌫-|
mais al ainz quil	---|||---|-|-|
potalala oue le	--|--|-|-|-⌫-|
et qu antiliuintsi	-|--⌫--|-||---|-|
latroua moltasa	-|----|---||-|
uolentee t	------|-⌫|
donala s oe	---|-|-⌫-|
de quanq u	-|-----⌫|
ilauoitn i	-|----|-⌫|
et so imeismes	-|--⌫|------|
.e t celle	|-⌫|----|
m e isme sestoit moill iers a	-⌫-⌫----⌫|-----|-----⌫---||
home.cilric hes	---||--|---⌫--|
mo ltgrantp lan te de	--⌫-|----|-⌫---⌫-|-|
be s tes et d autre s granz	--⌫-⌫--|-||-----⌫|----|
r ich esceset	-⌫---⌫----|-|
z zfilletyyfilles	-⌫|---|-|-|-----|
de celle f e mmeoudyables	-|----|-⌫-⌫--|-|------|
a uoitsigrantpart.	-⌫---|-|----|---||
lienne misnes oublia	-|----⌫--|-||-----|
miea inzs en	--|-⌫--||-|
chans commecil	----|----|--|
quimoltbaoitcomentil	--|---|----|-----|-|
peust celhomeengingnier.	----|--|---|---------||
unioruinta la	-|--|---||-|
femmesi lidemanda	----|-|-|------|
comentilpeust	-----|-|----|
e ngingnie r.etele	-⌫--------⌫||-|--|
d istqu il ne	-⌫--|-|-|-|
por roiten nule man ier e	---⌫---|-|---|---⌫---⌫|
e ngingn ier se il nel	-⌫------⌫--|-|-|-||
corrocois t.ettu	---------⌫||-|-|
correcier.car	--------||--|
co rr ocera etenr aigerase	--⌫--⌫----|-|---⌫-----|-|
t u pran slesmoi es	-⌫|----⌫|--|---⌫-|
s entorna liennem is	|-|----|-|-----⌫-|
asbeste sau prodom e si	-|-----⌫|-|------⌫|-|
enocistunegra nt	-|----|--|---⌫-|
parti e.e tquantli	-----⌫||-⌫|----|-|
pastoruirentles beste s	-----|-----|--|-----⌫|
morirenmi les ch ans	----|---|--|--⌫--|
sis enme ruei llierent	-||-|--⌫----⌫-------|
moltet dir en tque il	---|-|---⌫--⌫|--|-|
leuendroient	-|---------|
direlor seign or.si	---|--|-----⌫-||-|
dis trentau	---⌫----|-|
seingnorlam erueille	-------|-|-⌫-------|
quia ue noit delamorie	--|-⌫--⌫---|-|-|----|
delorbes tes.quant li	-|--|---⌫--||----|-|
pred on loi	----⌫-||-|
sis en c orrocaetse	-||-|-⌫-----|-|-|
merueill amoltqu e se s	--------⌫|---|--⌫|--⌫|
bestesauoientet	-----|------|-|
por quoiele smoro i en t	--|---|---⌫|----⌫-⌫--⌫|
einsi.etlorsdem anda as	----||-|---|---⌫---|-|
pastorssauez	------|----|
m uerentet	-⌫-----|-|
ilresp onne nt	-|----⌫----⌫-|
neseuent.et	-|-----||-|
einsirem esticel ior.et	----|---⌫--|---|--||-|
le de able quantil	-|--⌫---|----|-|
