cestdelanual	|--|-|-----|
l a u enture	|-⌫-⌫-----|
co mil auintuo uscon tera i	--⌫|-|----|--⌫-|---⌫----⌫|
fai tfudunmolt ric e	---⌫|-||-|---|---⌫|
enbretonlapelentl anua l	-|-----||------|-⌫----⌫|
acardoeillseiornalirois	|--------|------|-|---|
artusli prex et l ic ortois	----|-|---|-|-⌫|-⌫-----|
escos etpor les	----|-|--|--|
quidestrusoientlepais	--|-----------|-|---|
enlet ered e logre estoien t	-|-|-⌫--|-⌫|----|-------⌫|
damagoient	---------|
a lepentecoste ene ste	|-|---------|-|-⌫--|
iauoitliroisse iorn é	|----|-|---|--⌫----⌫-|
as sesdonadericesdons	--⌫--|---|-|----|---|
etas cont esetas barons	-|-|----⌫-|-|-|-----|
tablereo nde	----|---⌫--|
texentoutlemonde	--|-|---|-|----|
honors etterresdeparti	-----|-|-----|------|
fors aunseuquilas er ui	---||-|--|--|||-⌫--⌫-|
lanuaxne len sou uint	-----|-||-|---⌫---|
d ess i ens bienneliti nt	-⌫-|-⌫-⌫--|---|-|-|--⌫-|
porsaualor	--|-|----|
porlargece	--|------|
biaute por	-----|--|
lenuioi enttotlipluisor	|------⌫--|--|-|------|
tes limos t roitsanlantda m or	--|-|---⌫-⌫---|------||-⌫-⌫-|
s aucaualier mesauenist	|-|-------|---------|
iaunefois ne l en plainsis t	-|--|---|-||-|--------⌫|
fixaroifu de	--||--|-|-|
haut parage	---|-----|
mai sloin sf udeson h ireta ge	---⌫|----⌫|-⌫|-|--|-⌫-----⌫-|
de lemaisniele	-|-|------|-|
mai s sonauoiro tdespendu	---⌫|--|----|-⌫|-------|
carliroi s	--|-|---⌫|
riennelidona	---|-|-|---|
nelan uaxneli	-|---⌫--|-|-|
or est lanua x m olt	-|--|-----⌫|-⌫--|
moutest d olansmout est	---|--|-⌫----|---|--|
seg norn e	---⌫--|-⌫|
uosen merueillies	--|-|----------|
homestranges desconsei llies	--|--------|---------⌫----|
moutestdolansenautre	---|--|-----|-|----|
quantilne se tusecors	----|-|-|--⌫||-----|
lic euali ers que ie	-|-⌫-----⌫--|--|-|
kitantauoitleroi	-|---|----|-|--|
uniurm ontasorso n destrier	-|--|-⌫---|--|--⌫|-------|
s is enal aesb anoiier	-⌫||-|--⌫|---⌫------|
fors deleui leenes t	---|-|-|--⌫-|-|--⌫|
t os se u se stenpre	-⌫-|--⌫-⌫|-⌫-|-|--|
soru neeuecorant descent	--|-⌫-|--|-----|------|
maissesce uau stranbleforment	---|--|--⌫---⌫|------|------|
descenglesile lait	--------|-|-|---|
pre witre rlefait	--|-----⌫|-|---|
lep a ndesonmantel ploia	-|-⌫-⌫|-|--|-----|----|
desoussonciefpuis secouc a	-----|--|---|---|-|----⌫|
mou testpensis por se mes ai se	---⌫|--|-----|--|-|---⌫--⌫-|
il neoit cose qu i	-|-|--|---|--⌫|
lauil gisten	-||-|---|-|
tel m aniere	--|-⌫-----|
gardaaual leslariuiere	----|---|--|-|------|
si uitu en irdeusdamoise les	-|--|-⌫--⌫-|---|-------⌫--|
onquesn e utueues	-----||-⌫-|----|
ue stues furentri chement	--⌫----|-----|--⌫------|
etlac iés	-|---⌫---|
estrotement	----------|
dedexb l iau s de	-|--|-⌫-⌫---⌫|-|
p orprebis	-⌫----|--|
mout p arauoi entbiaus l es uis	---|-⌫-|----⌫--|----|-⌫-|--|
lainsnee p ort oit uns bac in s	|------|-⌫---⌫--|--|---⌫--⌫|
dores merébien	|-|--⌫----|---|
fais etfin s	---|-|---⌫|
leu oir uouse n	-|-⌫--|---|-⌫|
d i iousans	-⌫|--|---|
lautr eportoit	|----⌫|------|
une touaille	--|-------|
elesensontal ees droit	---|-|---|--⌫--|----|
lauli ce ualiersgissoit	-||-|--⌫------|------|
mo ut fu ensegnié s	--⌫-|-|---------⌫|
c ontree les sestle uésenpies	-⌫----|-⌫--||--|--⌫---|-|---|
celesl ontprimessa lué	----||--|-----|--⌫---|
lem esageli ontconté	-|-⌫----|-|--|-----|
sirelanu a lmad amoisele	---|----⌫-⌫|-|-⌫-------|
kimout est	-|---|--|
etcor tois eetbele	-|---⌫----⌫|-|---|
elenous enuoieporuou s	--|---|-----|--|---⌫|
cariuenes ensa nbleo nous	--||----|----⌫---||---|
sauuem entuo usicondui rons	------⌫--|--⌫-||------⌫---|
uee spresestsespaueillons	---⌫|---|--|--|---------|
lice uali ersa ueucs	-|--⌫----⌫--|-⌫---||
desonceualne tientnulplait	-|--|----|-|----|--|----|
kideua ntl uipaisoit	-|----⌫-|-⌫-|------|
des iqualtrel	---⌫--|-|--||
ontam ené	--|--⌫---|
quimoutfubia xetbien	--|---|-|---⌫|-|---|
la roi nesemiramis	-|---⌫-|--------|
quant eleeut onquesplusauoir	----|--|--|-----|---|----|
etpluspoiscanceet p lussauoir	-|---|--------|-|-⌫--|-----|
nel e np er ereocteuian	-||-⌫--⌫--⌫--|-------|
nesliga scet ledestrepan	|------⌫---|-|-----|--|
unaigledor otd esusmis	-|----||-|-|-⌫---|--|
saidi relepris	--|--⌫-|-|---|
nedescordesne des paisc ons	-|--|-----|-|--|-----⌫--|
quideltref ti enentl es	--|--|---|--⌫----|-⌫-|
sousciel naroi	---|---|||--|
quis esligas t	--||-------⌫|
porauoir queil	--|----|--|-|
dedensl etreffulapucele	-----|-⌫|---|-|-|-----|
florsdelis et ro senouele	----|-|--|-|--⌫-|-----|
tansde ste	---||-⌫--|
tresp ass o iteledebia ute	-----⌫---⌫-⌫-|--|-|---⌫--|
eleiut sor lit	--|--|--|--|
li drapualoi en t un castel	-|---|-----⌫--⌫|-|-----|
ens acemis esanglement	-|-⌫|-----⌫|---------|
moutot lecoret	---|-|-|--|-|
belet ge nt	--|-|--⌫-|
uncier manteldeblancermine	-|---|-----|-|----|-----|
couertdeporpreali ssa ndrine	-----|-|-----|---⌫---⌫-----|
eutpo rlecaut sorlige té	--|--⌫|-|---|--|-|--⌫--|
tout eutdescouuertleco ste	---|--|---------|-|--⌫--|
l eui slecoletlepoitrine	-⌫|--⌫|-|--|-|-|-------|
pl usertblance que f l orsd	--⌫-|--|-----|--|-⌫-⌫--||
li ceuali ersauant alla	-|------⌫--|----|---|
etlepucelelapela	-|-|-----||----|
ets es tdeuantlelitassis	-||--⌫|-----|-|--|----|
lanualdistelebiaxamis	-----|---|--|---|---|
poruous uing ioufors	--|---|---|--|---|
d ema terre	-⌫|-|----|
delainsuoussuiu enuequere	-|----|---|--|-⌫---|----|
se uosestesprox necortois	-|--|----|---|-|------|
enperere ne quensnerois	-------|-|----|-|---|
neuton questantioienebien	|--|--⌫---|---|---|-|---|
carieuou s ai ms ortou terien	--|-|---⌫|--⌫|-⌫-|---⌫-|---|
amorsle p oi st	----|-|-⌫--⌫-|
isnel ement	-----⌫----|
quisonc u eralumeetesprent	--|--|-⌫-⌫-|----|-|------|
bel e distils	---⌫|---|-||
iluouspl aisoit	-|---|--⌫-----|
et celeioie	-|---|---|
que uo u s me uau sis iesamer	--|--⌫-⌫|-|---⌫---⌫--|---|
nes ariiésrienconmander	-|-⌫------|---|--------|
ke iene faceamon	-|-|-|---||--|
tort afo lie uasauoi r	---||--⌫--|||-----⌫|
geferai uosconmand emens	-|----|--|-------⌫----|
por uos geupiraiiemesg ens	--|--|-------|-|--|-⌫--|
ia m aisne	--⌫-⌫--|-|
quier deuous p artir	----|-|---|-⌫----|
ce estl ariensque p lu sdesir	-|--|-⌫|----|--|-⌫--⌫|----|
qu antlapu cele	--⌫--|-|--⌫---|
lot p arler	|-|-⌫----|
celuiquilepeuttant a mer	----|--|-|---|---|-⌫--|
e tson c uer	-⌫|--|-⌫--|
orestlanuax	-|--|-----|
endro iteuoie	-|---⌫--|---|
un d o n li adoné ap res	-|-⌫-⌫|-||----|--⌫--|
icele rien neuaudra mes	----|---|-|-----|--|
quei lnelaitason	--|-⌫|-|---||--|
doins tetdespendela rgement	-----⌫|-|-------|--⌫------|
el e li trouera a sses	--⌫|-|------|-⌫---|
m outest lanu axbienasenés	-⌫--|--|----⌫-|---|------|
c omplu sdespendralargement	-⌫-|---⌫|--------|--------|
etpl usa r aore t a r gent	-|--⌫-|-⌫-⌫|-|-⌫|-⌫-⌫---|
amis diste leor uo uscasti	---|---|-⌫-|-|--⌫-|----|
s i uosconm andeet siuospri	-⌫|--|----⌫---|-|-|--|--|
neu ousdes co uuresanulhome	-|-⌫--|---⌫--⌫----||--|---|
deceuousdiraiiolasoume	-|-|---|----|-|-|----|
atou siorsm	|---⌫|---||
ariés perdue	-----|-----|
