telzco ustumance danferuient	---|--⌫--------||----|----|
quigentanm al	--|---|-|-⌫-|
fer emaintient	---⌫|--------|
anfers estdedieuannemis	-----|--|-|---|------|
pour ce est iltro pfoxquiestm is	---|-|--|-|---⌫|--|--|--|-⌫-|
oum ambornise m en tdamfer	-|-⌫---------⌫-⌫--⌫||----|
bienlesseloretpra ntlefer	---|----||-|-|---⌫-|-|--|
bienlesse l oretpr ant la ter re	---|----||-|-|--⌫--|-|---⌫-|
sege le s auo iequerre	-|-|-|-⌫---⌫-|-----|
mesquantgey	--|----|-||
a yasse zp ancé	-⌫|----⌫|-⌫----|
ge m a uisse	-||-⌫----|
d u t e mps	-⌫|-⌫-⌫--|
a insquedieusuosist auenir	-⌫-----|----|-----|-----|
nu snesauoit q uelzuoie ten i r	--⌫|-|-----|-⌫---|---|---⌫-⌫|
lun s iuis	|--⌫|---|
lautrespaiens	|-----|-----|
tuitpeuent estrecle ruoiens	---|-----|----|---⌫------|
liuncre oient plusorsdieux	-|-|---⌫----|------|----|
liautrepa n s o ient fe rem ieux	-|----|--⌫-⌫-⌫-⌫---|--⌫-|-⌫---|
e t liautresacref ioient	-⌫|-|----|------⌫-----|
liautrelesouloil	-|----|-|------|
cr eo ient	--⌫--⌫---|
lordie uxauoie ntetlor deesses	--|---⌫-|-----⌫-|-|--|------|
dontil fasoient ioientetleesses	---|-|-------|-----|-|------|
sic onfiren tlitroy en	-|-⌫-|-----⌫|-|----⌫-|
ettu it li macedonie n	-|--⌫-|-|---------⌫|
listrapi en	-|------⌫-|
et cil deperce	-|--|-|----|
etde mai ntregion	-|-|---⌫-|-----|
qu icreoientdeessesetdiex	--⌫|-------|------|-|---|
pourcequ e	---|-|--⌫|
ne sauo ient mi e x	-|----⌫---|--⌫-⌫|
carlois nest oitancor donnee	--|---||---⌫--|----|-----|
nefermecreanceaf ie e	-|----|------|--⌫--⌫|
e n iudeeeniherusal am	-⌫|----|-|--------⌫-|
la loydesiuis	-|--|--|---|
te n aitlan	--⌫-⌫--|--|
apluso rs leus	|-----⌫-|---|
rauoien tlorcure	-------⌫|--|---|
etlorc rea n c eou d i eu de nat ure	-|--|-⌫---⌫-⌫-⌫|-|-⌫-⌫-|-|---⌫--|
quifasoitble fethe rbe n aitre	--|-----|---⌫|-|--⌫--|-⌫----|
homenorriret	---|-----|-|
bestespaistre	-----|------|
firent les yndiens	-----|--|------|
etlipaisd esbra miens	-|-|---|-⌫-|---⌫----|
grantmant mie ne	--------|--|-|
mesprenoien t	-----------⌫|
cellesgen t qu itel lo ytenoie nt	-----|---⌫|--⌫|--|--⌫|------⌫-|
pointdest r o itconmandemant norent	----||---⌫-⌫-⌫-|-----------||----|
porce firent do u miaxquesorent	--|-|-----|--⌫|---|--|-----|
creanc enestoitancordonnee	------⌫||-----|----|-----|
n eparfetem ant afiee	-⌫|--------⌫--|----|
trestuit cilqu ibon cuer auoient	-------|--|--⌫|--|---|------|
mesorestil	--|-|--|-|
acer tenez	----⌫----|
etliconmand emansdon ne z	-|-|-------⌫----|---⌫--⌫|
d e croireune loysansfauce r	-⌫|-----|--|--|---|-----⌫|
nusnes anpeu tbiene scuse r	--|-||-|---⌫|---|-⌫-----⌫|
si lnelafait q uenemes pr aingne	|-⌫|-|||---|-⌫-|-|---⌫--⌫-----|
etque celle meimes ne ta ingne	-|--|----|-----|-|--⌫----|
etque il ne	-|--|-|-|
reco rt an lui	----⌫-|-|--|
lesb iensquedieux afai z	--|-⌫---|--|----||---⌫|
le tr au oilquaporluisoufert	-|--⌫--⌫--|-||--|--|------|
et l ebienq u il	-|-⌫|---|-⌫|-|
silseuiau ta lui a corder	|-|-|----⌫||--|-⌫-----|
pourt outse ueuilge	---|-⌫--|-|----|-|
quegra ntmerueillepuisa uoir	--|---⌫-|--------|---|-⌫---|
quant sussenefait	----|--|-|-|---|
sondeuoi r	--|-----⌫|
anluiob eire t	-|--|--⌫--|-⌫|
oupe utpanre se cueranmer	-|--⌫-|----|-|---|----|
e t le uouloirdontdieuguerroie	-⌫|-|------|---|---|-------|
bie nuoita nt pancerni saroie	---⌫|--|--⌫-|-----|||-----|
queuei ssedontse	--|---⌫--|---|-|
forsqu e d e desordonnee cure	------⌫|-⌫|----------|---|
dontd ieu xneraison	---|-⌫---⌫|-|-----|
na iacur e	||-|---⌫|
qui lescuersa nsinque foruoie	--|--|----|-⌫------|------|
granz uanitezauoie	----|------|----|
touteuoie semiaux ne seust	--------|-|----|-|----|
bonnepanceeauoirdeust	----|-----|----|----|
etsusist b onne con paigni e	-|-----|-⌫---|---⌫------⌫|
quilid estournastmal eui e	--|-|-⌫---------|---⌫|--⌫|
carqui b onneconpaigniehante	--|--|-⌫---|---------|----|
anuizpeutquebienne	----|---|--|---|-|
etqu i sui tconpa igniemauuai s e	-|--⌫|---⌫|-----⌫----|------⌫-⌫|
anui z peutiliages ir aisse	----⌫|---|-|-|---⌫-|----|
c ontre die utemp t ez	-⌫----|---⌫|----⌫-⌫-|
durt san tez	---|---⌫--|
quenepe rdehonn eur ou auoir	--|-|--⌫--|----⌫--|-|----|
quinesetfaire grantsau oir	--|-|--|----|----|---⌫--|
au mo i nsbonneconpaig nie suiue	-|--⌫-⌫-|----|-------⌫--|----|
etmalesparoles esch iue	-|----|------|----⌫--|
di reueuillet er e	--⌫-|------|-⌫--⌫|
silne setautrecho sefere	|-|-|--|----|---⌫-|---|
pour esc usége le tanrai	---|---⌫---|-|-|-----|
et se miaux gel e panrai	-|-|----|-|-⌫|-----|
qua mandemansn e stpas pechiez	-|-⌫--------||-⌫-|--|------|
s il estdouco rsam peeschi ez	|-|--|--|--⌫-|--⌫-------⌫-|
quec onp aignie seure	--|-⌫---⌫-----|----|
facequebiaux etbons	---|--|----|-|---|
diz trui sse	--|----⌫--|
e tdelitablesetplaissans	-⌫|---------|-|--------|
bi en s nuisabl eset	--⌫--⌫|-------⌫-|-|
bienfais sans	---|----⌫---|
et det ouz	-|-|-⌫--|
desco mforssegart	-----⌫----|-|---|
touzbonsespoirstaig neasa	---|---|------|----⌫-||-|
genuoipluseurs	|-|--|-------|
qui pris on t ienent	--|----⌫-|-⌫-----|
qu alor uol oirneu ont ne	-||--|---⌫--|-|-⌫--|-|
ouq u eno npuis santou litgisent	-|-⌫-⌫|--⌫|----⌫---|-|--|-----|
pasquenelisent	--|--|-|-----|
e t essar monsetesestoires	-⌫|-|---⌫---|-|-|-------|
treuue ntmaintesbelle smemoi re s	------⌫-|------|-----⌫|-----⌫--⌫|
ou pluseurpeuente xample	-|------|-----|-⌫-----|
eto u pl use ur peul entapra n dre	-|-⌫|--⌫---⌫-|----⌫--|----⌫-⌫--|
quine peut fere una utre	--|-|---|---|-|-⌫---|
et tourio ursoitdeua ntsa	-|------⌫--|--|----⌫-|-|
d ieuquito utesgracesdepa rt	-⌫--|--|--⌫---|-----|----⌫-|
etdehoustiuet e	-|-|---------⌫|
a des es tuditadesl is e	-⌫--|--⌫----|---|-⌫--⌫|
ades oita ouure	---|--||----|
