#META# TextURIDancusM	-----|------|------|
#META#DEAF http/ /ww w.dea f-pa ge. de/bib l/bib99d.php #DancusM	-----|---|-----⌫---⌫-----⌫----⌫---⌫------⌫------------⌫-------|
#META #FEW	-----⌫|--|
#META#ARLIMAhttp s//www.arlima.net/qt/roi_dancus_liure_du.htm l	-----|-----|----⌫--------------------------------------------⌫|
#META #Author	-----⌫|-----|
#M ETA#AuthorBorn	--⌫---|---------|
#META#AuthorBornAmb	-----|------------|
#META#AuthorDi ed	-----|--------⌫-|
#META# Author DiedAmb	-----|------⌫------|
#META#Au thorFl1	-----|--⌫------|
# META#AuthorFl2	-⌫----|--------|
#META#TextTitleLiureduroiDan cus	-----|--------|----|-|--|---⌫--|
#META#TextSubtitle	-----|-----------|
#META#Textuols	-----|-------|
#MET A #T extSubi	----⌫-⌫|-⌫------|
#META#TextDom	-----|------|
#ME TA#Tra nslationtrue	---⌫--|---⌫-------|---|
#ME TA#Co ll e ctionCab inetdeuénerie	---⌫--|--⌫--⌫-⌫----|---⌫---|-|-------|
#META# Col lectionNo6	-----|---⌫--------||
#META#T extDe scA RL	-----|-⌫-----⌫---⌫-|
#META#TextD e s cuers	-----|-----⌫-⌫-⌫----|
#META # TextDateARLXII Iesiècle	-----⌫|----------|---⌫-|------|
#META#Tex tDateAd i13	-----|---⌫-------⌫|-|
#META# TextD ateMin	-----|-----⌫-----|
#M ETA#TextDateMax	--⌫---|----------|
#M ETA# EdE ditor Marti n-Dairuault	--⌫---|---⌫----|-----⌫----------|
#MET A# EdPla ceParis	----⌫-|-----⌫-|----|
#META#E dPu bli she rLi brairiede s Bibliophiles	-----|-⌫---⌫---⌫---⌫|--⌫------|--⌫|-----------|
#META #Ed u ol	-----⌫|--⌫-⌫-|
#META#EdYear1883	-----|-----|---|
#META# EdPage s1 -29	-----|------⌫|-⌫--|
#ME TA#MsBaseP ar is BnFfr 12581	---⌫--|-----|-⌫--⌫-|--|-|----|
#META#MsNum 2	-----|----||
#ME TA#MsDateAR L	---⌫--|--------⌫|
#MET A# M sDat eAdi	----⌫-|-⌫----⌫---|
#META# Formp	-----|---||
#ME TA#Complet etrue	---⌫--|-------⌫|---|
#META#N oWo rds	-----|-⌫---⌫--|
#ME T A #NoLi nes	---⌫-⌫-⌫|----⌫--|
#META # Di alAuth	-----⌫|--⌫-----|
#META#DialScribe	-----|---------|
#MET A#ScanURLhtt ps//archiue .org/details/le liureduro idan00al be go og	----⌫-|------|---⌫-----------⌫---------------⌫---------⌫--------⌫--⌫--⌫-|
#META# ScanURIO the r	-----|--------⌫---⌫|
#META#ArkIDa rk /1396 0/t8w9 58d55	-----|----|-⌫--⌫-----⌫------⌫----|
#META#LccnID	-----|-----|
#ME TA#OclcID	---⌫--|-----|
#MET A#WebAuthorDauid IosephWrisley	----⌫-|--------|----|-----|------|
#META#ORCIDWebAuthororcid. org/0000-000 2-035 5-1487	-----|-------------|------⌫------------⌫-----⌫-----|
#META#WebRe uiewer	-----|-----⌫-----|
#MET A# ORCIDReuiewer	----⌫-|------------|
#META#MiscInfo	-----|-------|
#META#CCLice nseC CBY-NC-SA4.0	-----|------⌫--|-⌫|-------|--|
Inte rnati onal	----⌫-----⌫---|
Pageu01P001	----------|
L E LIuREDURO IDA NC US	-⌫|----|-|--⌫|--⌫--⌫-|
Unsroisfui adis qui	--|---|-|-⌫---|--|
estoit apelez	-----|-----|
Dancus.Iior estoitenson	------||--|-----|-|--|
palais. Deuant luiestoient s i	------|-----|--|-------|-⌫|
desciple qui tenoie ntplaitde	-------|--|------⌫-|----|-|
lorf aucons	--|-⌫-----|
etpenço i e ntcommantil poissentmaintenir	-|------⌫-⌫-⌫-|------|-|-------|--------|
lorfauconss ainsethaitiez	--|------|-⌫---|-|------|
ou oistours	-|-------|
ouespriuiers e tcom mantill espoisse nt	-|---------|-⌫|---⌫---|-|-⌫-|------⌫-|
faireha rdiz	----|--⌫---|
et commant	-|------|
il lorpoi ssent	-|--|---⌫----|
fai repa nregranzo i sia u ssicommegrues	---⌫-|--⌫--|----|-⌫-⌫---⌫-⌫|-|----|----|
etoes et a utres	-|--|-|-⌫----|
oisiaus et comman t il	------|-|------⌫|-|
po issentestre ten ue nlorshar d ime nt.Icil	--⌫-----|----|---⌫|-⌫|---|---⌫-⌫---⌫--|---|
Pag eu01P002	---⌫-------|
rois fubon sdeuinset uitc equi fu	---|-|---⌫|-----|-|--|-⌫|--|-|
puetestre.	---|-----|
Cestechos e oi liroi s	----|----⌫|-|-|---⌫|
Ga lacienset uint a ̀	--⌫------|-|---|-⌫|
icelu iueoirete nt endreseceestoit uoi rs	-----⌫|----|-|-⌫--⌫----|-|-|-----|---⌫-|
queon liauoitditen sacite ́.	--|-|-|----|--|-|-|----⌫-|
herb erge à lun deschiés delaci téet	----⌫---|-||-|--|-----|-|-|--⌫--|-|
manda que il uoloitsa u oir de sfauc ons.Et	----|--|-|-----|--⌫-⌫--|--⌫|----⌫---|-|
comDancusliroi s oice si	--|-----|-|---⌫|-|-|-|
moultl i pl ust.	----|-⌫|--⌫---|
Illef istu eniren	-|-|-⌫--|-⌫---|-|
icelechambreestoitbelee tprecieuse	----|------|-----|---|-⌫|--------|
etdetoute shonors plainneenla	-|-|-----⌫|-----|------|-|-|
quelelifirm amenz	----|-|----⌫----|
estoit poin ze tles	-----|----⌫|-⌫|--|
estoilesdou	-------|--|
ci e lettouzlifonde menz	--⌫-⌫|-|---|-|-----⌫---|
etde tantdemeruoillesquemoul t	-|-|---|-|---------|--|----⌫|
àme ruill ierse sliz estoitd	-|--⌫-----⌫--|--⌫|--|-----||
auo le i lle et	---⌫--⌫-⌫--|-|
lesc ordes e stoient dune be stesauuageet	--|-⌫----|-⌫------||--|--⌫--|------|-|
estoi tcouers dunecouerture de pa ileescarimant	-----⌫|-----||--|--------|-|--⌫--|---------|
sorleq uelli ro i sDan cusgis oit.	--|---⌫--|-|--⌫-⌫|---⌫--|---⌫---|
Li roisGa lacienssesistauec	-|---|--⌫------|-|---|---|
lu iel lit et	--⌫|-|--|-|
se meruillamoult c omme iluitlachambre	-|-------|----|-⌫---|-|--|-|------|
ei n si s pointe.Lorsl i	--⌫-⌫--⌫|------|---|-⌫|
commança lirois	--------|-|---|
Dancusàdemande r por	-----|-|-------⌫|--|
que lcauseil e st oit	---⌫|----|-|-⌫--⌫--|
