s uidedire teu z	-⌫-|-|---|---⌫|
mensuiapa rceuz	|-|--|---⌫----|
quitrop setai st quarde trop	--|---|-|---⌫-|---|-|---|
ne p uet nus hom	-|-⌫--|--|--|
a bonchieftr aire	|--|----|--⌫---|
por cemepl estenm on	--|-|-|--⌫--|-|-⌫-|
quedes cheualiersuosc o nm enz	--|--|---------|--|-⌫-⌫--⌫--|
nouea xm ozouil porront	-----⌫|-⌫-|-|-|------|
ess anpl eetcortoisie aprendre	---⌫----⌫|-|--------|-------|
mou ltmep oisequege	---⌫-|-|-⌫---|--|-|
plus beautrouerque gene truis	---|---|-----|--|-|-|----|
d e l sditcho se certain e	|-⌫-⌫|--|---⌫-|-------⌫|
cheual erie estla	------⌫---|--|-|
decortoisie	-|--------|
quesp uisier	-|---⌫-----|
ne puetnustan tsac hepuisier	-|---|--|---⌫|---⌫-|------|
de dieuuint	-|---|---|
etcheu alier lont	-|----⌫----||--|
tant conen cort par totle mont	---|--|-|---|--|--|-|---|
uientdausporquo i elestlorl ige	----||--|--|---⌫|-|--|--|-⌫--|
desle coupe ldu squ	--|-|-----⌫|--⌫--|
a u tre gentnenontque lesco rce	-⌫-⌫--|---||-|--|--||----⌫--|
decortoise e stuetpar force	-|-------|-⌫----|--|----|
sauc unestqui pointenretiegne	|---⌫-|--|--|----|-|-------|
queil lagartetqu	--|-|-|---|-|-|
ill atiegne	-|-⌫|-----|
decheu alier	-|----⌫----|
e tdelornon	-⌫|-|--|--|
croitpoint senlorfienon	----|----||-|--|--|--|
tel hau tesc eett e ld ignite	--|---⌫----⌫|-|-⌫-⌫|-⌫-----|
aen l ornonparuerite	|-|-⌫-|--|--|-----|
p orcefustd roitsanzcontredit	-⌫-|-|---|-⌫---|---|--------|
quilfuss enttel con	-|-|----⌫--|--|--|
lor no nsdit	--|--⌫-|--|
quoi ensui ge enma laise	---|-|--|-|-|--⌫----|
i uoigerienqui medesplai se	|--|-|---|--|-|-------⌫-|
oillar ie nsqui plus	--|-|-⌫--⌫-|--|---|
qui pis lo r fait	--|--|--⌫|---|
etpluslescuit	-|---|--|---|
siest queencheualerie	-|--|--|-|---------|
nesentend entmie	-||------⌫--|--|
nene seue nt sisont	-|-|----⌫-|-|---|
l icheuali ers fufez	-⌫|-------⌫--|-|--|
alor n onap ar tendroit	|--|-⌫-|--⌫--⌫-------|
afair eq u ar	|----⌫|-⌫-⌫-|
lornonpardr oit	--|--|--|--⌫--|
e st propr enond e	-⌫-|-----⌫|--|-⌫|
gentil lesce	------⌫----|
tantalornon pass é h autece	---||--|--|----⌫-|-⌫-----|
sortoz lesaut res nons qui soient	--|--|--|---⌫--|---|--|-----|
etseil bienreconnoiss oi ent	-|-|-|---|----------⌫--⌫--|
conlor nonsest de halta ffaire	--|--|---|--|-|---|-⌫-----|
assez font	----|---|
telchosequefaire	--|----|--|----|
n o s eroientporquoipor honte	|-⌫-⌫------|--|---|--|----|
mai sneseuentqua lo r n on monte	---⌫|-|-----|-||--⌫|-⌫-|----|
quartelpor cheua liersetie nt	---|--|--|-----⌫---|-|---⌫-|
quine s et qu aunonapartient	--|-|-⌫-|-|-|--|--------|
itantche u alierss ui	----|---⌫-⌫-----|-⌫-|
s etquanqu ilsetdi re de	|-|-----|-|--|--⌫-|-|
licheualier a	-|--------||
dro itesgart	---⌫-|-----|
ontdelor nonregart	--|-|--|--|-----|
neco nnoi ssentsiestg rantdels	-|--⌫----⌫----|-|--|-⌫---|---|
nonnelornon els	--|-|--|--|--|
quesconnoist dont lico nteor	-|-|-------|---|-|--⌫----|
d itraouldeh oudanc	-⌫-|----|-|-⌫-----|
qu isont apelémarestanc	-||---|-----|--------|
dec heua lerie esprouuer	-|-⌫----⌫----|--------|
etparitantlepuis	-|--|----|-|---|
quequant limarc heanzassanble	--|----|-|----⌫----|-------|
loret lemarestancensanb l e	|-|-|-|--------|------⌫-⌫|
selfroieau marestanc etl ors	-||----|-|--------|-|-⌫--|
puet ilc onnoistreseliors	---|-|-⌫--------|-|-|--|
estbons oumarcheanz oufins	--|---|-|--------|-|---|
totautr esi ceestla fins	--|----⌫--|-|--|-|---|
les etl enparles	-|-⌫-|-⌫-|--|--|
menestreus	---------|
quies placeseteshosteus	--|-|-----|-|-|------|
uoientles hennorsetles hontes	-----|--|------|-|--|-----|
do i t dir e beaus	--⌫-⌫|---⌫|----|
etdetieuxnons	-|-|----|---|
itantuo sdi	----|--⌫|-|
qu antli con t er es aserui	--⌫--|-|---⌫-⌫--⌫-||----|
etuientaupo intdudeman der	-|----|-|--⌫--|-|-----⌫--|
largesnel p uetcontremander	-----|-||-⌫--|-----------|
la l a rgesc equil aelcors	-|-⌫-⌫-----⌫|-|-||-|---|
quela pointen ensaille ho r s	--|-|-----||-|-----|--⌫-⌫|
sila de quoidoner	|-||-|---|----|
presa ntem entets	-----⌫----⌫--|-||
il nepue t	-|-|---⌫|
doneretseuientauprometr e	----|-|-|----|-|-------⌫|
set sigente mentmetr e	--|-|-----⌫---|----⌫|
les soineet	|--⌫----|-|
pue tauiser	---⌫|-----|
l e talentquiladebienfaire	-⌫|-----|-|-||-|---|----|
maisliautresestdautreafaire	---|-|-----|--||----|-----|
quar se ildone tanttenra	---|-|-|---|---|----|
sondoniagr e	--|--|-|--⌫|
nel en saura	-||-|----|
cil quiretientet qui p ramet	--|--|------|-|--|-⌫----|
t antaqu iteuresi met	-⌫--|---⌫------||--|
e nsapramesseq u	-⌫|-|-------|-⌫|
ate nt tant	---⌫-|---|
s auoir certaine ment	-⌫----|--------⌫---|
quesa promesse	--|-|-------|
est nulechose	--|---|----|
desoncu er	-|--|--⌫-|
ouhonterepose	-|----|-----|
dem i feruz enchar	---⌫|----|-|---|
ce stu n uainmotferud e schar	|-⌫-|-⌫|---|--|---||-⌫----|
froit etrelent etsenzsauor	----|-|-----|-|---|----|
sisurque quant gelasa uor	-|--|--|----|-||---⌫--|
geuoi qui lmaci erainci é	-|--|-|-⌫|||-|-------⌫-|
bontezdemauuais tie	-----|-|-------⌫--|
mo lsdarme s	--⌫-||----⌫|
espe s senz sauor	----⌫|---|----|
honteclersdonor	----|----||---|
agaituaine npro ece	----|---|-⌫|---⌫--|
re le n z delaperesce	--⌫--⌫-⌫|-|-|------|
qu ilaelcuercomentqu e niss e	-|-||-|---|-------|-⌫|---⌫|
n esaiqueplusuosen deisse	-⌫|--|--|---|--|-|-----|
desa utres	--|-⌫----|
quelimontseu ent	--|-|---|---⌫--|
leuaisse l	-|------⌫|
tantquaupar ler sontconneu	---|-|-|---⌫--|---|-----|
desconteorsquilon tueu	--|-------|--||--⌫|--|
lors bien lormausgedisanz faill e	---|---|--|---|-|-|---|-----⌫|
uers aus na pointde repota ille	---|--|||----|-|------⌫---|
a un motquepoi nt neredot	|-|--|--|---⌫-|-|----|
ce sontcilqui c onnoissent	-|---|--|--|-⌫---------|
por c e m e	--|-⌫|-⌫|
poi sesanzmesprendre	---⌫-|---|---------|
que nusitrueue que reprenre	--|--||-----|--|-------|
neq ue blasmer	-|-⌫-|------|
nequeredire	-|--|-----|
quedigedonc uuei l	--|-|-|---|----⌫|
gedonc dire	-|---|---|
quilsoitnulc he ualier uilains	-|-|---|--|-⌫--⌫-----|------|
liun sontdumai n s	-|-|---|-|---⌫-⌫|
plu s queli au treen	---⌫|--|-|--⌫--|-|
tozbonsleus	--|---|---|
ail assezde	|-|----|-|
quiltantsontdu plus	---|---|---|-|---|
quilne daignentfai re	-|-|-|-------|---⌫-|
ettantse fi entdurem ent	-|---|-|--⌫--|-----⌫--|
enlorp roe cequerro ment	-|--|-⌫---⌫-|-|----⌫---|
sefiertorgueilqui	-|----|------|--|
lor conmande	--|-------|
as uaerceco n lor	-|---|-||-⌫|--|
etdientquenes pas	-|----|--||-|--|
de cecr iengecezlecheo rs	-|-|--⌫--|-|--|------⌫-|
donrailor gedonraipor	-----|--|-|-----|--|
que pue entildir edemo i	--|---⌫--|-|---⌫|-|--⌫|
nesuigecilaugrant	-|--|-|--|-|----|
gesuicil qui t otaue incu	-|--|--|--|-⌫-||--⌫---|
lem e illor	-|-⌫-⌫----|
darmespasségaugein	|----|-----|------|
au oise ignor	--⌫-|--⌫----|
quequ enusdie	-----⌫|--|--|
nafiertpas ach eualerie	|-----|--||--⌫-------|
quecheualierpor sa proe ce	--|--------|--|-|----⌫-|
do iea uoir end espit l argesce	--⌫-|-⌫---|-|-⌫----|-⌫------|
quar parproecea u droitconter	---|--|-----|-⌫|----|-----|
nepuetnus en	-|---|--|-|
haut prismonter	---|---|-----|
senlaproec ena	|-|-|-----⌫|||
si uosdirai c onmentet	-|--|----|-⌫-----|-|
d esdeuseles couientaestre	-⌫-|---|---|------||----|
largescedoit es tre la destre	-------|---|--⌫--|-|-----|
etlase nes trecortois ie	-|-|--⌫---⌫--|-------⌫-|
maissechascuneeleertforn ie	---|-|-------|--|--|----⌫-|
il couie nta droit	-|-----⌫-||----|
quelicheu al ierssa nzfaus ser	--|-|----⌫--⌫---|--⌫-|----⌫--|
aitsept pannesparquel	--|---|-----|--|---|
quelel equ ilargecea n on	--||--⌫|--⌫|------||-⌫-|
soit lapremiere pennetel e	---|-|-------|----|---⌫|
porcequelargece an onele	--|-|--|------||-⌫-|--|
ensoi ten lar gece hardiz	-|---⌫|-|---⌫---|-----|
quarpardroi t poinsetpar	---|--|----⌫|----|-|--|
p uetonsauoirout reemen t	-⌫--|-|-----|---⌫------⌫|
que la rgesceestdehardem ent	--|--⌫-----|--|-|------⌫--|
estra i te etde	-----⌫-⌫-|-|-|
harde ment u ie n t	-----⌫---|-⌫--⌫-⌫|
e t uossaue zque	-⌫|--|----⌫|--|
poia uient	--|-⌫----|
en nulpaisneloigne	-|--|---|-|---|-|
qu e nu sso itlarges	--⌫|--⌫|--⌫-|-----|
et mal ues	-|---⌫--|
la s econ d e est detelafaire	-|-⌫----⌫-⌫|--|-|--|-----|
quiueltlargece faire	--|---|------|----|
pasgardera	--|-----||
nequesa terre puetu aloi r	-|--|-|----|---|-⌫----⌫|
iacheualiers sediex	-|---------|-|---|
puis quile nquiertq ueseglesualt	----⌫-|-|-⌫------|-⌫-|-----|---|
ne monteraen grantha ut ece	-|------|-|----|--⌫--⌫--|
necilnestpasp leinsdep ro esc e	-|--||--|--|-⌫----|-|-⌫--⌫---⌫|
ned onor nede	-||---|-|-|
queplu sne doneetd espen t	--|---⌫|-|---|-|-⌫-----⌫|
et en folie	-|-|----|
eten sauoir	-|-|-----|
quesat er r ene	--|-|-⌫--⌫-⌫|-|
puetualoir	---|-----|
uostr est u it deuoir	--|--⌫---⌫-⌫-|-|---|
l a tier cepennesenefie	-⌫|----⌫-|----|------|
quide lar g esce faitsamie	-||-|---⌫-⌫---|---||---|
delargesceauoirpris	-|-------|----|---|
aitt ozio r sso nconseilpri s	--|-⌫-|--⌫-⌫|--⌫|------|---⌫|
d au oierle po uree tlerich e	|--⌫---|-|--⌫--|-⌫|-|----⌫|
gediquedelargesce triche	-|-|--|-|-------|-----|
cil q ua nt ildonequiesgarde	--|-⌫--⌫-|-|---|--|------|
de c estui nepui sge auoir g ard e	-|-⌫----|-|---⌫|-|----|-⌫---⌫|
cistestbi end econte ou de roi	---|--|--⌫-|-⌫|----|-|-|--|
cistest a cort	---|--||---|
ge lidorrai quantil nedone	-|-|-----|----|-|-|---|
noientapo u rec e	-----||--⌫-⌫-|-⌫|
rien salargesce ainzsanbleforce	----⌫||-------|---|-----|----|
largescesefforc e	-------||------⌫|
estrelarge parf iz	----|----|----⌫-|
sid oitdoner asdesconf iz	-|-⌫--|----|-|-------⌫-|
e tne regartpasa	-⌫|-|-----|--||
quilate nd elegerredo n	-|-|---⌫--⌫|-|-------⌫|
quarlarge ce	---|-----⌫-|
sanznu lredout	---|--⌫|-----|
genedusie natot portot	---|-|---⌫||--|--|--|
laqu artepenne a droitesgart	-|--⌫---|----||----|-----|
quelen setiegneetgart	--|--|-|-----|-|---|
d epromet re quiceacquiel t	-⌫|------⌫-|--|-|-------⌫|
sachiez mauuais	------|------|
l osenaquielt	-⌫-|-|------|
sorluietpuisnel aueltrendre	--|--|-|---|-|-⌫|---|-----|
