i ci comencelelaydel aunual	-⌫-|------|-|--|-|-⌫-----|
lauenturedeunlay	|-------|-|-|--|
cumeleauintuus c u n teray	--|--|----|--|-⌫-⌫-⌫----|
fait fud u ngen tiluassa l	---|-||-⌫|---⌫--|-----⌫|
enbretaignelapelent launua l	-|--------||------|------⌫|
a kardoyl suiornoutlirey s	|------|--------|-|---⌫|
arthurliprouzel icurteys	-----|-|----||-⌫|------|
purles escozet pur lesp is	--|--|----|-|--|--|-⌫-|
ki destruei ent lespays	-|--------⌫--|--|---|
te rrede log resletr ouou en t	--⌫--|-|---⌫--|-|--⌫----⌫--⌫|
mu ltsouentle	--⌫-|-----|-|
damagouent	---------|
alape n tecusteenes te	|-|--⌫-⌫------|-|--⌫-|
iaueit l ireyssoiurné	|----|-⌫|---|-------|
a sezid o nariches duns	-⌫--||-⌫-⌫-|-----|---|
eascun teseasbaruns	|-|---⌫--||-|-----|
latable runde	-|----|----|
nouttantdeteusen	|--|---|-|---|-|
fe mmesetter resdeparti	--⌫---|-|---⌫--|------|
unsul ke loutserui	-|--|-||--|----|
cefu launu al nelens ouint	-|-|-----⌫-|-||-|-⌫----|
s uensben ne	-⌫---|--|-|
pur sa ua luepur sa la rgesce	--|-|--⌫--|--|-|--⌫-----|
pursa bunteesapruesc e	--|-|----||-|------⌫|
lenu ienttuit liplus ur	|---⌫---|---|-|----⌫-|
mostroitsemblant	-------|-------|
si alcheual er me sauen i st	-|-|------⌫-|--⌫-----⌫-⌫-|
ia u n efe izne l enpl einsist	-|-⌫-⌫|--⌫-|-||-|--⌫------|
fizfu a rei	--|-||--|
degrantparage	-|----|-----|
m esloin zfude sunheritage	-⌫-|----⌫|-|-|--|-------|
dela maisnie le	-|-|------|-|
tutsun auoiro utdespendu	--|--|----|-⌫-|-------|
kar li reis rens	--|-|---|---|
nel uidon a	-|-⌫-|---⌫|
ne lau nual ne luidemaunda	-|---⌫---|-|--|-------|
la unual multentrepris	--⌫----|---|--------|
