formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
Cisttytresestde	---|-----|--|-|
feresa demandeetdemostr er	---|-|------|-|-|-----⌫-|
parqu elresonlendemande.	--|--⌫-|----||-|------||
L emper eeu rPiuset A ntoine sdientàunhommequi	|-----⌫---⌫|---|-|-⌫------⌫|----|-|-|----|--|
dema ndoità une feme deniersque illi	----⌫----|-|--|---|------|--|-|-|
auoi tball ie zengarde.	----⌫|----⌫--⌫|-|----||
Comentproue r astuq ueli denierquetu as	-----|-----⌫-⌫-|-|-⌫-|-|-----|--|-|-|
bailliezen gardete sontdeuzQuerce	-------|-|----|-|---|---|---|-|
quet uueul s	--|-⌫|----⌫|
quetona uer sairemeteauant sesr esons	--|--|-⌫---⌫----|---|----|--|-⌫----|
ce s eu tapar tenirà	-|-⌫--⌫|----⌫----|-|
loffice a li uge.	|-----|-⌫|-⌫--||
Lemp ereeu r S eue r insetAntho nines die nt .	|---⌫-----⌫|-⌫---⌫-⌫--|-|-----⌫----|---⌫-||
Cilpardeuantcui	--|--------|--|
l a cause est tretieecommanderaque	-⌫|----|--|------|---------|--|
li er rement etlicom mu nescrit soientregardé	-|--⌫-----|-|-|---⌫--⌫|-----|-----|-------|
porferefoide la	--|---|--|-|-|
Cilm eismeemp ereeurdien t.	--|-⌫----|---⌫-----|----⌫||
L a ctio nqui est proposee demostrela	|-⌫----⌫|--|--|-------|-------|-|
semb lanceet la manieredelplet qui e s t	----⌫----|-|-|------|--|---|--|-⌫-⌫|
Etillis tàam en derlaouàmüer	-|-|---⌫|-|--⌫--⌫--|-|-|-|----|
si comme lauctoritédelpardurab le e stablissementl	-|----||---------|--|--------⌫-|-⌫------------||
ense igne ousicommel aloialté	----⌫---|-|-|----|-⌫|-------|
aliugeuoitque dro itest.	-|---|---|--|---⌫-|--||
L empereresAnthoinesdit.	|--------|--------|--||
Cilquiuuelent acuser doiuentauoir	--|--|------|-----|------|----|
prueuesquer	------|---|
d roiz neres on	-⌫---|-|---⌫-|
n otro iepasq ue	|----⌫-|--|-⌫-|
li demanderresait	-|----------|--|
pooirde fere	----|-|---|
ue nira u antnede re garde r	--⌫--|-⌫-⌫--|-|-|--⌫-----⌫|
lesins trumenzal defendeeur.	--|---⌫------|-|---------||
cilqui d em ande	--|--|-⌫--⌫---|
nepuetprouercilquise defent gaaign ela	-|---|-----|--|--|-|-----|------⌫|-|
querele iasoi tceque ilneprue ue	------|-|---⌫|-|--|-|-|----⌫-|
Liempereres Al i xandresdit.	-|--------|--⌫-⌫------|--||
Cenest pasn ouele	-||--|--|-⌫----|
c hoses e cilà	-⌫---|-⌫|--|-|
quil endemandedeniersueultsauoirles	--||-|------|------|----|-----|--|
re son sporquoilenl idemande	--⌫---⌫|--|---||-|-⌫|------|
siqueuerité	-|--|------|
es tr eseue .	--⌫--⌫|---||
Cilmeismesem pereresdit.	--|------|--⌫------|--||
Quant l endeman de	----||-|-----⌫-|
à aucunp orsoi et	-|----|-⌫-|--|-|
porautres iladroitse il	--|-----|-||----|-|-|
ueultsauoirque lespaie squi	----|-----|--|--|----⌫|--|
ontestéf etes encomm u nsoientmostrees si	--|----|-⌫---|-|----⌫-⌫|-----|-------|-|
quelenpuiss esauoir	--||-|-----⌫|-----|
combien il e naffiertàsa pa r t.	------|-|-⌫|------|-|-|--⌫-⌫||
Ci lmei smesempereres dit.	--⌫|---⌫---|--------|--||
Li procurerresdenozch oses	-|----------|-|--|--⌫---|
priueescommanderaquetuaies	------|---------|--|-|---|
si com m ecostume	-|---⌫-⌫|------|
estlesinstr u menz	--|--|-----⌫-⌫---|
àc ontre scrir equetu	-|-⌫-----⌫-----⌫|--|-|
diz quesontcommun à toi età	--|--|---|-----|-|--|-|-|
nostrebaillie.	-----|------||
Ese il co nuien taucune	|-|-|--⌫-----⌫|-----|
fo iz queaucuns	--⌫-|--|-----|
delssoi ttr ez	|--|---⌫|--⌫-|
au ant par deuantau treiugeà	--⌫--|--|-----|--⌫--|---|-|
fe recertainetédela	--⌫-|----------|-|-|
demandeetci lquiest	------|-|--⌫|--|--|
se mo nslerequier tliiuges commandera	--⌫--⌫-|-|-------⌫|-|----|---------|
queilsoitmisauant.	--|-|---|--|----||
Cilmeis mes	--|----⌫--|
empereresdit.	--------|--||
CequeAnto in e snostreperesescristetceque	-|--|----⌫--⌫-⌫|-----|----|------|-|-|--|
nos auon sescrits	--|----⌫|-----||
aco rd ebienas reson s	---⌫--⌫|---|-|-----⌫|
dedroitetdeloialtéquercen esont	-|----|-|-|-------|---|-|-⌫|---|
pasd euierseschose snedescord a nz	--|-⌫-------|-----⌫|-|-------⌫-⌫-|
queilamol t	--|-||---⌫|
grantd iffer encede parcel uiquiauc une	----|-⌫-----⌫---|-|--|---⌫-|--|---⌫--|
chosedemandeetparexceptionde tricher iepuetestre	----|------|-|--|--------|-|-------⌫-|---|----|
oste zdelentenc iondesa	----⌫|-||------⌫--|-|-|
demandesauoir mo n secilàquilen	------|-----|--⌫|-|--|-|--||-|
dem andeu eltqueli	---⌫---|-⌫--|--|-|
demanderresmeteauant ses r es ons si queilsache	----------|---|----|--|-⌫--⌫--|-|--|-|----|
parl esre sons q ue	--|-⌫-|--⌫---|-⌫-|
il proposera com mentildoit respond reàsa	-|--------|---⌫---|-|---|-------⌫-|-|-|
demande et	------|-|
àcesacorde droizo usauoirmon s e	-|-||-----|----|-⌫|-----|--|-⌫|
lideman derres ueultquecil	-|-----⌫-----|----|--|--|
àquii ldemandemete	-|--|-⌫|------|---|
aua ntle sseue sresonsqueril nec ouient	---⌫-|--⌫|----⌫|-----|---|-|-|-⌫-----|
pasences tcasqueli deman de r resfonde	--|-|---⌫|--|--|-|-----⌫--⌫-⌫--|----|
le co mmencemen t de sademandedes	-|--⌫---------⌫|-|-|------|--|
instrumenz etdesre sons aldefendeeu r	---------|-|--|--⌫---|-|---------⌫|
Cisttytresest defe re	---|-----|--|-|--⌫-|
Li emp er eres Alix andres	-|---⌫--⌫---|----⌫-----|
Aut re si commece s	---⌫--⌫-|----|-||
a cordeà b oenes	-⌫----|-|-⌫----|
meu rs queliaucun sport	---⌫-|--|-|-----⌫|---|
