siqueseuent	-|--|-----|
delett r eure	-|----⌫-⌫---|
sideuroie nt m ettre	-|-------⌫-|-⌫----|
es boinsessempl esetesdis	-|----|-------⌫-|-|-|--|
etdesl i u res etdesescr is	-|--|-⌫-⌫-⌫--|-|--|----⌫-|
que l ifilosophe trouerent	--|-⌫|--------|--------|
etens egne rent e tmostre rent	-|---⌫----⌫---|-⌫|------⌫---|
parmoralitez escriuoient	--|--------|----------|
lesboinsprouerb esquilooient	--|----|-------⌫-|-|-|-----|
que ci lamen dersenpois se nt	--|--⌫|----⌫--||-|----⌫--⌫-|
quelore ntenteenbeinme isset	--|--|-⌫-----|-|---|--⌫----|
cefirentli anc ien pere	-|-----|-|---⌫--|---|
rom ul usquefu enperere	---⌫--⌫-|--|-|-------|
a son filescrist etmandaepar e s semple	|--|--|------|-|----||--|-⌫-⌫-----|
co ni l se duitc ontregu e ti erquenusne	--⌫|-⌫|-|---|-⌫-------⌫-⌫--⌫-|--|--|-|
lpoistengignier	|----|--------|
esopeses cristasun maistre	-----|--⌫----||--|------|
quibi en connut lu et	--|--⌫-|-----|-|-|
s one stre	-⌫-|-⌫---|
unes flab es	---|----⌫-|
quilottrouees	-|-|-|------|
tr anslatees	--⌫--------|
me ru elleen ore ntli	--⌫--⌫---|-|---⌫-|-|
qu esonten s	--⌫|--|---⌫|
miste n tel	---|-⌫|--|
m ais ilni	-⌫--|-|||
ar ien de folie	|-⌫--|-|----|
ni aphilosop hie	|||--------⌫--|
esessempl esquesont	-|-------⌫-|--|---|
contes gisentli fes	-----|-----|-|--|
am oi quelarimeendoifere	|-⌫-|--|-|---|-|--|---|
na uen ist ni ant aretrere	|-⌫---⌫--|--⌫--||------|
plu sorsparollesquiisont	---⌫---|-------|--||---|
et n e p orcan tse mesemont	-|-⌫-⌫-⌫-----⌫|-|-|-----|
queflors estdecheualerie	--|----|--|-|---------|
denseg nementdecortoisie	|-----⌫-----|-|--------|
e qu antte s homm	|--⌫--|--⌫|--||
ena req uise	-||---⌫---|
ne uuel lass ierennulleguise	-|---|----⌫--|-|----|----|
que ni mettetraualet	--|||----|-----|-|
qu ilnementignesporu ilainne	-|-|-||-|-----|--|-⌫------|
moltdoi fair eporsa	---|--|----⌫|--|-|
si conmencer a ila premiere	-|---------⌫-⌫|-|-------|
des flabes quesopes escrist	--|-----|-|-----|------|
ami ma nda etdist	--|--⌫--|-|---|
duncos recon duquimonta	|-|--|-----⌫-|--|----|
selonc natures epo rchacoit	-----|-----|-⌫|--⌫-------|
saui andecon ilso loit	-|--⌫---|--|-|--⌫---|
u nechie regemmetr oua	-⌫-|----⌫-|----|--⌫--|
clerela uit	----|-|--|
si lesgard a	-||------⌫|
i ecuidafait	-⌫|----|---|
il p or chacier	-|-⌫--⌫------|
mauiandesorcest fumier	-|-----|--|---|-----|
or uos ai ci ge mmetrouee	-|--|-|-|--⌫--|-----|
serezremue	----|----|
sun s riches homuosi	|--⌫|-----|--|--||
bien saqu e dor uoshonorast	---|-|--⌫||-|--|-------|
si acr eust uo str e b iautei	-|---⌫---|--⌫---⌫|-⌫-----|
por lor quesi	--||-|--|-|
agrant clartei	|----|------|
quant mauolentenaie ntoi	----|-|------||-|-⌫|--|
ia nul l ehonor nauras par	-|---⌫-⌫|----||----|--|
autr eciest demainte gent	----⌫--|--|-|-----|---|
uai tasontalent	---⌫||--|-----|
conme delcoc et d ela gemme	----|--|--|-|-⌫|-|----|
ueulauons d omeet defemme	--||----||--|-|-|----|
biennehon orni antne	---|-|---⌫-|--⌫--|-|
le pisprennetlemiexdespr isent	-|--|------|-|---|-----⌫----|
ceditdou leuf etdela ignel	-|--|--|---|-|-||-⌫----|
qu ibeuoie n tazzruissel	--⌫|------⌫-⌫||-|------|
lileusenles so r ce beuoit	-|---|-||--⌫--⌫-⌫-|-----|
aigniau sauales toit	-------⌫|---|--⌫---|
ire eme nt parla lileus	---⌫---⌫-|----|-|---|
estoitcontral ieus	-----|-------⌫---|
iriementp arla	-------|-⌫---|
tumef a iz	-|-|-⌫-⌫-|
g rantanui	-⌫---|---|
