lelayd aquitan	-|--||------|
m olto nt esté n oble	-⌫--|-⌫-|----|-⌫---|
cild e bretaingne li b reton	--|-⌫|---------|-|-⌫----|
iadissoloientpar nobles ce	----|-------|--|------⌫-|
par co rtoisie	--|--⌫------|
etparproes ce	-|--|-----⌫-|
des auen tures quiloi ent	--|----⌫----|-|-|--⌫--|
plus orsgenzauenoient	----⌫--|---|--------|
les l aisfereporremenbrance	--|-⌫--|---|--|----------|
c onnesm esi st enoubliance	|-||-|-⌫---⌫-|-|--------|
unen firentcoicont er	-|-|-----||-|----⌫-|
fetm iea ou bli er	--|-⌫-||--⌫---⌫-|
daqui t an quimo lt f ucortois	|----⌫-⌫-|--|--⌫-|-⌫|------|
si rede sna insiustise et	--⌫-|--⌫|--⌫--|------|-|
etqui tanf umolt de	-|--|--|-⌫|---|-|
grant pris	----|---|
etmoltam ezenson p ais	-|---|--⌫-|-|--|-⌫--|
de duit amoitdedrue rie	--⌫---|----|-|----⌫--|
porcem ait intcheu alerie	--|-|-⌫---⌫--|----⌫-----|
cilme t en t	--|--⌫-⌫--⌫|
loruie en non	--|--|-|--|
quedamer nont s ens	--||---||--|-⌫--|
nem es ure	-|-⌫--⌫--|
te xest lamesure	--⌫|--|-|-----|
nus ni puetm es ur e gar der	--|||---|-⌫--⌫--⌫|---⌫--|
e quitanot sen esc hal	-⌫-----|-|---⌫---⌫--|
bonche ualier	--|---⌫-----|
preu et loia l	---|-|----⌫|
toutesa terre lig ardo it	----|-|----|-|-⌫----⌫-|
et maintenoit etiu stisoit	-|---------|-|--⌫------|
porostoierne fust	--|------|-|---|
pornulbesoingquilli	--|--|------|-|-|-|
li rois nen	-|---||-|
les s astsonchacier	---⌫-⌫--|--|------|
sondedu it ne	--|----⌫-|-|
sonriuoier	--|------|
fame es pouse otle sene s chal	---|--⌫----|-|-|----⌫-⌫---|
dontpu i sotelpa is gra ntma l	---|--⌫-⌫|-|-|--⌫-|---⌫-|--⌫|
lad ame ert bele d u rement	-|-⌫--|--|---|-⌫-⌫-----|
