quipetitseime petit quiau t	--|----|----|----|-----⌫|
quia uques r ecoillier uiaut	--|-⌫----|-⌫--------|----|
entelleusasemenceespande	-|--|--|-|------|------|
q uef r ui tacentdoblelirande	-⌫-|-⌫-⌫--⌫||---|----|-|----|
car enterre qui rienneuaut	--|-|----|--|---|-|---|
bone se menceseiche	---|--⌫----|-----|
cr estiensseime	--⌫------|----|
e t faitsemence	-⌫|---|------|
dun romanzque il encommence	|-|-----|--|-|---------|
lo seimeensinbon l e u	-|----|-|--|--|-⌫-⌫|
quenep uetestresanzgrant preu	--|-|-⌫--|----|---|----|---|
il lefaitporloplu sprod ome	-|-|---|--|-|---⌫|----⌫--|
qui soitenlempire derom e	--|---|-||-----|-|---⌫|
cuensfelipes d eflandres	----|------|-⌫|-------|
quim iaxua ltnefist alisandre s	--|-⌫--|--⌫-|-|---|---------⌫|
cilquel e ndit que	--|--|-⌫-⌫|--|--|
tantfuboe ns	---|-|---⌫-|
maisieprouera iqueli cuenz	---|-|-------⌫|--|-|----|
ua u t mielz q uecil	--⌫-⌫|----|-⌫-|--|
nefistass ez	-|---|---⌫-|
c ar ilotanliamassez	-⌫-|-|-|-|-|------|
ui ces et toz lesmaux	--⌫--|-|--|--|---|
donli cue nsestmondes etsa ux	--|-|---⌫-|--|-----|-|--⌫-|
li cuens esttexqu e il	-|----|--|--|--⌫|-|
nes c ou te	|--⌫-⌫--⌫-|
uilaingapne par oleestout e	-----|--|-|---⌫--|------⌫|
e ts il otmaudire	-⌫||-|-|------|
q ui queil	-⌫--⌫--|-|
so i t cepoisel u i	--⌫-⌫|-|----|-⌫-⌫|
li cuens aunedroiteiostise	-|----||--|-----|------|
etloiaut eetsaintey glis e	-|------⌫|-|-----|-⌫----⌫|
ettouteuileniehet	-|----|------|--|
sestplus larges	|--|---|-----|
qu e e nneset	--⌫|-⌫|-|--|
qu id oneselon cl euangile	-||-⌫--|-----⌫||-------|
sanzy pocresie etsanz	---|-⌫-------|-|---|
d itque quen esai chelasenestre	-⌫-|---⌫--|-⌫|---⌫--|-|-------|
lobi e n quelifer a la destre	-|--⌫-⌫|--|-|---⌫|-|-----|
ci llosaichequilo	--⌫|-|-----|--|-|
et d exquitoz les secrez uoit	-|-⌫-|--|--|--|-----|---|
etsettout eslesr epotailles	-|--|----⌫-|--|-⌫---------|
cu eretesentra ille s	--⌫-|-|-|-----⌫----⌫|
la se nestreseloncl estoire	-|--⌫-----|-----||------|
senefi el a uain egloire	------⌫|-⌫|----⌫|-----|
quiuientpar fauseypocresie	--|----|--|----|--------|
etladest requesenefie	-|-|----⌫-|--|------|
