COUS T UMES	----⌫-⌫---|
BEA U u OISINS	---⌫-⌫-⌫-----|
INCA R N ACION	----⌫-⌫-⌫----|
SEIGNEUR.M.	-------|--|
IIIIXXet troisCestliprologues	-----|-|----||--|-|--------|
Lagr an tes perance que nous auo nsdelai de	-|--⌫--⌫|--⌫------|--|---|---⌫-|-||--⌫-|
quitou tes chosessont fete s et	--|---⌫--|-----|---|----⌫|-|
sansqui riens	---|--|----|
nepourroitestrefetcestli	-|-------|----|--||--|-|
Esperis l esquelestroistressai ntesettres	------|-⌫-------|----|---|---⌫---|-|---|
precieusesc hos essontunsseus	---------|-⌫---⌫-|---|--|---|
Trini ténousd onneta lentd emetrenostrecueretn ostre	-----⌫--|---|-⌫---|--⌫---|-⌫|----|-----|---|-|-⌫----|
entendement en e st udeetenpensee	----------|-|-⌫--⌫--|-|-|-----|
de trou uerunliure	-|----⌫--|-|----|
p arlequel cilqui	-⌫-|-----|--|--|
des irentuiu re	---⌫----|---⌫-|
en pessoien tenseigniébri eme ntcommen t	-|--|-----⌫|---------|---⌫---⌫-|------⌫|
il se de fendron t de ce u s	-|-|--⌫-------⌫|-|--⌫-⌫|
qui atortet	--||---|-|
parmauuese	--|------|
causelesass audr ontde pletet	----|--|---⌫----⌫--|-|---|-|
commentilconno istrontled ro itd utortusé	------|-|-----⌫------|-|-⌫--⌫-|-⌫|---|---|
et acoustu méen la	-|-------⌫--|-|-|
co nteéde	--⌫----|-|
Clermont en	-------|-|
Be auuoisins	--⌫--------|
Etpource que nousso mmesdeceluip aïs et	-|---|-|--|---|--⌫---|-|----|-⌫---|-|
que nous n ousso mmes entrem isdeg arder	--|---|-⌫--|--⌫---|------⌫-|-|-⌫----|
et defe regarder	-|-|--⌫-|-----|
les droise tles coustum esd e	--|----|-⌫|--|-------⌫-|-⌫|
ladite c o nt eépa rlauolontédutres haut	-----|-⌫-⌫--⌫--|--⌫|-|-------|-|---|---|
hommeet tre snob le	----|-|---⌫|---⌫-|
Robertfilduroide	-----|--|-|--|-|
F ra nceconted e	-⌫--⌫--|----|-⌫|
Clermontd euonsnousauoir	-------|-⌫----|---|----|
plu sgrant uolentédetrouuer se lonc l es	---⌫|----|-------|-|------|--⌫---|-⌫-|
coustumesdu dit	--------|--⌫--|
païsq ue d autre et siregardons	----|-⌫-||----|-|-|--------|
III. resonsp rincipausquiace nousdoiuent	---|-----|-⌫--------|--||-|---|------|
La p remierer esoncest ass auoirque	-|-⌫------|-⌫---||--|---⌫----|--|
Dieu s commandaquel enam ast	----⌫|-------|--||-|--⌫--|
sonproismecommeso imei smeetcildudi t	--|------|----|--⌫|---⌫--|-|--|----⌫|
païs so nt	----|--⌫-|
nostr e prois me p ar reson deuoisina geet de na c ion	-----⌫|-----⌫-|-⌫-|----|-|-------⌫-|-|-|--⌫-⌫--|
ette usiadelignage	-|--⌫-|||-|------|
Si no ussem blegrans pourfis se	-|--⌫-|---⌫--|----|------|-|
nouspa r n ostre	---|--⌫|-⌫----|
trauaila l	------|||
Dieuleur pouons	---|---|-----|
parferece s t	------|--⌫-⌫|
liurepar l eq uelil puissentestreenseigniéde pou rchacier leur	----|--|-⌫--⌫--|-|-------|----|---------|-|---⌫-------|---|
droitetde les sierleurtort	----|-|-|---⌫---|---|---|
La seconde re sonsies tpou rceq u e no uspuissons	-|------|--⌫--|-|--⌫|---⌫|-|-⌫-⌫|--⌫-|-------|
fereal aidede	---|||---|-|
Dieu aucunechosequiplese an o streseign eu r	---|-----|----|--|----||-⌫-⌫---|-----⌫--⌫|
le conte et a	-|----|-||
ceusdeson co ns eilcar se	---|-|--|--⌫--⌫--|--|-|
Die uplest par cestliurepourrail e st reenseignié comme nt	---⌫|----|--|---|----|-----|-|-⌫--⌫-|---------|-----⌫-|
ildeuera garderetfere ga rder lescou s tumes	-|-----|-----|-|---|--⌫---|--|---⌫-⌫----|
desa terre de la	-|-|----|-|-|
c onteé de	-⌫-----|-|
Clermontsi quesiho mme etli	-------|-|--|-|--⌫--|-|-|
menuspueplespuissentu iureenpesdessouslui	----|------|-------|-⌫---|-|--|------|--|
etquepar cest ensei gne mentli	-|--|--|---|-----⌫---⌫---|-|
trich eeure tlibareteeursoien ttuit conneu	-----⌫---|-⌫|-|--------|-----⌫|---|-----|
en leurbar ateten l eurtricher ieetboute ́ arrieres	-|---|---⌫-|-|-|-⌫--|-------⌫-|-|-----⌫|-------|
parledroitetp arla i ustic eleconte	--|-|----|-|-⌫-|-|-⌫-----⌫|-|----|
La tierce reson	-|-----|----|
siestpource que nousdeuonsmieus	-|--|---|-|--|---|-----|----|
auoi renmemoireceque	----⌫|-|------|-|--|
nousauonsueu	---|----|--|
u s eret iug ie r de nostreenfance	-⌫-⌫-|-|---⌫--⌫|-|-----|------|
en nostrep aïsqued	-|-----|-⌫---|--||
autre païs dontno usn a uons	----|----|---|--⌫-||-⌫---|
pas aprises les	--|------|--|
coustumesne le susa ges	--------|-|--⌫|---⌫--|
Etnepourquantno usn esperons pasennousle	-|-|--------|--⌫-||-------|--|-|---|-|
se nsparlequelnousp uisso nsfo urnir ces t	--⌫-|--|-----|---|-⌫-----⌫-|--⌫----|---⌫|
l iureetcesteemprise	-⌫---|-|----|------|
Meslenasouuen t	--||-||------⌫|
u eu aueni rquemaint ho mmeont commencié	-⌫-|-----⌫|--|----|--⌫--|--|---------|
bonneseuures qui nauoientpasle	-----|-----|--||------|--|-|
deparfour nir	-|-------⌫--|
Dieusquiconnoiss oitleurcuers etleurentendemen s	----|--|--------⌫--|---|----|-|---|----------⌫|
leur e nu oioitsagrace s iqu	---|-⌫--⌫----|-|----|-⌫|-|
ilparfes oient l egi erementcequileur sembloitgrief au	-|------⌫----|-⌫---⌫------|-|--|---|-------|----|-|
com m encier	---⌫-⌫-----|
Escripturedist	---------|---|
Comm ence etie p arferai	----⌫---|-|-|-⌫------|
E t enlafiancequil	-⌫|-|-|-----|-|-|
