misireno ble sle leons	-|---|--⌫---⌫|-|----|
os oi auoi ttozsez	|-⌫-|----⌫|--|--|
trois iorsotiasa cortxxx	----|---|-|-|-|---|--|
libaro nmeintenuee	-|----⌫|---------|
uenu i sont	---||---|
deme in te	-|--⌫--⌫-|
se nzceq uil lesen uoiastquerre	--⌫-|-|-⌫|-|--|--⌫-----|-----|
uenui erent tuitensemble	---||----|---|-------|
for ssire renartche	---⌫|---|-----|--|
cilni uoloitmieue nir	--|||-----|--|--⌫--|
nel acor tlo roi meinte nir	-|-⌫|---⌫|-|--|------⌫--|
s ia u oitauquesderaison	-⌫|-⌫-⌫--|-----|-|-----|
s illel essoitp or	|-|-|-⌫-----|-⌫-|
etporlapeineetpo rladote	-|--|-|----|-|--⌫|-|---|
deceq uei l	-|-|-⌫-|-⌫|
nelamoient got e	-||------|---⌫|
lagent l oroi niertmiecoie	-|---|-⌫|--||---|--|---|
einzmeinentgrantbruitetgrant	---|------|----|----|-|----|
granti oiefont	----|-⌫--|---|
pa rle pa les	--⌫|-|--⌫--|
etchantoientet son set	-|---------|-|---⌫|-|
etsonent tinbres	-|-----|------|
et tab ors	-|---⌫--|
tu it i son t fors	--⌫-||---⌫|---|
renartliros	-----|-|--|
d oncmei nteest uenue	-⌫--|---⌫--|--|----|
li ro isquan tsa gent	-|--⌫-|----⌫|-|---|
coma nd e que il oienttuit	----⌫--⌫|--|-|----|---|
con cilqui estde	--|--|--|--|-|
gra ntdeduit	---⌫-|-----|
o haute uoizolongealeine	|----|---||----|-----|
debienchanter chascunse peine	-|---|------|------|-|----|
autreson chantaua le	----|--|----|---⌫-|
atantesuosdeuantla sale	----|-|--|-----|-|---|
da nz grinberz	--⌫-|-------|
quirenar t	--|-----⌫|
amoltgrantpeine	|---|----|----|
p artenssicome	-⌫-|---|-|---|
nos cuidonz	--|------|
li ertrendussesg uerredon z	-|--|-----|--|-⌫--------⌫|
s ornesetmoltrenart de frape	|-|-|--|---|-----|-|----|
ilestch aoit	-|--|--⌫---|
e nmal etrape	-⌫|---⌫|----|
carm einte	--|-⌫----|
foisaf et la	---||-⌫-|-|
ysengrinqui auro i lencus e	-------|--|-|--⌫||-----⌫|
renarta lentreede la	-----|||-----|-|-|
uet recula ntmol tleconforte	--|------⌫-|---⌫|-|-------|
grinbertetditna iez p oor	-------|-|--||-⌫--|-⌫--|
mesdedou smauspren lemeil l or	--|-|---⌫|---|---|-|----⌫-⌫-|
setu tetornoies de cin	-|-|-|-------|-|--|
tubiensauoir	-|---|-----|
ueilles ouno n ret ornera s	------|-|--⌫|---⌫------⌫|
roigandirneporas	--|-----|-|----|
renartne tesmaiertumie	-----|-||------|-|--|
n us neset	-⌫-|-|--|
c o nl ongue ests a u i e	-⌫-⌫|-⌫----|--|-⌫|-⌫-⌫|
r enarts oies de b el senblant	-⌫----|-⌫---|-|-⌫-|-------|
car zzioruaultmi elz que unsanz	--|-|--|----|--⌫--|--|--|--|
coartd o te t otens samor t	----|-⌫-⌫-|-⌫----|-|---⌫|
rena rt soiezdebonco nfort	----⌫-|----|-|--|--⌫----|
fortunesecortl eshardiz	------|-----|-⌫-|-----|
si com e contel i	-|---⌫|----|-⌫|
renartotceque cil lisa rmone	-----|-|-|--|--|-|--⌫----|
etq uemolt bon con s eillidone	-|-⌫-|---|--|---⌫-⌫--|-|---|
e l pal eissene ntreades	-⌫|---⌫--||-|-⌫---|---|
grin bertau ant renartapres	----⌫---|--⌫--|-----|----|
renartnese n blapasuilein	-----|-|--⌫-⌫--|--|-----|
tenoitpar l amein	-----|--|-⌫|---|
