mesuidediret euz	-|--|-|---|-⌫--|
quegemesui aparceuz	--|-|-|--|-------|
quetropsoncoragete re	--|---|--|-----|--⌫-|
nepo r roitnus grantcha teiltrere	-|--⌫-⌫---|--|----|---⌫---|----|
po r cemeplesten	--⌫|-|-|----|-|
monromainz	--|------|
noueauxmoz ou i l porrontprendre	------|--|-|-⌫|------|------|
gra nt senset	---⌫-|---|-|
co rtoisie aprendre	--⌫------|-------|
poisequegene puis	----|--|-|-|---|
plusbien trou erqu egene truis	---|---|----⌫-|--⌫|-|-|----|
e t quide eaus	-⌫|--|-|---|
ditch osecertai ne	--|--⌫--|------⌫-|
cheual erie est	------⌫---|--|
lafonta ine	-|-----⌫--|
de cortois i equee s puisier	-|-------⌫-⌫|--|-⌫-⌫------|
nepuet nus	-|---|--|
tantni setpuiser	---|||--|-----|
de deuuint	-|--|---|
etcheual i ersl	-|------⌫-⌫--||
t ontcon cor tl	-⌫--|--|---⌫||
euea uallem ont	--|-⌫--|-|-⌫--|
uientdeeauspor coiest lor lige	----|-|---|--|--|--|--|---|
deslecopeliusq uesen latige	--|-|----|----⌫--|-|-|---|
q ueautresnontfor s lescorche	-⌫-|-----||--|---⌫||-------|
decorto isi eestu etparforce	-|-----⌫---⌫|----⌫-|--|----|
saucunsest quip o int enret igne	|-----|--|--|-⌫-⌫--|-|---⌫---|
gartetquill a	---|-|-|-|-⌫|
desc heualierset	--|-⌫--------|-|
del or non	-|-⌫-|--|
qu ar pointn encrests en lo rfieunon	--⌫-|----||-|----||-|--⌫|---|--|
telhautece ette ld ignete	--|------|-|--⌫|-⌫-----|
aen lornonparuer i te	|-|--|--|--|---⌫-⌫-|
fust droi tsanz cont re dit	---|----⌫|---|----⌫--⌫--|
quilfusent telconlor	-|-|-----|--|--|--|
decoi ensui geenmaleise	-|--|-|--|-|-|------|
riensqui me	----|--|-|
des pleise	---⌫-----|
oillariens	--|-|----|
que nusi t ruist	--|--||-⌫----|
q uipislor	-⌫-|--|--|
lorn ui st	--|-⌫--⌫-|
sie s t quedecheualerie	-|-⌫-⌫|--|-|---------|
lesplusor s nes entenden tmie	--|------⌫|-||--------⌫|--|
neneseuentsiestforfet	-|-|-----|-|--|-----|
decheuali erpor	-|-------⌫-|--|
nequalornonaparte ndroit	-|-||--|--|------⌫-----|
af erequelorperdro i t	|-⌫--|--|--|--|---⌫-⌫|
estpro presnons qu egent i llesce	--|---⌫---|---|--⌫|----⌫-⌫-----|
tantes t lornon par s ahautesce	---|--⌫|--|--|--|-⌫|-------|
so rtozaut res	--⌫|--|---⌫--|
h a u znonsqui soient	-⌫-⌫-⌫|---|--|-----|
quars eilbienreconi s soient	---|-⌫|-|---|------⌫-⌫-----|
comli n ons estde haut eafere	--|-|-⌫--|--|-|----⌫|----|
asezfunttelchosesqu afere	---|---|--|-----|-||---|
neseroient porcoip or	-|-------|--|--|-⌫-|
neneseuent quelornonsmo nte	-|-|-----|--|--|---|--⌫--|
quar teusporcheualiersetient	---|---|--|--------|-|----|
qui neseit qu anon	--|-|---|-||--|
forsditantque cheualiersui	---||----|--|--------|--|
mesqua nqui lsetd irede lui	--|---⌫--|-⌫|--|-⌫--|-|--|
lich eualier a g rant e sgart	-|--⌫------||-⌫---|-⌫----|
neconoissentsi	-|---------|-|
estgrantd els	--|----|-⌫--|
eaus nelor nonneli	---|-|--|--|-|-|
