l au oirontfetléaumentdepart ir	|--⌫--|--|--|--------|------⌫-|
sibonementqu esn us niper d i.	-|-------|--⌫||-⌫-|||---⌫-⌫||
Ga utlersdenofistdeliurés les p ris	--⌫-----||--|---|--------|--|-⌫--|
etil lesfiste nu netorfla ti r	-|-|--|---|-⌫|-⌫-|--|---⌫--⌫|
nen istrontM es si le saura	|-|------|-⌫-|-|-|----|
àson talanteniert ueniancepris.	-|--|-----|-|---|-------|---||
bien doit li dusamerses	---|---|-|--|---|--|
quip ourluisontde tel guerre entremi s	--|-⌫--|--|---|-|--|-----|-------⌫|
cari li met tentetle cueret	--|-⌫||---⌫---|-|-|---|-|
mess agierà Mon—Loonen	----⌫----|-|-------|-|
ac ontélemperéorPepin	|-⌫----||--------|----|
etla r oïnequ itantot	-|-|-⌫----|--⌫|---|-|
s ic omeMiles etG autier slor felins	-⌫|-⌫--|----|-|-⌫------⌫||--⌫-----|
ont desconfitFromondlep oëstif.	--|--------|------|-|-⌫------||
distla roïnebien le font mi	---|-|-----|---|-|---|-|
diex lordoint	---|--|----|
f orcequil sep uissenttenir	-⌫---|-|-|-|-⌫------|----|
multpertFromonsliroisdeFrance	---|---|------|-|---|-|-----|
distla roi n e	---|-|---⌫-⌫|
foi que doisain t Denis	--|--|--|----⌫|----|
ildo itbi en perd reetilet	-|--⌫-|--⌫-|----⌫-|-|-|-|
quetr aï torso n t il i usquenlafin	--|--⌫---⌫--|--⌫-⌫|-|-⌫---|-|-|--|
Or lelairon ses terdo ur oiPepin	-|-|------⌫|--⌫--|--⌫|-⌫-|----|
sichanterons du Lohere ncGar in	-|---------|-|------⌫-|---⌫-|
desonneueu	-|--|----|
aels anuoie	|--|-----|
ets i lor mande	-|-⌫|--|----|
etGuil lamelorgellox de	-|----⌫---||-------|-|
denzsales troua et uit	---|-|--|----|-|--|
deprisoniers	-|---------|
tient liquensXX X.	----|-|----|--⌫||
li dux leconte et G erbersetGerin s.	-|--|-|----|-|-⌫-----|-|-----⌫||
e nfantfet ilGautiersliorfel ins	-⌫----|--|-|-------|-|-----⌫--|
estmu l tpr od	--|--⌫-⌫|--⌫-|
de cele partFromons	-|---|---|------|
li poe ̈stis	-|---⌫----|
f usttozc herchieret lui et	-⌫--|--|-⌫-------|-|--|-|
distli messagesH uesdeLauardin	---|-|-------|-⌫--|-|-------|
esto rdurement esbaudiz	----⌫|-------|-------|
ainzcheualiersm ielzdel uine	---|---------|-⌫---|-|-⌫-|-|
messagierfr èrecedi t li dusGarins	--------|--⌫---|-|--⌫|-|--|-----|
dimoiGautiermonneu eulorfelin	-|--|------|--|---⌫-||------|
prengnesoigarde decels que	------|--|----|-|---|--|
s ilia nulsilidi	|-|||--|-|-|-|
qu iapartie gne	--⌫|-------⌫--|
Fromontlepo éësti s	------|-|--⌫-------⌫|
semp reslifa ce	|---⌫--|-|--⌫-|
toz lesm embrestolir	--|--|-⌫-----|----|
deson chi erfrèreli	-|--|---⌫-|-----|-|
d o it asouuenir	-⌫-⌫-|--------|
quil ocistrent	-|-|--------|
puiusquil lorent pris	----|-|-||----|---|
etcil respontie	-|--|------|-|
dir aiuoplesir .	---⌫-|-|-----||
et li dusf et lechas t el asalli r	-|-|--|-⌫-|-|----⌫-⌫-|------⌫|
parquatref oizo	--|-----|-⌫--||
p ar . uo par	-⌫-||||--|
anso ntentre ́o chastel deBaugi	-|--⌫-|-----⌫||------|-|----|
cil delator serendentàGarin	--|-|-|--|-|------|-|----|
sauués lor uies quilne soient ocis	------|--|---|-|-|-|-----|---|
e nsiles at ozli Loherenz	-⌫--|--||-⌫-|-|-------|
ouentloon que s	----|-|--⌫---⌫|
lipquisontdelpaïs	-||--|---|--|----|
cdunetdebia cre	|--|-|-|--|--|
ilgaagn enttrestotàlorpl esir.	-|-----⌫--|------|-|--|--⌫---||
unmarche ́antq uAuberisfistuenir	-|------⌫---|-⌫|------|---|----|
uai ret legris.	---⌫|-|-|---||
lonts ontparto tlefumis	|--||--|-----⌫|-|-|--|
les arden t etlifeutestespris	--|-----⌫|-|-|---|--|-----|
deMasonlibersRenaus leuit	-|----|-|---|-----|-|--|
etdist assuensestez	-|---|-|----|----|
perdu qanquauoie c o nqu i s	----|----|----|-⌫-⌫---⌫-⌫|
Garinss enuasac heua lchi eefist	-----||-|-|-|-⌫----⌫----⌫-|---|
à grantiorné es	-|----|------⌫-|
droit àLions en	----|-|----|-|
ardent et g astent des t rui entlepaïs	-----|-|-⌫-----|---⌫-⌫---⌫--|-|----|
etescillasesmortexenemis.	-|------|--|-----|-----||
fuit sentG arniers droitàualen ce ui nt	---||--|-⌫------|----|-|-----⌫-|--⌫-|
puis passaI ssè resine dota G arin .	---|----|-⌫----⌫-|-|-|---|-⌫---||
maisdantAcharde Ri unsetG ondri s	---|---|----|-|--⌫--|-|-⌫-----⌫|
ile tGa uti ers qu iPierrelate	-|-⌫|--⌫---⌫--|--⌫|---------|
enborcde fo rsauoien tlefeumis	-|---|-|--⌫-|------⌫|-|--|--|
Garniers leuoit	-------|-|---|
à poin enrageui e	-|--||-----|--⌫|
ilseclamamaleürez chetis	-|-|----|--------|-----|
sa terrequi estdestru iteissi	-|----|--|--|------⌫--|---|
nest pasmeruelle siilen	|--|--|-------|-|-|-|
fu p ar s is“	-|-⌫--⌫-⌫-||
à Pi err elatel ib ers Garn iers enuint	-|--⌫---⌫----|-⌫|-⌫--|----⌫---|-|---|
Riunsli bers Acharg uenc hist .	----|-|---|----|-⌫----⌫---||
cilsoldoi ersesontbie nestormis	--|------⌫-|-|---|---⌫|-------|
richeestla terre	----|--|-|----|
chascu ns gra ntgaag nef i st	------⌫-|---⌫-|----⌫-|-⌫-⌫-|
cesu ilai ns fontencheuestres tenir.	--|-⌫----⌫-|---|-|---------|----||
Forsest Lyon s	---|--|----⌫|
ia nert parforcepris	-||--|--|----|---|
bien sede ff endent	---|-|--⌫--⌫-----|
libor ioiscemestuis	-|---⌫---|-||--|--|
hors pense ntdelasal l ir .	---|-----⌫-|-||----⌫-⌫-||
li soldoierseson t enz elborcmis	-|-------|-|---⌫|--|-|---|--|
etcildede nznelesp ore nts oufrir	-|--|----⌫-|-|--|-⌫---⌫-|-⌫-----|
m eintbelierbrisentet m aint	-⌫---|-----|------|-|-⌫---|
preu enont trait queq uendoia uenir	---|-|--|----|--|-⌫|-|--|-⌫----|
qan trobe ́or ent s	---⌫|----⌫|--⌫--||
ontpartotfeümi s.	--|-----|---|--⌫||
Garinss entornesala ter reguerpi	-----||-|----|||-|---⌫-|-----|
parsesiorne ́e zde uantMaso nen uint	--|--|-----⌫--⌫|--⌫---|----⌫|-|---|
mesi loecot multric hepoigneïz	--|-⌫---|-|---|---⌫-|--------|
c heualie rsmorzet	-⌫-------⌫-|---|-|
bon cheuax	--|-----|
dec elsdelà iotassezconquis	-|-⌫--|----||-|----|------|
la uilele s ont àforcemis	-|---|--⌫|--|-|----|--|
etcildedenzqa nles	-|--|-----|--⌫|--|
uirent uenir	-----|----|
deuantlapor teonlest andartes pr is	-----|-|---⌫-|-||---⌫-----|--⌫--⌫-|
troisiorzifurentGarinsetAuberis	----|---||-----|-----|-|------|
deterrep leinefirenttotlor plesir	-|----|-⌫----|-----|--|--|-----|
ques e nreua li	--||-⌫|---|-|
dus an sonpaïs.	--|-|--|----||
iusqu iDi ionneprist ilo nquesfin	----||--⌫--|-|----|-|-⌫----|--|
donts e porp e nse li	---|-⌫|----⌫-⌫--|-|
Loher ensG arins	-----⌫--|-⌫----|
biax n iésdistil iesuimultapour i	---|-⌫---|---|-|-|--|---|-----⌫|
de cesteguer re don me suien trem is	-|----|----⌫-|--|-|--|--⌫----⌫-|
selmeloe ́zet uoz et mi ami	-||-|---⌫-|-|--|-|-|--|
Mez ueil ballierl empe réorPep in	--|---|------||----⌫----|---⌫-|
ce estsesfie ́z selidoibie n	-|--|--|---⌫-|-|-|--|---⌫|
n aitandeterreuie puisse	|-|--|-|----||-|-----|
neuesterp ormon s e ior	-||----|-⌫-|--|-⌫-⌫--|
autr etexestmonfrè reLancelin	----⌫---|--|--|----⌫-|-------|
bo schage sen	--⌫-----||-|
fuitcomme homees chis	---|----|---|--⌫---|
àbor cn enosene à u ileuile	-|---⌫||-|--|-|-|-⌫--|---|
etdit Fromonsse	-|--|------|-|
diexleue ltsofrir	---|-|--⌫-|-----|
ancor i. i orref er o nsno plesir	----|||-⌫-|---⌫--⌫-⌫-|-|-----|
Garinscheuauch eosoz	-----|--------⌫|||-|
quimultfu gran z	--|---|-|----⌫|
an lauangardefuGautier sl i uallanz	-||--------|-|-------⌫|-⌫|------|
sonen t buis i nes cor nentci lolifant	-----⌫|----⌫-⌫--|---⌫---|--⌫|------|
audestraũno	-|-------|-|
isso izdieutonant.	----⌫-|---|-----||
à route sontsisenuont meintenant	-|----|---|-||-|---|---------|
i usq uàAm iens lafort	-⌫---⌫|-|--⌫---|-|---|
cité u al lænt	----|-⌫--⌫---|
troeuentDoone so nfilGuinemant	-------|---||--⌫|--|--------|
i ll esas allen t	-⌫|-⌫-|--⌫-----⌫|
pri meso nant	---⌫-|--⌫---|
lieueli criz e t lanois efugr anz	----|-|---|-⌫|-|----⌫|-|--⌫--|
liAualois sen	-|------||-|
uont entremeta nt	---|---------⌫-|
que la cité fupri se	--|-|----|-|---⌫-|
meint enant	-----⌫----|
l i Aualois seuon multesforçant	-⌫|------|-|--|---|---------|
mes ne puetestreq ueBaugi	--|-|---|----|-⌫-|----|
f udeu ant.	-⌫|---⌫--||
etson neuonHer naudetetGerin	-|--|----|---⌫-----|-|----|
m ultsesbahissentligrantet	-⌫--||----------|-|----|-|
lip etit .	-|-⌫---||
Gerinscheualchesor1 .	-----|--------|--|||
dest rier d epris .	----⌫---|-⌫|---||
pas.li dusGe rins	--||-|--|--⌫---|
ta mes paresui ueli	-|--|----|--⌫-|-|
d usGarins	-⌫-|-----|
loisnepri sent	---|-|---⌫---|
illasallerentsi ont leborc e spris	-||---------|-|--|-|---|-⌫----|
m esouchaste l ne porentauenir	-⌫-|-|------⌫|-|-----|-----|
anunmara isfufon de z et	-|-|----⌫-|-|---⌫--⌫|-|
i lsento rnèrentsiont	-⌫||-|--⌫-------|-|--|
lor oste x	--|----⌫|
sor la r iu ér e o ilfurentasis.	--|-|-⌫--⌫---⌫||-|-----|---||
francche u alie ri	----|---⌫-⌫----⌫||
esmia mi .	-|-|-⌫-||
bienuosdoidire m oncueretmon	---|--|--|---|-⌫-|---|-|--|
iaiuermendo iset	|-|--------⌫-|-|
folée t ledi	----|-⌫|---|
niar eme zsico mmoi est	|||-⌫---⌫|-|--⌫|--|--|
forss eul em ent	---|-⌫---⌫--⌫--|
Roieqest el	---||--|-|
seuos uolez biensera	-|--|----|---|---|
dem einpris .	---⌫--|---||
