misir e noblelilyons	-|---⌫|----|-|----|
os oiau oittouz ses	|-⌫-|--⌫--|---|--|
troi s ioursotiasac orttenue	----⌫|----|-|-|-|-⌫--|----|
bienlontli baronmaintenu e	---||--|-|----|--------⌫|
uenuzysontdemain te	----||---|-|----⌫-|
sanzcequillesenuoiast qu erre	---|-|-|-|--|-------|--⌫---|
uenuzierent tout e nsemble	----||----|---|-⌫------|
fors sirere nartcemesemb le	---|---|--⌫---|-|-|----⌫-|
cilzniuouloit mie	---|||------|--|
n ela cou rtle r oimaintenir	-⌫|-|---⌫-|-|-⌫-|--------|
siauoi tauquesderaison	-|----⌫|-----|-|-----|
laissoitpo ura choison	-------|--⌫-|-⌫------|
etpour la poineetpo urladou te	-|---|-|----|-|--⌫-|-|---⌫-|
deceque il nelaimegoute	-|-|--|-|-||---|----|
la gentl er oi niertmie	-|---|-⌫|-⌫-||---|--|
ainzmeniue e t grant ioie	---|-----|-⌫|----|---|
fontparlepalais	---|--|-|-----|
etchanto iente tsons	-|------⌫---|-⌫|---|
etsonnenttymbres et tabou rs	-|------|------|-|-----⌫-|
t uityson tforsrena rtle	-⌫--||---⌫|---|----⌫-|-|
dontmainte clamorfu	---|-----|-----|-|
li r ois qua ntsage nt fu	-|-⌫--|---⌫-|-|--⌫-|-|
commandeq u e	-------|-⌫-⌫|
ioieaientt uit	---|----|-⌫--|
comcilzquiestdegrant ded uit	--|---|--|--|-|----|---⌫--|
a h aute uois	|-⌫---|---|
alonguealaine	|-----|-----|
chas cuns dechanterm ol tsepaine	----⌫---|-|------|-⌫--⌫|-|----|
l unetlautreson	|-|-||----|--|
chantauale	----|----|
atant ezuousd e u an tla sal e	----|-|---|-⌫-⌫-⌫--⌫|-|---⌫|
dantgr imbertqu i re nartama ine	---|--⌫-----|--⌫|--⌫---|---⌫--|
ia moltgrant pai ne	||---|----|---⌫-|
parte m pssicomme nouscudons	--|--⌫-⌫-|-|----|---|-----|
liert ren d us sesg uerredons	-|--|---⌫-⌫-|--|-⌫--------|
sornescetmolt	|-|-|---|---|
rena rtdefr a pe	----⌫-|-|--⌫-⌫-|
ore stche usen m alex x x	-|-⌫-|---⌫-|-|-⌫--|-⌫-⌫|
amaintebesteafa itla muse	|-----|----||--⌫-|-|---|
ysengrin quiauroi	-------|--|-|--|
entr er alaport e	----⌫-||-|----⌫|
uait reculan tmoltle conforte	---|-------⌫|---|-|-------|
grimbert et distn a iezpao u r	-------|-|---||-⌫--|---⌫-⌫|
yymau s prenlemeil lor	-|---⌫|---|-|----⌫--|
se tu teretournes de	-|-|-|--------|-|
s epuez t ubien sauoirdefi	-⌫|---|-⌫|---|-----|-|-|
ueillesouno nretourneras	------|-|--⌫|----------|
ue rsle roiguen chirnipourras	--⌫-|-|--|----⌫---|||------|
renartne tesmaies	-----|-||------|
nulsn esc etc om longueest	---|-⌫|--⌫-|-⌫-|-----|--|
ren ar tsoiezde biausem b la nt	---⌫--⌫|----|-|---|---⌫-⌫--⌫-|
iourua ut mieu squezzan	---|--⌫-|----⌫|--|-|-|
coa r t doutetouzio urs	---⌫-⌫|----|---|--⌫--|
renart soi ezde	-----|---⌫-|-|
bon confort	--|------|
f ortu ne sec ourtleshard iz	-⌫----⌫-|---⌫---|--|----⌫-|
sicomracontel ies cri s	-|--|------|-⌫|--⌫---⌫|
r enart otquil	-⌫----|-|-|-|
etqu e molt bon	-|--⌫|---|--|
conseilli donne	------|-|----|
oupalez sen	-|----||-|
entrenta dez	------|-⌫--|
