lesse ignorsanciainsquiontbatailleor	--|--⌫-----|-------|--|--|---------|
caienarriersestéetdegenzuenq ueor	--|-|------|----|-|-|---|----⌫---|
etlesnonsdesp oetesquifurentiangleor	-|--|---|--|-⌫----|--|-----|-------|
o onst anqu asestoiles esle uerhui totior	-⌫--|-⌫-|-|-|-------|----⌫--|--|--|--|
orand roit sont	-----⌫---|---|
en presente uie	-|-------|--|
li sent e nlu ed ys toire	--⌫---|-⌫|--⌫||--⌫----|
icestetr upherie	-----|--⌫------|
ho norni pro uni	--⌫--|-|---⌫|-|
deb ienmaal ie	-|-⌫--|----⌫-|
granzpartie	----|-----|
desgenzaiceses tudie	--|---||--||--⌫----|
s ileslosdesfa usdes	-⌫|--|--|--|--⌫-|--|
si aornés	-|------|
od elors cheualiers c oci nos	|-⌫|---|---------|-⌫|-|--|
d euiso ns	-⌫-----⌫-|
lesdonsquede s	--|---|--|--⌫|
as siens donequenecontons	-|----|---|--|-|------|
seillonosotroiea miaus que	-|-|-|--|-----||----|--|
lisauer res	-|-----⌫--|
do mond eliperessouerains	-|----⌫|-|----|--------|
c i lquiyymile	-⌫-⌫|--|-|---|
home s saol adeyypains	----⌫|----⌫|-|-|----|
auiau lesyypoissonsdittozen su icertai ns	----|--|-|-------|--|--|-|--⌫|------⌫-|
aceausquitoi uo loientestablirdelormains	|----|--|--|--⌫-----|-------|-|--|----|
ourezpasuiand eliquels soi ttre s passable	----|--|-----⌫|-|----|---⌫|---⌫-⌫-------|
mas cele quiseratoziorsmaispordu rable	--|---|--|---|--|---|---|-----⌫----|
si quiteuolés	-|----|-----|
e stredelamainau diable	-⌫---|-|-|---|-|-----|
ico commandedesn o tenez miea	--|-------|--|||----|--||
mesperesco	--|----|-|
ditdesne refi nedourer	--|--|-|----⌫-||----|
guarentie quimo u tfait a doter	--------|--|--⌫-⌫|---||----|
nelaissenigunordreque	-|-----|----|----|--|
quil soittrespas ser	-|-|---|-------⌫--|
p orcose doi t chas cuns debien	-⌫-|-|-|---⌫|----⌫---|-|---|
fer epener	---⌫|----|
ihes ues patriar chesesprophetescomanc e	----⌫|-|-------⌫---|-|--------|------⌫|
lenor desain t e	|---|-|----⌫-⌫|
ygliseco creonssen zdotan ce	-----|-|-----|---⌫|-----⌫-|
et per les	-|--|--|
se inzapos tr esimetfermecrea nce	--⌫--|----⌫--⌫-||--|----|----⌫--|
martir s coron esperuirgeaornan ce	------⌫|-----⌫-|--|----|------⌫-|
ihesudour e rnecesse	----||---⌫-⌫|-|----|
masmoutest so u rebone	--|---|--||-⌫-⌫-|---|
ilreuistsain te yglisedelisq uant paislidone	-|-----|----⌫-|-----|-|--|-⌫---|---|-|---|
quantil l isoffre	----|-|-⌫|-----|
guerred eroseslenuirone	-----|-⌫|----||-------|
