li tunconseilmatme intmestir	-|--|------||-|--⌫--|-----|
ascolpsdoner albrant dacirmu lu	-|----|----|-|----||---|--⌫-|
teai deuantmei tut	-|-|-----|--|--|
disbin coneü	--|--|-----|
tr e stutrecuuerentent u rle tun	--⌫-⌫---|---------|---⌫-⌫|-|--|
ainzkele t un tresor	---|-|-|-⌫-|-----|
i s eit uenu	|-⌫--|---|
uosert l imienspar matinetre ndu	--|--|-⌫|----|--|------|--⌫--|
mene scintre quant tu	--|-⌫------|----|-|
l auers ueü	|----|---|
m e di raskenkesgr e nnur	-⌫|--⌫--||----|--⌫-⌫---|
ca rdeduner marserrases pererdu	--⌫|-|----|--|-----|--⌫------|
don ez quetuz	---⌫-|--|--|
aei zuencu	---⌫|----|
q uet u tsenaugentde	-⌫-|-⌫-⌫||-|-----|-|
i oiere uestuz.	-⌫--|--⌫-----||
qu an tli ducNaime sotpa rlersunseinu r	--⌫--⌫|-|--|-----⌫|-|--⌫---|--|-----⌫|
idu nc ot io ieunchesnen ot	---⌫-|-|--⌫-|-----||-|-|
barunfetilnel tené z afolur.	----|--|-|--|-----⌫||----||
ce stui seruéz sanzn ul contr ed itur	--⌫---|------|---|-⌫-|-----⌫--⌫---|
ki ap rez deu a	-|--⌫--|--||
su r tuzlaualur.	--⌫|--|-|----||
io ensuiostage a l	-|-|--|-----|-⌫|
g rante al	-⌫---||-|
teliuntsa fiz	--||--|-|--|
kialpartirse ratduc	-|-|-----|--⌫--|--|
uconteur .	|------||
aunsarceue squescommencea paller	|--|------⌫----|-------||-----|
gentizhumfudeioif ne	-----|--|--||----⌫-|
b a ch eler	-⌫-⌫--⌫---|
agrantmerueille sefetatuzame r.	|----|--------|-|--||--|---⌫||
n a duc en fran cetantse sacepener	||--|-|----⌫-|---|-|---|----|
kisig ra nt c ust uoillea	-|-|-⌫--⌫-|-⌫--|-----||
t uzmener .	-⌫-|----||
mieu zemeil cheua lsachate r	----⌫|--|-|-----⌫-|------⌫|
ebeles armes asual lezadub be r	|----|----|-|---⌫--|----⌫--⌫|
qu ilnefa ittre sor aamasser.	-|-|-|--⌫-|---⌫--||------||
ne heri tagenefeuneuolt clamer	-|----⌫---|-|--|-|---|-----|
equiu ol dratlereidesheriter	|--|-⌫--⌫---|-|--|---------|
ildeit enlostensemleodluialer	-|---|-||--|------|-|--|---|
sunch eualme ner	--|--⌫---|--⌫--|
c umbatre sei	-⌫------|--|
sanznuldesor dener.	---|--|-----⌫----||
a lapostoille	||---------|
lecom mence amustrer	-|---⌫----||------|
sireapostoillen euosendeitpeser.	---|---------|-⌫|--|-|---|----||
n usde uunmutles che uali rsamer	-⌫-|--⌫--|--|--|---⌫----⌫-|---|
quan tnussumesanos tredis ner	----⌫|--|----||---⌫--|---⌫--|
enusserru nsa matin es chanter	|--|-----⌫-||-----⌫-|------|
ilsecumbatentpur les	-|-|--------|--|--|
a lmessauuer	-⌫---|-----|
enosecestuostreab be sfromer	|--||---|-----|--⌫--⌫|-----|
de uunspureusnoztresorenfundre.	--⌫---|--|--|--|-----|-------||
tantlorende i t chascunde no sdo ne r	---|--|-|--⌫-⌫|------|-|--⌫|--⌫--⌫|
que ilnosui eg ent serui re honorer	--|-|--|--⌫--⌫--|-----⌫||------|
ea inz queli	|-⌫--|--|-|
reisse lifedesuz	---|-|---|-|--|
nequ ilse dresse delperunacerin	-|-|-|-|-----|--|----|-----|
le sdrasdesei	--⌫|---|-|--|
de paillealis andri n	-|-----|----⌫-----⌫|
lesgranz ostrus les falcu s	--|----|-----|--|-----⌫|
Les richespiereseles	--|-----|-----||--|
copesd orfin	----||-|--|
icel esduneK arleslifi zpe pin	----⌫-|---|-⌫----|-|--⌫|--⌫--|
asgentiz hummeskesuntd e riche	-|-----|-----|-|---|-⌫|----|
lespalefraislesdra se lesd eni e rs	--|--------|--|---⌫||--|-⌫---⌫-⌫-|
cesdoneKarles as	--|---|-----|-|
pourescheualiers	-----|---------|
l e uer legr i seles	-⌫|--|-|--⌫-⌫||--|
igna us destrirs	----⌫-|-------|
lesfalcuslesmuezesperuirz	--|-----|--|---|--------|
celsdoneKarlesas	---|---|-----|-|
bac hel lers legers	---⌫---⌫---|-----|
as d amisiausas nouaisprimsaut irs	-|-⌫-------|-|-----|--------⌫--|
ducfistlir eis	--|---|-|-⌫--|
ac hascun sunuoler	|-⌫-----|--|----|
trei sce nt	----⌫|--⌫-|
cheuasidonateinz le	-----||----|---|-|
naimeparole quiot	----|-----|--|-|
legr ant saueir	-|--⌫--|-----|
seig nu rsfaitilio uosuoil	----⌫--⌫-|---|-|-|--|---|
a cestui dei t c uro nealchif se er	|-----|---⌫|-⌫---⌫-|-|---|--⌫-|
il putuersdeuet	-|--|---|--|-|
decestu ifaite snostre si reeu ostre	-|-----⌫|-----⌫|-----|--⌫-||-⌫----|
kia prés d e u a d	-|-⌫----|-⌫-⌫|-⌫|
surtuzleporeir.	--|--|-|-----||
ooezs e ignursq uedefe nt	---|-⌫-⌫-----|-⌫-|----⌫-|
Karl emai gne	----⌫----⌫--|
e si l defentatuzcels dalemaigne	|--⌫|-----||--|---||--------|
a ce lsde pulleetacels dero ma igne	|--⌫-|-|----|-||---|-|--⌫--⌫---|
de lun bardie	-|---⌫-----|
de l maigne	--⌫|-----|
esildefentat u z	|--|-----||-⌫-⌫|
cel sd ebertaig ne	---⌫|-⌫|-------⌫-|
keilniaits ihardic heuatai gne	-|-|||--|-⌫|----|-⌫-------⌫--|
kea danmisel	-||-------|
negu le spee çoigne	----⌫|-⌫---|------|
faitianeer tiorne sen p	---|-|-|--⌫|--|-||-||
nertsih ard iqueen	|--|-|-⌫---⌫|--|-|
saterreremaine.	-|----|------||
nesepenst ia nusreis	-|-|----|-|--|---|
pu r saposnee	--⌫|-|-----|
k echeualierfaceen	-⌫|--------|---|-|
sacuntre iee.	-|------⌫--||
uienge ensacort quant ertassemlee	-----|-|-|---|----|--|-------|
cascundur a	-----|---⌫|
echeuale espe e	|-----||----⌫|
ela nceplanee	|--⌫--|-----|
etutiço quech eualir agree	|--|---|--|--⌫-----|----|
dunt admestiren bataille num ee	---|-|-----|-|-------|---⌫-|
ad sa curo rneiu ree	-|-|----⌫--|--⌫--|
s iautremen t estlachosepurparllé	-⌫|--------⌫|--|-|----|---------|
telle f rasil esten lamatinee	----|-⌫-|--|--|-|-|------|
que er ti riezainz queseitla	--|--⌫|-⌫---|---|--|---|-|
pus lurd urez earmesedenirs	--|--|-⌫---||----||-----|
silurdo rrezdras ar e muers	-|--|--⌫---|---||-⌫-⌫----|
iulu rduraiespees ede strer s	-|--⌫|----|-----||--⌫-----⌫|
eta au ilanceneluoilau e r p remie r s.	-||--⌫-----|--|---|--⌫-⌫|-⌫-----⌫-⌫||
ianedeitestrenul	-|-|---|----|--|
pro domelose ngier	---⌫---|----⌫----|
debein p ramettreededo n erloirs	-|---|-⌫-------||-|--⌫-⌫-|----|
me i s bi en prem ettre	--⌫-⌫|--⌫-|----⌫----|
e don er uo le nt i rs	|---⌫-|--⌫--⌫--⌫-⌫-|
c us tumirz	-⌫--⌫-----|
kesesduns sentlargeseplenirs	-|--|---|---|-----||------|
eneseitpasorgui llusefirz	|-|---|--|-----⌫---||---|
desaparol eeschuisnemotieriez	-|-|-----⌫|------|-|--------|
p a rleraspo urescheualirs	-⌫-⌫---|-|--⌫---|--------|
desaparole les	-|-|-----|--|
aimtetienn echires	---||-----⌫|-----|
sifra co dunt	-|--|-|---|
il enestmestrers	-|-|--|-------|
si en prendra les ma ueisreprouers	-|-|------|--|--⌫---|--------|
li reistutioiantetut	-|---|--|-----||--|
nulnese pa rte quilne	--|-|-|--⌫--|-|-|-|
seittut aitiez.	---|--|-----||
u iimile s	-⌫-|---||
ensuntuant e z eafic hiez	-|---|----⌫-⌫||----⌫---|
ser u ir p reste apa re eilliez	---⌫-⌫-|-⌫---||---⌫--⌫------|
deusd ucssedrescente Naimes	---|-⌫--|-|-------||-----|
deuantlerei se	-----|-|--|-|
su ntag enuliz	--⌫-|--⌫-----|
drezenperersiwspleit	---|------|-|------|
çodientcis tq ueilsu nt	--|----|---⌫|-⌫-|-|--⌫-|
celsquisun tseuzsur ces pa ille s c ochiez	---|--|---⌫|---|--|--|--⌫----⌫|-⌫-----|
suz ciel natterr esi	--|---||-|----⌫|-|
u osla uolie z	-⌫-|-|-----⌫|
c unquergentod	-⌫---------|-|
fe rseodespiez	--⌫-||-|-----|
tropuos suntpressara c i n he rbergiez.	---|--|---|---|----⌫-⌫-⌫|--⌫-------||
mu tnusenpeisse que uustant	--⌫|--|-|-----|--|--|---|
enlessiez.	-|------||
quant li r eisl o tsisenadmercie z.	----|-|-⌫--||-⌫|--|-|-|------⌫||
m a isq uet ant	-⌫-⌫-|-⌫-|-⌫--|
feit es qu ede moi lauen giez.	----⌫-|--⌫|-|--|-|---⌫---||
limangierfutpr ezeapar eliez	-|------|--|--⌫-||----⌫----|
eles napesmises e sles	|--|----|----|-⌫|--|
uusassi ez	--|----⌫-|
salereiz le	-------|-|
cut ealxcuchiez .	---⌫---|------||
pa rmila sale deusc enueisiez	--⌫|-|-|---|---||-|------|
uestud e uered erm in engu l ez	----|-⌫|--|||---⌫-|----⌫-⌫-|
fizsuntas ducse tacuntespreisez	--|---|-|---|-⌫||-----|------|
dreçasur ses piez	-----|--|--|---|
luipresent ent	--|-------⌫--|
a lpe runteus de itez	-⌫|--⌫--|---|--⌫---|
dunt ain z nefusigrainz	---|---⌫|-|-|-|-----|
nesi irriez	-|-|-----|
franceis simaldesc onseilie z.	-------|-|--|----⌫--------⌫||
e ainzquelirei sseit aléal	|---|--|-|---⌫|---|---|-|
ilse dr eç adesun	-|-|--⌫---⌫|-|--|
per u ndacier	---⌫-⌫||----|
de reid affriche es	-|--||-------|-|
uo sun messagier	--⌫|-|--------|
de scenduestdeunfau uedestrier	--⌫-----|--|-|-|---⌫-|-------|
aukes ertmegreze las ertd e l	----|--|-----||--|--|-⌫-⌫|
ilout unme is acumpli auan tie r	-|--|-|--⌫-|------|----⌫|--⌫|
ked ereposnen otunio rentir.	-|-⌫|----|--|-|-|--⌫|----||
maisquilueïs tale ir ecommencier	---|---|-----⌫|||-⌫--⌫|---------|
suz c iel natbeste	--|-⌫--||-|----|
plusfeist apresier	---|----||------|
n e nnuleterreplus f ei st	|-⌫|---|----|---|-⌫--⌫-|
acuuoitie r .	|--------⌫||
enmila salel euassal descendie.	-|-|-|---|-⌫|-----|--------||
bloi otle peilmenumen ttuschie	---|-|-|---|-------⌫|------|
sur lesespaul es l o tdetriescho cie z	--|--|------⌫-||-⌫|------|---⌫---⌫|
d esias hancheserentil rengiez	-⌫--|-|------|----|-|------|
grosot les	---|-|--|
oilzleuisa pert	---|-|--|-⌫---|
n e lapuc el eplus belnedeliez	-⌫|||---⌫--⌫|---|--|-|-----|
del ue n tedel chaut fuallez	--|--⌫-⌫||--|----|-|----|
gro scontre quorel e	---⌫|-----|---||-⌫|
pizb int aill iez	--|-⌫-|-⌫----⌫--|
costez grant	-----|----|
ealigni ez	|------⌫-|
drei teotlaga mbee binturnél epié	----⌫-|-|-|--⌫--||--|-----|-⌫|---|
multli auin t lespurunkeot	---|-|----⌫||------|-|-|
p oitruuissez hu m e	-⌫-|--------|--⌫-⌫|
miezensengnie ́.	---|---------⌫||
detuz languag es	-|--|-------⌫-|
fubinaromancie ́	-|--|---------⌫|
si estd uniupedepalledespolié	-|--||-|---|-|----|--------|
i lr e mistsen gle enb l iautcamosi é	-⌫|-⌫-⌫---|---⌫--|-|-⌫-⌫---|------⌫-|
kif udascutés	-|-⌫-|-|-----|
d ambesparztrenchiez.	|----|---|--------||
decein tleb r ant alpun tdeor entaillié	------⌫|-|-⌫-⌫--|-|---⌫|-|-|---------|
a un turc hople l es a dtuztreisca rchié.	|-|----⌫----|-⌫-|-⌫|--|----|--⌫-----||
pa sauantautre	--⌫|----|----|
s es ta lreiasp remié	|--⌫|-⌫|--|---⌫-----|
enhautparolekebin fudenten dié	-|---|-----|-|--|--|-----⌫---|
cel mahummet ki p aenso nt	--|-------|-|-⌫---|-⌫-|
parquinus sumesleuez eescaucié	--|--|--|----|----||--------|
gartagu lanteel muntlepresié	---|---⌫---||--⌫---|-|------|
triamodese	--------||
gurrantl enueisie ́	------||--------⌫|
pup le kies tot eus lo gié	---⌫-|-|--⌫|-|--|--⌫---|
eilc onfundeKarle le tresquidi e ́	|-|-⌫------|----|-|---|-----⌫-⌫|
e tuziceu squiçoliun t	|--|----⌫|--|--|-|--⌫|
conseillié	----------|
k etantnos alun guementoblie ́	-⌫|---|--||---⌫------|-----⌫|
q ue munseignurestod teic orecié .	-⌫-|--|------|--|-|--|-⌫------||
e ntater r ead unm eischeuachié	-⌫|-|---⌫-⌫|-|-|-⌫--|---------|
binpurr asdireke ma r as esplei te ́ .	--|----⌫-|---|-|--⌫|-|------⌫--⌫||
u nt ragetu	-⌫--⌫---|-|
s errasis silliez	-⌫----|--⌫------|
eioltedikisasuienuoié	|--|-|-|-|-|--|------|
tutaleregnedestruit eeissillié	--||-|----|-------||---------|
quice stanel ad	--|--⌫-|---|-|
am endei baill ié	|-⌫-|--|-----⌫--|
nef udpa s leide ainzot	-|-⌫-|--⌫|----|---|-|
lefruntdulgié	-|----|------|
pardrueriesiliaiotrei	--|------|-|-|-|----|
keia ne me	-|-|-|-|
ertdel deimeis sachie ́	--|--|--|---|------⌫|
mortun f r anceis ot l	---|-|-⌫-⌫-----|-||
amidistK ar les deu enprenge pitié .	--|---|-⌫--⌫--|--|-|-----|-----||
l epere ur	|-----⌫-|
feites mei esco ter.	-----|--|----⌫--||
ils unttr eisterre sque iosai bi n	-|-⌫--|--⌫--|-----⌫|--|-|--|--⌫|
asiea nunluneeurope saper	---||--||--|-----|-|--|
latierceanun a ffrikenepouumtrouer.	-|-----||--|-⌫-----|-|----|-----||
icel s treisteiresquifunt pa r tir	----⌫|----|-----|--|---|--⌫-⌫--|
kifuntles ille s	-|---|--|----⌫|
ela terreseu er er .	|-|----|---⌫--⌫-||
munseignurad	--|------|-|
la grenu ragard er.	-|-----⌫||----⌫-||
l aut reir enfirentpaen s	|---⌫-|-|-|-----|----⌫|
kice sdeueitaicel e acliner .	|---⌫|-----||----⌫|------||
pur co uienc	--|-|----|
ci le m e ssag ep orter	-|-|-⌫-⌫----⌫|-⌫----|
s enuient nelo sentpas tresturne r .	|-|----|-||-⌫---|--|---------⌫||
K arle scun tefaiz	-⌫----⌫|--|-|---|
balammapelent issimefaz apeler	----||------|---|-|--|-----|
e serfl ereidemessage porter	|---|-⌫|--|-|------|-----|
sin else rf pas deme ncoge cun t er	-|-⌫-|--⌫-|--|-|--⌫----|---⌫-⌫-|
siilestcho sequelestu ce	-|-|--|---⌫-|-|-|----⌫-|
uers unuassalleuoil	---|-|-----|-|---|
enchap mmustrer	-|----⌫|------|
ortie nmunguagesi tules	-|---⌫|--|----|-|-|--|
almeillurhum meque tupurras trouer	-|------|---⌫-|--|-|-----|-----|
irai mesh armes achate r	---|--|-⌫----|------⌫|
del ordeaufric queio	--|-|-|-----|--|-|
aife t port e r	-|--⌫|----⌫-⌫|
ecil tunm eputen	|--|--|-⌫|--|-|
chapm mater	----|----|
dem unseelfrai	-|-⌫-|---|---|
iae nseeler	-|-⌫------|
unn es enseign esifrai e nbreuer	---⌫-|-------⌫-||---|-⌫------|
que tufras a muns ei gnur port er	--|-|---||--|-⌫--⌫---|----⌫-|
iamesn uliurneluer rez trespas ser.	----|-⌫-|--|--|---⌫--|-------⌫--||
tuesfou rei s	-|-|--|---⌫|
ionetequierceler.	-|-|-|----|----||
tun aspas gen tpur	-||-|--|---⌫|--|
lat erreguuarder	-|-⌫---|-------|
t ant tequ erumq ue teporum	-⌫--|-|--⌫---|-⌫-|-|----|
n e t ega rraboisne te rreneme r	-⌫|-⌫|--⌫--|---|-|--⌫--|-|--⌫|
sene poescumea utreoisel	-|-|---|---|-⌫---|----|
cest br if sifaidedenzgarder	---|--⌫-|-|--|-----|-----|
situnecrescoquetumoz	-|-|-|---|-|--|-||-|
simefaitessi uilmentde mener	-|-|-----|-|------|--⌫----|
kum l arun kie st	--|-⌫---|-|-⌫-|
entrepris dembler	--------||-----|
ueirquetumozcideiuger	---|--|-||-|-|------|
apresl ebrefte uod eraie	----|-⌫|---|-|---⌫----|
iemust r er	-|----⌫-⌫-|
mis iresmosad commander	-|-⌫---||---|--------|
sur unmantel ad fa i tlebrif	--|-|-----|-|--⌫-⌫|-|---|
lebaill e albonab es from er .	-|-----⌫|-|--|--⌫-|----⌫-||
cilfrainzla	--|-----|-|
ciresicome nc e a	---|-|----⌫--⌫||
la ischeledei t	--⌫----|-|---⌫|
siles tle brifaler .	-|---⌫|-|---|---||
reinsle u eit	----|-|-⌫--|
suz leu er	--|---⌫-|
empereuruosfaites	-------|--|-----|
kia tel s hummes	-||---⌫|-----|
f aitesuosbriesli urer	-⌫----|--|----|--⌫---|
iuuiiadis qua nt ilertbacheler	-|-|----|---⌫-|-|--|-------|
ecascuni u r e rt	|-----|-⌫-⌫|-⌫-|
al uin en sun celir	-|--|-|--|----|
motlioïpra metre	--|-|--|---⌫----|
saciezquec o luifait	-----|--|-⌫|--|---|
le soiliz lermer	--⌫|----|-----|
il s es tresors enfundrer	-|-⌫-|------|--------|
