d ireuous ueulc hi	-⌫--|---|---|-⌫-|
etretraire	-|-------|
chosequia tousdoit	----|--||---|---|
bienplaire	---|-----|
u ous pripremiere ment	-⌫--|--|--------⌫---|
que uo u sm	--|--⌫-⌫||
ecoutés bonne ment	-------|-----⌫---|
seuouse n tendrem e uoulés	-|---|-⌫-⌫-----|-⌫|------|
le s e n fa ncesoi rporr é s	--⌫|-⌫-⌫--⌫---|--⌫|----⌫--⌫|
de xm cristnostredousp e re	-|-|----|-----|---|-⌫-⌫-|
et delasieuechier e	-|-|-|----|-----⌫|
moutpar fetbonace ent endr e	---|--|--|--||-|---⌫----⌫|
lecuerdo usettendre	-|---|--⌫-|-|-----|
qu e li plus	--⌫|-|---|
prendre i l pueent preuetho nor	------|-⌫|-----|---|-|--⌫--|
saués oiasezsouuent	|----|-|---|------|
les romans de diuersegent	--|-----|-|------|---|
et des m encongez decest	-|--|-⌫-------|-|---|
et delagranttable roonde	-|-|-|----|----|-----|
quelir oisartus mainten oit	--|-|-⌫--|----|-------⌫--|
o upointdeue riten auoit	-⌫|----|-|--⌫---||----|
qu iuous uenoient atale nt	--⌫|---|-------||----⌫-|
ce stuioés	--⌫---|---|
deuotement	---------|
qu etout est fet de	--⌫|---|--|--|-|
car uous i aurezgrant profit	--|---||----|----|-----|
b ienatou scexsera	-⌫--||---⌫|--|---|
tantconcest siecled urera	---|--|---|-----|-⌫----|
quiuolenti erzlescouteront	--|-------⌫--||----------|
eten lorcuersle	-|-|--|----|-|
retendront	---------|
o és san snule e ntro ubliance	-⌫--|---⌫|---|-⌫----⌫-------|
tretoutcest li ure enremembr ance	------|---|--⌫--|-|-------⌫---|
et ieuous di	-|-|---|-|
biensansmentir	---|---|-----|
q uemoutuous	-⌫-|---|---|
plairaaoir	-----||--|
cese nfancezqu eueulc onter	--|-⌫------|--⌫|---|-⌫----|
etsineuou sueulriens mou str er	-|-|-|---⌫|---|----|---⌫---⌫-|
qu ene pu isseprouuer enleitre	--⌫|-|--⌫---|------|-|-----|
sansmencongea io uster nemeitre	---|-------|-⌫--⌫----|-|-----|
enla tin trouuélai	-|--⌫--|------||-|
en fr ancoisl e uousd escriroi	-|--⌫-----|-⌫|---|-⌫-------|
mot sansri ens tres passer	--|---|--⌫--|----⌫-----|
pour dieu ne	---|---|-|
me puist roplasser	-|---|-⌫--|-----|
q uantxm crist nostredouspere	-⌫---|-|----|-----|---|---|
lauierge samere	-|-----|-|---|
conparl angrefu	--|--||----|-|
de laioieasses	-|-|---|----|
siconxmnésene stoit	-|--|-|---|-|-⌫----|
en un ec reichefu m isdroit	-|--⌫|-⌫-----|-|-⌫-|----|
ouunas ne etunbuefmenioient	-|-|--⌫-|-|-|---|--------|
et lunetlautrebie n	-||-|-||----|---⌫|
quecestoit di eu qui lafumis	--||-----|--⌫-|--|-|-|--|
pourson pue p le d	---|--|---⌫-⌫-||
enfer geter	----|----|
