LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
Ouuo itler oi	-|--⌫-|-|-⌫-|
pr instlenaap e llerSiredist i l uers	--⌫---||-||--⌫-⌫---|---|---|-⌫|---|
moien entendéz.	--|-|---------|
Iusquasetmoisu oil le	----||--|---|-⌫--|-|
iorrespiter.Et di stlirois	--|--------|-|--⌫-|-|---|
uole ntiers etdegréz.Ligen tizhom nelmisten	----⌫-----|-|-|-----|-|---⌫--|--|--|---|-|
Ouuoitladameprinst	-|---|-|---|-----|
aapeller .Di stli cuens	|-------⌫|--⌫-|-|----|
D amme enuers moie ntendéz	-⌫---|-----|--|-⌫-------|
Un eparo l e	--⌫|----⌫-⌫|
uozuoil d ireet conter.	--|---|-⌫--|-|------|
aï t Dexieneluoilpascel er	---⌫|--|-|--|---|--|---⌫-|
Mon compai ngnonir ai	--|------⌫----|--⌫-|
querre ettrouuerLe conte	-----|-|------|-|----|
Am i deBlaiuie sla	--⌫|-|-------⌫|-|
iertauioretauchamp aquiter. Ladamm el	---|-|--|-|-|----|-------|-|----⌫||
oitl e sens	--|-⌫|---|
cuidedesuerS i m aïtDexiele s a u oie	----|-----|-⌫||---|--|-|-|-⌫-⌫-⌫--|
asséz.Lor s	------|---⌫|
distau conte C oarziestezprouuéz Pa r	---|-|----|-⌫---|-----|-------|--⌫|
celapostre co n	--|------||-⌫|
quierten NoironPre ́N euozmouuréz dela	-----|-|-----|---⌫|-⌫|--|-------|-|-|
bon nec itéSi	---⌫-|-⌫---|-|
iors et li champsa f inéz De	---|-|-|-----|-⌫-⌫----|-|
labatail lequ au ézprinse	-|------⌫-|-|--⌫--|-----|
a Hardré.Belys sa nsl oitsiconmenceaplorer.Mere	|-------|-----⌫--⌫-||--|-|-------||------|---|
carl enlaisso nsalerMaisquesorsainsli	--||-|------⌫-|---|---|--|--|----|-|
ferommeziurer Queil auiore t	-------|----|--|-|-|--|-⌫|
auchampafinnerQueila	-|----|------|--|-||
m isnozuenra acuiter.-Fi lle	-⌫-|--|----|-------|---⌫--|
distell e sicom	---|---⌫|-|--|
conmandéz. Isnelleme nt lontaumonstier	----------|---------⌫-||--|-|-------|
genti z hom sapres ta do u i urer Agenoillons	-----⌫|--||-----⌫-|--⌫|-⌫---||---------|
de uantle ma istre	--⌫---|-|--⌫----|
autel Quantlaroïne li corrutpardonnerPar lebras	----|----|-|-----|-|-----|--------|--|-|---|
destrele n	-----||-⌫|
corrutrele u er. Ie luozpa rdoinsfrans	-----|----⌫-⌫--|--⌫|--|--⌫-----|----|
cheualie rsm emb re ́z.-Dammedistilcinccenzm ercis	--------⌫-|-⌫---⌫--⌫--|-----|---|-|---|---|-⌫----|
etgr e ́z.	-|--⌫-⌫--|
Il estuenu selborc ason o steluestson	-|--|----⌫|-|---||--|-⌫---|---|--|
hauber cs a	------⌫|||
son elmeferméEtcei n sts espeeasonse nestre	--|---|-----|-|---⌫-⌫-||----||--|--⌫-----|
Mont eanla	----⌫|-|-|
selledoudest riers eiornéPrentensonpoingu n	----|--|----⌫---|-⌫------|----|-|--|----|-⌫|
r o it espie ́	-⌫-⌫-|-----⌫|
qu arréEt a so n colaunescu gieté.	--⌫----|-||--⌫|--||-|---|------|
p orte is s i	-⌫---|--⌫-⌫|
d e lacitéBueue s	-⌫|-|----|-----⌫|
lianfes leconuoiaasséz	-|----|-|------|-----|
U ne g rantpiecep uiss	-⌫-|-⌫---|----|-⌫--||
e nestr etor ne ́z. uas en	-⌫|--|-⌫----⌫--⌫--|-||-|
gentize tl i berSoncompaingnon ua quer re.	-----|-⌫|-⌫|--|--|----------|-|----⌫--|
seignor que Dex grantbienuoz donst. Ici	------|--|--|----|---|--|-----|--|
laironsd Amilele	------||----|-|
baronSiu ozdiron sdA mi son	----|-|-⌫-|-----⌫||-⌫-|--|
com paingno nQui fua	---⌫-------⌫|--|-||
Blaiuiesensamaistre maison. Iut en sonlit dont	-------|-|-|------|------|--|-|--|--|---|
Aum atinnet qua nt c lers parutli iors	-|-⌫------|---⌫-|-⌫---|----|-|---|
espeecarmoultotgr ant pao r.u oitle	----|--|----|-|--⌫--|---⌫-|-⌫--|-|
la d amesilamis a	-|-⌫--|-|||--||
astu e ügenti zfiul sab aron-Dame	-|-|-⌫-|-----⌫|----⌫||-⌫---|----|
distiletn ozleuoz di ronsGrantpaor	---|-|-|-⌫-|-|--|--⌫---|----|---|
ai demonchi er	-|-|--|---⌫-|
comp aingnonQueie laissaiaParis eldonionSen	----⌫------|--|-|------||----|-|-----||-|
mesaise . Damedist ilenten dézma	-------⌫|---|---|-|-----⌫---|-|
A nuitsoniaiune fier e	-⌫---|-----|--|----⌫|
a ui sonQu eieestoieaP arisaCharl on	-⌫--⌫--|--⌫|-|-----||-⌫---||-----⌫-|
Si combatoitl ib er	-|--------|-⌫|-⌫-|
lyon.E n s ancestoi t	----|-⌫|-⌫--|-----⌫|
esperon. Li	-------|-|
m a uslyondeuenoitco muns	-⌫-⌫-|---|-------|--⌫|--|
homCe miert	--|-||---|
auisHardrélape lloiton .	---|------||---⌫----|--⌫|
uenoiela ruecont remontMespe etraitequ	-----|-|--|----⌫-----||----⌫|-----|-|
apo r taideClermontSelicopai le	---⌫-⌫--|-|-------|-|-|----|-|
chiefsoz le	----|--|-|
M aisparl apostre con	-⌫--|--||------||-|
quiertenPré Noiron Ie	-----|-|---|-----|-|
nelair oie	-|----⌫--|
portout l or de ces tmont Queie	--|---||-|-|---⌫|---|--|-|
ni aillequantclers	||----|----|----|
parrali iorsEn ma	----|-|---|-|-|
compaingnemilcheual ier	---------|--|------⌫--|
baro nQuim	----⌫|--||
ont lor foispl euies.La gentiz da mmea le conte	--|--|---|--⌫-----|-|-----|--⌫--||-|----|
Sirefaite lle bien saiqu euoz pan sé z.Or	---|---|-⌫--|---|--|--⌫|--|---⌫---⌫-|-|
uoldriézi estre a	--------|-⌫----||
Parislacité Au con teAm ileleglouton pariu réLa	----|-|----|-|---⌫-|--⌫--|-|------|-----⌫--|-|
Charl e bais ie r etacoler Dontlimienscors est	-----⌫|----⌫--⌫|-|-----|---|-|----|---|--|
uil te ́.Males	---⌫--⌫-|----|
nouuellesm enp uissel on co nterA	--------||-|-⌫----||-|--⌫---||
p u taigesoit lisienscors liuréz Dis tlicu ensDamme	-⌫-⌫----|---|-|----|---|------|---⌫|-|--⌫--|----|
moultgrant tort en aué z.	----|----|---|-|----⌫-|
Pa rcel apostreco nquierten	--⌫|--|------||-⌫|-----|-|
Noiron Pr éIenelairoie por	-----|--⌫-|-|-|------|--|
les me mbres	--|--⌫----|
coperQueie n	----|--|-||
iaille quantl iiors par raclerEnma compaingne	|----|----|-⌫|---|---⌫-|---|-|-|---------|
cheualiers arm éz	---------|---⌫--|
Quin emefaudront mie. Licuens	--|-⌫|-|-------|---|-|----|
nefumie coarsAinznellaissa por le	-|-|--|----|---|--|-----|--|-|
dit L ubias.Au	--|-⌫-----|-|
mainselieu e s i	---|-|----⌫|-⌫|
u est sesmeillorsdras	-⌫--|--|-------|---|
Ses cheualiers	--|---------|
richementconreaI snellementensonche minentra .C elui	--------|-----|-⌫---------|-|--|---⌫--|-----⌫|-⌫---|
ua que rre quehaïr	-|---⌫--|--|----|
neporraEnmou ltpoidore seig nor	-|----|-|---⌫-|--||--|----⌫--|
trouuera Parmou lt bele	-------|--|---⌫-|---|
auenture .	--------⌫|
Oie ́zse ig norque D ex uozsoitamis LiGloriouzqui	---⌫-|--⌫--⌫--|--|-⌫-|--|---|---|-|-------|--|
lacroisf umis.Li cuens	-|----|-⌫|---|-|----|
Amiles otse sosta ige smis	-----|-|--⌫|----⌫---⌫|--|
Puis senentratoutdroitens o n chemin	---||-|----|---|----|-|-⌫-⌫|-----|
