lauentured unautre	|-------||-|----|
conmen t auintuos conterai	------⌫|----|--|-------|
fetfudunmoltgentil	--|-||-|---|-----|
l ibretonl	-⌫|-----||
apelentlanual	------|-----|
acardueil seiornoit	|-------|--------|
arturl i pre uzetli c ortois	----|-⌫|---⌫-|-|-|-⌫-----|
po rles escoxetpor	--⌫|--|----|-|--|
q uig uerreoientlepais	-⌫-|-⌫---------|-|---|
terr e delogre	----⌫|-|----|
et moltso u ent lad e g astoient	-|---|--⌫-⌫--|-|-⌫-⌫-⌫-------|
alapenteco stee n e s te	|-|-------⌫--|-⌫|-⌫-⌫-|
i auoitlirois	|----|-|---|
ass ezidonn ari ches	---⌫-||----⌫|--⌫---|
as cheua lie rset	-|-----⌫---⌫-|-|
aceusdelata ble roonde	|---|-|-|--⌫--|-----|
n ottantde	|-|---|-|
tex entot le monde	--|-|--|-|----|
f amese tterres departi	-⌫---|-⌫|-----|------|
for stotseul quilot	---⌫|--|---|--||-|
ce fulanual	-|-|-----|
de s siensbienne litint	--⌫|----|---|-|-|---|
porsaualorpo rsa lar gesce	--|-|----|--⌫|-|---⌫----|
bi aute porsa proesc e	--⌫---|--|-|------⌫|
len men oi entt restuit li plusor	|--⌫---⌫--⌫--|-⌫------|-|-----|
te xlimo stresemb lan tdamor	--⌫|-|--⌫---|----⌫---⌫||---|
saucheualier mesauenist	|-|--------|---------|
iau nefo iznel en ples ist	-|-⌫-|--⌫-|-||-|----⌫--|
filza roi fu dehau tparage	---||--|-|-|---⌫|-----|
mes loinzertdeson heri tag e	--|----|--|-|--|----⌫---⌫|
d elamesnieleroifu	-⌫|-|-----|-|--|-|
tot sonauoir a despen du	--|--|----||------⌫-|
carli ro is rie nsnelidonn a	--|-|--⌫-|---⌫-|-|-|----⌫|
lan ualriens neli	---⌫--|----|-|-|
ore stlanualmoltentrepris	-|-⌫-|-----|---|--------|
moltest dolentmolt est pen s is	---|--|-----|---|--|---⌫-⌫-|
seignors n e	-------|-⌫|
uos enmerueil liez	--|-|-------⌫---|
hommeestra nge desc onseilliez	----|-----⌫--|----⌫---------|
moltestdolen zen	---|--|-----⌫|-|
au treterr e	--⌫--|----⌫|
quanti lne	----|-⌫|-|
setousecorsquerre	--|-|-----|-----|
l icheualiers do nt	-⌫|---------|--⌫-|
quita ntauoitleroiserui	--|--⌫-|----|-|--|----|
iorm ontasorsondestri er	--|-⌫---|--|--|------⌫-|
alez esb an oier	---|---⌫--⌫---|
fors del a uileestoitissuz	---|-|-⌫|---|-----|----|
touz seusest en	---|---|--|-|
pre ue nu z	--|--⌫--⌫|
soruneeuecorantdes cent	--|--|--|-----|---⌫---|
messon che ualtrambleform ent	--|--|---⌫--|------|----⌫--|
il l e descengl e et	-|-⌫|--------⌫|-|
il senuait	-||-|---|
enmi lepre uoitri erlefait	---|-|--|------⌫-|-|---|
le pandesonmantiel ploi a	-|--|-|--|------|----⌫|
desozsonc hiefsisecoucha	----|--|-⌫---|-|-|-----|
m olt est pen sis desamesais e	-⌫--|--|---⌫--|-|-|------⌫|
ilne uo itch ose quil i	-|-|--⌫-|--⌫--|--|-⌫|
lao uil g ist en	-|-⌫|-|-⌫--|-|
tel maniere	--|------|
gardaaualle zla riu iere	----|---|--⌫|-|---⌫---|
s i uituenird amoisele s	-⌫|--|----|-⌫--------⌫|
onquesnotueues plus	-----||-|----|---|
uestuesfurentricheme nt	------|-----|-------⌫-|
etla ciees estro ite me nt	-|--⌫----|-----⌫---⌫--⌫-|
bliaus ontde porp rebis	-----|--|-|----⌫-|--|
moltauo ie nt bien fe zle suis	---|---⌫--⌫-|---|--⌫|--⌫|--|
portoitbacin	------|----|
dore smeré bien fet	|-|-⌫-----|---|--|
le u oiruosendirais anzfaille	-|-⌫--|--|-|----|-⌫--|-----|
lautreporto itune toaille	|----|-----⌫-|--|------|
e lles ensontalees droit	-⌫---|-|---|----|----|
laoulicheualiersestoit	-|-|-|---------|-----|
la nual qui	--⌫---|--|
moltfuensai ngniez	---|-|-----⌫-----|
contr eeles	-----⌫|---|
sest leuezem piez	|--|----|-|---|
celeslontprimessal ué	----||--|-----|---⌫--|
lo r mesage liont	--⌫|-----|-|--|
sire lanu al madamoisele	---|----⌫-|-|--------|
quimo ltparestcortoiseet bele	--|--⌫-|--|--|-------|-|---|
enuo i ea uos	----⌫-⌫||--|
car iuenezens embl e	--||----|---⌫----⌫|
sauuement uosiconduirons	--------|--||---------|
uezciprez est sonpaue illon	--|-|---|--|--|----⌫----|
li cheualie rs oe llesuait	-|--------⌫-||-⌫---|---|
desoncheualne ti entnulplait	-|--|-----|-|--⌫--|--|----|
quideuant luipessoi tel	--|-----|--|------⌫|-|
deciquautreflontamené	-----|-|---||--|-----|
qui moltfu bia uset bienassis	--|---|-|---⌫-|-|---|----|
laroine samurauis	-|----|--------|
eutonqu esotplu sauoir	--|----⌫-|-|---⌫|----|
etpluspoissanceet plus sa uoir	-|---|--------|-|---|--⌫---|
nelempe rere	-||----⌫---|
nesliiasse nt ledestre pan	|---------⌫-|-|-----|--|
aigle dorot	----||-|-|
detelne saidirele	-|--|-|--|---|-|
n edescordesne	-⌫|--|-----|-|
despaiss ons	--|-----⌫--|
quidutr ef	--|-|--⌫-|
tienent lesgir ons	------|--|---⌫--|
sozcielna roi quil esl iiast	--|---|||--|--||---⌫----|
por nulauoir	--|--|----|
qui li donnast	-|-⌫||------|
de d enzcetreffula pucele	--⌫-⌫--|-|---|-|-|-----|
fleurdelis rosenouele	----|-|--|---|-----|
quant el epertel t ensd	----|--⌫|---|-|-⌫--||
trespa ssoiteledebia ute	------⌫----|--|-|---⌫--|
lidrapualoientc hastel	-|---|-------|-⌫-----|
ensache mi sese nglement	-|-|---⌫--⌫-|--⌫-------|
lecors bi enfetetgent	-|---|--⌫-|--|-|---|
chiermantel	----|-----|
deblanc he rm in e	-|----|--⌫--⌫--⌫|
couu e rtdeporpre alix andrine	----⌫-⌫-|-|-----|----⌫------|
otporle c haut	-|--|-|-⌫---|
sorligeté	--|-|----|
tot otdescouuert lecoste	--|-|---------|-|----|
leuislecorsetla poitrine	-|--|-|---|-|-|-------|
