Dellinage estFromontlepo teïs	--|-----|--|------|-|--⌫----|
S or uneroche dur eme nt labati	-⌫-|--|----|---⌫---⌫-||----|
Lecou desnoesi es tbrisiez	-|--|-----|-|--⌫|------|
Li corss estentet	-|---||-----|-|
B ern arscheuaucheqi	-⌫---⌫--|--------|-|
m o rt t rouason f il	-⌫-⌫-|-⌫---|--|-⌫-|
I lle regretecon iaporr e zoïr	-⌫|-|------|--|-|----⌫-⌫|---|
Tantm are ifutesfranccheualier	---|-⌫--||----|----|--------|
Or puis ie dire malement	-|---|-|---|-------|
sui b a illi	--|-⌫-⌫---|
Abatu mo nt	----||-⌫-|
monchastel deNesil	--|------|-|----|
Et i e uosu oiala terre	-|-⌫|--|-⌫-||-|----|
Cer t e smauieprisi eor epetit	---⌫-⌫-⌫|-|--|---|-⌫|--⌫|----|
cha ut qel part	---⌫-|--|---|
doieganchir	---|------|
Enzenzlestor parmauta lent semist	--|--||----|--|-----⌫---|-|---|
EtfiertBe ra utqi funez	-|----|--⌫--⌫-|-|-|--|
Sen glantenotla	---⌫----|-|-|-|
poitrine etlepiz	-------|-|-|--|
DeGode froienala	-|----⌫---|-||-|
tes te pris	---⌫-|---|
QidoncueïstBernartaubran tfe rir	-|---|-----|------|-|----⌫|--⌫--|
A hauteuoizaescri é	|----|---||-----⌫-|
Distl un a	---||-||
la ut r eQ e lcheualieraci	|-⌫--⌫-⌫|-⌫-⌫|--------||-|
Deuan t lui garde sa.	-----⌫|--|----||||
i .e spie ́	||-⌫----⌫|
Des oncheuau sabess as ile	-|-⌫-|-----||-----⌫|-⌫|-|
Etuetf erirdeMon tdAusoisTe rri	-|--|-⌫---|-|---⌫||-----|--⌫--|
I cilfuonclesauLohorenc Garin.	-⌫--|-|-----|-|-------|----||
l auberclitrenchesor lepelic ̧ on gris	|-----|-|------|--|-|-----⌫-⌫-|---|
Siq e lapane del	-|-⌫|-|---|--|
cuerlirontp armi.	---|-|---|-⌫-|-||
et cri eDiex merci	-|---⌫|---|----|
Garinle uoitapo inenrage	----|-|---||--⌫||-----|
Le destrierbroche des	-|-------|-----|--|
esperons d orfin	-------||-|--|
Brandistla hantede l e spiépoit euin	-------|-|----|-||-⌫----|----⌫---|
Dontliremenbrede	---|-|-------|-|
Huo n lemesc hin	---⌫|-|----⌫--|
Leric heconte q i	-|---⌫-|----|-⌫|
tenoitCambresin	-----|--------|
Qedant B erna rtpar traïson	-|---|-⌫----⌫-|--|-------|
Sain t e Marieceditlidus	----⌫-⌫|----|-|--|-|--|
Ia uoiieci	-|--|-|-|
monmorte lanemi	--|-----⌫|----|
Lep lus felonqe deablesfeïst	-|-⌫--|----|-|------|-----|
Qi deuantmoima ci mononcle	-|-----|--|||-|--|----|
En traï sonuer sHuonentreprist	-|-----⌫--|---⌫|---|---------|
Seeins i meesc hapeieme prise p etit	-|----⌫|-|---⌫---|-|-|----|-⌫---|
