silzliuresquestcien	---|-----|-|--|-|-|
contientde	-------|-|
grantpro f itsentence	----|---⌫-⌫-|-------|
rais o nsquestdesolez paree	----⌫-⌫-|-|--|-|----|----|
es tp lus u oluntie rsescoutee	--⌫|-⌫--|-⌫-------⌫-|-------|
carcilz fait communsoutilz	--|---|---|---|-|------|
quimel le sentauuec soulez	--|---⌫-|---|----|-----|
t ulles aussilen s oigneafaire	-⌫----|----||--⌫-⌫----||----|
po r lescu ersde sge n zplus	--⌫|--|--⌫--|--⌫|--⌫-⌫|---|
unpetitiardin aihantey	-|----|-----|-|-----|
flours et f ruitport e	-----|-|-⌫---|----⌫|
agrantplan tey	|----|----⌫--|
lifruizest bonsla flour snouele	-|----|--|---|-|-----⌫|-----|
delitaub l eplaisanz	--------⌫-⌫|-------|
l ifloursestexa m plede fa uble	-⌫|-----|--|---⌫-⌫--|-|--⌫---|
li fruiz doct r i ne profita ubl e	-|----|----⌫-⌫-⌫-|-------⌫---⌫|
bone estla	---|--|-|
flourpo rd el iti er	----|--⌫|-⌫--⌫---⌫-|
loufruit cuil seuuez	--|----|---|-|---|
profiti er	-------⌫-|
tu lo puez prandre	-|-|---|------|
oules do usse plu suuezaprendre	-|--|--⌫-|-|---⌫|---|-------|
mon se ntqu iuolontiers somoille	--|--⌫-|--⌫|---------|-------|
muet aourer m es cu ers qui	---||----|-⌫-|--⌫--|--|
dexl arous ee	--|-⌫|----⌫-|
d etagr ace	-⌫|-|--⌫--|
m e donesi	-⌫|---|-|
quele me face	-|--|-|---|
soicheb ien	-----|-⌫--|
c esteoureen parole	-⌫---|---|-|-----|
por t efaisd	---⌫-⌫|---||
oneste meniere	-----|------|
aussicon lacruisequ estso iche	----|--|-|-----|-|--|--⌫---|
lo bonnoeill on danzs oiquoiche	-|--|------⌫-|---|-⌫-|------|
fortbeclipoustrauaille	---|--|-|---|--------|
enu nfemie rporsauitaille	-|-⌫|-----⌫|--|-|-------|
perauen ture	--|----⌫---|
donnauoit cure	--||----|---|
habaizfuquant l atr ouee	-----|-|----|||--⌫---|
c ilcuipoi nt nagree	-⌫-|--|---⌫-||----|
ilpreciousech ose	-|--------|--⌫--|
essi uilmantenclous e	-|-|------|-------⌫|
certes c iaimout grantdomaige	-----|-⌫|-|---|----|------|
tuneuauz riens p ormon	-|-|---|----|-⌫-|--|
maisse aucuns tepuet tr ouer	---|-|-----|-|---|--⌫---|
sehus t esprouer	-----⌫|-------|
