enten dezcauersmoil es petizelesgraunz	-----⌫--|-|---|--|-⌫-|----||--|-----|
un dedui tnous d iraibe userte au enaunz	-|-----⌫|---|-⌫---|--⌫-|--||--⌫-----|
a touz ceus	|---|---|
ioi ekideu sountdesirau nz	---⌫|-|--|----|-------⌫-|
eaceuserta	||---|--||
feskiheent	--|-|----|
sescoma unz	--|----⌫--|
cuntrouur enefablene	---------⌫|-|----|-|
e tou z l u z lepoez dire iani auerataunz	|---⌫|-⌫-⌫|-|---|---|-|-|----|----|
ieoleraile latinsidiraienromaunz	--|----|-|----|-|----|-|------|
sountgr amairesnesoientpas	----|--⌫------|-|-----|--|
deceokiieo	-|--|-|--|
d iraiasezenaigaraunz	-⌫---|---|-|-|------|
les meusdes eint e egli seeles	--|---|-|-⌫----⌫|----⌫-||--|
plusu aillaunz	---|-⌫-------|
lisec lesestmout ueus e tsiest tr espas saun z	-|---⌫--|--|---|---|-⌫|-|--|--⌫-----⌫----⌫|
frelles e mau uei stoutsen uestdesc li nanz	------||---⌫---⌫|---||-|---|----⌫--⌫---|
setl emkecreretauntest	--||-|-|----|----|--|
ecumhoumelete nt plustouztens	|--|----|-|--⌫-|---|---|---|
est soduianz	--|-------|
alamourdecestmoun deuoipl usours	-|----|-|---|----⌫-|--|--⌫-----|
mescil ma rlacointa ki	--|--|--⌫||------|-|
deu enest perdaunz	--|-|--|-------|
m orirena i ueu malement ne	-⌫---|-|-⌫|--|-------|-|
sa iquau nz	--⌫|----⌫-|
quideupert	--|--|---|
purcest s eclemoult	--|---|-⌫---|----|
estnounsa u aunz	--|---|--⌫-⌫---|
lideable sad	-|------⌫|-|
e n cestmoundeenplus o u rs liusseriaunz	-⌫|---|-----|-|----⌫-⌫-⌫-|---|-------|
quiestriuentuers deu	--|--------|---|--|
et uersto uzsescomaunz	-|---|--⌫-|--|------|
dese rui r	-|--⌫---⌫|
lediableso untt ouz	-|-----|--⌫--|-⌫--|
iours des iraunz	----|---⌫-----|
enad li ueussiilpoestuiurecent	-|-|-|---|-|-|----|----|---|
quisi ilu iuoitm ilne liua udro ituns	--|-|-|-⌫----|-⌫-|-|-|--⌫----⌫-|--|
purne ntai mentcestsecle ia	--|--⌫-|--⌫---|---|----|-|
nelorert garau nz	-|--|--|-----⌫-|
l amor tenmein et ouzeperes ete n faun z	-⌫|---⌫|------⌫|-⌫--||----|-|-⌫-⌫----⌫|
neniad nulstauntfors enueis ezneua illaunz	--||-|---|----|---|------⌫-|-|--⌫------|
q uitauntsoi tdesouncorsor goillousneprisaunz	-⌫-|----|---⌫|-|---|---|--⌫-------|-|-------|
ne seit tauntb el	-|---|----|-⌫-|
pai llestr ainau n z	---⌫---|--⌫-----⌫-⌫|
quilauoderei tmorir neli muetses	--|-|-------⌫|----|-|-|---|--|
d etoutl ep l us	-⌫|---|-⌫|-⌫-⌫-|
kiiladfetestdolenzetpen saunz	-|-|-|--|--|-----|-|---⌫----|
delbenlisemblepoile mal li se mblegraunz	--|--|-|-----|--|-|--|-|--⌫---|-----|
quise fieencestseclepu r f oltenki eo	--|-|--|-|---|----|--⌫|-⌫-|---|-⌫-|
par mei meme sle	--|--|----⌫|-|
saine miep arautrui	--|-|--|-⌫-|-----|
fole mentle menaiitauntcum ieoi fui	----⌫---|-|----|-----|--|--||--|
carou nkesnefi rendequant ke feredui	--|--⌫---|-|-|--|-|----|-|---|--|
tropiduidemore ra tart	---||--|------⌫||---|
men a parcui	|-|-⌫-----|
priski es tuer airefui	---|-|--⌫|---⌫-|----|
mauueisest li gain spa r	------|--|-|----⌫|--⌫|
quei houmepart delui	---|----|---|-|--|
quidirai ieop luske del	--|----|--|-⌫--|-|--|
toutseshoumesser rui	---|--|-----|---⌫--|
dei ablereno iai q ua n tbapte sme	---⌫---|----⌫--|-⌫--⌫-⌫|-----⌫--|
moutestces tseclemauue iski	---|--|---⌫|----|-----⌫-|-|
se sam i ss odu t	--⌫|--⌫-⌫|-⌫---⌫|
q uant i llequid ent tenire	-⌫---|-⌫|-|----⌫--|----||
iltouz t ens s	-|---|-⌫--||
touzte nsuetdecl inaunt cum	---|--⌫-|--|----⌫-----|--|
glace kemolut	----|-|----|
quiremestasolai lne poest fereautr efut	--|-----||-----⌫|-|----|---|----⌫|--|
is siu est reman auntsounorg oile so un	--⌫-|-⌫--|-----⌫---|---|---⌫--||--⌫-|
e kisa a m ourimetsiestmo rte	|-|-|-⌫-⌫--||--|-|--|--⌫-||
pussenuoitenenfern ouian	--||-|---|-|-----|-|-||
a uer adeduit	-⌫---⌫|-----|
oreoiezdecestse c le	--|---|-|---|--⌫-⌫-|
cum trais tsesamis	--|-----⌫|--|---|
tou zceus q u	---⌫|---|-⌫|
en lise fientcon found e t morse	-|-|-|----|---⌫----|-⌫|---||
e n enfernmestlesalmeset	-⌫|-----|---|--|----|-|
lescorsfest cheitifs	--|---|---|-------|
lachar quant ele	-|---|----|--|
