di reledoit	--⌫-|-|---|
s iln e le	|-|-⌫|-|
d i stpourluile	-⌫-⌫-|---|--|-|
metroieenuisauiugement	------|----|-|-------|
ouliro is quitout iugemen t	-|-|--⌫-|--|---|---|---⌫|
quidistque deslaboursrendra	--|---|--|--|------|-----|
ioiequiiafinnepren dr a	---|--|-|--|-|----⌫--⌫|
bonquibienlabourront	--|--|---|---------|
aron tlimauuaislabourront	----⌫|-|------|-|-------|
enlepueurdinferparfonde	-|-|----||----|-------|
cestdurenouue le	|--|---|-----⌫-|
ach e monde	|--⌫|----|
qui defaussete	--|-|-------|
es ttous plains	--⌫|---|-----|
e te ns es ua usetens	-⌫|-⌫-|-|--⌫-|-|--|
pare nui e	--|-⌫---⌫|
q ui t o usmauspont	-⌫-|-⌫-⌫-|---|---|
et couuo itise afa itson	-|-----⌫----||--⌫-|--|
en chemon deseurcoi mo nte r	-|--|---⌫-|---|--|--⌫---⌫|
faitlesp relase tdesmonter	---|--|-⌫----|-⌫|--------|
en montants e	-|------|-⌫|
desmonten t	---------⌫|
quantplusas tem poreu sbiensmo ntent	----|---|-|---⌫-----⌫|----|--⌫----|
ca rparauoiruoit	--⌫|--|----|---|
orgueil gardésseie	------|------|-|-|
roy et conteprinchee tcasé	--|-|----|------|-⌫|----|
sont parchepont p lus	---|--|--|---|-⌫--|
demonter suschascuns s	-|-----|--|-------||
maispourichedi e xneleur	---|---|---|--⌫-⌫|-|---|
les anteascorsne lauie	-|-⌫---|-|---|-|-|--|
po urcouuoiti ernauoirenuie	--⌫-|--------⌫-||----|----|
autrui niaroyneconte	-----||||--|-|----|
dont diexn	---|---||
aittost deffai tle	--|---|------⌫|-|
clercuesquepreste ni	----|-----|-----|-|
nes t asseurtant	|--⌫|-----|---|
delongue uies oir nema in	-|-----|--|-⌫--|-|--⌫-|
c he sieclea itnu ldemain	-⌫-|-----|-⌫-|--⌫|-----|
lai ssentmal afaire	---⌫----|--||----|
tantest limonsde ma l affaire	---|--|-|---|-|--⌫|------|
defaussete etdemal	-|-------|-|-|--|
l i cuers ont ma ispla inde rena r t	-⌫|---|-⌫--|--⌫-|---⌫-|-|----⌫-⌫|
et pourc hequetantmon tepl i e	-|---|-⌫-|--|---|---⌫----⌫-⌫|
renarsme plai stq ue uo usendie	-----|-|----⌫-|-⌫-|--⌫-|-|--|
unebranch eou plu seurporr o nt	--|------⌫|-|---⌫---|----⌫-⌫-|
prend reessample s	-----⌫-|-------||
e na ussensont	-⌫|-⌫-|---|--|
en mayc a rbreet	-|--||-⌫---|-|
pres on tflouri	--|-⌫--⌫|-----|
etuertdefueillesqueioli	-|---|-|-------|--|---|
fait e nches forese t tres	---|-⌫|---|----|-⌫|---|
cadesicantent	|---||------|
camour eusc ue rsfaitn ouuiaus so ns	|-----⌫--|-⌫--⌫-|---|-⌫------|--⌫-|
noblesl ilions	-----|-⌫|----|
tintcourtdegra ntsollempnite	---|----|-|---⌫-|----------|
auiourdesenatiuite	-|---|-|-|-------|
a uiourd erouuison s	-⌫|---|-⌫|--------⌫|
mouti otprincheset bar ons	---||-|-------|-|---⌫--|
etd eplus eurs man ieresbestes	-|-⌫|----⌫---|---⌫----|-----|
on ni pooitueoir	-|||----|----|
forstestes	---|-----|
quatregran slieues en	-----|----⌫|-----|-|
to us sens	--⌫-|---|
nes a iles m illi ersnelesc hen s	-|-⌫-⌫|--|-⌫----⌫--|-|--|-⌫---⌫|
debestes iotgr ant	-|-----||-|--⌫--|
d ame orgilleuseifuconch ile	-⌫--|---------||-|--|--⌫--|
qui feme er t	--|---|--⌫|
amon seignourn oble	|--|-------|-⌫---|
la dameert	-|---|--|
defachonmoutnob l e	-|-----|---|---⌫-⌫|
oufaude stu e f sistles	-|-----⌫---⌫-⌫|---|--|
q ui moutlamoit	-⌫-|---||----|
en b onn e f oy	-|-⌫---⌫|-⌫-|
asespiessisen tsi	|--|---|-----⌫|-|
quipou rechosetienentuil	--|---⌫-|----|------|--|
li aisnesot de p arseme re	-|-----|-|-|-⌫-|-|--⌫-|
anon orgilleusdep ar pere	|--|--------|-|-⌫-|---|
liautresnobles	-|-----|-----|
estoitc ointe s etnobl es	-----|-⌫-----⌫|-|----⌫-|
litiersotanon	-|----|-||--|
limaisnesfu etliplus bi aus	-|------|-|-|-|---|--⌫--|
c ha scunfuuestusend roits oi	-⌫--⌫---|-|-----|---⌫---|-⌫-|
s iqu il af f iertafilde	-⌫|-|-|--⌫-⌫---||--|-|
otg r a nt	-|-⌫-⌫-⌫-|
