des criteau ons la	---⌫----|--⌫--|-|
etranslateeainsi	|---------|----|
ent rinementla ueireystoi r e	---⌫-------|-|----|-----⌫-⌫|
d eldialogeseintgregoire	-⌫-|------|----|-------|
autr esicomeleest descrit e	----⌫--|--|--|--|-------⌫|
meisme enordre e dite	-----|-|----||---|
m aisue irement sicomioquit	-⌫--|--⌫------|-|--|-|---|
tr opp arse reitli	--⌫-|-⌫-|--⌫---|-|
fruitpetit	----|----|
dice st nostretantg rantlabor	|---⌫-|-----|---|-⌫---|----|
sife issonsteldesenor	-|--⌫-----|--|------|
acel uiqu ipornos enpr ist	|---⌫-|--⌫|--|--|----⌫--|
eins i tresg rant oe ure	----⌫|---|-⌫---|--⌫--|
qeparfolieoupar	-|--|----|-|--|
parn egligenceou par destrece	--|-⌫--------|-|--|-------|
tr espassissonscomsourzemuz	--⌫-----------|--|----||--|
sauieeses s ei ntesue rtuz	-|--||--|-⌫--⌫---|--⌫---|
carueirem entsico m iocrei	--|------⌫--|-|--⌫|-|---|
s ic hasqun sengle ment	-⌫|-⌫-----|------⌫---|
dicelsdo mfaiteestmention	|----|--⌫|----|--|------|
el ditd ia logal sarmon	-|--|-⌫--⌫----|-----|
fustagregoire	---||-------|
aco mp aré	---⌫--⌫---|
luitroureitalplushautdegre	--|-------|-|---|---|----|
eso i deloingenbasgisant	|--⌫|-|----|-|--|-----|
n istoz lipetite li gra nt	-⌫-|--|-|----||-|---⌫-|
s od luifu ssentensemblem en t	|-|--|--⌫----|---------⌫--⌫|
mise nbalanceu naiem e nt	--|-⌫|------|-⌫-----⌫-⌫-|
plu snau roient uerslui foison	---⌫||--⌫-----|---|--|-----|
n en semblant	|-|-------|
nenc ompareison	|-|-⌫---------|
nencharitenen	|-|------||-|
n en mo urs nen	|-|--⌫--||-|
uertuznen science	-----||-|------|
quel lesesteillesal solei l	---|--|--------|-|-----⌫|
cosei ngnorsu imesu eil	-|---⌫-----|-⌫---|-⌫--|
s iuos moideingnez	-⌫|--|--|-------|
q ueiqe seitunpoi translater	-⌫--|-|---|-|--|---------|
d esuertuzde saseinte	-⌫-|-----|-|-|-----|
carsachezneuospr ametmie	--|-----|-|--|--⌫---|--|
qetot esles	-|---⌫-|--|
ueil geauanttraire	----⌫-|----|-----|
ne porreit nus oemfa ire	-|------|--|--|--⌫--|
s anzco qe deu	-⌫--|-|-|--|
n e lespira s t	-⌫||------⌫-⌫|
des a graceeendoctrinast	-|-⌫|----||-----------|
qui tote slesqeno ist adreit	--|----⌫|--|----⌫--||----|
comcilquiquanqest set eueit	--|--|--|----|--|--||---|
m aisunepar tiee n	-⌫--|--|---⌫--|-⌫|
enordre si comles	-|----|-|--|--|
ell iurede sauieescrites	-|-⌫---|-|-|--|-------|
deudo nstqe s	--|--⌫--||-⌫|
puesse ntestredite s	------⌫-|----|----⌫|
einsiqaluitou rgen taglo ir e	----|||--|---⌫----⌫||---⌫--⌫|
ea le nour de seintgregoire	|||-⌫---|-|----|-------|
nostrecommun	-----|-----|
am en cod onsts eint esperit	--⌫-|-|-⌫---|-⌫---|------|
ro meinsereitdegra nt parage	--⌫----|----|-|---⌫-|-----|
da rtphil esophesseinte	|-⌫-|----⌫------|----||
gregoire fi zd anz gordien	-------|--⌫|-⌫--|------|
deromeno ble	-|---|--⌫--|
laseinte siluia	-|-----|-----|
quien sonuentreluporta	--|-|--|-----|-|----|
liglise d e r omegardot	|-----|-⌫|-⌫--|-----|
pape apostoile	---|--------|
trezean zenti ers sismeisdiz iours	----|--⌫|----⌫--|--|---|--|----|
en tens detreisempereour s	-|---|-|----|---------⌫|
f ouqestybe res emo ri ce	-⌫----|----⌫--||--⌫--⌫-|
dom chasqun futdegrantiust i ce	--|------|--|-|----|----⌫-⌫-|
d esenatours	-⌫|--------|
e rten gen dré	-⌫-|--⌫---⌫---|
trestotsisnobles pa rente	------|--|-----|--⌫----|
tant noblequantreligious	---|----|----|--------|
adeue als ecle	|--||-|-⌫---|
carliquartpapesdanz fel is	--|-|----|----|---|---⌫-|
qui tantparereitdeg rantpris	--|---|--|----|-|-⌫---|---|
sainzoems or	----|--|-⌫-|
totesriens esaiues	----|----||-----|
acest uigrego i re ertbes aiue s	|----⌫-|-----⌫-⌫-|--|---⌫----⌫|
elauirgebeneu ree	|-|----|-----⌫--|
ta rsill adedeutant	--⌫-----⌫|-|--|---|
q en trespassant	|-|----------|
dicesteuie	|-----|--|
el ciel oitla m elodie	-|---|--|-|-⌫-----|
des angl esei hes uc rist ui t	--|----⌫-||-⌫---⌫|-⌫---|--⌫|
sicome ldialoge est dit	-|--|-⌫|------|--|--|
sa a n tee re i tsoer asonpere	-|-⌫-⌫-|-⌫--⌫-⌫|---||--|---|
ditalparageenourezere	|---|-----|------|--|
gregoireli	-------|-|
mai s moltplus dela	---⌫|---|---|-|-|
carcestedoub len oblece	--|----|----⌫-|-⌫-----|
a uancoten	-⌫-----|-|
mairehautesce	----|-------|
en sense no eure s enuertuz	-|---|-⌫|-⌫----⌫|-|-----|
tant qes is	---|-|-⌫-|
nomsestreqenu z	---|--|------⌫|
par tot lu	--|--|-|
mont eseintcl am ez	---||----|--⌫--⌫-|
dom gregoireest adr eitn omez	--|-------|--||--⌫--|-⌫---|
qui ententlint erpre teiso n	--|-----||---⌫-----⌫-----⌫|
par dreite deuin atio n	--|-----|-----⌫----⌫|
ca re ngrec d itgregoire itant	--⌫|-⌫|---|-⌫-|-------|----|
co menl atin li	--⌫|-|-⌫---|-|
plusu eillant	---|-⌫------|
qui tan tsauancees	--|---⌫||-----|||
appareille	---------|
q e porsoi	-⌫|--|--|
eporautres u eil le	|--|-----|-⌫---⌫-|
eueirement almen auis	|--------|-|--|---|
plusproprementasis	---|---------|---|
nefutq ecistereitenlui	-|--|-⌫|---|----|-|--|
caronc u nsoemme lz	--|--|-⌫-|--|--⌫-|
entotesguise s na complit	-|----|-----⌫||-⌫------|
nonsgrego iredit	---|-----⌫--|--|
co poetuoier aperte ment	-|---|----|------⌫---|
en s adoctrine quil en tent	-|-⌫|-------|--||--⌫---|
com po rlesautreslaboro t	--|--⌫|--|-----|------⌫|
quantporsoimeismeueill ot	----|--|--|-----|-----⌫-|
carcoq asautres	--|-||-|-----|
enseing na	-------⌫-|
ensoi meisme demoustra	-|--|-----|--------|
poritantdides	--|----|-|--|
quantsau ie	----|-|-⌫-|
mou str otsadoctr inea complie	---⌫---⌫-|-|-----⌫--|-⌫------|
tantqen ses	---||-|--|
quanqas autres	----|-|-----|
uotenseigner	--|--------|
qa sezue illapor soimeisme	|-⌫--|--⌫---|--|--|-----|
daut repart	|---⌫-|---|
qu a nttant ertseintisme	--⌫-⌫-|---|--|--------|
qasautresenseingnerpoueit	|-|-----|---------|-----|
quanqenoeurem oustreruol eit	----|-|----|-⌫------|---⌫--|
qen eueil lotp assoulement	-|-⌫|----⌫--|-⌫-|--------|
po rsoi meisme senglement	--⌫|--|-----|---------|
ainc ei sfutp ortozceusueil lanz	----⌫--⌫|--|-⌫-|--|---|----⌫---|
qe nd e uf urentparluic re anz	|-⌫|-⌫-⌫|-⌫----|--|--|-⌫--⌫--|
orozco m despendi tsontens	-|-|--⌫|--------⌫|--|---|
ene nfanceer t	-|-⌫-----|--⌫|
maurd esens	---|-⌫|---|
ioeue ertdec orporalage	----|--|-|-⌫------|--|
