a nnaschayfasetsimyneetdadannietgamaliel	-⌫---|------|-|-----|-|------|-|-------|
iudasleuineptali malexandre	----|---|-------⌫|--------|
o chiarus cilyyprince	-⌫------|--|-|-----|
delal oiet	-|-|-⌫-|-|
autreyy delorc onseil	----|-|-|--|-⌫-----|
ui nrent apyl ateencon tre	--⌫----||---⌫--|-----⌫--|
nostre signorporluiacuseretde	-----|-----|--|--|-----|-|-|
luimes dire.	--|---⌫---||
si repyl atedist le uramparliersnoussauons bi enkecil	--⌫-|---⌫--|---|--⌫-|---------|---|-----|--⌫-|-|--|
ihesuskicontrenostre	-----|-|-----|-----|
loiua keilestfilziose phle	--|-|-|-|--|---|----⌫-|-|
feu re et fiux mar ie	---⌫-|-|---|---⌫-|
sid ist keil estfi ux deuet	-|-⌫--|-|-|--|--⌫-|--|-|
en corefa itilautre	--⌫---|--⌫-|-|----|
cose caril uiole l e	---|--|-|----|-⌫|
semedietnostreloiueltdestruire .	-----|-|-----|--|---|--------||
seignorcedistpylatescist homdecu i u ous	------|-|---|------|---|--|-|--⌫|-⌫--|
m eparléskedist il	-⌫|------|-|---|-|
enco ntre uostre loi	----⌫---|-----|--|
necommentle	-|------|-|
ueu til destruire	---⌫|-|--------|
li iuif respondirent	-|---|-----------|
ken lor loi esto it escrit kon	|-|--|--|----⌫-|-----||-|
ne deuoitnulu icurerparle s abbatne	-|-----|----⌫|----|--|-|-⌫----|-|
nuleoue urefaire	---|---⌫--|----|
ci la cur e ́s	--⌫||---⌫-⌫-|
et g arispariord e	-|-⌫---|--|--|-⌫|
sa bbat lesclosetlesauu lgl ez	--⌫---|--|---|-|--|---⌫---⌫-|
etlesmesiaus	-|--|------|
kilesdi ables	-|--|--⌫----|
auoientdedenslorco rs.	------|-----|--|--⌫-||
pylate lor respo ndikecen estoit	-----|--|-----⌫--|-|-||-----|
cillidisen t	--|-|-----⌫|
malfaisans es t	---------|--⌫|
et encanteresdeparbeelzebuzkipr incesest des enchante ries	-|---------|-|--|--------|-|--⌫----|--|--|--------⌫---|
etlesd eablesostehorsdescor s	-|--|-⌫-----|---|---|--|---⌫|
asderués .	-|------||
di stpylate sce	--⌫-|------⌫|-|
nest mie parle	|--|--|--|-|
deablemais p arl a uer tude deu .	-----|---|-⌫-|-⌫|---⌫-|-|--||
disentliiuifnous te	-----|-|---|---|-|
prions com mease ignorketulefacesu enir	-----|---⌫-||--⌫----|-|-|-|----|-⌫---|
deuantt oi	-----|-⌫-|
elpretoire si lo rrons.	-|-------|-||-⌫----||
uole ntiersdist	----⌫-----|---|
sonc orliu	--|-⌫----|
ua tostdistil	-|---|---|-|
sim amaineihesum.	-||-----|-----||
li corliussen	-|------||-|
lauil uit ihesumsi le	-||-|--|-----|-|-|
conut etsilaora.	----|-|-||---||
etunuest emen tk ilauoituestuprist	-|-|----⌫----⌫||-|----|----|----|
si l estendi	-||------|
parterresi lid istsirepasse ́s c i de su s si	--|----|-|-|-⌫--|---|-----⌫-|-⌫|--⌫--⌫|-|
t enuien a upretoire	|-|---|-⌫|-------|
sireueut a uous	---|---||---|
iuif uirent ke	---|-----|-|
lico rlius	-|--⌫----|
lauoi taoré sisescrie rent tuit	|----⌫|----|-||------⌫---|---|
ensa m blepylat esi re	----⌫-⌫--|-----⌫|--⌫-|
por co ine	--|--⌫|-|
f e is tuihesusemo nrep ar lesemonneeur	-⌫-⌫-|-|----|----⌫--|-⌫-|-|---------|
tescorlius ala porluisilaoraetsa	--|------|--|--|--|-||---|-|-|
ue steure es te ndi aterresi	--⌫-----|--⌫--⌫--||----|-|
li dis tpassecisit e nuien	-|---⌫|----|-|-||-⌫|---|
aupro u ost.	-|---⌫-⌫--||
uien c a di stpylate asoncorliu .	---|-⌫|--⌫-|-----||--|-----||
de coiconnoistuihesum	-|--|------|-|-----|
si re distlic orliusquantu ousm	--⌫-|---|-|-⌫-----|----|-⌫--||
en uoi astespor a lexandre ieleui sor la s n esse	--⌫---⌫----|--|-⌫-------|-|-|-|--||-⌫-⌫-⌫---|
et lienfant asiuus	-|-|-----|-|---|
i estoi ent	|-----⌫--|
les rai nsde sarbresietoient	--|---⌫-|--⌫|-----|-------|
alaterrepar	|-|----|--|
uildeuoitpasser.	|-|-----|-----||
l i aut re ietoientl or u es teurepart erreencont re	-⌫|---⌫-|-------|-⌫-|-⌫--⌫----|--|-⌫---|------⌫-|
luikil passast	--||-|------|
si cr ioie ntdisentliiuifdont te	-|--⌫----⌫-|-----|-|---|---|-|
u ien tcouke tuiesgrii o ise ttuparoles	-⌫---⌫|--|-|-|--|----⌫-⌫-|-⌫|-|------|
di stlicorlius ie le	--⌫-|-|------|-|-|
d eman dai aun	-⌫----⌫--||-|
des ebrius ke ce	--|-----|-|-|
cestsauu enous	|--|----⌫|---|
kiies en ha ut .	-|--|-|--⌫-||
beneoissoiestukiies uenuselnon	------|----|-|-|--|----|-|--|
estceuoi rs	--|-|---⌫-|
distpylate.	---|-----||
o ildisent	-⌫-|-----|
p orcoitesmoigniés distilenbie nles	-⌫-|--|-----------|---|-|-|---⌫|--|
l o en gesde senfansetihesumblasme ́s	-⌫-⌫--⌫--|--⌫|-----|-|-----|------⌫-|
que co seail mesfait	--|--⌫-||-|------|
etliiuu sseteurent.	-|-|---⌫|-|------||
ual a fors	-|-⌫|---|
dist li prouosaucorliul au il	---|-|-----|-|-----|-⌫||-|
si l amaine .	-||-----||
etli corlius ui ent aihesumsi	-|-|------|--⌫--||-----|-|
lidistsire	-|---|---|
uienauprouost	---|-|------|
ihesussen uintauoecluiaupretoire	-----||-|---|----|--|-|-------|
la uestoientseriantkitenoient	-||-------|------|-|-------|
enseignessor lances.	--------|--|-----||
qu a ntihesu s entrael pretoirelichiefdeslancess	--⌫-⌫-|-----⌫|----|-|-------|-|----|--|-----||
abai ssierentetaore ren tihesum.	----⌫-------|-|----⌫---⌫|-----||
quantceu irentli iuusk e	----|-|-⌫----|-|---|-⌫|
le senseig nesses toi entplo iiesetke	--⌫|------⌫--||--⌫---⌫--|---⌫---|-|-|
ele sauo i entaoré ihe sum sidise nt	---⌫|---⌫-⌫--|----|---⌫--|-|----⌫-|
ke ceauoient	-|-|------|
faitlihomek ilesenseignesportoien t .	---|-|---|-⌫|--|--------|--------⌫||
etpylat es lor dem andaporcoi f ei stes	-|-----⌫-|--|---⌫---|--|--|-⌫--⌫---|
respon direntn e	------⌫-----|-⌫|
nosblasm ésmiemai s n osenseig nes	--|-----⌫--|--|---⌫|-⌫-|------⌫--|
n ousnel aoramesmienea orer	-⌫--|-||------|--|-|-⌫---|
nel e deuons	-|-⌫|-----|
car nossommespaie ne tserf	--|--|-----|----⌫|-⌫|---|
destemplesma islese ns eignes	--|------|--⌫-|--|-⌫--⌫-----|
se ploierent	-|--------|
silaorerent.	-||-------||
s iremaistre de la sinagogh e	-⌫--|------|-|-|--------⌫|
etu ous se ignordelaloidistli	-|-⌫--|--⌫----|-|-|--|---|-|
prouos eslisiésforset	-----|--------|---|-|
poissansh omes k iforttieg nentlesenseigne s	-------|-⌫---|-⌫|---|----⌫---|--|--------⌫|
sauoir m onseelesseploieroient.	-----|-⌫-|-|---|-|----------||
l imaistr e delaloipr isentyyforshomes	-⌫|------⌫|-|-|--|--⌫----|-|---|----|
s i enmisent	-⌫|-|-----|
yya un eenseigne	-||--⌫|-------|
et yya une autre kee le sneploi aissent	-|-||--|----|-|-⌫--⌫|-|----⌫------|
si e sturent d euant leprouost.	-|-⌫------|-⌫----|-|------||
l i pr ouosapiela son	-⌫|--⌫---|-----|--|
corliuaco nseil	-----||--⌫----|
uadist il mai nei hesum	-|---|-|---⌫-|-⌫----|
la forsetpu issile	-|---|-|--⌫-|-|-|
etdementreskil fula	-|---------|-|-|-|
f orssicommandali prouoslesserians	-⌫--|-|-------|-|-----|--|------|
te stes a colp erkilgard aissentke les	--⌫---||----⌫-||-|----⌫------|-|--|
ens eignesnabaissa issent .	---⌫-----||-------⌫-----||
do nt leramenalen el p retoireet les	--⌫-|-|-----|--|-|-⌫------|-|--|
enseign ess	-------⌫-||
abaissierentaforceausic ommedeuant	-----------||----|---|-⌫---|-----|
dontd isent liiui fauprou os t	---|-⌫----|-|---⌫|-|----⌫--⌫|
nosn ed euonsnului ocirr e	--|-⌫|-⌫----|----|-----⌫|
prouosdist uo usauésenu o strelo i .	-----|---|--⌫-|----|-|-⌫-⌫---|--⌫||
dontsen entr apy l ates	---||-|----⌫|--⌫-⌫---|
