Monsieurl arc euesquede	-------||---⌫------|-|
u iennepou rs ati sfairea ̀lare questequ	-⌫----|---⌫|-⌫---⌫-----|-⌫|-|--⌫-----|-|
ilu ousapleum e fairedeuousesc rireet	-|-⌫--||---|-⌫|----|-|---|---⌫---|-|
mettr eparmemoireceque	-----⌫|--|------|-|--|
iaysceuetcongneudesfai ctzduroy	|-|---|-|------|--|---⌫--|-|--|
Loy sunzie smeàqui	---⌫|-----⌫--|-|--|
D ieufacepardo n n ostr e maistreet bienfaicteu r et pri ncedigne	-⌫--|---|-----⌫|-⌫----⌫|------|-|-----------⌫|-|---⌫--|----|
e xcellente memo ire	-⌫--------|----⌫--|
i elayfaictlep lus près dela	-⌫||-|----|-|-⌫--|----|-|-|
uerité queiayp eu et sceuauoirsouuen ance	------|--||-|-⌫-|-|---|----|------⌫---|
Dutem psdesaieuness ene	-|---⌫-|-|-|-------⌫|-|
s cau roye parl ersinon	-⌫---⌫---|----⌫-|----|
parcequeiel uy	--|-|--|-|-⌫-|
parleret di re	-----|-|--⌫-|
maisdepuislete mpsquei e ueinsen	---|-----|-|--⌫--|--|-⌫|----|-|
son seruiceiusquesà l heure de so ntrespaso ù	--|------|------|-||----|-|--⌫|------|-⌫-|
i estoyepresent	|-----|------|
ayf aictpluscontinuellere sidenceauecluy	-|-⌫---|---|----------|--⌫------|---|--|
quenul a utrede le statà quoyie	--|--|-⌫---|-||-⌫---|-|---|-|
quipour le	--|---|-|
m oin satousioursestédechambe llanou occu ppé	-⌫---⌫||--------|----|-|------⌫---|-|----⌫---|
ensesgransaffaires	-|--|----|-------|
E n luy et tous autres princes	-⌫|--|-|---|-----|------|
aycongn euz	-|-----⌫--|
ouseruy ay congneudub ienetdumal	-|----|-|------|-|-⌫--|-|-|--|
car i lzsonth omm escommenous A	--|-⌫-|---|-⌫---⌫-|----|---||
Dieu seula ppar t i entlaperfection	---|---|-⌫----⌫-⌫-⌫--|-|---------|
Maisquantenungpri nce la uertuetbonnescondicions	---|----|-|--|---⌫--|-|----|-|-----|---------|
prece ̀dent les uices ilestdigne	-----⌫----|--|----|-|--|----|
degrandlouengeue uqui lzson t	-|----|------|--⌫|-|-⌫-|---⌫|
plus enclins a tou teschosesu oluntaires	---|------||---⌫--|-----|-⌫---------|
queautres h ommestant	--|-----|-⌫----|---|
pourlanourritureet petitchastoyquilzonteu	---|-|---------|-|----|------|-|--|--|-|
enleursi eunessesquepour cequeuenans	-|----|-⌫-------|--|---|-|--|-----|
enlaagedhommelapluspar tde s	-||---||----|-|-------⌫|--⌫|
genstaschentà leurcompla ire	---|-------|-|---|------⌫--|
l eur scomple xionse t con dicions	-⌫---⌫|------⌫----|-⌫|---⌫------|
queiene uouldroyepointmenti r se p ourr oit faire	--|-|-|--------|----|-----⌫|-|-⌫----⌫--|----|
queen q uelque endroitdece st escript se pourroit	--|-|-⌫-----|------|-|--⌫-|------|-|-------|
aul cunechosetrouuerq u id ut outn e	---⌫---|----|------|-⌫-⌫|-⌫|-⌫--|-⌫|
seroità salou enge	-----|-|-|---⌫---|
Mais i ayesperance queceulx q ui lelirontconsidereront	---||-|--------|--|----|-⌫-|-|-----|------------|
les ra i sonsde ssusdictes ettantoséieb iendire de	--|--⌫-⌫---|--⌫---------|-|---|---|-|-⌫--|---|-|
luy àson l oz	--|-|--|-⌫-|
qu ilnemesemblepasqu e iamais i aye	-|-|-|-|-----|--|--⌫|-----||--|
con gneunul pri n ceoùi lye us tmoins deuices	---⌫---|--|---⌫-⌫-|--|-⌫||-⌫--⌫|----|-|----|
que en luyàregard e rle	--|-|--|-|------⌫-⌫|-|
eu a utant de congnoissance degransprince s	-|-⌫----|-|------------|-|----|------⌫|
etauta ntde	-|----⌫-|-|
communicatio nauecqueseulx	------------⌫|-------|---|
quenulhommequiait regnéen	--|--|----|--|--|-----|-|
Fra nce demon	---⌫--|-|--|
tem ps tantd eceulxquiont re gnéen	---⌫-|---|-⌫|----|--|--|--⌫---|-|
ceroyaulmequeen	-|-------|--|-|
Bretaignee t e nces partiesde	--------|-⌫|-⌫|--|------|-|
Flan dres en	----⌫---|-|
Allemaigne	---------|
A ngleterre	-⌫--------|
Port ugal et	----⌫---|-|
Italietan tseig neurs t emporelzquespirituelzetde	-----|---⌫|----⌫----|-⌫-------|--|---------|-|-|
plusieurs dontie n a y	--------|---|-||-⌫|
e ula ueuemai scongnoissance p arcommunication s	-⌫|-|---|---⌫|------------|-⌫-|-------------⌫|
deleursa m b assadesparl ettresetpar	-|----|-⌫-⌫-⌫------|--|-⌫-----|-|--|
le ursins tructions	--⌫--|---⌫--------|
on pe ultasse zauoird info rmations de	-|--⌫--|----⌫|----||----⌫-------|-|
leurnature et co ndicion	---|-----|-|--⌫------|
Toutesfoisne p retend z enriens	---------|-|-⌫------⌫|-|----|
enlelo u anten	-|-|--⌫-⌫--|-|
cet end roitdiminu erlho nneur	--|---⌫---|------⌫-||--⌫----|
nebonnerenommé edesa ultresmaisuous	-|----|--------⌫|--|-⌫-----|---|---|
en uoyecedont	--⌫---|-|---|
promptemen tmestsou uenue s per an tq ueuousledemandez	----------⌫||--|---⌫---|-⌫-⌫---⌫--⌫|-⌫-|---|-|-------|
pou rlemectre	---⌫|-|-----|
enq uelqueoeu urequeuou sauezi ntentiondefai reen	-|-⌫-----|---⌫--|--|---⌫|---|-⌫-------|-|---⌫-|-|
la nguelat inedontuousestesbi e n usitép arlaquelle	--⌫---|---⌫--|---|---|----|--⌫-⌫|-----|-⌫-|-------|
oeuure s e pou r racongnoistre	-----|-⌫|---⌫-⌫-|----------|
lagr andeurdu princeduqu eluou s	-|--⌫-----|-|-----|----⌫-|---⌫|
parlerayetaus si de	-------|-|---⌫-|-|
uostreent endeme nt	-----|---⌫------⌫-|
o ùie fauldroyetro uu erez monsrde	-⌫-|-|--------|---⌫--⌫---|----|-|
Bochageetautres quimy eulx uousensçaurontparl er	------|-|-----|--|--⌫---|---|-|--------|----⌫-|
etlecoucherenmeilleurlangaigeque	-|-|------|-|-------|-------|--|
Mais pou robligationdhonn eur	---|---⌫|---------||----⌫--|
etgranspriuaultézetbiensf a ictzs ansia mais interr o mpreiusquesà	-|----|----------|-|------⌫-⌫---|-⌫--|--⌫---|------⌫-⌫---|------|-|
lamort quel un oulautren	-|---|--||-|-||----||
