enl ennordelatrinite	-||----|-|-|------|
qui estune end eite.	--|--|--|-|-⌫---||
desyy cele	--|-|---|
anneeaiiemapenseeordene epar	----|-|-|-|-----|------⌫|--|
quoii epuisse rimef eredont	---|-⌫|-----|---|-⌫--|---|
le n sa che les faisretrairequisont	--⌫|--⌫--|--|---|-------|--|---|
en cest monde au en uz	-|---|----|--⌫--⌫-|
einsic o m les	----|-⌫-⌫|--|
airetenuz .	-|------||
encelleanneequ e	-|----|----|--⌫|
iaidi st abonifac e	|-|--⌫-||-------⌫|
serendistdelacoulonn eiaque etp ierre	-|------|-|-|-------⌫|----|-|-⌫----|
neneremaintpierre	-|-|------|-----|
s uspierreennulles	-⌫-|-----|-|-----|
dele u r sfortere ssesdomil oren tde granzdestresses.	-|--⌫-⌫-⌫|-------⌫---|--|-|----⌫|-|----|---------||
einsico mmenca	----|--⌫-----|
gue rrequid euoit me tre	---⌫--|--|-⌫----|--⌫--|
pa isenterre	--⌫-|-|----|
etnostresire ihesucristsilemoustrapars on	-|-----|---|----|----|-|-|------|--|-⌫-|
esc r it quant	---⌫-⌫-|----|
ilasaint pier r e fist metres	-||----|----⌫-⌫|---|----||
e speeoufu er reentremetrene li less apasde	-⌫---|-|--⌫--⌫-|---------|-|-|----⌫|--|-|
bataill e.	-------⌫||
mes on ne prisehuiune	--|-|-|----|--|--|
p aill enulc om ma ndementquedi exf ace .	-⌫----⌫|--|-⌫--⌫--⌫------|--|--⌫-|-⌫--||
celuidont iedi bo ni f ace saintceles tinson	----|---|-|-|--⌫--⌫-⌫--|----|-----⌫--|--|
deuantierqui pereestoitpard roi t sentiersi mena	--------|--|---|-----|--|-⌫---⌫|------|-|---|
par son lati ni e rquedutoutle	--|--|----⌫--⌫-⌫|--|-|---|-|
fist resinie re t	---|-------⌫|-⌫|
semistainsi ens of fice.	-|---|----|-||--⌫---||
pa rfraudeet	--⌫|-----|-|
parmalicefuilfait comde leupastou r	--|-----|-|-|---|--|-|--|------⌫|
puispr is tdemilicela	---|--⌫--⌫|-|-----|-|
tour eenfistseingneu rle marquis	---||-|---|--------⌫|-|------|
sonne u eusanz e strere q uis	--|--⌫-⌫-|---|-⌫---|--⌫-⌫--|
narouma insdo nc	||-----⌫--|--⌫-|
courrouci ezfu rent	---------⌫-|--⌫---|
etpuisa presillit olurent.	-|---|-⌫---|-|-|-⌫------||
cel eannee neplus	---⌫|----|-|---|
mains chemi neren tarommemains	----|-----⌫-----⌫||----|----|
horsdu pais	---|-|---|
horsdeleur terremu rentpor	---|-|---|----|--⌫---|--|
lepa rdo naquerre.	-|--⌫---⌫|------||
alae nbele guise qu i s	--|-⌫|---|----|--⌫||
ensachemise	-|-|------|
cheu a liers baronsclers p rouuoires yaloie nt com folzafoires	----⌫-⌫----|-----|----|-⌫--------||-----⌫-|--|---||-----|
ensi nous apris au lardonboniface p ar	---|---||---|-|-----|-------|-⌫-|
sonp ar don quiest oit aute mp sd elors pape	--|-⌫--⌫--|--|---⌫--|-|--⌫--⌫|-⌫|---|---|
fi stamaint	--⌫-||----|
cler cle ssier	----⌫|--⌫----|
sachapehouce etcot t eetsercoten gagelessier	-|----|----|-|---⌫-⌫|-|-----|-|---|------|
pour les cotdont	---||--⌫--|---|
ilperdirent geuet rire.	-|--------|--|-|---||
cis etrouuerent	-|-⌫|---------|
enlempire heb ergiez	-||-----|---⌫-----|
douroyaumeenleude coustesuslechaume.	--|------|-|--|-|-----|--|-|-----||
lorsal ere ntplus orsa romm equireto r nerent mains preudommes	---|--⌫---⌫-|----⌫--||----⌫|--|----⌫-⌫-----|----|---------|
quinauoient deuan t	-|||------|-----⌫|
f urentar res téaro mme puisnenretorneren tet	-⌫----|--⌫---⌫--||--⌫--|---||-|----------⌫|-|
aue c largentdem ourerentdontlepape enfup lu s	---⌫||-----|---⌫-------|---|-|---|-|-|-⌫--⌫|
icele anneemouche e tbiche	----|----|-----|-⌫|----|
re curent agrant compaingnie	--⌫-----||----|----------|
e nlaterre	-⌫|-|----|
de l ombardiecharllelefrereauroydefran cequi	-|-⌫-------|------|-|----|-|--|-|----⌫-|--|
sen aloitpourfere a i da nc eencal abre	|-|----|---|---|-⌫-⌫--⌫--⌫|-|---⌫---|
d ecezille	-⌫|------|
en lombardiemainte	-|--------|-----|
uillerecustenpaisme	----|-----|-|---|-|
si recharl e	--⌫-|-----⌫|
mesa florenceottelbatail le	--||-------|-|--|------⌫-|
desguibelinsencontr elui	--|--------|-------⌫|--|
m es ilauoit a uecqueslui les	-⌫-|-|----|-⌫------|--|--|
guelfes de toute laterre qui	------|-|----|-|----|--|
silio ntfournisa gu err e quil	-|-|-⌫-|-----|-|--⌫---⌫|-|-|
pristfloren ceauquart iource	----|------⌫-|-|----|---|-|
siege etleseiour .	----|-|-|-----||
granthonorance fu mesire challe a florance	----|--------|-|-|---|-----||-------|
sifis tlesmes onsqu atr eet qua tredesguibelins	-|---⌫|--|---⌫--|--⌫---⌫|-|---⌫--|--|--------|
toutesab atre dontflo rancefuafeblie	-----|--⌫---|---|---⌫----|-|------|
a ceuzdupa isneplustmi e e t	|---|-|--⌫-|-|----|--⌫|-⌫|
