form P ourla	---|-⌫--|-|
curatiu eonfaisoi t	-------⌫|-|------⌫|
dessaignées e t euacuation s des	--|--------|-⌫|----------⌫|--|
ele ctuaires etsy ropscordials.	---⌫-------|-|--⌫---|-------||
Etlesapo stemesexterieurs e stoientme urisaue c	-|--|---⌫-----|---------|-⌫------|--⌫---|---⌫|
desfiguesetoignonscuitsp ilezet	--|-----|-|------|----|-⌫---|-|
m es lezauecdu le uain et dubeurre pui s	-⌫--⌫--|---|-|--⌫---|-|-|-----|---⌫|
estoie ntouu erts	------⌫-|---⌫---|
et t raitezdela cure desulceres.	-|-⌫-----|-|-|---|--|------||
Lescarb oncleses toient	--|----⌫-----|--⌫-----|
uentousezscarifi ez	--------|-------⌫-|
etcauterisez .	-|---------||
euiterinfamien	-----|------||
osay pointm absentermaisauec conti n uel le	---|----||-------|---|---|-----⌫-⌫---⌫-|
peur me preserua ytantqueiepûsmoyennant le ssusdits	---|-|--------⌫|---|--|-|---|--------|--⌫|------|
Ceneantmoins uersla	-|---------|---|-|
fi nde lamortalit e ́ietombay	--⌫|-|-|--------⌫-⌫|-|-----|
enfi éurecontinuë a uecunapos tem ea ̀ l	-|--⌫----|--------|-⌫--|-|----⌫---⌫|-⌫||
h aine et maladiaypr ésdesixsema ineset	-⌫---|-|-------|--⌫--|-|--|----⌫---|-|
g rand danger quetousme s compag nonscro yoientqueie	-⌫---|-----|--|---|--⌫|------⌫---|---⌫-----|--|-|
mou russemais lapostemeestantmeury ettr aite ́comm e	---⌫----|---||-------|-----|----|-|--⌫----⌫|----⌫|
i ay ditieneschappay auuouloirdeDieu	|-|--||-|--------|-|------|-|---|
En apreslan s oixanteet le	-|----||-|-⌫------|-|-|
huictiesmedu Pontificat d u	---------|-|---------|-⌫|
PapeInnocen t sixiesmee n retrogr adantdAlle m agne etdes	---|-------⌫|-------|-⌫|-------⌫----||----⌫-⌫---|-|--|
partiesseptent rionales lamo rtali té r e ui nt	------|-------⌫-------|-|--⌫-----⌫--|-⌫-⌫--⌫-|
Etcommença uers la festede	-|--------|---|-|----|-|
Michel auecbos ses	-----|---|---⌫--|
fiéurescarbonclesetanthraxe nsaugm entant	-------|---------|-|------|-⌫||----⌫-----|
petit àpeti te tquelquefois	----|-|----⌫|-⌫|----------|
s eremettantius quesaumilieu de	-⌫|--------|---⌫---|-|-----|-|
lansoixanteetuniesme .	|-|-------|-|------||
P uiselledur as ifurieuseiusquesau x	-⌫--|---|---⌫|-⌫|-------|------|--⌫|
troismois ensuiuans quelle	----|---|--------|-|---|
ne laissae np lusieur slie uxlamoitié	-|-----|-⌫|-⌫-------⌫|---⌫-|-|------|
Elle differoitdela	---|--------|-|-|
precedent ede ce	---------⌫|-|-|
quen la premieremouru rentplusde lapopulaceet	-|-|-|-------|-----⌫---|---|-|-|-------|-|
encestecyplus des richeset nobles	-|----|-|---|--|-----|-|-----|
enfanset peudefemmes.	-----|-|--|-|-----||
Durant icelleiecollig eayetc omposayun tel	-----|-----|-|------⌫--|-|-⌫------|-|--|
electuaire t h eriacald espropo s de	---------|-⌫-⌫------|-⌫-|-----⌫|-|
maistreArna ud deuilleneufueet	------|----⌫-|-|----------|-|
desmais trestant de Mon tpe ll ie r quede Paris	--|----⌫---|---|-|---⌫---⌫--⌫--⌫|--|-|----|
grained egeneu red euxdrachmes	-----|-⌫|-----⌫-|-⌫--|-------|
et demie giroflesmacisno ixmuscadegingembreZedoariede	-|----|-------|----|--⌫-|------|--------|-------|-|
c hacun deuxdrachmesdesde ux aristoloc hiesra cinede	-⌫----|---|-------|--|--⌫-|---------⌫---|--⌫---|-|
genti a net or mentilleracine delher betunixdic tame	-----⌫-⌫-|-⌫--⌫-------|-----|-||---⌫-|----|---⌫---|
ra cined enule camp ane	--⌫---||----|----⌫--|
dech acun unedrachmeetdemiesa ulgerubalsamite	-|--⌫---|--|------|-|----|--⌫---|-|--------|
mentepolemonie(quiestpo u l liotceru inselon	----|--------||--|--|--⌫-⌫-⌫---|----⌫-|----|
maistreArnau d ouc helidoine	------|-----⌫|-|-⌫--------|
s elonmaistreMun din)de c hacununedrachmebayes	-⌫---|------|---⌫--||-|-⌫----|--|------|----|
delaurierdoronic s af ra n se mencedoz e illesemenc ede	-|------|------|-⌫--⌫--⌫|--⌫----||--⌫-⌫---|------⌫|-|
citron basil i c ma stic ence n sbola rmenien	-----|-----⌫-⌫|--⌫---|----⌫-⌫|--|-⌫------|
terresee l lée spode os ducœurde cerfratiss eured	----|---⌫-⌫---|----|-|-|---|-|---|------⌫---||
yuo ir eperlesf ragment sdesaphir etdesmeraude	---⌫--⌫|-----|-⌫-------⌫|-|-----|-||--------|
corailrou gebois d	-----|---⌫-|---||
aloës sandalrougeetmusc atelindechacundemy drachme	-----|-----|----|-|----⌫-----|-|-----|---|------|
conseruedero se conserued e bugl osse conserue de	-------|-|--⌫-|-------|-⌫|----⌫---|-------|-|
ne nuphart heriaq ue esprouué e	--⌫-----|-⌫------⌫-|---------⌫|
de c h acu nuneonce pain	-|-⌫-⌫---⌫|--|---|---|
Soi tf aitele ctuaire auece aude sc abieuse	---⌫|-⌫--|---⌫------|---|-⌫-|-|--⌫------|
ete au r ose unpeu ca mphr ée .	-|-⌫-|-⌫--|-|--|--⌫----⌫--||
Ien pr e noiscomme del a	|-|--⌫-⌫---|----|-|-⌫|
