#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
#MET A #AuthorBorn	----⌫-⌫|---------|
#META#AuthorBornAmb	-----|------------|
#MET A#Autho rDied	----⌫-|-----⌫----|
#META#Aut horDiedAmb	-----|---⌫---------|
#META#Autho rFl1	-----|-----⌫---|
#META# A uthor Fl2	-----|-⌫-----⌫--|
#META #Tex tTi tle Meraugin dePortlesgu ez	-----⌫|---⌫---⌫--|-------|-|---------⌫-|
#META#TextS ubtitle	-----|-----⌫------|
# META#Textu ol s	-⌫----|-----⌫--⌫|
#META#TextSubi	-----|-------|
#M ETA#TextDom	--⌫---|------|
#META#Translation	-----|----------|
#META#Collection	-----|---------|
#META# Colle ctionNo	-----|-----⌫------|
#META#TextDesc ARLuersoctosy llabiques à rimes plates	-----|--------⌫--|---|------⌫--------|-|----|-----|
#META#TextDescuer s 8	-----|-----------⌫||
#META#TextDate ARLEntre1225	-----|--------⌫--|----|---|
#META# Te x t DateAdi13	-----|--⌫-⌫-⌫------|-|
#META#TextDateMin1225	-----|----------|---|
#META#TextDateMax123 5	-----|----------|---⌫|
#META# EdEditorFriedw agner	-----|-------|------⌫----|
#ME TA# EdPlac e	---⌫--|------⌫|
#META#EdPublisher	-----|----------|
#META# Ed uol	-----|--⌫--|
#ME TA#EdYea r189 7	---⌫--|-----⌫|---⌫|
#META#EdPages1-227	-----|------|----|
#ME TA#MsBaseuat.R eg. l at.	---⌫--|-----|---|-⌫--|-⌫--|
#ME TA# MsOther WienÖst erreichische Nationalbiblio thek2599	---⌫--|------|---|----⌫-----------|--------------⌫---|---|
#META#Ms OtherT orino Bibl. naz. L.Iu.33	-----|--⌫----|-⌫----|----|---|------|
#META#MsOther KrakówU niu.gall .qu. 48	-----|------|------|-⌫---|----⌫|--|-|
#META#MsOther	-----|------|
BNnfr.5386	-|---|---|
#META#MsN um5	-----|---⌫-||
#MET A#MsDateARL	----⌫-|--------|
#META#MsDateAdi	-----|--------|
#META#Formu	-----|---||
#META#Completetrue	-----|-------|---|
#META # NoWords	-----⌫|------|
#M ETA#NoLin es 5938	--⌫---|-----⌫-|---|
#META#DialAuth	-----|-------|
#META#DialScribe	-----|---------|
#ME T A#S canUR L https//archiue.org/details/raouluonhou denc00friego og/	---⌫-⌫-|-⌫-----⌫|--------------------------------------⌫------------⌫--|
#META#Sc anURIOther	-----|--⌫---------|
#META#ArkID ark/ 13960/t2g73fi2 r	-----|----|----⌫--------------⌫|
#MET A#LccnID	----⌫-|-----|
#META#OclcID	-----|-----|
#META#WebAuthor	-----|--------|
#META#ORCIDW ebAut hor	-----|------⌫-----⌫--|
#META # WebReuiewer	-----⌫|----------|
#META#ORCIDReui ewer	-----|---------⌫---|
#M ETA#MiscI nfo	--⌫---|-----⌫--|
#META# CC L icenseCCBY-NC -SA 4.0Inte rnationa l	-----|--⌫-⌫-----|-|-----⌫--|--|----⌫--------⌫|
Qui derimoiiers en t r em et	--|-|-------||--⌫-⌫-⌫--⌫-|
E t s o ncueret	-⌫|-⌫-⌫|---|-|
sententemet	|------|--|
Ne uautnoient qu anque il conte	-|---|-----|--⌫-|--|-|----|
S ilnemets	|-|-|--||
est udee nce l conte	---⌫--|-⌫|--⌫|----|
Qui to ziorzs oit bonsa retrere	--|--⌫|---|-⌫--|---||------|
Carioieest de bone oeuref ere	--|---|--|-|---|----|-⌫--|
Demati requ itoziorz dure	-|----⌫-|--⌫|--|---|---|
Cest desbonscon tesl auenture	|--|--|---|---⌫--||-------|
D econtera bon conteor.	-⌫|-----||--|-------|
Ci lautrequisont	--⌫|----|--|---|
Deseruantoissachiezquefont	-|---------|------|--|---|
Noie ntdïentqua	----⌫-|-----|-||
noient uont	-----|---|
Lore stude	--|-⌫----|
etlormot qu	-|--|--|-|
Con trediseor so nt ne	---⌫--------|--⌫-|-|
Point delorsens ainzsont	----|-|--|---|---|---|
Qui t ot boiue ntlorsenspar	--|-⌫-|-----⌫-|--|---|--|
PorceR AO USDEHODENCdit	--|-|-⌫--⌫-|-|-----|--|
ueut de so nse nsqui es t petit	---|-|--⌫|--⌫-|--|--⌫|----|
Unnouel conte	-|----|----|
Quiserabons a	--|---|---||
To z iorzneiamesne	--⌫|---|-|-|--|-|
Mestantcom cistsi ecles	--|---|--|---|--⌫----|
Durracist con t esen grant pris.	----|---|---⌫-⌫-|-|----|----|
cont e s deMeraugis	----⌫-⌫|-|-------|
Quifistle sf ezqueie ra cont	--|---|--⌫|-⌫-|--|-|--⌫---|
conterneuosmescont	-----|-|--|------|
deui lai nie	-|--⌫---⌫--|
Ainzestcontesdecor toisie	---|--|-----|-|---⌫-----|
Et debeau s	-|-|----⌫|
mozet de p lesan z.	--|-|-|-⌫-----⌫-|
Nus silnes tc ort oiset	--||-||--⌫|-⌫---⌫--|-|
u aillan z	-⌫------⌫|
N estdi gne sdouconteescou ter	|--|--⌫---⌫|--|----|-----⌫--|
Dontie uosuueill esmo z c onter.	---|-|--|----|-⌫-|--⌫|-⌫-----|
Sei gn ora utenslero iArtu	---⌫--⌫-|-⌫|---|-|--⌫|---|
Quitantestoitdegra ntuert u	--|---|-----|-|---⌫-|----⌫|
Oten B retaignela	-|-|-⌫-------|-|
G reigno r	-⌫------⌫|
Unroi quitint	-|--|--|---|
mout gra nthon or.	---|---⌫-|---⌫--|
Cefuli rois	-|-|-|---|
de Cau alon	-|---⌫---|
plusbea usq u eA bsalon	---|---⌫-|-⌫-⌫|-⌫-----|
S icom tesmoignel i Gr eaus.	-⌫|--|--------|-⌫|--⌫----|
Li r oisqui fupreu zetloiaus	-|-⌫--|--|-|----⌫|-|-----|
Etrichesdamise t pu issanz	-|-----||---|-⌫|--⌫-----|
o t quifuuail lanz.	-⌫|--|-|----⌫----|
L ad amo isele ot	-⌫|-⌫---⌫----|-|
nonLidoine	--|------|
No t iusquauportdeMacedoine	|-⌫|----|-|---|-|--------|
Feme quifustdesa beauté	---|--|---|-|-|------|
Ainzfustautre	---|---|----|
io uenzuiu té	--⌫---|---⌫--|
Qui f ust demostrez lezsafac e.	--|-⌫--|--------|--|-|---⌫-|
me pl es tque ieenface	-|--⌫--⌫|--|-|-|---|
Del ibelesde scriptïons	-|-⌫|----|--⌫----------|
Cefuliplusgentiz cïons	-|-|-|---|-----|-----|
OuDe usmeïst	-|--⌫-|-----|
onquesn atur e	-----|-⌫----⌫|
Dedeuiser tel creature	-|------|--|-------|
Medotque ien en	-|--|--|-||-|
u ie gne achief	-⌫--⌫--||----|
Carlapuceleau oitle chief	--|-|-----|--⌫--|-|----|
Debeleassiseetlicheuuel	-|---|-----|-|-|------|
