kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
du nt biens untfaitlesuers	--⌫-|---|-⌫--|---|--|---|
p a r cunsonant	-⌫-⌫|--------|
or elaist l a	--⌫|----|-⌫|
n oise.si setreiea uant	-⌫---||-|-|----|-⌫---|
diru mlaflur de lageste	----⌫|-|---|-|-|----|
delfiz pepin lenob le	--|--|----|-|---⌫-|
de s duze persquis	--⌫|---|---|--||
entra merent ta nt	-----⌫-----|--⌫-|
seue rerenttresk auniorpesant	----⌫-----|----||-|--|-----|
ke gue nesles traï o d	-|---⌫--|--|----|-⌫|
lasaluage gent	-|------|---|
un iormururent uintmilliere	-|--|-------|---|------||
decelbarnage dunt charlesotdoelg rant.	-|--|------|---|------|-|---|-⌫---||
ciliugle orn en	--|-----⌫-||-|
di enttantnequant	--⌫--|---|-|----|
ontl eis sé	--|-⌫---⌫--|
kilne s eu ent ni ̈ent	|-|-|-⌫--⌫--|--⌫---|
dangerede lautri chantant	-----||-||----|-------|
lesparolesmenues quiluontcuntrouan t	--|------|-----|-|-|---|---------⌫|
mesilneseuent	--|-|-|-----|
mielegrant desturbement	--|-|----|-----------|
k auintach arlemainesisubitement.	|----||--⌫--------|-|---------||
seingnursçofuleiordunt liinnoc en tsun t.	--------|--|-|-|--|---|-|-----⌫--⌫|---⌫||
apa r ises t	|--⌫-⌫-|--⌫|
enfrance charle sd eclerm un t	-|-----|------⌫|-⌫|-----⌫--⌫|
curtplen erel iduze p er isun t	---|----⌫--|-⌫|---|-⌫-||---⌫|
multpa rest laioiegrant que	---|--⌫|--|-|---|----|--|
libaruns i funt.	-|-----||---||
unplaiontesta bli k enespanie irunt	-|---|--|----⌫--||-|------|----|
sur l e rei marsil iele serement ifunt	--|-⌫|--|------⌫-|-|-------||---|
ço ert apres auerilq uantherbe fre sche	--|--|----|-----|-⌫---|----|---⌫---|
einzqu efinentlurparole	---|--⌫|-----|--|-----|
tel esnouel es orunt	---⌫-|-----⌫-|----|
dun tuint milcheualer denozfrance ismurunt	---⌫|---|--|-------|-|--|------⌫-|-----|
sid ampnedeu	-|-⌫-------|
nen p ense quisu stenttut le	|-|-⌫---|--|--⌫----|--|-|
uns ara zi n de spaine qu iotüel anun	-|-⌫---⌫--⌫||-⌫-----|--⌫|-----||--|
messagierga rsiebienresemblebarun	--------|--⌫---|---|-------|----|
parmi p ar is cheualchea c oi te despurun.	--|-|-⌫--⌫-|--------||-⌫--⌫-||------||
quant uie nt a l	----|---⌫-|-⌫|
paleissi d escenta l	-----|-|-⌫-----|-⌫|
l esde sgr ez	-⌫-|--⌫---⌫-|
monte sidemande	----|-|------|
og ie r encuntree galt er enaimun	--⌫--⌫|-------||----⌫-||-----|
seign urfaitli paen	-----⌫-|---|-|---|
k arm e must rezcharlun	-⌫-|-⌫|----⌫--|------|
mes sag ier suiu nrei quinela ime un butun	---⌫---⌫--|--|-⌫|--|--|--|-⌫--|-|----|
premeriap arlé	-----|||-⌫----|
galte r cil	-----⌫|--|
ueil etulau	--|-⌫|-|-||
setace l f lurige rnun .	--||--⌫|-⌫---|--⌫---||
celui olagrantbarbeacelueirpeliçun	----||-|----|----||--|---|-------|
çoest rolla ndsiniés e l	--|--|-----⌫-|-|----|-⌫|
uermeilci clatun.	------|--⌫-----||
de l altre part u eezusi et soncompaignun	-||----|---|-⌫--||--⌫-|--|---------|
cuntequioli ue r anun.	----|--|---⌫--⌫||--||
çosuntliduze pierqui lur	--|---|-|---|---|--|--|
s untenuir un.	-⌫--|-----⌫-||
mahunf aitli	----|-⌫--|-|
paenorecon usio charlun	---|--|---⌫-|-|------|
malfeu emale	--|--||---|
flambeliard ele	-----|-|---⌫|-|
ke lifende	-|-|----|
deska ltalun	---|-⌫|----|
li sarazinen uientde uantl erei	-|------|-|----|--⌫---|-⌫|--|
charlesfeitil ore ente ntuer smei.	------|---|-|--|----⌫-|---⌫|--||
messagie rsu içoquid	--------⌫|--⌫|--|---|
al meil lur rei	-|----⌫--|--|
kunques feüstenla	|-----|-----|-|-|
paie nelei .	----⌫-|--||
nete sal uk adreitfaire	-|-|---⌫|||----|----|
forfaitenesuersmahumet euer s	------|-|-|---|------||---⌫|
ciltecunfundeen lakile iio	--|-|-------|-|-|-|--⌫|-|
etuzces altre s	|--|--|-----⌫|
quisunt enuiruntei	--|---|------|--|
e ton neuuroll antque io	|--|---|----⌫--|--|-|
si uncore unior	-|-----|-|--|
letru isenturn ei	-|---⌫-|-|----⌫-|
kemu ndestr erpuisse acurseruers s ei	-|--⌫|-----⌫-|-----|------|---|-⌫-|
espeele quidfaireun	----|-|---|----|-|
parmilecorsmu lt ert forts inel	--|-|-|---|--⌫-|--|---|-⌫|--|
rollant serits i	------|-|--|-⌫|
reguardeler e i .	-------|-|-⌫-⌫||
sara zinfrere fe t rollant	----⌫--|----|--⌫|------|
tupoez bien di re tutestesuol entez	-|---|---|--⌫-|----|--|---⌫----|
iapurfra nc ̧ eisne serrasatuchez .	-|--|---⌫--⌫-⌫--|-|-----|------||
dit charlesp uiskeuusleuolez	--|------|-⌫--|-|--|-|----|
d emeiepartest il	-⌫|---|---|--|-|
b ienafïe z	-⌫--|-----⌫|
cest ior desk auit iurspassez	---|--|---||--|---|-----|
distotü elde folieparlez	---|----⌫-|-|----|-----|
nereduthum me quide mereseitn ez	-|----|---⌫-|--|-|---|---|-⌫-|
tantcumauerai cest e speeamunleez	---|--|-----|---|-⌫---||--|---|
c ̧o estcurçuse d untio suiadu bez	-⌫-|--|-------|-⌫--|-|--|---⌫--|
nena tmieuncore	|-|-⌫|--|-----|
ne fmeispassez	--⌫|---|-----|
kam ilfranceis enai	||-⌫-|-------|-|-|
ufuç ofrere	|-|--⌫|----|
f etchar le s liremembrez .	-⌫-|----⌫--⌫|-|--------||
dit otineli ouus	--|-----|-⌫|--|
dirra a s sez	----|-⌫-⌫--|
meisel nefme suient rez	---|-|----|--|---⌫--|
destruiteiertro mme tauaillant ecitez	--------|---|--⌫--|-|--------⌫|----|
delaquelee stes emperereclamez	-|------|-⌫---|-------|-----|
lir eisgars ie	-|-⌫--|----⌫-|
laprist es isb arnez	-|----||-⌫-|-⌫----|
uintmilhummes	---|--|-----|
tutacunte numbrez	--||----|------|
humme s que femmes	-----⌫|--|-----|
u nc oreplusassez	-⌫--⌫--|---|----|
mort nest un es cha pez.	---||--|-|--⌫---⌫--||
ferita nt dem e spee	---|--⌫-|-||-⌫---|
keuiti ursple ne rs	-|--|-⌫--|---⌫--⌫-|
oile spoinzenfle z .	-|--⌫|----|-----⌫||
dientfranceis marfustesunques n ez	----|-------|--|-----|-----|-⌫-|
estultdelengre sestenpiezleuez	-----|-|------⌫|--|-|---|----|
bastun qu edeua nt fu	-----|--⌫|----⌫-|-|
ia lef eristçosauumnus assez	-|-|-⌫----|--|----|--|----|
meisliniés c harle s ene ncun trealez	---|-|----|-⌫-----⌫|-|-⌫----⌫--|---|
sel iadi tsireestultreposez	-|-⌫||--⌫|---|-----|------|
purme ie amu rsi derienmam ez	--|--⌫-|---⌫|-|-|---||--⌫-|
karlip aen est	--|-|-⌫--|--|
demeiafïez.	-|--|-----||
laissez luidiretutessesu olentez	------|--|---|----|--|-⌫------|
uncheualeri	-|-------||
f u ma lsenez	-⌫|--⌫|----|
prouenceliert d ese intgilefu	--------|---|-⌫|--⌫------|-|
almessagier estderere	-|--------|--|-----|
puinz liat el	----|-|-|-|
chiefme lle z	----|--⌫---⌫|
traitle a terreka rcil nes	----|-||----|--⌫|--|-||
est gardez.	--|-----||
m eisotin elest multtost	-⌫--|----⌫-|--|---|---|
tra itcurçus eduntle	---⌫-|-------⌫|---|-|
ferir leueitnes est	----|-|---|-||--|
pas ubl ïez	--|---⌫---|
k aspi ez lereien est lech efcolpez	|-|--⌫-|-|--|-|--|-|--⌫-|-----|
fr an ceis s escrientbarunkar	--⌫--⌫---||-------|----|--|
otin el s est	----⌫-||--|
aunepartturnez	|--|---|-----|
lesoilzr oïllelesgern unsa	--|---|-⌫-----|--|----⌫--||
lïun resembl equi seit	----|-------⌫|--|---|
enchae nez .	------⌫--||
en halt sescriebarunsneuusremuez	-|---||-----|-----|-|--|-----|
kar par ic eldex aq uimesu ido nez	--|--|--⌫-|--||-⌫-|-|--⌫|--⌫--|
iamurentsetcen z siu uscroulez	-|-----|--|---⌫|-|-⌫-|------|
lempere res enest en piez	|------⌫-||-|--|-|---|
siluiaditles pee	-|--||--||--⌫--|
di t lipaiend efolieparl e z.	--⌫|-|----|-⌫|----|----⌫-⌫||
d uncdis t rodlan tamei l arendez.	-⌫--|---⌫|------⌫||--|-⌫|-----||
a ss ez lauerezquantuusdep artirez.	-⌫--⌫-||-----|----|--|---⌫------||
dit otinel beal sireore latenez	--|-----|---|---|--|-|----|
uus pri keb ien lameguardez.	--|--|-|-⌫--|-|-|------||
neladoreiepurset	-|-|-----|--|--|
deuos citez.	-|--|----||
unc oreen e rtdeceluiuostrechief	---⌫--|-|-⌫-|-|----|-----|----|
d istro dlantpar	-⌫--|--⌫----|--|
feitro puusaua ntez .	--|---⌫|--|---⌫---||
uostremessa geditespuis	-----|-----⌫-|----|---|
uus en a lez.	--|-|-⌫--||
iouolenter s distil	-|--------⌫|---|-|
oreescutez	--|------|
charles feit	------|---|
il ione tecele raimie	-|-|-|-|----⌫--|--|
messagi er suil emperu rgarsie	-------⌫-|--||------⌫|-----|
kitientespanie	-|----|------|
ali xandreebucie	---⌫-----||----|
ty re e syd oniepersee barba rie	--⌫-||---⌫---|----||-----⌫--|
ede strei nt	|--⌫-----⌫-|
tut desiken	--|-|-||-|
p arm eiteman deleissecr istïe nie	-⌫-|-⌫-|-|---⌫-|-----|--⌫------⌫--|
cris tïenténeualtune alie	----⌫-------|-|---|--|---|
mess erfmahun	--|-⌫--|----|
qui tut l emundeguie	--|--|-⌫|----|---|
ne creitilfeitgran tfoli e.	-|----|-|---|----⌫|----⌫||
deui encsistu etaco mpaig n ie	----⌫--|--|-||-|--⌫-----⌫-⌫-|
pu issiten	--⌫-|-||-|
uien alrichereigarsie	---|-|----|--|-----|
ilte dorraaue r emanantie	-|-|----|---⌫||-------|
ensurke tuttelarranor me n die	-------⌫--|-|----|---⌫--⌫-⌫--|
e dengleterreles	||---------|--|
atunneuu rodlantdurra	|--|---|------|----|
prenge e scla u unie.	-----|-⌫----⌫-⌫---||
mesducefrance ne uuslarra il mi e	--|---|-----|-|--|----|-|--⌫|
ilatdonéflorïan de	||-|----|-------|-|
