quiweultoirsarm on	--|----|--|----⌫-|
drois etuerai et bonet	----|-|----|-|--|-|
face es cout et entend ea	---|--⌫---|-|------⌫||
e tiel idira isa nz desuei	-⌫|-|-⌫|----⌫|--⌫-|-----|
d uns aintmartir	|-|-⌫---|-----|
la p ass ion	-|-⌫---⌫--|
deg rantmer iteetde	-|-⌫---|---⌫--|-|-|
eusta sefuapelé	-----⌫-|-|-----|
p uisqueilf u regeneré	-⌫-----|-|-⌫|--------|
lau erite uo s endir ai	-|-⌫----|--⌫|-|---⌫-|
sicomme enn escrit	-|----|--|-----|
comme nti hesusle co nuerti	-----⌫-|-⌫----|-|--⌫-----|
c ommentde son pais issi	-⌫-----|-|--|---|---|
co ngrant duel	--⌫|----|---|
outetcong rantp einne	--|-|--|-⌫---|-⌫----|
puisque ilfu h orsde so n	------|-|-|-⌫--|-|--⌫|
de safame etde	-|-|---|-|-|
sesem fan z	--|--⌫---⌫|
keilperdi parplusorsanz	-|-|----|--|------|--|
conle mpererel e fist querre	--||-⌫------|-⌫|---|-----|
confu trouuéenaut reterre	--|-|------|-|---⌫-|----|
i oieilrepaira	-⌫--|-|------|
empererelennora	-------||-----|
conmentsesdeuzfilz	------|--|---|---|
et safameque	-|-|---|--|
dedenzla bargea uno ton nier	-----|-|----|-⌫|--⌫---⌫---|
quienlamerleuuoltnoier	--|-|-|--|-|----|----|
etenla finoquel amor	-|-|-|--||---|---|
ioieetoqueldoucho r	---|-||---|------⌫|
ils ouffrimortporihesuc rist	-|-⌫-----|---|--|------⌫---|
quisaint ga briel litra mis t	--|----|--⌫----|-|---⌫---⌫|
quile cond ist	--|-|----⌫--|
en icelreine	-|---|----|
ouest to ziorsrepossanzpainne	-|--|--⌫|---|----|---|-----|
elten stroienle mpe reor	-|---⌫|-----||-⌫---⌫---|
quides r ommains estoit seignor	--|--|-⌫------|-----|------|
fuun cheualier preuzetsage	-|-|--------|----|-|---|
riches d auoirhaut deparage	-----||----|---|-|-----|
derichesparen s et damis	-|-----|-----⌫|-||---|
nauoitpl uspuissantelpai s	|----|--⌫-|-------|-|---⌫|
si c ommeenn escr ist let rouuon	-|-⌫---|--|----⌫--|-|-⌫-----|
placidusfu sompropr e non	-------|-|--|-----⌫|--|
sene sch alfu	----⌫---⌫-|-|
descheualiers mestre etdo u tor	--|---------|-----|-|--⌫-⌫--|
lemperere l au oitmontchier	|-------||--⌫--|---|----|
iliertboncheualier	-|---|--|--------|
et porcenquem ontsag ement	-|--|--|--|-⌫--|---⌫----|
menotse soz gardan tsa gent	----|--⌫|-|------⌫|-|---|
etilenne stoit si	-|-|--|-⌫----|-|
kuest rene	-|---⌫-|-|
pooitdesco nfi t	----|-----⌫---⌫|
deproeecheessam plemonstrout	-|-------|-----⌫--|--------|
as ennemis	-|------|
qua n tassemblot	---⌫-⌫|--------|
monts iioignoithar diement	---|||-------|---⌫------|
et s en repairout sagement	-||-|--------|-------|
estoitmont roideetfort	-----|---|----|-|---|
cilquilferoitp resiertde	--|-|-|-----|-⌫--|---|-|
ua lutesc uungant	--⌫--|---⌫|-|---|
nenulhaube rc n ea umelu issant	-|--|-----⌫-||--⌫--|--⌫-----|
souuentles	------|--|
faissoitenuer ser	-------|-----⌫--|
autremortadenter	----|---|------|
sespe e n estoitpa s ce lee	|----⌫||-----|--⌫|--⌫--|
a ssezso uuentestoitmonstree	-⌫---|--⌫----|-----|-------|
toutes l es fezq u ill atraoit	-----|-⌫-|--|-⌫|-|-⌫|-----|
grantdamagelor e nfaissoit	----|-----|--|-⌫|-------|
trenchou tlo rpoinzetbrazettestes	--------⌫|--⌫|----|-|---|-|-----|
la ouestoitcorrouttempestes	-|-|-----|------|--------|
sesennemis partou t	--|------|--|---⌫|
em quelque li euqu illestrouoit	-|------|--⌫-|-|-|--|------|
delenchauz ierttoutprimerai n	-||------|---|---|--------⌫|
delrepai r i erle	--|-----⌫-⌫-⌫-|-|
merueilles b ienli	---------|-⌫--|-|
de tr estou tcenquil emprenoit	-|--⌫-----⌫|--|-|-|--------|
paai ensest oitnecre ooit mie	----⌫--|---⌫--|-|---⌫---|--|
e tneporquant menotteluie	-⌫|---------|----|--|--|
q uibien s e mbloutdecres tien	-⌫-|---|-⌫-⌫-----|-|----⌫---|
p einn ot defair e b ien	-⌫----⌫-|-|----⌫|-⌫--|
a pouuregent sabbandonot	|-----|---||---------|
auoir mo ntli do not	----|--⌫-|-|--⌫--|
asorphel inslorfierendeit	-|------⌫--|--|--|------|
etasueuesmariz estoit	-|-|----|----|-----|
lesorphelinnesmariot	--|----------|-----|
et lesenchartrésui sit ot	-|--|----------|--⌫---⌫-|
as pou uresier th umblesetpius	-|---⌫---|---⌫|-⌫-----|-|---|
ia aun soul ne	-||-|---|-|
futes chiu s	--|--⌫----⌫|
gentm ontlen noroient	---|-⌫--||--⌫-------|
amoientetle	------|-|-|
ot outemanieredegent	|-⌫---|------|-|---|
ses au oitau oircointement	-|-⌫--⌫--|--⌫--|---------|
redezestoit mont eniustisse	----|-----|---|-|-------|
etdr oiturierenitelg uis se	-|--⌫-------|-|---|-⌫---⌫-|
quilnefeistfauziugemen t	-|-|-|----|---|-------⌫|
pornul auoirsonenscient	--|--|----|--|-------|
pl usorshommesga rd a demort	--⌫----|-----|--⌫--⌫|-|---|
quiesto ientiugié a to rt	--|----⌫---|-----||--⌫-|
monte s toit	---|-⌫-⌫---|
sagesdecachier	----|-|------|
de b erser	-|-⌫----|
etd eriuoier	-|-⌫|------|
de chien s d	-|-----⌫||
oiseaxd a utresdeduiz	-----||-⌫----|-----|
desenfanc heiertbiene ntenduiz	--|------⌫-|---|---|-⌫-------|
dameauoitmont enn o ree	---|----|---|---⌫-⌫--|
gent delpaisnee	---|--|---|--|
l enseignout debienfere	|---------|-|---|---|
et mon t li poiet ichen plaire	-|---⌫|-|----|----|-----|
aspou uresdonnoitamengier	-|---⌫---|------||------|
auestirac auchier	|-----||-⌫------|
encen auoit	-|--|----|
mis sondeduit	--|--|-----|
le plusdeli oretde	-|---|--|-⌫-|-|-|
auoitgenurez ass e z	----|------|---⌫-⌫|
katre anz auo it	----|--|---⌫-|
lipl us ai n	-|--⌫-|--⌫|
keil amoi tmont t endrement	-|-|----⌫|---|-⌫--------|
etdoctrinn otmonts agem ent	-|--------⌫-|---|-⌫----⌫--|
se nzetprouec h eetcor toisie	--⌫-|-|------⌫-⌫|-|---⌫-----|
lor enseign otpa r g rant maistrie	--|-------⌫-|--⌫|-⌫---|-------|
des oroiezcompar	--|-|---|--|--|
et sa nz co m pereso npuissa nt	-|--⌫-|--⌫-⌫------⌫|------⌫-|
lam is erico r dedede	-|-⌫--⌫-----⌫-⌫-|-|-|
et la soe ebenigni t e	-|-|---⌫|-------⌫-⌫|
quidonne foias	--|----|--|-|
etauoieles fo loianz	-|----|--|--⌫-----|
cestui deri en ne	-----|-|--⌫-|-|
lco noissoit	|--⌫-------|
mespar itant congeuosdis	--|--|----|--|-|--|--|
k e asp ouures iert	-⌫|-|-⌫-----|---|
ladexregar dé	||--|-----⌫--|
qui entout ai me charit e	--|-|---|--⌫-|------⌫|
comditseinte escript ure	--|--|-----|-------⌫--|
touzi orssanzfi n	---|-⌫--|---|--⌫|
charite du re	------|--⌫-|
uniorau intq ualoitchacier	-|--|--⌫--|-⌫|----|------|
eniertcostumier	-|---|--------|
enun eforest mont ple niere	-|--⌫|-----|---|---⌫----|
debe stes de maint e	-|--⌫---|-|-----⌫|
d emont riche cheu a l erie	-⌫|---|----|----⌫-⌫-⌫---|
menao so igrant	---||--⌫|----|
compaignie	---------|
ca scunst intsonarcen so npoig	--⌫----|-⌫--|--|--|-|--⌫|---|
etli quiurenestoi tpa s	-|-|-----||-----⌫|--⌫|
pendoitdeu ers destre	------|---⌫--|-----|
qu inenuissealaitsen estre	-||-|-----||---|---⌫----|
o les sa i etesbar belleez	|--|--⌫-⌫---|---⌫------|
leeztrenchanz	---|--------|
etachereez	-|-------|
c ascu nss or somdestrier seoit	-⌫----⌫-|-⌫-|--|-------|----|
autre cacheor n iqueroit	----|------|||------|
kantilfur ent el	---|-|---⌫--|-|
boi sentré	---⌫|-----|
nefurentgairesloig alé	-|-----|-----|---|---|
qu ilencontrent unfoucdecers	-|-|---------|-|---|-|---|
qui paissoientparle s des ers	--|---------|--|--⌫|---⌫--|
placidus m ont bien ordena	-------|-⌫--|---|-----|
se s compaignonsetenseig na	--⌫|----------|-|------⌫-|
con mentlescer sat einder roient	---⌫---|--|---⌫|--⌫------⌫-----|
et co mme nt berseriporroien t	-|--⌫---⌫-|-----||--------⌫|
puis afaitleschiensd esco upl er	---||---|--|-----|-⌫----⌫---⌫-|
asc erslessa fait	-|-⌫--|---||---|
del abaides chiens etdo hu	-||---|--|-----|-|-|-|
sesont lice rfto stesmeu	-|---|-|--⌫-|--⌫-|----|
p lacidu s souuentesperonn e	-⌫------⌫|------|--------⌫|
deuresen autressonc orson n e	|----|-|-----|--|-⌫-|---⌫-⌫|
s ouuentlef ait aschien s oir	-⌫-----|-|-⌫--|-|-----⌫|--|
por eulz fair e	--|---|----⌫|
plus esba udi r	---|----⌫---⌫|
et liaut re	-|-|---⌫-|
tuitensement	---|-------|
poignenta pres con munement	-------|-⌫---|---⌫-------|
enunlieudelag rant	-|-|---|-|-|-⌫---|
comp aigne	----⌫----|
descers q u il	--|---|-⌫|-|
estoitu ncerfomont gent c ors	-----|-⌫|---||---|---|-⌫--|
gros otle col	---|-|-|--|
etlonc lecors	-|---|-|---|
crasetroont plainsetlui ssanz	---|-|----|-----|-|---⌫----|
etplus de s au tresa uquesgr anz	-|---|--⌫|--⌫---|-⌫----|--⌫--|
decorsdemembresdefachon	-|---|-|------|-|-----|
nesai fairecompereson	-|--|----|---------|
omquesne fupar nulegent	-----|-|-|--|---|---|
ueusicrassibel si	--|-|---|-|--|-|
lesch euali ers montlesga rdere nt	--|--⌫-----⌫--|---||----⌫-----⌫-|
et deluiprendre	-|-|--|------|
sepene re n t	-|----⌫--⌫-⌫|
mesilnelporent m ie	--|-|-||-----|-⌫-|
o mqu es n isorenttantentendre	-⌫---⌫-|||-----|---|-------|
out tr ai t	--|--⌫--⌫|
et lanchie ́	-|-------⌫|
meson cnifu pare ulz touchié	--|--⌫|||-|--|-⌫--|-------|
placidus montse merueillout	-------|---|-|----------|
beauteet p orp enso ut	-----|-|-⌫---⌫----⌫-|
commentretenirleporeit	------|------|-|-----|
m essonsenz	-⌫-|--|---|
pasnisouffi ssoit	--|||------⌫----|
ker licer festoittan t	--|-|---⌫|-----|---⌫|
nel aconseu stunquarrel	-||-------⌫-|-|------|
et souuent i ert tout l epremier	-|------|-⌫--|---|-⌫|------|
iertle deesri er	---|-|------⌫-|
souuentaparis soit uersd estre	------|------⌫---|---|-⌫----|
etmont souuent	-|---|------|
deuerssene s tre	-----|----⌫-⌫--|
etquantiluoloits are s tot	-|----|-|-----||---⌫-⌫--|
seursriensne	----|----|-|
n ecremoitseus net reei lliers	-⌫|------|---|-|-⌫----⌫-----|
re lesde chie ns	--⌫--|-|----⌫-|
c orsdeleuriers	-⌫--|-|-------|
maniereden gien	------||--⌫---|
keseustfairecres tien	-|----|----|----⌫---|
licers des autr esse depart	-|---|--|----⌫-|-|-----|
acheual iernel	|------⌫--|-||
et placidusbi en	-|-------|--⌫-|
montli estbe l	---|-|--|--⌫|
qu ise n seura	-|||-⌫|----|
por luisoultouz les autres	--|--|---|---|--|-----|
apr es luisoul	---⌫-|--|---|
pointe tes laisse	----|-⌫|--⌫-----|
desi q u asisdes cheualiers	-|-|-⌫||--|--|---------|
poignantapress orlesdestriers	-------|----|-⌫-|--|--------|
casc u ns de lat eindrese peinne	----⌫-⌫-|-||--⌫-----|-|-----|
cheuaxperdent laleinne	-----|------||------|
esta ngie ́fu renttostetlas	----⌫----⌫|--⌫---|---|-|--|
sillorestutalerl epas	|-|--|----|---|-⌫|--|
ettuitliautr e	-|---|-|----⌫|
cheuali er	-------⌫-|
erent en tent ifa uc achier	----|--⌫----⌫-|-⌫|-⌫-----|
desautre s	--|-----⌫|
ce rs lagra ntcompaigne	--⌫-|-|---⌫-|--------|
quis enfuio i tparlamontaigne	--||-|----⌫-⌫|--|-|--------|
etplacid uspoi ntne s alente	-|------⌫-|---⌫-|-||-----|
to utsolsiutsonc erfp ar lasente	--⌫-|--|---|--|-⌫--|-⌫-|-|----|
le d est rier souuentesp eronne	-|-⌫---⌫---|------|---⌫-----|
etledestri ergranzsauslidonne	-|-|------⌫-|----|---|-|----|
quipoin egrantne sa le ntot	--|--|-⌫|----|-||-⌫--⌫---|
m esde corremont s am e ndot	-⌫-|-|----|---||--⌫-⌫---|
de xl id onnot itel	--⌫|-⌫|-⌫----|---|
qui auoitiatout porueu	--|----|-|---|-----|
commentdesautre scheual iers	------|--|-----⌫|------⌫---|
placidus quimon tauoit ch i ers	-------|--|---⌫|----|--⌫-⌫--|
esloignoutm ontenz el	---------|-⌫--|--|-|
pordemostrer lui so ncora ge	--|--------|--|--⌫|----⌫-|
parmileb oi sle cers s e n	----|-|-⌫--⌫|-|---||-⌫|
etplacidusnulpoint	-|-------|--|----|
delui p rendrefor ment s arguee	-|--|-⌫-----|---⌫---||-----|
touziorslesieutala ueuee	---|---|-|----||-|----|
en laforestbien empar font	-|-|-----|---|-|---⌫---|
iertunrochierhau t	---|-|------|---⌫|
det o utespa rsiert le penda nt	-|-⌫-⌫---|--⌫-|---|-|-----⌫-|
nipeustmonter r ien su iuant	||----|-----|-⌫---⌫|-⌫----|
licerfi uait	-|---||---|
isnelement	---------|
estsus mont ezsanzgreu ement	--|--|----⌫-|---|----⌫----|
et placidussesta prismié	-|-------||--|-⌫-------|
delam ontaigne desqual pie	-|-|-⌫-------|----|-|--|
arestesoiius	-----|--|--|
enla pla igne	-|-|---⌫---|
l a montaigne	-⌫|--------|
qu imontestoith auteetague e	--⌫|---|-----|-⌫---|-|----⌫|
detou tespar sla	-|---⌫--|---⌫|||
mesne pot pas	--|-|--|--|
e ngi entro uuer	-⌫---⌫-|---⌫---|
ilpuis sesus monter	-|----⌫-|--|-----|
montparestu oirs irezgranment	---|--|--|-⌫---|---|-------|
kan tuoitquelecer fne	---⌫|---|--|-|---⌫|-|
tornesoncheual	----|--|-----|
primesamon t	-----|----⌫|
etpui sa ual	-|---⌫|-⌫--|
et dontr egard ec ontremont	-|---|-⌫-----⌫|-⌫--------|
etmetsamaindeuant	-|--|-|---|-----|
po rl erai del soleilparir	--⌫|-⌫|--|--|-----|----|
cerf puissemielz	---|-----|----|
puislamontaignerauironne	---|-|--------|--------|
no ise et hue et	--⌫--|-|--|-|
s on cor s onne	-⌫-|--|-⌫---|
dontsetraitilum poiariere	---|-|----|-|-|--|-----|
paumesf etespierre	-----|-⌫-|-------|
etp oi n tue rs	-|-⌫--⌫-⌫|--⌫-|
por l uifairesaillirelual	--|-⌫-|----|------|-|--|
meslecerfnes	--|-|---|-||
emm ut noien t	-|-⌫-|-----⌫|
kerseurest etreins necrient	--|---|--|-|----|-|-----|
seignorsoiezchose	-------|---|----|
bonea oiretdelit able	---||--|-|-----⌫---|
delcerfprendre estcist	--|---|------|--|---|
enneff rei	--|---⌫--|
meslicers atendusarei	--|-|---||----|-|--|
ou ilpr endr aleueneor	-|-|--⌫----⌫|-|-----|
qui la cachiétrestouteior	--|||------|--------|--|
otroiscordonsdecharit e	|----|------|-|------⌫|
aestenduousefer ra	|------|-|-|---⌫-|
neia nesem departirra	-|-|-||-|---------|
dumd es cordons lon ctensa uoit	|-|-⌫-|------|---⌫|---|-⌫---|
iert ialiébien l e s au oi t	---|-|---|---|-⌫|-⌫--⌫--⌫|
ore niuo ldra die u	-|-⌫||--⌫---|---⌫|
i ame s rompre	-⌫---⌫|-----|
kers icomm editsalemo n	--|-⌫|----⌫|--|------⌫|
corde q uia do ublecordon	----|-⌫-||--⌫---|-----|
ne ron tmie legierement	-|---⌫|--|----------|
ainz dure biene t	---|---|---|-⌫|
lo ngue men t	--⌫----⌫---⌫|
orr oiez quesont	--|---|--|---|
i llote tle qu elno n	-⌫-|-|-⌫|-|--⌫-|--⌫|
itant decha ri t eau oit	----|-|---⌫--⌫-⌫|--⌫--|
queaspour esmontbienfais oit	--|-|----⌫-|---|---|----⌫--|
mestant nequantn eco noissoit	--|---|-|----|-⌫|--⌫-------|
soncriato r	--|------⌫|
nenecreoit	-|-|-----|
desor mess era crestien	-----⌫--|-⌫--|-------|
dieu amer asor toute rien	---|----⌫|--|----|---|
etendi eutresto uzses	-|-|--⌫-|------⌫-|--|
etpordieu touzs e sennemis	-|--|---|---|-⌫-⌫|------|
caritepleniere	-----|-------|
bon eet ueraie ettouteenti ere	---⌫|-|-----|-|----|----⌫--|
hac onmeier tcilbeneu ré	-|-⌫---|---⌫|--|-----⌫--|
quiporraest reen uolepé	--|----|---⌫-|--⌫------|
de corde de	-|----|-|
si grantbon te	-|----|---⌫-|
conmee stueraiechari te	----|-⌫-|-----|-----⌫-|
m ieemp eechiee	-⌫-|---⌫------|
deliure depechie	------|-|-----|
kerc estuerai ee	--||--|-----⌫-|
deliuranche	----------|
endieuauoit fe rme creanche	-|---|----|--⌫--|-------|
etl u iameret por senor	-|-⌫-⌫|---|-|--||---|
ho nmea u oitamor	--⌫--|-⌫-⌫--|---|
de cenauonassez parle ́	-|--|---|----|-----⌫|
netiegneaenuié	-|-----||-----|
aces clers e n	|--|----|-⌫|
lesserondire	-------|---|
si reprendromsnostre matir e	-|----------|-----|-----⌫|
placidu s esten laualee	-------⌫|--|-|-|----|
lamontaignea au i ro nnee	-|--------||--⌫-⌫--⌫---|
montlipesemont liennee	---|-|---|---|-|----|
a ueetro uuee	|--|---⌫---|
ire zen es t	---⌫|-|--⌫|
tantnelsaidire	---|-||--|---|
uer sl ecerfsouen t seseuzmire	---⌫|-⌫|---|-----⌫|--|--|---|
kermontliplota	--|---|-|---||
querniu it omquesmess om per	---|||-⌫-|-----|--|-⌫-|--|
cerf entre	---|----|
quiierentgroset lonset	--|-----|---|-|---|-|
unsigneliestapparu	-|----|-|--|-----|
omquespl usbelne	-----|--⌫-|--|-|
keru necroizresplendiss ant	--|-⌫-|----|-----------⌫--|
plusc lereque	---|-⌫---|--|
s o leil lui ssant	-⌫-⌫---|---⌫----|
et um ymagede	-|-|----|-|
quiluisso i tautr etan t oup lu s	--|------⌫-⌫|----⌫----⌫|-|-⌫--⌫|
desuslecer f li	----|-|---⌫|-|
omquesplusbel signe nefu st	-----|---|--|----|-|--⌫-|
q u ii ertenlacroiz	-⌫-⌫|-⌫--|-|-|----|
aucerf donn eraisonet uoiz	-|---|----⌫|-----|-|---|
a placidum lefait parl er	|-------|-|---|----⌫-|
s iconmeiam	-⌫|----|-||
orrezconter	----|-----|
oplacidequeas eu	|------|--|-|-|
po rquoi m ashui	--⌫|---||-|--|
t antense u	-⌫--|----⌫|
por moiprendre t	--|--|------||
estraueillié	-|----------|
ornen soi ezmesengregié	-||-|---⌫-|--|--------|
atoimesuiuenumoustrer	|--|-|--|---|-------|
enc estc erf etatoi	-|-⌫--|-⌫--|-||--|
iesuilisauue re zihesus	-|--|-|-----⌫--⌫|-----|
quidescieuzdesc endi	--|--|----|----⌫---|
por r aaindr e lu main	--|-⌫------⌫||-⌫---|
sicommeil pert en cestymage	-|----|-|---|-|---|----|
uoil s off rir mortet	---|-⌫---⌫--|---|-|
touze streraanch on	---|-⌫---|------⌫-|
et poreuzdes a than	-|--|--|-|-⌫-⌫---|
quilne spuisse	-|-||-⌫|-----|
mesdeuorer	--|------|
nemequenoissiez no i e nt	-|-|----------|--⌫-⌫-⌫-|
sim asserui montlonguem ent	-||-|----|---|-------⌫--|
les almosnesquetufaissoiez	--|-------|--|-|--------|
k esmainsdemespouu res metoi ez	|-|----|-|--|----⌫--|-----⌫-|
sont p r esent eesdeuantmoi	---|-⌫-⌫-----⌫--|-----|--|
porce n me uien monstrera toi	--|--⌫|-|---|-------||--|
kerg ene woilme sque	--|-⌫|-|---|--⌫|--|
detoi faceeschar n emgam	-|--|---|-----||----|
k eilt epl usfacea orer	-⌫|-|-⌫|--⌫-|---|-⌫---|
sesydol esn e cu ltiuer	--|----⌫-|-⌫|--⌫-----|
ke rien snoient ne riensne sente nt	-|----⌫||----|-|----|-|-----⌫-|
neuernedientne nementen t	-|--|-|----|-|-|------⌫|
nestpl us dr o izquenmon soudoier	|--|--⌫-|--⌫-⌫-|-|-|--|-------|
soitle deable	---|-|-----|
parchonnier	----------|
mien estlebiensuen est	---|--|-|---|---|--|
estseignorprimcipal	--|------|--------|
placiduslaparoleoi	-------|-|-----|-|
a merueill e s sem esbahi	|--------⌫-⌫||-|-----|
telpeor ane	--|---||-|
soit quef ait	---|--|-⌫--|
desoncheuallait	-|--|-----|---|
c onmeespas médesoncheu al	-⌫---|-----⌫--|-|--|----⌫-|
c haia ter recon trewal	-⌫--||---⌫-|---⌫-----|
kan t ilfu	---⌫|-|-|
a so ir epairié	|--⌫|-⌫-------|
de la te rres	-|-|--⌫--||
estredrechié	--|---------|
merue illes oiquillaeu	-----⌫---|-⌫-|-|--||-|
porqui lc h ai etqua	--|-|-⌫|-⌫-⌫-|-|-||
apr ism iésestet neporquant	---⌫---⌫--||--|-|---------|
de lce rfsilli a	--⌫|--⌫-|--|-||
iceq uauez	--|-⌫|---|
ditempre sent	--|-|---⌫---|
ditesencor apertement	----|----|---------|
kerieleuoi lporc ensauoir	--|-|-|---⌫|--|-⌫-|-----|
quemuoswoil	-|-|--|---|
metremo ne spoir	----|--⌫|-⌫----|
etnostre sirel i respont	-|-----|---|-⌫|------|
parl ec e r f	--|-⌫|-⌫-⌫-⌫|
quiestoit elmont	--|-----|-|---|
orententamoi placide	-|-----||--|------|
tensl etaurai	---|-⌫||----|
iesuiiesus q uil leciel	-|--|----|-⌫--|-|---|
lairet l a mer	|--|-|-⌫|--|
te rreet abis	--⌫--|-|---|
quisanzmatiereto utcriai	--|---|------|--⌫-|----|
soleile tlune et ordenai	-----|-⌫|---|-|------|
etles posai	-|--|----|
elf irmamen t	-|-⌫-------⌫|
etlesp lanetes	-|--|-⌫------|
etdesestoi l les tou t lecors	-|--|-----⌫-⌫--|---⌫|-|---|
etlescreissa nze tles decors	-|--|-------⌫-|-⌫|--|-----|
parmoisontlesiors	--|--|---|--|---|
compasse z	--------⌫|
les moiz e tles anzordenez	--|---|-⌫|--|--|------|
ie suiquide	-|--|--|-|
terreformai	----|-----|
homme etf ame	----|-|-⌫--|
queieposai	--|-|----|
