equanttelhomem	|----|--|---||
enadrequi se	-|-|-----⌫-|
neuoillaisserennule guise	-|---|------|-|---|----|
ken i mettetrauail	-|||----|------|
ki ke metienge	-|-|-|-----|
pur uilaine	--|------|
multde ifaire p u r s apreiere	---|--⌫|----|-⌫-⌫|-⌫|------|
cicome ncela	-|----⌫--|-|
desfableskeysopesdis t	--|-----|-|-----|---⌫|
sun mai stre m and a	--|---⌫---|-⌫---⌫|
delcoccunte kilmunta	--|--|----||-|----|
surunfemieresig rata	--|-|-----||-|-⌫---|
s ul un c nature purchascout	-⌫--⌫--⌫|-----|----------|
sauiandecum	-|-----|--|
un eric hegemme troua	--⌫|---⌫-|----|----|
clerelaui t s il esg uarda	----|-|--⌫|-⌫||---⌫----|
ioquidaifa itil	-|-----|--⌫-|-|
purchacier	---------|
mau iandes urcestfemier	-|-⌫----|-⌫-|---|-----|
or t ai icigemmetr ouee	-||-|--|----|--⌫---|
iaparmei niersremue e	-|--|--||---|-----⌫|
richeshomiciuus	-----|--|--|--|
bensa ike doruus	--|--⌫|-||-|--|
si acreustuos treclarte	-|------|---⌫--|-----|
kimult a d grant be lte	-|---|-⌫|----|--⌫--|
q uant mauolunte naide te i	-⌫---|-|------||-|-|--⌫|
i a nulhon urn	-⌫|--|---⌫-||
aura spurmei	----⌫|--|--|
al tresic estde mainte	--⌫----||--|-|-----|
situtne uait alur	-|--|-|---||--|
cocedela gemme	--||-|-|----|
ueulau unsd omee d e femme	--||--⌫--||--||-⌫|----|
bien nehonurnientneprisent	---|-|----|----|-|------|
lepispren nentlemielz	-|--|----⌫---|-|----|
de spi sent	--⌫---⌫---|
cid itdellu edelaignel	-|-⌫-|--|-||--|-----|
kibe iu ent aundoi tel	-|--⌫--⌫--||-|---⌫--|
lilusen lasursebeueit	-|--|-|-|----|-----|
el i a inelsa ualest eit	|-⌫|-⌫----|-⌫--|---⌫--|
iriementpar lali	-------|---⌫-|-|
kimultesteit cuntra lius	-|---|-----|------⌫---|
parmaltalent parlatal ui	--|--------|-----||-⌫-|
ditilgrant ennui	--|-|----|----|
li aineleza d respondu	-|------|-⌫|-------|
sired equei dun leu eis tu	---|-⌫|---|--|-|-⌫--|-|
tumassicest ewe	-||-|-|---|--|
nepuisbeiu rema	-|---|----⌫-|-|
ar ieresi m en iraicocrei	--⌫---|-||-|---|-|---|
c umio uinccamurantde sei	-⌫-|-|---|-|-----|-|--|
liainelezduncli res pu nt	-|------|---|-|---⌫--⌫-|
beuez uus amunt	----|--||---|
u ien tco keioaibeu	-⌫---⌫|-|-|-|-|--|
kefait lilus	-|---|-|--|
maldiz metu	-----|-|-|
cil liaddit nenilu eir	--|-|-|--|----|-⌫--|
li lus respunt ioen saile	-|--|------|-|-|--|-|
