sul felunad	--|----|-|
mutpot auer	--|--|---|
ioieetgloir e	---|-|-----⌫|
et k iueint sul deusen e mis	-|-⌫|----|--|---|--⌫-⌫--|
tant desertcilg reignur pris	---|-----|--|-⌫------|---|
kisulueint	-|--|----|
t reiscistplu sdesert	-⌫---|---|---⌫|-----|
eiten escristapert	--|-|------|----|
cesmoz uusescrifgeo et	--|--|--|-----|--|-|
p urlerceueske sainted mund	-⌫-||--------|----|--⌫---|
decan terbir eleprelat	-|---⌫------⌫|-|-----|
e tdenglete rrefup rimat	-⌫||-------⌫--|-|-⌫----|
kisulpar s a	-|--|--|-⌫|
uertudemene	----|-----|
etgraceceles tiene	-|----|-----⌫----|
treisfo rsaduersarisuenqui	----|--⌫-|---------|-----|
sacharle muntle	-|---|-|---|-|
sacharson enemipriu e	-|---|--|----|----⌫|
par chas tete	--|----⌫---|
lemund par humilite	-|---|--|-------|
sendediuinite	--|-|-------|
et sidescunfistlediable	-|-|---------|-|-----|
pense respiritable	-----⌫|----------|
par sagraunt	--|-|-----|
ouaumo n es	-|----⌫-⌫-|
eouo ra i sun	|-|-⌫--⌫-⌫--|
biendeidel ui escriueree stoire	---|--|-|-⌫-|--------|-⌫-----|
et son nu nmettreen memoir e	-|--|--⌫|-----|-|------⌫|
ihesus rei d egloire	-----|--|-⌫|-----|
otreiasi g rauntuictoire	----||-|-⌫----|-------|
p ur enhaucer son	-⌫-|-------|--|
honuretf ame	----|-|-⌫--|
et uusho nuree da me	-|--|--⌫----|--⌫-|
ric hecuntessed a rundele	---⌫-|-------||-⌫------|
etdessexe d ameysabele	-||-----|-⌫--|------|
desain ted mund le	-|----⌫|--⌫---|-|
grantprelat	----|-----|
sestee sto ir e uustranslat	----|-⌫---⌫--⌫|--|-------|
delatin en	-|----|-|
franceis apert	-------|----|
karchascunest de	--|------|--|-|
ceob iencert	--|-⌫--|---|
plusestusé etsue	---|--|---|-|--|
ke nulelaungead entendue	-|---|-----|-|-------|
de clers etlaiset	-|----|-|---|-|
lagenttut e	-|---|---⌫|
kelelatins ne m ie	-|-|-----|-|-⌫-|
d euo strepur p oslaresun	-⌫|--⌫---|---⌫-⌫-|-|----|
bi en creisa uere t l	--⌫-|---|--⌫--|-⌫||
kes esb euuertuzetgrace	-|-⌫-|-⌫-|-----|-|----|
c hascun s le s	-⌫------⌫|--⌫|
bieni d euezclamerdette	---||-⌫---|-----|----|
kau ozcumanzententemet te	||-⌫-|-----|------|---⌫-|
a mun poer	|--|---|
t ut parfu rnir	-⌫-|-----⌫---|
la r aisunuus en	-|-⌫----|--|-|
i lestue rite prouee	-⌫|--|--⌫---|-----|
kewy m undham	-|--⌫-⌫-----|
e st auoee	-⌫-|----|
la summ ees t	-|----⌫|--⌫|
de masentence	-|-|-------|
port er uus deir euerenc e	----⌫-|--|--|-⌫-------⌫|
ettuter eligi u n	-|---|-⌫-----⌫-⌫|
subiectiun	---------|
autantme mut	-----|-|--|
raisundire m	-----|---||
iointelie stpar aliaunce	-----|-|-⌫-|--|-------|
ke parpelerinag e enfr ance	-|--|---------⌫|-|--⌫---|
parmesp assers	--|--|-⌫-----|
etlungs ch emin s	-|----|--⌫----⌫|
pluskef emenins	---|-|-⌫------|
q uis lau ezethon uré	-⌫--||--⌫-|-|---⌫---|
etde seruiceenerué	-|-|------|------|
p riél aue za uusent endre	-⌫---||---⌫||--|---⌫----|
fetlauezunegrantoffrend e	--||---|--|----|-------⌫|
deuostrealme etco rset u ie	-|-----|---|-|--⌫-|-|-⌫-|
et kibiena imetar tn oblie	-|-|---|-⌫--|---⌫||----|
proche in sserane mielo ing	------⌫--⌫|---|-|--|--⌫--|
a s esamisa gr ant bosoi ng	|-⌫-|---||--⌫--|-----⌫-|
or pri lecreatur delmund	-|--|-|------|--|---|
confessure dmund	--------|-⌫----|
ueirs med ointescr i u ereetdire	----|-|-⌫---|----⌫-⌫-⌫--|-|---|
sanz forueierde matire	---|-------|-|-----|
a lhonurde uetsun	||----|--⌫|-|--|
ke d helne	-||--|-|
dei a uer desir	--|-⌫--|----|
entente imettraiet	------||------|-|
d ecestliueret	-⌫|---|------|
lecu mencail	-|--⌫------|
de umuster surtdecanterbire	--⌫|-----|---|-|---------|
dunt ilmapentauus a	---|-||----||--||
keparest sibienga rnie	-|--|--|-|---|--⌫---|
s einzd ehaute uie	-⌫---|-⌫|----|--|
keatrespass er	-||--------⌫-|
sa int eil pheetsaintdunstan	--⌫--|---⌫--|-|----|------|
saint amsemeet saint	----|-----|-|----|
etkisibonclers fulamf r an	-|-|-|--|----|-|----⌫-⌫-|
tut citarc eueskes fur en t	--|--|---⌫------|---⌫--⌫|
pleiregrantc ure urent	-----|----|-⌫--|----|
oreest aluesp redelmund	--|--|-|----⌫-|--|---|
kesurleconfessur edmund	-|--|-|--------|-----|
karnusconforte	--|--|-------|
et nus uisite	-|--|-----|
enla uiee s crite	-|-|--|-⌫-⌫----|
nunpasdeb asse u de h autaine	--|--|-|-⌫---||-|-⌫------|
mes d e l elegent	--|-⌫|-⌫--|---|
fu libersedmund	-|-|---|-----|
dunt uus aiceste	---|--|-|----|
reinald l i richesfu	------|-⌫|-----|-|
et m abilieout nun samere	-|-⌫-----|--|--|-|---|
b ie nfu lisurnums aiu stez	-⌫--⌫|-|-|------|---⌫---|
r ichesfurentet	-⌫----|-----|-|
t ant e uren tbele eng end rure	-⌫--|-⌫----⌫|---|---⌫---⌫---|
deseintedebonemu r ture	-|-----|-|---|--⌫-⌫---|
f ize tfil ieseurent	-⌫-|-⌫|---⌫--|-----|
en doctri nezde bone murs	--⌫------⌫--|-|---|---|
kebonenuret ure fet	-|---|-----⌫--|--|
tost bon skesunt de bonestr et	---|---⌫|-|---|-|--|----⌫-|
alectruresunttrestuz mis	|-------|---|------|--|
defranceise t latin apris	-|-------|-⌫|----|----|
nef upas lu renten te asise	-|-⌫|--|--⌫|-----⌫-|----|
engaingnageuen	-|--------||-|
marchand is e	--------⌫--⌫|
lesfil iesk	--|---⌫--||
ere nt m ut se n eez	---⌫-|-⌫-|--⌫-⌫--|
rend uessuntnon eines uele ez	----⌫--|---|---⌫----|----⌫-|
edmundliesnesout	-----|-|----|--|
rece usanzsymonieetuice	----⌫|---|------|-|---|
kearceuesque f u	-|---------|-⌫|
deuerwichduntfuconu	|-------|---|-|---|
r esignédegre	-⌫------|-|--|
neenuoutpl usestre	-|-|---|--⌫-|----|
e tsunpat rimonie done	-⌫|--|---⌫------|---|
hos pitaldeab in do ne	---⌫----|-|--⌫--⌫--⌫-|
des unperekeueirsuu sdie	-|-⌫-|---|-|----|--⌫|--|
prudome futute sauie	------|-|---|-|--|
en abindonenauoitsonp er	-|-------||----|--|-⌫-|
ketantsefeist d etuzamer	-|---|-|----|-⌫|--|---|
espuseauoit mut bone femme	-----|----|--|---|----|
detute ss es ueisi nes	-|----⌫|-⌫-|-----⌫--|
n etrouat l emtant	-⌫|-----||-|---|
bele etbone	---|-|---|
en trest ut celburc matrone	-|-----⌫-|--|---|------|
k etanta moneethon ur	-⌫|---|-⌫---|-|---⌫-|
endeu seruiren o re isuns	-|--|-----|-|-⌫--⌫----|
enueilli es et e nafflictiuns	-|------⌫-|-|-⌫|----------|
sa entent e sim ise	-|------⌫|-|-⌫--|
haubercusa purchemise	------|--|--|------|
neio ute nliorguilne	-||-⌫-|-⌫|-|-----|-|
heireusapar trestutl	----|--|--|------||
for kenquaremmeet aduent ka r	--||-|-------|-|-----|--⌫|
d unc u safer	-⌫--|-⌫-|--|
presdesach a r	---|-|-|--⌫-⌫|
ladamesesenfansap rist	-|---|--|-----|--⌫---|
fere lesbie nske elefist	---|--|---⌫-|-|--|---|
ed mundfu liplustrest a bles	--⌫---|-|-|---|-----⌫-⌫---|
obeisan t espiritables	-------⌫|-----------|
enseign a la mer eafer e	-------⌫|-|---⌫||---⌫|
ceokeliplustsanzn ulcuntrere	--|-|-|----|---|-⌫-|-------|
ueillieriunerheirepor ter	-------|----|----|---⌫--|
deuamer ethonurer	--|---|-|------|
edmund keestdes ainte	-----|-|--|-|-⌫----|
a till e ́esta cleregise	-⌫----⌫-⌫|--||--------|
cume ci lk iestpru z etsage	---|--⌫|-⌫|--|---⌫|-|---|
p as sa trestuzde suna ge	-⌫--⌫-|------|-|--|-⌫-|
decustume outquantuintd	-|------|--|----|---||
urera unema riole	---||--|--⌫----|
ke unepart fu	-|--|---|-|
basiu steunauter asise	--|--⌫--|-|----|----|
ke d ucem entensondeuant	-|-⌫----⌫--|-|--|-----|
tenoitihesuson cher enfant	-----|----|--|---|-----|
edmund q uantuei tte nseture	-----|-⌫---|---⌫|--⌫-|-|--|
deuantlamariole aure	-----|-|------|---|
suuen t en agenuilu nslenclin e	-----⌫|-||-------⌫-||------⌫|
enpenchantbatsapeitrine	-|-------|--|-|-------|
mutau re deuotem ent	--|--⌫-|-------⌫--|
