Carleslireisnos tre	-----|-|---|---⌫--|
emper eremagn es	-----⌫--|----⌫-|
Set a nztuz pleinsad esteten	--|-⌫-|--|-----|-|----|-|
Tresquenla mercu nquistlat erealtaigneN	-----|-|-|--|--⌫-----|-|-⌫--|-------||
caste lki deuantluiremaigne	-----⌫|-|-----|--|-------|
Murn ecitet n	--|-⌫|----||
i est remésafraindre	|--|-----||-------|
Sarrag uce ki es tenunemuntaigne	------⌫--|-|--⌫|-|--|--------|
Marsilielatientki	-------|-|----|-|
Deunenaimet	--|--|----|
Mahu metsert e	----⌫--|---||
A pollinrecleimet	-⌫-----|--------|
Nesp oetguarderquema ls	--|-⌫--|------|--|--⌫-|
ne l iatei gnet	-|||----⌫---|
Ma rsiliees teiten	--⌫-----|--⌫---|-|
S arraguce	-⌫-------|
Alez enest	---|-|--|
en unuer ge rsuz	-|-|---⌫--⌫|--|
marbrebloisecu lch e t	-----|---|-|--⌫---⌫-⌫|
Enuiru nl uiplusdeuintmili e	------⌫|-⌫-|---|-|---|----⌫|
I lenapelet esesduxese s cuntes	-⌫|-|-----||--|--||--⌫|-----|
Oezseignu rsquel	--|------⌫-|---|
pecchetnusencumb r e t	------|--|------⌫-⌫-⌫|
Liempereres	-|--------|
C arle sd e	-⌫----⌫|-⌫|
Fran cedulce	----⌫-|----|
Encestpa ïs	-|---|--⌫--|
nos estuenuz	--|--|----|
Io nenaiostqui batail lelid unne	-|--|-|--|--|------⌫-|-|-⌫---|
aitelg entkila	-|--|-⌫--|-|-|
sue de rumpet	--|--⌫-----|
Conseilezmeicume	--------|--|---|
mi sauie hume	-|----|---|
Si meguaris ezed emort	-|-|------⌫-||-⌫|---|
Niad pa ien	||-|--⌫--|
kiunsul mot	-|-|--|--|
Bla ncandrins de	---⌫--------|-|
Blancand rinsf ut des plu s	--------⌫---|-⌫-|--|---⌫|
sai u espa iens	---⌫-⌫-|--⌫---|
De uass elagefut	-|----⌫----|--|
asezcheualer	---|-------|
Prozdom i out pursun s eignuraid erE distal	------||--|--|--|-⌫-----|---⌫-||---|-|
Ca rl u nalorguillu s	--⌫--⌫-⌫|||--------⌫|
