quidiuerscontesuel tt retie r	--|-----|-----|---⌫|-⌫-----⌫|
diuersem entdo itconmencier	--------⌫--|--⌫-|---------|
etpassersiresnablement	-|-----|-|-----------|
qu il soit plesiblesa	-|-|---|--------||
icicommencerai milon	--|----------|----|
etmostrereparbriefsermon	-|-------|--|----|-----|
porqo ietconmentfu	--|--⌫|-|------|-|
milonfu desuua lesnez	----|-|-|----⌫--|--|
puis leior quilfu	---|-|--|-|-|-|
ne trouas eu l	-|----|-⌫--⌫|
quilabatist deson	--||------|-|--|
moltpare stoi t bonsch eualiers	---|--|-⌫----⌫|---|--⌫-------|
preuz etcorto is e tbons etfiers	----|-|-----⌫-|-⌫|---|-|----|
moltfucon euz en	---|-|---⌫--|-|
il l an de	--⌫-⌫--⌫-|
etennoruoie	-|-|------|
etenho l lande	-|-|--⌫-⌫----|
enlogreseten al benie	-|-----|-|-|--⌫----|
orentdel uiplusorenuie	----|-|-⌫-|-----|----|
porl aproeceertmo lt amez	--|-⌫|-----|--|--⌫-|---|
etde maintesgenz ennorez	-|-|------|---|------|
ensa co ntreeotbreton	-|-|--⌫----|-|-----|
sai n ommersonnon	--|-⌫----|--|--|
ila uoit unefille b ele	-|-⌫---|--|----|-⌫--|
et moltcor t oisedam oise le	-|---|---⌫-⌫---|---⌫----⌫-|
eleot oim ilon nommer	--|-|-|-⌫---|-----|
mol t lecon nencaaa mer	---⌫|-|---⌫----||-⌫--|
mesagelimanda	-----|-|----|
que celiplet el l	--|-|-|---|-||
lie zde la nouele	---⌫|-|-|-----|
simerc ial a	-|----⌫-|-⌫|
uolen tie rsotroia	-----⌫---⌫-|-----|
nempartiraaamesnulior	|-|------|----|--|--|
fetco r toisr e spons	--|--⌫-⌫---|-⌫-⌫----|
au mesagedo nn agranz dons	-|-----|--⌫--⌫|----|---|
et grant amistieli promet	-|----|------|-|-----|
q amamiepuisse parler	|||---|-----|-----|
n ostrecon s eilceler	-⌫----|---⌫-⌫--|----|
monaneldorli porteroiz	--|---||-|-|--------|
e tde moie	-⌫|-|---|
partli diroiz	---|-|-----|
quantli plerasi	----|-|----|-|
uien pormoi	---|--|--|
etgirai ense mbleotoi	-||---|----⌫---||--|
cilpre ntco ngi e ata ntlelet	--|---⌫-|--⌫---⌫||--⌫-|-|--|
a lada moiselereuet	|-|--⌫------|----|
l a n elli do nn e	|-⌫-⌫-|-|--⌫--⌫|
fet ceque i l	--|-|--|-⌫|
molt fuladamoisele liee	---|-|-|--------|---|
delamora insiotr oiee	-||---|-⌫---|---⌫---|
dele zsachambr een uergier	----⌫|-|------⌫|-|------|
o u el ealoit esbano ir	-⌫|--⌫|----|------⌫-|
l aiostoientlor parl ement	-⌫|--------|--|----⌫----|
elebiens ouent	--|---|-⌫----|
t ant uint m ilonettantala	-⌫--|---|-⌫---|-|---|--|
quel adamoiseleenceinta	--|-⌫|--------|-------|
quante lesotquel	----|-⌫-|--|-|-|
fuen ce in te	-|--⌫--⌫--⌫-|
milonmandasi fist saplaint e	----|----|-|---|-|------⌫|
