formCHCor012	---|-------|
IeHuguesdeAn tigne ́ sire sd ePaigné	-|-----|-|--⌫-----⌫|----⌫|-⌫|------|
et ieHenriz dePa ignésir esdeSainte	-|-|-----|-|--⌫----|---⌫-|-|-----|
Cr oiz sesfreres	--⌫--|--|-----|
fa çons sau oiràtozcesqu ice s	--⌫----|---⌫--|-|--|--|--⌫|--⌫|
lettr esuerront q ue cumdescordefustsus les	-----⌫-|------|-⌫-|--|-------|---|--|--|
chosesm ons e igno rPhelippe seignorde A nt igné nostreoncle	-----|-⌫-|-⌫-⌫----⌫|-------|------|-|-⌫--⌫----|-----|----|
quimorz es tle s quexchoses estoientet sont do u	--|---|--⌫|--⌫|---|-----|-------|-|---|--⌫|
ducdeBergo ignenostre seignor porchiefdeladamoisa lle	--|-|-----⌫---|-----|------|--|----|-|-|-------⌫--|
c o n di soitquiestoitfillecelui Phelip pe nostr e	|-⌫|--⌫---|--|-----|----|----|------⌫-|-----⌫|
onclee tle sques c hosesHugues dux deBe rg oigne	----|-⌫|--⌫|---|-⌫----|-----|--|-|--⌫--⌫----|
ent endoit quecelesc hos es quideson fyé estoi entli	---⌫-----|--|----|-⌫---⌫-|--|-|--|---|-----⌫--|-|
fussoient eschoites nosauonsquitt ée toutroié de	--------|--------|--|----|-----⌫-|-⌫|-------|-|
nos tre pro pre b oneuolu nté	---⌫--|---⌫--|-⌫--|----⌫---|
au d itHugonducdeBergoign e	-|-⌫-|----|--|-|--------⌫|
etes sesheoyrsparmaig naublement	-|-|--|-----|-------⌫---------|
à totiorstotesleschosesque	-|--|---|----|--|-----|--|
Ph elipp es ou lisuenauoient ou te noientetdeuoienta uoir	--⌫-----⌫-|-|-|---|------|-|--⌫-----|-|-------|-⌫---|
oup o uoien tenq ueq uemenier ec e fu stde	-|-⌫-⌫-----⌫|-|-⌫---⌫-|------⌫|-⌫|--⌫-|-|
Ph.//ça i	-|--|---⌫|
en ariersseignorde Antigné à	-|-----|------|-|-------|-|
uo ll ena yàBiaun e	--⌫--⌫---⌫|-|-----⌫|
Montmoyen etes	--------|-|-|
a p artenancescestà-s auoirenfort erescesen	-⌫-⌫---------||--|-||-⌫----|-|----⌫------|-|
ui llesenfyezen	--⌫---|-|---|-|
ios tises enhom esen ui gnes	---⌫----|-|---⌫-|-|--⌫---|
en ter resenprez enboysen	-|---⌫--|-|---|-|---|-|
maysonsens oign orieseten	------|-|-⌫----⌫----|-|-|
gard es etentotes autre shissu es desdites trois	----⌫-|-|-|----|-----⌫|-----⌫-|--|----|----|
uillesetdes appartenance s.	-----|-|--|------------⌫||
Etdetotesce s cho se snos auo ns mis	-|-|----|--⌫|---⌫--⌫|--|---⌫-|--|
lou deuantdit duce t	--|-----|--|--|-⌫|
seshe oirsenue s taüreparmaignauble	--|--⌫---|-|--⌫-⌫-----|------------|
àtotiors.	-|--|---||
Etp or chief deceste chosedesus escripte	-|-⌫-|----|-|----|----|----|-------|
etdeui seeilaqui t téàno s et àn os	-|----⌫--|-||---⌫-⌫--|-|--⌫|-|-|-⌫-|
heorspardurablem enttotesles dro iture squeilous ui	----|-----------⌫--|----|--|---⌫-----⌫|--|-|-|-⌫-|
he oirauoiren	--⌫--|----|-|
totes les autreschoses	----|--|-----|-----|
celuiPhelippe nost re oncleenq ueque	----|-------|----⌫-|----|-|-⌫----|
al es fussoientsaul	--⌫-|--------|---|
ses fyez et se sseruis es .	--|---|-|--⌫|------⌫-||
Nenosneno streheoir n epouon s dois	-|--|-|--⌫---|----|-⌫|-----⌫|---|
o renau ant riendemander ne	-⌫|-|--⌫--|---|-------|-|
re queriresdit es cho ses nealerco ntre ladite	--⌫-----|-|---⌫-|---⌫--|-|---|--⌫---|-|---|
quitanceque nosauons faitelouducetes	-------|--|--|----|----|--|--|-|-|
ses hoyr s ne parnosn e p arautruipar	--|----⌫|-|--|--|-⌫|-⌫-|-----|--|
lou sairementquenosauonsfai ts usces	--|--------|--|--|----|---⌫|-⌫-|--|
Outesmoinnaige	-|-----------|
deceschos esnosauons	-|--|----⌫-|--|----|
ceslettr es baillies et	--|-----⌫-|-------|-|
deliureesaudeuan t ditducde Bergoignesaaleesden os	--------|-|-----⌫|--|--|-|--------|------|-|-⌫-|
CefufaitenlandelEncar nation	-|-|---|-||-|-||-----⌫-----|
NostreSeignor m il etdoxcen zet ci nqua nte	-----|------|-⌫-|-|--|---⌫|-|--⌫----⌫--|
CHC or115Nos Huguesd ux deBorgoigne fa isons	---⌫----|--|-----|-⌫-|-|--------|--⌫----|
às auo iràtouz c eausquiuer ron t cesl etres	-|-⌫---⌫-|-|---|-⌫---|--|---⌫---⌫|--|-⌫----|
que Guil leminsdeChaudoi siaulescuiersestablizen	--|----⌫-----|-|-------⌫----|-------|-------|-|
no t represencearec oneu q uei lauenduen	--⌫-⌫-|-------||---⌫---|-⌫-|-⌫||----|-|
h eri tageà touz iorzàIahena bbé	-⌫---⌫---|-|---|---|-|----|-⌫---|
e àlegliseSain tPerede Fla uign ipor dus	|-||-----|----⌫|---|-|---⌫----⌫|--|--|
cenz l iuresdedig enoi s desq uels l idi z Guillemins	---|-⌫----|-|---⌫----⌫|--|-⌫---|-⌫|--⌫|---------|
sest tenuzporp aiez pard euantnosen	|--|----|--|-⌫---|--|-⌫----|--|-|
deniers co mp ez totl e herita ge	------|--⌫--⌫-|--|-⌫|------⌫-|
quifu OdotdeChau doisiau son frere qui	--|-|---|-|----⌫------|--|----|--|
morz estl i quelshe ritages	---|--|-⌫|----|--⌫------|
estoitescheoiz auditGui llemin	-----|-------|-|--|---⌫-----|
ceestàsauoirla	-|--|-|-----|-|
quartepartiede la maisondeAth ees	-----|-----|-|-|-----|-|---⌫--|
desusPo illenaye dela	----|--⌫------||-|-|
ioust ise equantque li	-----⌫--||----|--|-|
diz Odoz auo it o ufi nagede Athees deuantditeen	--|---|---⌫-|-⌫|--⌫---|-|-----|-----|---|-|
boisenplains enr iuiere	---|-|-----|-|-⌫-----|
endismesen rentesen	-|-----|-|-----|-|
censenc ostumeseniostisese e n totes autreschoses	---|-|-⌫------|-|-------||-⌫|----|-----|-----|
e au tresquantqueli diz	|--⌫---|----|--|-|--|
Odozauoità	---|----|-|
Flaui g niea ̀ Poillen ay e	-----⌫-⌫-||-⌫|-------⌫-||
e sfinagesdecesdite suilesen	-⌫|------|-|--|----⌫|----|-|
