#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
page/ fo lio n e ed c orre cti on	-----⌫--⌫--|-⌫-⌫-|-⌫----⌫---⌫-|
#M ETA#CC Licens e	--⌫---|--⌫------⌫|
L iboinsroysA rtusde Bret aigne	-⌫|----|---|-⌫---|-|----⌫----|
Laquiproeche	-|--|------|
nousensengne	---|-------|
Quenoussoions preusetcourtoi s	--|---|-----|----|-|-------⌫|
Tintco urt siriche	---|--⌫--|-|----|
co nme ro is	--⌫--|--⌫-|
Achelefest e quita ntcouste	|----|----⌫|--|--⌫-|-----|
Condoit n onmerlePenthecouste.	|-|---|-⌫----|-|------------|
Liroisfua Ca rdoeil	-|---|-||--⌫-----|
Aprés mengierparmiles	-----|------|----|--|
Li cheual ie rs atropelerent	-|------⌫--⌫||-----------|
La oudameslesape le rent	-|-|----|--|---⌫--⌫---|
O udamoiselesoupucheles.	-⌫|---------|-|--------|
r econtoie nt nouueles	-⌫--------⌫-|-------|
Liautres parloie ntd Amours	-|-----|-------⌫-||-----|
Des angous seset desdolours	--|------⌫--|-|--|------|
Etdesgrant biensquenontsouua nt	-|--|----|----|-|-|--|-----⌫-|
Li desipledesoncouuant	-|------|-|--|------|
Quilorsestoientri che	--|---|-------|--⌫--|
M ais ily a	-⌫--|-|||
petitdes siens	----|--|----|
Quiabie npresl	--||---⌫|---||
onttuitlaissie	--|---|------|
Senest Amo ursmoutabaissie	|-|--|---⌫--|---|-------|
C archilquisoloi entamer	-⌫-|---|--|-----⌫--|---|
Sefaiso ientcourtois	-|-----⌫---|-------|
Quepreuetlargu e et honnorable	--|---|-|-----⌫|-|---------|
Maisores ttouttourné a fable	---|-|--⌫|---|------||----|
Car tiex y aqu iriensnensentent	--|---|||--⌫|----||-|------|
Dïentqu ilaym e ntet si	-----|-|-|---⌫-⌫-|-|-|
Etchilfa b le	-|---|--⌫-⌫-|
menchon gne en font	-------⌫--|-|---|
Qui senuantent etdroitn	--||-|------|-|----||
Ma i s pour parlerde	--⌫-⌫|---|-----|-|
chixqu ifuren t	---|--⌫|-----⌫|
Laissonsch ixquienuiedurent	-------|--⌫-|--|-|--|-----|
Quencoruautmix	-|----|---|--|
U n courtoismorscunsuilain suis.	-⌫|-------|---||--|------⌫|---|
Po urchem e pl ais a	--⌫-|--|-⌫|--⌫--||
Cho sequifaichea	---⌫-|--|-----||
Du royquifu de te lte smoing	-|--|--|-|-|--⌫|--⌫-----|
pa rolepres et loi ng	--⌫---|---|-|---⌫-|
Simacort detantadB r eto ns	-||----|-|---|-|-⌫-⌫---⌫-|
En ta ntq ui nonment des	-|--⌫-|-⌫||------|--|
boins lesnons	----|--|---|
Etpar auxsontram enteü	-|--|--|---|---⌫-----|
L iboincheu a lieresleü	-⌫|---|----⌫-⌫---|-----|
Qui en amor	--|-|---|
s etraueillierent.	-⌫|--------------|
iourmoutsesmerue illierent	---|---||-------⌫--------|
De chilqu id	-|---|--⌫||
entr euzseleua	---|--|-|---|
Sieutde ti xquimoutpes a	-|--|-|--⌫|--|---|---⌫|
Etquimoutgrantparole en	-|--|---|----|-----|-|
Pourche q ueonquesmais n euir ent	---|--|-⌫-|-----|---|-⌫|---⌫--|
Enha ute fest eench ambreentre r	-|--⌫--|----⌫|-|--⌫----|-----⌫|
Pourdormirnepourrepos er	---|-----|-|---|-----⌫-|
Maischel iourain si	---|---|---|---⌫-|
Quela roÿneleretint	--|-|-----|-|-----|
Sidem o u ratan tdelés li	-|---⌫-⌫-⌫-|---⌫|-----|-|
Q u ilsoubl iae t endor m i .	-⌫|-||----⌫-|-⌫|-----⌫-⌫-⌫|
Al uisdelac hambredeho r s	||--|-|-|-⌫-----|----⌫-⌫|
Fu Dodinez etSagre mors	-|------|-|-----⌫---|
Li ro is etm esireGauains	-|--⌫-|-|-⌫----|------|
Etsi fu presmesire	-|-|-|---|-----|
Etfu auecC alogrenans	-|-|---|-⌫---------|
Unzcheualiersmoutauenans	--|---------|---|------|
Quilorsoutconmenchi é.i. conte	--|---|--|---------⌫-|--|----|
Nondes onnor maisdesa hon te.	--|-||----|---|-|-|---⌫--|
Ains ique sen contecontoit	----⌫|--|--|----|------|
Et laroÿnelescou toit	-|-|-----||-----⌫---|
Sisestdelésle roileuee	-||--|-----|-|--|----|
Etuintse ulesi s	-|---|--⌫--|-||
estemblee.	--|------|
Anch o is q uen uslepuistueoi r	----⌫-⌫-|-⌫-|-⌫-|-|----|----⌫|
S e fu laissieentr	-⌫|-|------|---|
eu sq ueoir	--⌫|-⌫----|
EtdontCalogrenanssansplus	-|---|----------|---|---|
Salienpiéscont reli	---|-|----|----⌫-|-|
qu imout fu	--⌫|---|-|
r ampor neus	-⌫-----⌫---|
Feletpoignans etdespiteus	--|-|-------|-|--------|
LidistPar Dieu Calo grenant	-|---|--|---|----⌫------|
Moutuousuoi orpreuet sa il l ant	---|---|--|-|---|-|--⌫--⌫-⌫--|
Et encormout mestb el que	-|----|---||--|-⌫-|--|
Estes liplusc ourto is	----|-|---|-⌫-----⌫-|
Et biensaiq ueuouslequidiés	-|---|--|-⌫-|---|-|-------|
Tantestes uo usdesenswidiés.	---|----|--⌫-|-|---|-------|
Sestdroisq uemadamelotrit	|--|----|-⌫-|-|---||----|
Queuousaiés pl usquenoustuit	--|---|----|--⌫-|--|---|---|
D ecourtoisie et de proe che	-⌫|---------|-|-|----⌫--|
Ialaissame sorpou r	-|--------⌫|-|---⌫|
Espoirque nousne	-----|--|---|-|
no usleuames	--⌫-|------|
Oupour cheque	-|---|--|--|
n ous nedeignames.	-⌫--|-|---------|
EnnonDieusiren ous feïmes	-|--|---|---|-⌫--|------|
Maispour cheque nousneueïmes	---|---|--|--|---|-|------|
Madameai n s	-|---|--⌫-⌫|
quefustes leués.	--|-----|------|
-Cherte sKésiafussié scr eués	|------⌫|---|-|-------⌫|--⌫----|
Faitlaroÿnea u mienquidie r	---|-|-----|-⌫|---|------⌫|
Se ne uousp eüssie ́s widier	-|-|---|-⌫-------⌫-|-----|
Du uenindontuousestesplains.	-|----|---|---|----|------|
En uieusestesetuila ins	--⌫----|----|-|----⌫--|
Derampo rneruoscompag nons.	-|-----⌫---|--|------⌫----|
-Damesenous ne	|---|-|---|-|
FaitKeuenuo stre	---|--|-|--⌫---|
Gard ésque nousni perdons	----⌫--|--|---|||------|
Ienequitauoircosed ite	-|-|---|----|---|-⌫--|
Qui medoieestremal escrite.	--|-|---|----|--|-------|
or ta is iés uousent	-|--⌫--⌫---|---|--|
a courtois ienesens	|--------⌫-|-|---|
Enp l aitduis eusemaintenir	-|-⌫-⌫--||---⌫---|--------|
Chestpla itnedo it a uantueni r	----|---⌫-|-|--⌫-|-⌫---|----⌫|
Nen e doitplusau ant monter.	-|-⌫|---|---|--⌫--|------|
Mais faites	---|-----|
nousauantconter	---|----|-----|
Che quilauoitainsco nmenchié	--|-|-|----|---|--⌫--------|
doitauoirtenchie ́.	---|----|-------⌫-|
A cheste pa ro les a pon t	|-----|--⌫--⌫-||-⌫---⌫|
Calogrenans et chi respont	----------|-|--|------|
Sirefaitilde l a	---|---|-|-|-⌫|
miegrantmesproison	--|----|---------|
en estapo ilepri s.	-|--||--⌫|-|---⌫-|
Seuousaués	-|---|----|
ue rsmoimes pris	--⌫-|--|---⌫---|
Ie niaraiianuldama ge	-|||---|-|--|----⌫-|
A miex uaillantet a pl ussage	|---|-------|-||--⌫-|---|
Me sireKeusque ienesui	--⌫---|---|--|-|-|--|
A ués uo ussouuent	-⌫---|--⌫-|------|
Quebienene s tesco ustumie rs.	--|---|-|-⌫-⌫--|--⌫-------⌫--|
Tou siours d oitpuir li fumiers	---⌫-----|-⌫--|---|-|------|
Ettah ons poindreetmalos	-|---⌫--|------|-|----|
Si doiu ente nuie us m esdire.	-|----⌫--|-⌫----⌫-|-⌫------|
co nteraihuimés	--⌫-----|------|
Se ma da me m	-|-|--⌫-||
en l ais se emp ais	-|-⌫---⌫-|-|-⌫--|
Etielipr i quele sentaise	-|-|-|--⌫|-|--||-|----|
Quelechose	--|-|----|
mout* mede splaise	----|-|--⌫------|
Nem e conmant	-|-⌫|------|
soie merchi.	---|------|
-Dame trestuit	|---|-------|
chil quisontchi	---|--|---|--|
Fa i t Keusboingré	--⌫-⌫|---|---|---|
uousen saro nt	---|-|----⌫-|
Queuolentiersl escouteron t	--|---------||----------⌫|
Ne nen faites	-||-|-----|
orrie nspourmoi	-|---⌫-|---|--|
M ais foi que uous	-⌫--|--|--|---|
