amors lialanchié	----|-||-------|
quetot ses cuers	--|--|--|----|
esprentetart	------|-|--|
dede nssoncue rsesent fe ru s	----⌫-|--|---⌫|-|---|--⌫--⌫|
forsde son	---|-|--|
litchiet est endus	--|----|---⌫----|
plaieq uidatr ouerdefors	----|-⌫---|--⌫---|-----|
es toitdedenslecors	--⌫---|-----|-|---|
sentque amors lauoitgreué	---|--|----||----|-----|
g rantsospirget é	-⌫---|-----|---⌫-|
haiamorscom	--|----|--|
espo issan s	-|--⌫-----⌫|
comparestta poissancegrans	--|--|--|-|--------|----|
tu ne doutesconteneroi	-|-|-----|----|-|--|
lespluscointes mesen effroi	--|---|------|--|-|-----|
amors estrageet	----|--|---|-|
qui io uente ense rre et	--|--⌫----|----⌫--|-|
amorsocitamorsde s traint	----|---|----|--⌫-⌫-----|
amor s noicist uisageet taint	----⌫|------|-----|-|----|
amorsf ai tl omeceua lc ier	----|-⌫--⌫||--|----⌫--⌫--|
quilneset uoienes entie r	-|-|-|--|---|-|-⌫-----⌫|
mes cuer sestmoutportoi destroi s	--|----⌫|--|---|--|--|-------⌫|
desormaisser oitilbien	--------|---⌫--|-|---|
pr oitoisireasde	--⌫-|--|---|-|-|
moi me rchi	--|--⌫---|
nelte man spasa insle	-||-|---⌫|--|-⌫--|-|
iouqui sui quiparol e atoi	--|--|--|--|-----⌫||--|
sacesiesui f illederoi	----|-|--|-⌫---|-|--|
amorma doné	---|||----|
hard e ment	----⌫-⌫---|
atoimeprese nt	|--|-|-----⌫-|
merc hiuos quie r pordeu et	----⌫-|--|----⌫|--|--|-|
aiesmerchidemoi	---|-----|-|--|
or aitme rc hi quimerchiprie	-|--|--⌫--⌫-|--|-----|---|
care nuos est totema uie	--|-⌫|--|--|---|-|--|
tost me po és sante doner	---|-|--⌫--|----|----|
biennospoome sentramer	---|--|-----⌫|-------|
amisotroiemo itam or	---|-----|--⌫||--⌫-|
r enmois ante	-⌫-|--|-⌫---|
tol moidolor	--|--|----|
carasessomes d unee	--|---|----||-|-|
d une manieredebeau te	|--|------|-|----⌫-|
cristall ententet si s	------||-----|-|-||
esgardélaet silidist	-------|||-|-|-|---|
pardieupucele uoirdira i	--|---|-----|---|----⌫|
asg ent ieuscuerse st felet	-|-⌫---⌫---|----|-⌫-|--|-|
e tbonsassers etastafurs	-⌫|---|-|---|-|-|-----|
elcuer lie nt re	-|---|-|-⌫--⌫-|
haidis t iltresdoc eamie	--|---⌫|-|---|---⌫|---|
iadamormoutsages	-||---|---|----|
moutme naapris	---||-⌫||----|
mescorage s	--|------⌫|
ilpe ust estre	-|--⌫--|----|
qu eienseusse t ant	--⌫||-|-----|-⌫--|
sans mestre	---|-----|
a mo rme destr aint et dest ruit	-⌫--⌫|-|-----⌫---|-|----⌫---|
qidedenslecors m	-|-----|-|---||
a rtetquis t	-⌫-|-|----⌫|
ilmap renttotes a nature	-||--⌫---|---|-⌫|-----|
etsimede straintsa ns	-|-|-|--⌫------|--⌫-|
riensquisi m es prens	----|--|-||--⌫----|
s e tusauoi es quelstormens	-⌫|-|-----⌫-|----|------|
etquelspainessuef frepo rtoi	-|----|-----|----⌫--|--⌫|--|
ameroies si comiecr oi	-------|-|--|-|--⌫-|
iai conseil	|-|------|
or aielcorsnesaiquelrage	-|-|-|---|-|--|---|---|
quisid emaine monco rage	--|-|-⌫-----|--|--⌫---|
quantuoeil dor mi r	----|----|---⌫--⌫|
trestot f remis	------|-⌫----|
ormer elieform e regis	-|-|-⌫----|-|-⌫|----|
p orcoimereme n bre delui	-⌫-|--|-|----⌫-⌫--|-|--|
que onqu e s dem es	--|----⌫-⌫|-|-⌫-|
o rsec astie orse	-⌫|-|-⌫----|-|-|
or uoldroit	-|-------|
il bi enestremo rt	-|--⌫-|----|--⌫-|
tor ment engrantdolor	---⌫---|-|----|----|
fuq u antceuintenu ers	-|-⌫-⌫--|-|---|---⌫--|
greuéf umoutettraueilliés	-----|-⌫|---|-|-----------|
lors sest unpoiasoagiés	---||--|-|--|--------|
e ntelangoiss ee t entel	-⌫|--|-------⌫|-⌫|-|--|
lioe il licloentsi s e nd o rt	-|--⌫-|-|-----|-||-⌫--⌫-⌫-|
a ins queonpot	-⌫--|--|-|--|
leuénepotp lusdor mir	----|-|--|-⌫--|---⌫--|
iced esirsortote rien	--|-⌫---|--|---|---|
orestmoutbonqueioretieng	-|--|---|--|--|-|------|
m escuerse s tmout por	-⌫-|----|-⌫-⌫|---|--|
toidestrois	--|-------|
desor seroitilmaisbiendrois	--|-|-----|-|---|---|----|
q uetuaiesde moime rch i	-⌫-|-|---|-|--|--⌫---⌫|
nel temans pa sainslete	-||-|---|--⌫|---|-|-|
esgardeet saces quiiesui	------|-|----|--|-|--|
i e proip orm oinonpo r altrui	-⌫|---|-⌫-|-⌫-|--|--⌫|-----|
iouq uisui	--|-⌫-|--|
quiparoleatoi	--|-----||--|
sachesque s ui fillederoi	-----|--|-⌫-|----|-|--|
poruostre amor p ens	--|-----|---|-⌫--|
ior e tnuit	--|-⌫|---|
amorsmaichiaconduit	----|||---|-------|
cris tallententetsisenrist	----⌫--||-----|-|-||-|---|
esgardee la sili dis t	-------|||-|-|---⌫|
garderai men tiadeus ne p lace	-------||--⌫|-|---|-|-⌫---|
ionaiam iio naiparent	-||-|--⌫|-||-|-----|
con seildenule	---⌫---|-|---|
iesoloi eest reases p lussage	-|-----⌫|---⌫-|---|-⌫--|---|
ie sui deu enustos	-|--|---⌫---|--|
orm est s am ors totenouele	-||--||--⌫--|---|-----|
cefa itamorsquestamorslasse	-|--⌫-|----|-|--|----|----|
que plusdr oit lenomasse	--|---|--⌫--|-|------|
ge tésmoifors dec est pe ri l	--⌫---|--|---|-|-⌫--|--⌫--⌫|
aco ertto rn és lis olau s	|-|--|--⌫--⌫--|-|-⌫----⌫|
desquece uientdesi al ior	-----|-|----|---|-|--|
c onques nemanganene	|-----|-|----|-|-|
ne saf olie neco nut	-|-|-⌫---|-|--⌫--|
quequilp lore grant	--|-|-|-⌫---|----|
doeldemai ne	---|-----⌫-|
hela s distilquest	----⌫|---|-|-|--|
o r est alee	-⌫|--|---|
orlaiperdue	-||-|-----|
etie s ui ci remestos	-|-|-⌫-|-|----|--|
dola nscaitisetangoiss eu s	----⌫-|-----|-|-------⌫--⌫|
nenusauoecmo i	-|--|----|--⌫|
n eremai nt	-⌫|-----⌫-|
forsseulamorsquime	---|---|----|--|-|
etsac on paigniem e	-|-|-⌫--⌫------|-⌫|
estuetetmoique	-----|-|--|--|
miels uoe il morir	----|---⌫-|----|
isnel e m ent	-----⌫-⌫-⌫--|
paine estre longement	----|----|--------|
amorsasi lacose enprise	----||-|-|---|------|
qu el enesetma isenquel	-|--⌫|-|--|--⌫-|-|---|
ele s e pui sse conte n ir	--|-⌫|---⌫--|-----⌫-⌫-|
p enseet apr esfait unsospir	-⌫---|-|---⌫-|---|-|-----|
orsentfroidureetorech aut	-|---|-------|-|--|--⌫--|
to te fremis t	--⌫-|------⌫|
trambleettressaut	------|-|-------|
enmou tpoidore est	-|---⌫|--||--|--|
si ataint e	-|------⌫|
en a ialafacetainte	-||-|-|---|-----|
lanuis paruint liior s	-|---|------|-|---⌫|
tre spasse	---⌫-----|
lapu cel e ertdepenserl asse	-|--⌫---⌫|--|-|-----|-⌫---|
seslisestfaissiuagesir	--|--|--|---|-|-|----|
torneetretorneet uoet do rmir	----|-|------|-|---|--⌫---|
m aisne poetcaramor slas a lt	-⌫--|-|---|--|----⌫||--⌫-⌫-|
lassedist elemoiq ue	----|---|--|--|-⌫-|
dormirne rep ose r	-----|-|---⌫---⌫|
torn ermestuete treto rner	----⌫-||-----|-⌫|----⌫---|
enpaine suietentra uail	-|----|--|-|-|---⌫---|
po rcoipen stant porcoi tr aua il	--⌫|--|---⌫|---|--|--|--⌫---⌫-|
etor sentie	-|-|---|-|
trop dur mon lit	---|--|--|--|
d edieu soienttot	-⌫|---|-----|--|
ci lmaldit	--⌫|-----|
quierso irlemedur entfair e	--|----⌫-|-|-|---⌫--|----⌫|
tantso nt fel onetdep utaire	---|--⌫-|---⌫-|-|---⌫-----|
haior suiapercheue	--|-|--|--------|
l acheute n estpasbien	-⌫|-----||--|--|---|
queanuitnefu r etornee	--||---|-|-|-⌫------|
estt oteamonc elee	--|-⌫--|-----⌫---|
quelmerueille estceseie	---|--------|--|-|-|-|
deceprendra i iebon	-|-|-------⌫|-|--|
cesfemesleuer	--|----|----|
por lap lumemi els retorner	--|-|-⌫---|--⌫--|-------|
dontu estun	---|-⌫--|-|
pel ichon der mine	---⌫----||--⌫---|
etu inta l	-|-⌫--|-⌫|
sameschine	-|-------|
releuer lefait	------|-|---|
cele selieueenesle pas	---|-|----|------⌫--|
ostelacheute e tpuislesdra s	---|-|-----|-⌫|---|--|---⌫|
et remueneisl estrain	-|----|---||------|
elemeisme imet sama in	--|-----||--|-|--⌫-|
tornelecheuteetf iert	----|-|-----|-|-⌫---|
orl e uelt haltet orepla t	-|-⌫|---|---|-|--|---⌫|
oruelthaus	-|---|---|
orha ltc ief	-|--⌫-|-⌫--|
orlerefait decie fen cief	-|-|-----|-|---⌫|-|---|
auisli estses cauesbas	---|-|--|--|----|--|
encor nestil a	----||--|-||
songrep as	--|--|-⌫-|
or est es trois etortrop les	-|--|--⌫----|-|-|---|--|
oresttr o pli c auesclinés	-|--|--⌫-⌫|-|-⌫---|------|
or lireu adecha pendant	-|-|---⌫|----|------|
sameschin e uamald is sa nt	-|-------⌫|-|----⌫--⌫--⌫-|
porcequi lnestason	--|-|-|-⌫||--||--|
cele li fa i tmoutbie nse ant	---|-|--⌫-⌫|---|---⌫|--⌫--|
a uisliestqueb ien esto it	-⌫--|-|--|--|-⌫--|----⌫-|
reposeruelt mai snepooi t	------|---|---⌫|-|----⌫|
leda moi se lp asnentroblie	-|--⌫---⌫--⌫|-⌫-||--------|
cefaitamorsquilenrenui e	-|---|----|--||-|-----⌫|
ramenbredec elui	-------|-|-⌫---|
nes etq uep uist f airede	-|-⌫-|-⌫-|-⌫---|-⌫---|-|
lassefait ele	----|---|--|
quep oetestre	--|-⌫--|----|
pasbiendeuerss en estre	--|---|-----|-⌫--⌫----|
orsui torneemoique chaut	-|--|-----|--|--|----|
cenemenuistne	-|-|-|----|-|
nepuis trouerengie nnear t	-|---|-----|-----⌫|-|--⌫|
queiaie bi en	--||--|--⌫-|
d e n ule part	-⌫|-⌫--|---|
ou cestlilisdont ie medoel	-||--|-|--|---|-|-|---|
ou plussui t enreq uene soel	-|---|--|-⌫---|-⌫-|-|---|
or ai e lcorsne saiquelra ge	-|-|-⌫|---|-|--|---|--⌫-|
qu esi demainemon	--⌫|-|------|--|
quan t uoeld ormirtote frem is	----⌫|---|-⌫----|---|----⌫-|
orme relieformeregi s	-|-|-----|-|-|----⌫|
oruoeila celuip arler	-|----||----|-⌫----|
maisquaiafairedeluass al	---|-|-||----|--|----⌫-|
cestl arie nsque plus	|--|-⌫|---⌫-|--|---|
me f aitmal	-|-⌫--|--|
ilestespoir	-|--|-----|
feluui lains	--||--⌫----|
oud irepla ins	-||--|---⌫--|
queest ceore que	--|--|-|--|--|
a iluersmoi mespris	|-|---|--|------|
parque l coseblas m e rledoi	--|---⌫|---|----⌫-⌫-⌫|-|--|
n e loerquenafierta	-⌫|---|-|-|-----||
se il est beaus	-|-|--|----|
dontmereuint orfel onie	---|-|-----|-|---⌫---|
soscieln ao mmeia de s die	--|---|||-⌫--|-|--⌫-⌫--|
quilnesoitbeausa desmesure	-|-|-|---|----||--------|
nusnestde sibele faitur e	--||--|-|-|---|------⌫|
certes il est etb ea us et bons	-----|-|--|-|-⌫--⌫-|-|---|
ettoique chautil n	-|--|--|----|-||
iertia toe n s	---|-|---⌫-⌫|
nest drois	|--|----|
queie de mant ba ron	--|-|--⌫---|--⌫--|
l econ seil	-⌫|---⌫---|
conseillas seconlonc respit	------|---⌫-|--|---|-----|
ianaiie ioie	-||-|-|---|
iacertesseies en auoie	-|-----|-|-|-⌫-|----|
leconseille	-|------|-|
roin aten dro i e	--||----⌫---⌫-⌫|
do nt se porpense	--⌫-|-|-------|
s iseta ist	-⌫|-|--⌫--|
or lie st bonor li desplaist	-|-|-⌫-|--|-|-|--------|
hechaitiueco niesuif ole	-|-------|--⌫|-|--|-⌫--|
dontmereuien t cesteparole	---|-|------⌫|----|-----|
moitelconseil	--|--|------|
dontnemeui entilmie usatendre	---|-|-|--⌫--|-|---⌫-|------|
filleesderoine et deroi	----|-|-|----|-|-|--|
segnorte donra endroit toi	-----|-|----|------|--|
alq ues t estuetp orceso ff ri r	---⌫--||-----|-⌫-|-|--⌫--⌫--⌫|
e tse il nest atonplaisir	-⌫|-|-||--||--|------|
qu estceclari	-|--|-|----|
n astudont	|-|-|---|
sestudonques queblasm es monte	--|-|------|--|-----⌫-|----|
etteplais til auoir	-|-|-----⌫|-|----|
oilsi aii apor	--|-|-|-⌫|--|
maisiene puisprendreconroi	---|-|-|---|------|-----|
