pourlamitiede	---||-----|-|
ihesu crist	----|----|
doiuent estre en nostreescrit	------|----|-|-----|-----|
le ser uised esesamis	-|---⌫---|-⌫|--|---|
estnusentr e mi s	--|--|----⌫-⌫--⌫|
d onorerles sainzenc emonde	|-----|--|----|-|-⌫|----|
lafinbienne lenre pond e	-|--|---|-||-|--⌫----⌫|
la d elitable	-|-⌫-------|
uetenla monteigne	--|-|-|--------|
lemont aseurmontez	-|---||---------|
c est cil a	|--|--||
quitoutesbon tez	--|-----|---⌫--|
tou tedouceurto zbiens	---⌫-|------|--⌫|----|
qu i de noientfist totlemon de	--⌫|-|-----|---|--|-|---⌫-|
a mitiedec e bon me stre	-⌫----|-|-⌫|--|--⌫---|
uo ill i e laui e etla saintestre	--⌫--|-⌫|-|--⌫|-|-|----|----|
seueamieretraire	---|---|-------|
latine nrom anztraire	----|-⌫|---⌫--|-----|
quepl us delitea	--|--⌫-|-----||
escou t er	-----⌫-⌫-|
acel s q uiloent rac onter	|---⌫|-⌫-||---|---⌫----|
u nclerctranslatee	-⌫|----|---------|
ce que nor mantestoit	-|--|---⌫---|-----|
larimequi futfai teencois	-|---|--|--|---⌫-|-----|
s ineple isoi tmi ea ufran cois	-⌫|-|---⌫----⌫|--⌫|-⌫|----⌫---|
porcelames	--|-|||--|
amis trami se	---|-----⌫-|
quellesera en	-|---|---|-|
francois mise	-------|---|
sedex medonnelapui ssance	-|--|-|----|-|---⌫-----|
care n nelui	--|-⌫|----|
naige fi anc e	|-|-|--⌫---⌫|
fo rsdesaideseulement	--⌫-|-||---|--------|
orlipri a ucommencement	-|-|--|-⌫|-----------|
s aintesperit menuoi t	-⌫---|------||-----⌫|
sens abienfereauoit	---||---|---|----|
quei aiemprisafeire	--||-|-----||----|
amontalentpuissea c hi eftrair e	|--|-----|-----||-⌫--⌫-|-----⌫|
apresrequ iera la pucelle	----|----⌫--||-|------|
quelledeprist c omme sencelle	-|---|------|-⌫---||------|
qu ilmeite	-|-|----|
em pardura ble	-|-------⌫--|
ceus quiorront cestem emoire	---|--|-----|----|-⌫-----|
enc i eneme ntota rome	---⌫-⌫-----⌫-|-||---|
unemperiere	-|--------|
moultpreudome	----|-------|
qui e rtapelezconstantins	--|-⌫-|-----|----------|
hard izetdecuerfins	----⌫-|-|-|---|---|
filz f ulempereeurcoutant	---|-⌫||--------|------|
quisaintey gliseamatant	--|-----|-⌫----|--|---|
c onquestan t comme	|-----|---⌫|----|
iltintla ter re	-|---|-|---⌫-|
nesorta cr etiente gu erre	-|---||--⌫------|--⌫---|
mesillestutuenirenfr ance	--|-||----|----|-|--⌫---|
q uilo rsestoit des apoi ssance	-⌫-|--⌫-|-----|-|-⌫|---⌫-----|
p o r ence rchieretdemander	-⌫-⌫|----⌫-----|-|-------|
iauoi t quea mande r	|----⌫|--|-⌫-----⌫|
qu il amendas t m oult uolentiers	-|||-------⌫|-⌫---|---------|
mescilquiles mauuessentiers	--|--|--|--|-----|-------|
preinentetgu erpiss ent	-------|-|--⌫------⌫--|
quibien lescondui tetauoie	--|---|--|------⌫|-|----|
cesontlicheualier derome	-|---|-|--------|-|---|
l emperieres iertmoult pre ud o m e	|---------|---|----|---⌫--⌫-⌫-⌫|
si amoidieuetsain t yg lise	-|---|---|-|----⌫|--⌫---|
lempireontasise	|-----|--|----|
seuru n sarrazinmescreant	---|-⌫|-------|--------|
po rcequilestoit	--⌫|-|-|-|-----|
malcrea nt	--|----⌫-|
quihaoit dieuet ses	--|----|---|-|--|
tentiertcrueulset en trecris	---|---|------|-|--⌫------|
et tanthaoit	-|---|----|
lescretiens	--|-------|
quilesm etoiten seslie n s	-||--|-⌫----|-|--|---⌫-⌫|
silesfeisoit enchartre meitre	-|--|------|-|------|-----|
puis leurf eisoitasez p ram eitre	---|---|-⌫-----|---|-⌫---⌫----|
asamesniee etas agent	|-|------|-||-⌫|---|
donnoitas sezoret a rgent	------|--⌫--|-|-|-⌫----|
pora orersesd i exde fust	--|-⌫---|--|-⌫-⌫-|-|---|
etse nushomsi hardizfust	-|-|--|--|-|-----|---|
que ilosa s tc eco ntredire	--|-|---⌫-⌫|-⌫|--⌫-------|
soufri r liesteu tle martire	------⌫|-|-----⌫|-|------|
porfere les cretiensprendre	--|---|--|-------|------|
senesttornez enalexand re	|-|--|-----|-|-------⌫-|
sesmesagiers par toutenu o ie	--|--------|--|---|---⌫-⌫-|
ci l s e midr ent	--⌫|-⌫|----⌫--|
tos t a la uoie	---⌫||-|---|
etnoncentceque li	-|------|-|--|-|
ro i s mande	--⌫-⌫|----|
cequemar cusliroiscomm ande	-|--|---⌫--|-|---|----⌫---|
atretouzcelscomm unement	|------|---|----⌫------|
quisonten son commendement	--|---|-|--|-----------|
richespoures granz	-----|-----|----|
sicom mech ascunsestaati z	-|---⌫-|--⌫-----|--|----⌫|
a l aseueuolente	|-⌫|---|------|
quec h a s c unlestle	--|-⌫-⌫-⌫-⌫-⌫-|---|-|
s iena fere	-⌫--|-⌫---|
et uiengesonta lent	-|-----|--|--⌫---|
quin eliuoldraobeir	--|-⌫|-|-----|----|
mor t receurasa nz	---⌫|------|--⌫-|
nul respit	--|-----|
soncomme ndement ontoi	--|-----⌫------|--|-|
cilquipo s en sontesioi	--|--|-||-|---|----|
c e son t cilquiadieuen tendent	-⌫|---⌫|--|--||---|--⌫------|
meslimauu esquiace	--|-|----⌫-|--||-|
qu iestoient	--⌫|-------|
amile r oi	--|-|-⌫-|
on t grant ioie deleurd es roi	--⌫|----|---|-|---|-⌫--⌫--|
ett o zcels sont a co rt	-|-⌫-⌫|---|---||--⌫-|
grantet pe titieune etchanu	----|-|--⌫--|----|-|----|
etpor amor et	-|--|---|-|
pormena ce	--|----⌫-|
espleitoi resfu gr a ntlaplace	-|-------⌫--|-|--⌫-⌫-|-|----|
et liroiss asist ou	-|-|---||----|-|
le preuost a guerpison l eu	-|------||-----|--|-⌫-|
leuezason te stant	----||---⌫|-⌫----|
o r susfetilueneza uant	-⌫|--|--|-|----|-⌫---|
queieuosaic ia me nez	--|-|--|-|-⌫|-⌫--⌫--|
de par lemp ereuruenez	-|--||---⌫----|----|
tretu itautemplepor orer	-----⌫-|-|-----|--|---|
c onu endraahorer	-⌫---⌫----|-----|
no s diex et sacreficefere	--⌫|---|-|--------|---|
a chascunseloncs onafere	|------|-----|-⌫-|----|
cilquiferontlesgreigneursdons	--|--|-----|--|---------|---|
arontle sgregneurs guerredon s	----|--⌫|--------|---------⌫|
ce stepa roleoirentt uit	--⌫--|--⌫---|-----|-⌫--|
p armilasaleou	-⌫---|-|---|-|
a gra ntbrui t	|---⌫-|----⌫|
undessieta	-|------||
l autreplest	|----|----|
liroisse lieuesanz arrest	-|---|-|----|---|-----|
tuitsel ieuent grant etmenor	---|-|-⌫-----|----|-|----|
e til quila gre gneur honor	-⌫|-|--|-|---⌫----|----|
die xcomme ncier uoloi t	---⌫|-----⌫----|-----⌫|
torsetm o u tonscommeilsouloit	---|-|-⌫-⌫-⌫---|----|-|------|
a fetocirre agr ant plante	|--|-----||--⌫--|-----|
etcilquiasa uolente	-|--|--||-|------|
u e ullent ferequequileurcoust	-⌫-⌫-----|---|--|--|---|----|
depensee t de leur	------|-⌫|-|---|
ne se sont pas tropesmaié	-|-|---|--|---|------|
richepresenton t enuoié	----|------|--⌫|------|
a ostiexlip rince etli	|-----|-|-⌫----|-|-|
quedu p etiteussenthonte	--|-|-⌫---|------|----|
chas cundebienferes	----⌫--|-|---|---||
l ipou ress eloncsapoissa nc e	-⌫|---⌫--|-⌫----|-|------⌫--⌫|
o ffren tagniaxet oi siaxu is	-⌫-----⌫|-----|-|--⌫---|-⌫-|
a celsquil	|---|--||
oentes t auis	---|--⌫|---|
q uedudestoriaus	-⌫-|-|--|------|
descrisdesgenzetdes	--|---|--|---|-|--|
q aforcesoitlacite	||----|---|-|---|
o uqu ellesoitdefeuespris e	-⌫|-|---|---|-|--|------⌫|
cite otqui feisoit	---|-|--|------|
cequeadiexpoint	-|--||---|----|
nepl eisoit	-|--⌫-----|
auoitunei eunepucelle	----|--|-⌫---|------|
roi etgenteet belle	--|-|----|-|----|
estoiticellecreature	-----|-----|-------|
quenliauoit	-|-|-|----|
misenat ure	---|---⌫--|
t el enten cionett e l pa ine	-⌫-|-----⌫---|-|-⌫-⌫|--⌫--|
qu apresli	-|----|-|
poistfeirea paine	----|----||----|
cesteresemblast	----|---------|
meismesn em bla st	------||--⌫---⌫-|
et laportraiture	-|-|----------|
don tfeis tautr ete lfigure	---⌫|----⌫|----⌫---⌫|-----|
etauocque s cestebo nte	-|-------⌫|----|--⌫--|
ot enson qeur	-|-|--|---|
une clarte	--|-----|
dont sesqeursi ert siesbaudiz	---|--|----|-⌫--|-|-------|
qu in e stoitclerstantfust hardiz	-|||-⌫----|----|---|---|-----|
dauto rs ne dedi al e tique	|----⌫-|-|-|--⌫--⌫-⌫----|
de lays ne delare ctorique	-|---|-|-|-|--⌫-------|
qui deuent lui	--|-----|--|
osast motdir e	----|--|---⌫|
toutes auoi t oieslire	-----|----⌫|---|---|
lesars e ttoutes	--|--|-⌫|-----|
mestres pa ssezauoi t	------|--⌫---|----⌫|
quiestoientenlacite	--|-------|-|-|---|
de s ense tde soutiuete	-|-⌫--|-⌫|-|--------|
tentot cercheel	---|-|------||
e scritu re	-⌫------⌫-|
to utmistson qeuretsan ature	--⌫-|---|--|---|-|-|-⌫----|
er tunauuglez	--⌫|-|------|
etli roisdusaintesperiz	-|-|---|-|----|------|
iupinettarotetbar iz	----|-|----|-|---⌫-|
otsonqeur guerpi	-|--|---|-----|
et lessié	-|------|
uersihesucrist	---|---------|
estoitpl essié	-----|--⌫-----|
qui estcom mencementet	--|--|---⌫--------|-|
uersdie ue stoit	---|---⌫|-⌫----|
sonceur sifins	--|---|-|---|
qu ilneli pleisoitautrec hose	-|-|-|-|-------|----|-⌫---|
et diexsiglorieuser ose	-|---|-|--------|-⌫--|
quide sespin esdecemonde	--|--⌫|-----⌫-|-|-|----|
esto it issueneiteet monde	----⌫-|----|----|-|----|
si f ufil led	-|-⌫|---⌫-||
unpaienroi	-|----|--|
quidespisoitdieu etsa loi	--|--------|---|-|-|--|
etelle lamoi t	-|---||----⌫|
seu rtoutesrien	---⌫|-----|---|
por ce dige	--|-|-|-|
e nco r ebi en	-⌫---⌫-⌫|--⌫-|
que cest eroseissi d esp i ne	--|----⌫|---|---||---⌫-⌫-|
q uiapelee ert katherine	-⌫-|-----|--|--------|
grantauoir o rent a massé	----|----|-⌫---|-⌫-----|
m esq u antilfurent trespassé	-⌫-|-⌫-⌫--|-|-----|---------|
pieceauoit sonpereetsa mere	----|----|--|---|-|-|---|
ete lle nauoitser eurne	-|-⌫--||----|---⌫--|-|
tout despe ndoit	---|-----⌫----|
sel onc les c rit	---⌫--||--⌫-⌫--|
aupoures genzpor ihes u crist	-|-----|---|--|----⌫-⌫----|
etnep orquant	-|---⌫------|
s onher itage	-⌫-|---⌫----|
neuendi miecomm esage	-|----|--|----⌫|---|
e inze n maintintla	-⌫--|-⌫|-------|-|
gran tmesnie	----⌫|-----|
q uesonpere liot lessie	-⌫-|--|---|-|-|-----|
m oul t est oit	-⌫---⌫|---⌫--|
porueant et preuz	-------|-|----|
ice meism esiertsespreuz	--|-----⌫-|---|--|----|
que eliert	--|-|---|
mondeentreles genz	----|----|--|---|
toutautres icommeliargenz	---|------⌫|----|-|-----|
quantonleuelt oleplum meitre	----|-|-|---||-|---|-----|
nepe utempir ier nem almeitre	-|--⌫-|-----⌫--|-|-⌫-------|
mestoziors	--|--|---|
finsetne i zil	---|-|--⌫-⌫|-|
toutautresinc	---|--------|
estenlordure	--|-||-----|
du monde lapucelleneite	-|----|-|------|----|
nonquesneui tnecist neceste	|-----|-|--⌫|-|---|-|----|
del ui issir toutesa uie	-|-⌫-|----|----|-|--|
orgueill nenule	-------|-|---|
tantl amoi entgr antet m e nor	---||----⌫--|--⌫--|-|-⌫-⌫--|
elleportoit	---|------|
a touzh onour	|---|-⌫----|
lapucelle est	-|------|--|
touteesbahie	----|------|
d e lanois e q uelle	-⌫|-|----⌫|-⌫|---|
par lentree	--||-----|
et dema n de quecepe ut	-|----⌫-⌫-|--|-|--⌫-|
dit toutel enfere	--|----||-----|
elleselieuesan zpl usfeire	---|-|----|---⌫|--⌫-|----|
contr elu ietde sesserianz	-----⌫|--⌫|-|-|--|------|
cour an tuetl aouli tiranz	----⌫--⌫|--|-⌫|-|-|-----|
feisoit lesydre saor er	------|--|----⌫|---⌫-|
siail ue c	-||--⌫--⌫|
ueu pl orer	--|--⌫---|
l escret iens qu iagrant tort	-⌫-|----⌫---|--⌫||----|---|
uo lo i entpor pe or demo rt	--⌫--⌫-⌫--|--|--⌫-|-|--⌫-|
gu erpirihesucristet sal oi	--⌫----|---------|-|-|-⌫-|
etaor er p ar	-|---⌫-|-⌫-|
leur d esr oi	---|-⌫---⌫-|
les diexde	--|---|-|
coiuretresgetez	-----|--------|
et celuiqu iest uerit ez	-|----|--⌫|--|-----⌫-|
a uoientporpe or lessié	-⌫-----|--|--⌫-|------|
la pu celea lefrontbessié	-|--⌫---||-|----|------|
commec orrecieeet dole nte	----|-⌫-------|-|----⌫--|
de dieu p rier nefu pas	-|---|-⌫---|-|-|--|
enbas mes e nhaut uetl auoiz	-|--|--|-⌫|---|--|-⌫|---|
puisfetlesignedela	---|--|-|----|-|-|
si sautauenthardie et fie re	-|---|----|-----|-|---⌫-|
s i apelleentelman iere	-⌫|-----|-|--|---⌫---|
empereres d istla pucele	--------|-⌫--|-|-----|
m esemontetapelle	-⌫|-----|-|-----|
dignetedeton non	------|-|--|--|
ietesalu ouuoilleounon	-|-|---|-|-----|-|--|
comme len doit	----|--|---|
fe iree mpere ur	--⌫--|-⌫-----⌫-|
se tule s eruise	-|-|-|-⌫-----|
f esciacesymages	-⌫-|-||--|-----|
ferecomme sa ge s	---|----|--⌫--⌫|
aceluiroia celuimes t re	|----|--||----|---⌫-⌫-|
ac eluidieuquite	|-⌫---|---|--|-|
fistnes tre	---|---⌫--|
a celuiroipar q uiture g nes	|----|--|--|-⌫-|-|--⌫-⌫--|
celuiporcui lielement	----|--|--|-|------|
orent premierco m me ncement	----|------|--⌫-⌫--⌫------|
ilnacure desens debest e	-|||---|-|---|-|----⌫|
mes quant iluoitle	--|----|-|---|-|
qeurh oneste	---|-⌫-----|
q uil e sert deuure	-⌫-|-⌫|---||----|
et d ebouche	-|-⌫|-----|
celuiaimesesen aprouche	----|---|-||-|-------|
lamor ouil se	|---|-|-|-|
cest li uessiaxou i lhabite	|--|-|------|-|-⌫|-----|
len ne peutdiex plus messeruir	--|-|---|---|---|--------|
quelui lessieretce tenir	--|--|------|-|-|----|
telseruise quefere	--|------|--|---|
tropestc ildetresmal afere	---|--|-⌫-|-|---|--|----|
et cruelme nt sedesnat ure	-|-------⌫-|-|------⌫--|
quiporseru irla creatur e	--|--|----⌫-|-|-------⌫|
g uerp i stcelui quitotafe t	-⌫----⌫-⌫-|----|--|--||--⌫|
tropdolereus me sfet	---|-------|--⌫---|
il nes tcuns	-||--⌫||--|
