cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
deureientbien me ttr ecure	--------|---|--⌫---⌫|---|
esbonsliuresee scriz	-|---|-----||-⌫----|
samplese as diz	------||-|--|
keliphilosophe trouerent	-|-|---------|--------|
eescristre nterem embrerent	|---------⌫-||---⌫--------|
par mora litees cr iu eien t	--|----⌫---|--⌫--⌫--⌫----⌫|
lesbons prouerbesqu iloieient	--|---|--------|-|-|------|
quecilamender se peussent	--|--|------|-|-------|
kilurenten teen bieneussent	-|--|-----⌫-|-|---|------|
ceo firentliancienpe re	--|-----|-|-----|--⌫-|
r omulusk ifuemperere	-⌫-----|-⌫|-|-------|
a s unfiz escr itsi	|-⌫-|--|----⌫-|-|
e paressamplel imustra	|--|-------|-⌫|-----|
cum ilsedeustcuntregua te r	--|-|-|----|---------⌫--⌫|
quehumnelp us tenginner	--|--|-||-⌫--⌫|-------|
esop e scrist a sun	---|-⌫-----||--|
quebien cunustluiesun estre	--|---|-----|--||--|----|
unesfableskeot trouees	---|-----|-|-|------|
degr iuen latin translatee s	-|--⌫-|-|----|----------⌫|
mer ue il l eeneurentliplus ur	---⌫--⌫--⌫-⌫|-|-----|-|----⌫-|
qu ilmistsun sen	-|-|---|--|--|
en tellabur	-|--|----|
mesni afabl e de folie	--||||----⌫|-|----|
a itphil osophie	-⌫-|----⌫------|
e ssamp lesi sunta pr es	-⌫-----⌫--||---|-⌫--⌫-|
udesc untes	|--|-⌫----|
esttutlifes	--|--|-|--|
ameikideil arime faire	|--|-|--|-⌫|---|----|
nien taretr aire	----⌫||----⌫---|
plusursparolesque	------|------|--|
me snepur uccil mesumunt	--⌫|-----⌫-|--|-|-----|
ki flur sestdecheual erie	-|----⌫|--|-|------⌫---|
denseignementdecurteisie	|-----------|-|--------|
equ ant telhumemeadreq uise	|--⌫--|--|---|-|-|---⌫---|
n euoillesserennuleguise	-⌫|---|-----|-|---|----|
qu e ni mettetrau a il	--⌫|||----|----⌫-⌫-|
ki que mentiengepuruileine	-|--||-|-----|--|------|
deferemut pur sapreere	-|---|--|--|-|-----|
sicomencerai	-|---------|
la p remere	-|-⌫-----|
des fables ke	--|-----|-|
esopus es crist	-----|--⌫----|
que a sunmestremand ae dist	--||--|-----|----⌫||---|
del co kc u ntek e munta	--|--⌫|-⌫-⌫--|-⌫|----|
surunfemer e sigrata	--|-|----||-|----|
s ulu mnaturesepurchac o t	-⌫---⌫|-----|-|-------⌫-⌫|
sau iande c um il meuzsot	-|-⌫----|-⌫-|-|---|--|
u nech eregemme tro ua	-⌫-|--⌫--|----|---⌫-|
uitsilesgarda	--|-||------|
ieoqui daifetilpurchacer	--|---⌫--|--|-|--------|
surcest femer	--|---|----|
oreaiicigemm etrouee	--|-|--|----⌫|-----|
ian iertpurmeihonure e	-||---|--|--|------⌫|
siun riche humeuustrou a s t	-|-|----|---|--|----⌫-⌫-⌫|
bi ensaik e de	--⌫-|--|-⌫|-|
oruusau rn ast	-|--|--⌫--⌫--|
siacreu stuostre beaute	-|-----⌫-|-----|-----|
grantclarte	----|-----|
quantmauole ntenai de tei	----|-|----⌫--||-|-|--|
ianulho nurn	-|--|--⌫--||
auerasdemei	-----|-|--|
autre si estde meint egent	-----⌫-|--|-|-----⌫|---|
situtueit a	-|--|---||
cumdelcoke dela	--|--|--||-|-|
dehummee de	-|----||-|
bien e honurmu t	---||----|--⌫|
poi pri sent	--|---⌫---|
lep is pernentlem euzdespisent	-|-⌫-|------|-|-⌫--|--------|
ciditdellu e delaignel	-|--|--|-||-||-----|
ki beueientaunc li n cel	-|-------||-|-⌫--⌫-⌫--|
lilusenlasursebeueit	-|--|-|-|----|-----|
aigne lsaualesteit	-----⌫-|---|-----|
iriement parlali lus	-------|----|-|--|
que mutesteitcu n trarius	--|--|-----|--⌫-⌫------|
parmaltal e ntpar laalui	--|------⌫-⌫-|---⌫-||--|
tumefes distil	-|-|--|---|-|
gr an ten nui	--⌫--⌫|--⌫--|
li aignelad	-|-----|-|
siredequeidunneueiz	---|-|---|--|-|---|
tum as cestewesi	-||-|---|--|-|
beiuremasau lee	-----|-|---⌫--|
arerem en iraiceocrei	----||-|---|--|---|
cum ieouienccamurantd ese i	--|--|----|-|-----|-⌫|--⌫|
liaignelez du ncli respunt	-|-------|--⌫-|-|------|
sire ia beuez uus	---|-|----|--|
deuusmeuient ceoqueai	-|--|-|----|--|--|-|
que ifetli lusmaudi z	---⌫|--|-|--|-----⌫|
cillia d ditnenai	--|-|-⌫|--||-|-|
li lusrespunt	-|--|------|
ieoensai leu eir	--|-|--|-|-⌫--|
cestmemesmefis ttunpere	---|----|-|---⌫|--|---|
acest esur seu odluiere	|----⌫|---⌫-||-|--|--|
oread si sm eiss icumieo	--|-|--⌫|-⌫--|-⌫|--|--|
ne fupas nezduncsi cum ieo quit	-|-|--|--|---|-|--|--|---|
eke pur ceoli lus addit	|-|--|--|-|--|-|--|
tu orecuntrere	-|--|-------|
nedeussezfere	-|------|---|
duncpris tli lus laignelpetit	---|----⌫|-|--||-----|----|
as d enzles tr anglesiloc i t	-|-⌫--||--⌫--⌫----|-||--⌫-⌫|
issifuntliricheseig n u r	---|---|-|----|----⌫-⌫-⌫|
liuescuntee liiugeur	-|-------||-|-----|
de ceusquilu nt enluriustise	-|---|-|-|-⌫-|-|--|------|
fausac heisu n s	---|--⌫-----⌫-⌫|
parco ueit ise	--|--⌫----⌫--|
treouentasez	-------|---|
pureusconfundre	--|--|--------|
suu entles funt apleitsomun dre	---⌫--|--|---||----|-----⌫--|
lacha r lu rtolent e	-|---⌫|--⌫|-----||
sicu mlilus	-|--⌫|-|--|
sulumla lett redesescri z	----|-|----⌫-|--|-----⌫|
uus muster ai	--|------⌫-|
deu nesuriz	-|-⌫-|----|
pur ch aze	---⌫--⌫-||
au e it me ssageaunmulin	--⌫-⌫-|--⌫----||-|----|
paressample	--|-------|
cunt er uus uoil	----⌫-|--|---|
qu euniurs	--⌫|-|--||
asi stdesur le	---⌫-|----|-|
ses ge rnunez appara illa	--|--⌫-----|------⌫---|
sespiez les	--|---|--|
deuant lui passaunereine	-----|--|----|--|----|
si cumeauen ture lameine	-|---|----⌫---|-|----|
d emand a l i ensareis un	-⌫-----⌫|-⌫|-|-|----⌫-|
ertdamede lameis un	--|---|-|-|----⌫-|
duntelese feseitissimes tre	---|--|-|-----|---|---⌫--|
sili acuntastde s un	-|-|-------|-|-⌫-|
la suriz li	-|----|-|
r e spuntamie	-⌫-⌫----|---|
en oila seignurie	-|-|-|--------|
bien esten	---|--|-|
