A Blaiuesfuisent	|------|------|
tresto tencontre	------⌫|-------|
de gentcom i lporr ont soufir	-|---|--|-⌫|----⌫--|-----|
si firentsansnisuncontre dit.	-|-----|---|----|------⌫--||
ÀB laiuesuiene n tles os auduc Garin	-|-⌫-----|-----⌫-⌫|--|-|-|--|----|
Gra nsetplenier esn us	---⌫-|-|-------⌫-|-⌫-|
plusbelesneu it	---|----|-|-⌫-|
Ilsesfo rcierent	-||----⌫-------|
et c as cunsmultbel uint	-|-⌫--⌫---|---|--|---|
À sonpooirsico mpotau eni r	-|--|----|-|--⌫|--|--⌫---⌫|
Adespa roles	---|--⌫----|
es uos led u cGarin	-|--|-|-⌫-⌫|----|
a Blaiuesnepris entonqu es fin	|------|-|----⌫--|----⌫-|--|
Encontreuontl iuauas or g entil	-------|---|-⌫|-----⌫-|-⌫----|
Etliborg oi s etlesgensdupais	-|-|----⌫--⌫|-|--|---|-|---|
Desorles aut resfo nti o ie deGerin	----|--|---⌫--|--⌫-|-⌫-⌫-|-|----|
Etdesonfrerel eualletHe rna udin .	-|-|--|----|-⌫|-----|--⌫---⌫---||
Sa feuté a	-|-----||
pri slei ourGerin	---⌫|-|-⌫--|----|
Maisl e mperereot faittrest ot	---||-⌫------|-|---|-----⌫-|
entent porpoinerrageuis	-----|--|--||-----|--|
Ilui ntasgardes	-|--⌫-|-|-----|
si les atosform is	-|--||--|--|-⌫-|
Quarest ioranosdont l i rois pr is	---|--|--||--|---|-⌫|---|--⌫-|
Quisansforfaitcui d e nos	--|---|------|---⌫-⌫|--|
fiéss aisir	----|-⌫----|
De tou teho nor	-|---⌫-|--⌫--|
terrestr ed epartir	--------⌫|-⌫------|
seueutdeuersFromont	-|---|-----|------|
Sigart tres	-|---|---|
biensaterr eetson pais	---|-|----⌫|-|--|---|
Elplusp arfontuer ranoiseet	-|---|-⌫-----|---⌫-|----|-|
Linies sen	-|---||-|
tornen t ets	------⌫|-||
enuon taParis	-|---⌫||----|
Amen esmuen tsiuin rent a Pepin.	--||------⌫|-|---⌫---||----||
Liroisdeman deSegnorq uen auesdit	-|---|-----⌫-|-----|-⌫|-|---|--|
Porquoi aues	--|---|---|
mescastiaxdegu erp i s	--|------|----⌫---⌫-⌫|
Et mo nfiéligequeiedoi m aintenir	-|--⌫|---|---|--|-|--|-⌫-------|
—En n omDi u si re ce lidi st Benselin	|-|-⌫-|--⌫|--⌫-|-|-|--⌫-|-------|
Ilnestpasuostresi co m mo iestauis	-||--|--|-----|-|--⌫|--⌫|--|---|
An c hoisestcuide etHernautet Gerin	--⌫-⌫---|--|----|-|------|-|----|
Il ipertbie nles uosenont	-||---|---⌫|--|--|-|--|
EtdistliroisIlmeprisentpetit	-|---|-|---|-|-|------|----|
An chois on tdroi t	--⌫----|--⌫|----⌫|
lempe reis	|----⌫---|
De texmorsiaus	-|--|-------|
o n bien seru ir	-⌫|---|----⌫-|
——Laissies estercedistli roi s	||-------|----|-|---|-|---⌫|
Parsa int Denisianeporresioir	--|--⌫--|----|-|-|-----|---|
Sedeuer sex uos uol ie stenir	-|-----⌫|-|--|---⌫--⌫|----|
Et uosetexferoie	-|--|-|-|-----|
repentir .	-------||
p ue t bienestrecedistlempereis	-⌫--⌫|---|----|-|---||-------|
N e medoimiecont reuosaatir	-⌫|-|--|--|----⌫-|--|----|
Mais onsedoitdeuersle droit	---|-|-|---|-----|-|----|
Et q uin elfaitila Diu	-|-⌫-|-⌫-|---|-||--|
OR laisser om esterdur oiPepin	-|-------⌫-|----|-|-⌫-|----|
Quantlix e nerts i porrom reuenir	----|--|-⌫|--|-⌫|-----|------|
Sicanterom del uaillantducGerin	-|-------|--|-------|--|----|
Quine ́s porcaceet fait calan s	--|--⌫-|------|-|---|-----⌫|
por ta faitdenés courir.	---⌫||---|-|---|-----||
L iaube apert etliior s esclairi	-⌫|---|----|-|-|---⌫|-------|
i ssentligrant etlip eti t	-⌫----|-|----|-|-|-⌫---⌫|
Etl icaroi s c ommenchaauenir	-|-⌫|-----⌫|-⌫-------||----|
Aupasser mirent .iii	-|-----|-----||--|
Quantilsontou t reou tre	----|-|---|--⌫-⌫-|--⌫--|
etlig ranscarois	-|-|-⌫---|-----|
Parde dela li berRigau sreu int	--|-|---|-|--|-----⌫|---⌫--|
.ch eualierdeh aut	|--⌫------|-|-⌫--|
Gu is de B iaise t Ioses et La ndri s	--⌫-|-|-⌫---|-⌫|----|-|--⌫----⌫|
En lor c omp agnes arbalestesbie n .	-|--|-⌫---⌫----|---------|---⌫||
Neniotnulsordestrierne seist	|-|--|--|--|-------|-|----|
isnelet legier	----|-|-----|
Deuantlesautr es li enfes Rigaus u in t	-----|--|----⌫-|-|----|-----|-⌫--⌫|
Toutmaint enant ala	---|-----⌫----|--|
baiser Gerin	-----|----|
enfes rala	----|---|
b aisier Garin	-⌫-----|----|
Pui ssen tor natot	---⌫||-|---⌫-|--|
droituer s H ernaudin	----|---⌫|-⌫-------|
ilbienp uisies uousuenir	-|---|-⌫-----|---|----|
Multgr antsoufrance auons encest	---|--⌫--|--------|----|-|---|
De uosb i ausi ref oiquedoi	-|--|-⌫-⌫-|--⌫-|-⌫-|--|--|
saint Denis	----|----|
Et detonfrerelebonuassal Gerin	-|-|--|----|-|--|-----|----|
QuarBourdeloissinoustie nnent	---|---------|-|---|---⌫----|
Souen t nousc acentetadexeta	-----⌫|---|-⌫----|-||--|-||
Nossomespoi si nel	--|----|--|-|--|
poonss ofrir .	----|-⌫----||
Delororg ueilnenouspoons	-|--|---⌫---|-|---|----|
La ut riermocirent	|-⌫--⌫---||------|
mo nfre reGarne rin	--⌫|---⌫-|-----⌫--|
Dontiai le c uer	---||-|-|-⌫--|
multdurementm arri.	---|-------|-⌫---||
Prodome fustse	------|---|-|
ilpeü stgarir	-|----⌫-|----|
Etch eu alier uigerex	-|--⌫--⌫----|------|
et ha rdis .	-|--⌫---||
Heruixmesp er es en	-----|--|-⌫--⌫-|-|
estt ou s asotis	--|-⌫--⌫|-----|
Lere ma nantpriseli	-|--⌫--⌫---|----|-|
ber pe tit	--|--⌫--|
ore que n oussoiom	--|--|-⌫--|----|
Dont ser oit sexmes	---|---⌫--|--|--|
per eencest	---⌫|-|---|
G rantpeciéfaitesquant ni	-⌫---|-----|-----|----|-|
estesich i	----|---⌫|
u ostreestlatereuosl e deuestenir.	-⌫----|--|-|---|--|-⌫|----|----||
—Nedoutesmiebiaxn iesd istHernaudin	|-|-----|--|---|-⌫--|-⌫--|--------|
Q uepos serom asse se ncestpa is	-⌫-|--|----|----⌫|-⌫|---|--⌫-|
Etqua nt li xer tsiiromaGari n	-|---⌫-|--⌫|--⌫|-|---||----⌫|
Le Loheren qui sou efnous nouri	-|------|--|---⌫-|---|----|
Quipornou s	--|--|---⌫|
e s t dele gerre	-⌫-⌫|-|-|----|
entremis .	-------||
f aitesuos cedistlid us	-⌫----|--|-|---|-|-⌫-|
Faitesl ogie r et	-----|-⌫----⌫|-|
Carpai sés estl icar oiscem estu i s	--|---⌫---|--|-⌫|---⌫--|-||--|-⌫-⌫|
Etuos uilain sauesque ieuos pri	-|--|-----|----|--|-|--|--|
Parmi la tere don tno ussome s	----|-|---|---⌫|--⌫-|----⌫|
Faitescrieretle	-----|----|-|-|
ca r oi uenir	--⌫-⌫-|----|
Enlostama ignentetlepain	-||--|---⌫-----|-|-|---|
Etlesuiandes	-|--|------|
dont deuom e s garir	---|-----⌫-⌫|----|
Qua r par l apostrequequerr e ntpe lerin	---⌫|--||------|--|-----⌫-⌫-|--⌫----|
Neparcheluiqui deleuef istuin	-|--|-----|--|-||--|-⌫--|--|
Quant sistas nocesde	----|---|-|----|-|
s .Archedeclin	||----------|
Ienenbe mie	-||-|-|--|
iuentredeiu se n doitresir	-|----|-|-||-⌫|---|----|
Quiguerre maine e tguerre	--|-----|----|-⌫|-----|
Ains quei em portefoiquedo is . Martin	---|--||--⌫----|--|--|--⌫|||-----|
Lecomperrontmimor tel anemi .	-|---------|-|---⌫--|----||
La s e l ogerent licheualier gen t il	-|-⌫|-⌫------|-|--------|---⌫-⌫-|
La n uitiui rentet s enuont	-|-⌫--|---⌫---|-||-|---|
En la uangard es	-||-⌫-------⌫||
enua li fixHeruis	-|-|-|--|-----|
IletGuirresq uiG ir onu ille	-|-|------|-⌫-|-⌫--⌫---⌫---|
Qui tres bien seurentla	--|---|---|------|-|
terreet l epais .	----|-|-⌫|---||
gar d e fistl idus	---⌫-⌫|---|-⌫|--|
Aub e ris .	---⌫-⌫--||
Iofrois dAn iauetHugesde Paris.	------||--⌫--|-|----|-|----||
Enmilesrou tesontlesgranscar ois mis	---|--|---⌫--|--|--|----|---⌫--|--|
EnGascog ne entre nt	-|------⌫-|-----⌫-|
porsai sirle pais	--|---⌫--|-|---|
ilsont dedenslate re mis	-|---|-----|-|--⌫-|--|
Ni otfiancechist	||-|-----|----|
Chi l uila in fuient	---⌫|----⌫-|-----|
porlorcorsgarandi r	--|--|---|-------⌫|
Etnequ edenten i ot	-|----⌫----|-||-|
asses pris.	----|---||
Ilse demententetseclaiment caitif	-|-|--------|-|-|-------|-----|
