luise lidemanda	--|-|-|------|
do nt ilestoi tet qes	--⌫-|-|-----⌫|-|--|
h ometill i	-⌫-|-|-|-⌫|
distdameie	---|---|-|
suidelatere auui elets ui	--|-|-|---|-|--⌫-|-|-⌫-|
cheuali er set	-------⌫--⌫|-|
elereuint a sensegneuretse li	--|-----||--|------|-|-|-|
ormeferésuousgrant bontese	-|-|-----|---|----|----|-|
uous med oné scestuicar ilset	---|-|-⌫----⌫|-----|--|-|--|
d e tousded uis etsesuerrés uolent iers	-⌫|---|---⌫--|-||-|------|------⌫---|
i uerensanlle.	-⌫--|-------||
-da mefaitilet ie	|--⌫-|---|-|-|-|
le uousdoins.	-|---|----||
e lenuoiaauoequ esle prem ier .	||-----|------⌫-|-|----⌫--||
liarchier-sehasterent e t	-|------||-|--------|-⌫|
dis entsi re	---⌫--|--⌫-|
nosdr ois tropatarge.	--|--⌫--|---|-----||
onalaalech artre	-|--||-|--⌫----|
se amenaonlefil cou er t demolt biaxk e uiax	-|----|-|-|--|---⌫--⌫|-|---|---|-⌫-⌫---|
sansbarbe etsi	---|----|-|-|
estoitfeblesquilnesepooitsoustenir.	-----|-----|-|-|-|-|----|--------||
etquantladamele uitsi eno t	-|----|-|---|-|--|-|-|-⌫|
pitieetdistsireplaistuous queieparoilencore	----|-|---|---|-----|---|--|-|-----|-----|
- damefaitil oil bien .	|---|---|-|--|---||
eleuinta lui sili	--|---||--|-|-|
demanda queshomil iertet quii l	------|---|--|-|---|-|--|-⌫|
est oitetilli	---⌫--|-|-|-|
distdameiesui	---|---|-|--|
fiex au ui elp rimerain.	---|-|--⌫-|-⌫-------||
quante le loisi dist a sen	----|-⌫-||-|-|---||--|
seign eurs ireor	-----⌫--|-⌫--|-|
meferésu ou s grant bonte se uousmedounés	-|-----|-⌫--⌫|----|----|-|---|-|------|
chestuicarilsetdeskiese tde	------|--|-|--||-----|-⌫|-|
tableset debi axcontes	-----|-|-|--⌫-|-----|
distparmaloy da mesecen t	---|--|-|--|--⌫-|-|---⌫|
en iauoitsi	-||----|-|
les uousd ouroie iouuolen tiers	--|---|-⌫-----|--|-----⌫----|
lada me lenuoia	-|--⌫-||-----|
au oec les	--⌫--|--|
ch artre s ie nramenao n u nautre.	--⌫----|-⌫|-⌫|-----|-⌫|-⌫|----||
connut mie	-----|--|
li urés fuasonm arti re.	--⌫----|-||--|-⌫----⌫-||
alains q uele onqu es	------⌫-⌫|--|----⌫-|
puets e n parti etui nt	---||-⌫|----|-|--⌫-|
en lachambr e u sipr isones toi entetquant il	-|-|------⌫||-|--⌫---|--⌫---⌫--|-|----|-|
leuirent ue n ir sifirent	-|-----|--⌫-⌫-|-|-----|
sanllantdeleu eretele	-------|-|---⌫-|-|--|
leur fi stsi gnequilsesisentquoi .	---|--⌫-|--⌫--|-|-|-|-----|---||
el e uint presd auset	--⌫|---|---||--|-|
lidemanda damequant nousocira on	-|------|---|----|---|----|-|
etelelordistcheniertmiesi	-|--|--|---|--||---|--|-|
-d ame faiti lce	|-⌫--|---|-⌫|-|
poiseno uscar nous auons s ifain	----|--⌫-|--|---|----|-⌫|---|
q u e li cuer nouspar tent.	-⌫-⌫|-|---|---|---⌫---||
etele sen essietfistaparelle r	-|--||-|---|-|---|--------⌫|
uiandesi le ur aportaet	-----|-|--⌫-|-----|-|
trenchameism e a samain etsi douna	------|-----⌫||-|---|-|-|----|
a chascu nun morseletpetita boire .	|------⌫|-|-----|-|----||----||
etquant il	-|----|-|
or en t chou p ris si	--⌫--⌫|---|-⌫--|-|
eurentplusfain	-----|---|---|
que deu ant.	--|---⌫--||
ensilordounaa mengier pardis f ois	---|--|----||------|--|--|-⌫--|
achascunefois u nmor selou deus.	|-------|---|-⌫|---⌫--|-|---||
aiseiurent .	---|-----||
d ame t ousl esui tio urs	-⌫--|-⌫--|-⌫-|--⌫|--⌫--|
lespeutetaaisa achas cune	--|---|-|----||----⌫---|
foispetitetta ntquil furentsi fort	---|----|-|--⌫-|-|-|-----|-|---|
quelele ur	-|--|--⌫-|
abandounauia ndee tboire.	--------|---⌫--|-⌫|----||
a usiileuren teskies ettaule setiuerent s i	-⌫--|-|-----⌫|-----|-|-----⌫|-|------|-⌫|
furenttotai se.	-----|--|--⌫-||
lisoudansestoituolent iersauoecaus	-|------|-----|------⌫---|----|--|
pouruei rioueretladame	---|---⌫|----|-|-|---|
si sag ementsewar da	-|---⌫----|-|---⌫-|
deuant ausc o nques n	-----|--||-⌫----||
i ot celuiqu ieustoeulne	|-|----|--⌫|---|---|-|
liconnoistre .	-|---------||
petitdemo u ra	----|----⌫-⌫-|
apresk elisoudans	----|-⌫|-|------|
otafairecar	-||----|--|
un s soudansqui aluimarc isoitsi	--⌫|------|--||--|----⌫----|-|
li fist sa tere	-|---|-|---|
laideetil poru eng ier manda gent.	----|-|-|--|-⌫---⌫--|----|---||
et quan t ladam ele	-|----⌫|-|---⌫|-|
seut siuintenlacanbre	---|-|---|-|-|-----|
prisounie restoientetilierent	---------⌫|-------|-|-|-----|
siacoustumé quepou rse naler	-|---------|--|---⌫||-⌫|---|
nepors enu eni rilne	-|--||-|-⌫---⌫|-|-|
se m ouuoient.	-|-⌫-------||
enunek aiere deuant a us si	-|--|-⌫----|-----|-⌫-|-|
les apelae t distse igneur uousmauésd it	--|----|-⌫|---|--⌫-----|---||----|-⌫-|
deuostre afaireune	-|-----|-----|--|
partieoru eu g e sauoir	-----|-|-⌫-|-⌫|-----|
es tchequeuous maués	--⌫|--|--|---||----|
uou smed esist eskeuous	---⌫|-|-⌫-----⌫-|-|---|
estiés quens d epontieu	------|----|-⌫|------|
etque cileut u ostrefille et qu e	-|--|--|--|-⌫----|----|-|--⌫|
cilest uostre	--|--|-----|
sarrasinee t	--------|-⌫|
sai dart siuous di que	--||--|-|---|-|--|
