sech il qui	-|--⌫-|--|
l esr omanzon t fais	-⌫-|-⌫----|--⌫|---|
desoutragezdes	--|-------|--|
gransmeffa is	----|-----⌫-|
d eses torsetdesmorte x guerez	-⌫-|--⌫---|-|--|-----⌫|-----|
etdes destructio nsd eterres	-|--|----------⌫-|-⌫|-----|
eus cent lours ensapreste ́	---⌫---|---|-⌫--|-------⌫|
a dir ede diuinite	|---⌫|-|-------|
moul teusce n t e sploitié miex	----⌫|-----⌫-⌫|-⌫--------|---|
toutautresicomme simiex	---|------|----|-|---|
e st touzuerslefielquisttant forz	-⌫-|---|---|-|---|--|-|---|---|
pl u sdinezlir epors	--⌫-⌫|----|-|-⌫----|
condistp ourreconfo rter	|-|---|-⌫--|-------⌫---|
plaistdieuetnostredame	-----|---|-|-----|---|
etasboinssainsquisont	-|-|----|----|--|---|
bi endoiton teni renmemor e	--⌫-|---|-|----⌫|-|-----⌫|
loruie et aflouxaprendre	--|--|-||----|-------|
pourcouquessa mplei pui sent pr en d r e	---|--|-|----⌫---||---⌫---|--⌫--⌫-⌫-⌫|
serentlournonplus tenu	|----|---|--|---|---|
unmiracl eueulc omme nchier	-|------⌫|---|-⌫----⌫-----|
queliui ed esperesc onte	--|-|--⌫|-⌫-|----|-⌫---|
biendoi bt onescou ter	---|---⌫-|-|-----⌫--|
sico mmenousraconterainauz	-|--⌫--|---|------|------|
moulten estlimirac lezbiaux	----|-|--|-|-----⌫--|----|
il fu iadisunmoult	-|-|----|-|----|
aincnamaguerrene desrois	---||--|-----|-|------|
maispais et d ro itu re	---|---|-|-⌫--⌫---⌫-|
cil roiza uoit	--|---|-⌫---|
en samaison	-|-|-----|
uncapelain	-|-------|
desaint e uie	-|-----⌫|--|
e n soncoeurauoit	-⌫|--|----|----|
grantenui e	----|----⌫|
deyy be sansmo nt eploiier	-|-|--⌫---|--⌫--⌫-------|
il les uoloitsienploiier	-|--|-----|-|--------|
qu ilezp eusta do uble	-||--|-⌫---||--⌫---|
a ce deuero itcascunsentendre	|-|------⌫-|------|-------|
seloncc houqueila	-----|-⌫--|--|-||
s ca uo i r	-⌫--⌫--⌫-⌫|
quidroitconte fes istsca uoir	--|----|----|---⌫--|---⌫---|
yy uyyu zz	-||-||-|
car lidon n eso n tpascommun	--|-|--|-⌫|--⌫-⌫|--|-----|
dieulezha liurez	---|--|-|-----|
rendre l es	-----|-⌫-|
conuientausure	-------||----|
qua nt ce uenraiaudem ander	---⌫-|-|-----|-|---⌫----|
sans couquediuz ueutcommander	---|--|--|---|---|--------|
acascunen uoeutil se ruir	|-----|-|----|-|--⌫---|
choune ueutde seruir	---|-|---|--⌫-----|
certezm ar	-----|-⌫-|
rechutlezb esans	-----|--|-⌫----|
oroiiezcomlib o ins	-|----|--|-|-⌫-⌫--|
q ui puizo t anon	-⌫-|---|-⌫||--|
bouche dor	-----||-|
monteplialedieu t resor	--------|-|---|-⌫----|
que diexliot mis	--|---|-|-|--|
entre mainz	----|----|
delracontercouest dezm ainz	--|-------|--|--|--|-⌫---|
onne porroitconterle di me	-|-|------|-----|-|--⌫-|
tantparcremoitle r oy hautime	---|--|------|-|-⌫-|------|
ia nede uersillier	-|-|-|---------|
et de iuner et	-|-|----|-|
abi enfaireest tou zsezacorz	|--⌫-|----|--|---⌫|--|----|
dam eertlia me et sers	---⌫|--|-|-⌫-|-|---|
mou ltertho nnes tez sezli gnagez	---⌫-|--|--⌫----⌫--|--|--⌫-----|
