quib en com encee	--|-⌫-|---⌫---||
ben define	--|-----|
ceoe stueriteseine efine	--|-⌫-|-----|----||---|
entotes ouraig nesendeit	-|----|------⌫--|-|---|
es treloez quiqueilseit	--⌫--|---|--|--|-|---|
liuredebone comencaille	----|-|---|----------|
qui aurabonedefina i lle	--|---|---|------⌫-⌫--|
ebon dit ebone	|--|--||---|
uoelt guillame enr omanzescrir e	----|-------|-|-⌫----|------⌫|
de bonlatin	-|--|----|
ouille troeue	-|-|-|-----|
c este ouraignefu fete	-⌫---|-------|-|---|
el tens que phe l ipetintfrance	-|---|--|---⌫-⌫--|---|-----|
eltensdela grant	-|---|-|-|----|
me ses t anc e	--⌫---⌫-⌫---⌫|
queengleterr efu e ntredite	--|---------⌫|-|-⌫-------|
siquil ni a u eit me sse	-|-|-|||-⌫-⌫--|--⌫--|
necor s mis	-|---⌫|--|
e n t erre sac ree	-⌫|-⌫---|---⌫--|
delentredit	-||-------|
neluiagree	-|--|----|
queacestefeizpluse ndie	--||----|---|---|-⌫|--|
porce oquedreituremendie	--|--⌫|--|-------|-----|
elea lteestpo ureebasse	|---⌫--|--|--⌫--||----|
tot e ce s te	---⌫|--⌫-⌫-|
chosetrespasse	----|--------|
gui llame qui forment sendoelt	---⌫----|--|------||-|----|
qu enosed ire ceo qui l	--⌫||--|-⌫--|--|-|-⌫|
delatricherie	-|-|--------|
een luneeen	|-||--||-|
laltrec ort	|----|-⌫--|
maisaplushalt	---||---|---|
direseprent	---|-|----|
cestl iurenos apr ent	---|-⌫---|--|---⌫--|
natures debestes e	------|-|-----||
non deto tes mes	--|-|--⌫--|--|
de plusors	-|------|
auramo ralite	---|--⌫-----|
de diuinite	-|-------|
oulem porra essampleprendre	-|--|----|-------|------|
de b enfa ireedeben	-|-⌫-|--⌫--||-|--|
rimezertpar con sonantie	----|--|--|---⌫-------|
licler s funez deno rman die	-|----⌫|-|--|-|--⌫----⌫--|
q uiau ctorest decestrom anz	-⌫-|--⌫---|--|-|---|---⌫--|
oroezque d itl i nor manz	-|--|--|-⌫-|-⌫|---⌫---|
quantd eu primes lemo nd efist	----|-⌫-|-----|-|--⌫--⌫|---|
ehomes ebestes imist	|----||-----||---|
a trestotessesc rea tures	|--------|--|-⌫---⌫----|
e mposadiuers es natures	-⌫----|------⌫-|------|
e de totes cenestlasome	|-|----||-|--|-|---|
donalaseignorieahome	---|-|--------||---|
aho medonatelfranchise	|--⌫-|---|--|--------|
qu ilsout conoistreladiuise	-|-|---|--------|-|-----|
qui esteitentrebenemal	--|-----|----|--||--|
entretricheor	----|-------|
entrep ara iseenfer	----|-⌫---⌫-||----|
mes parle pec cheluci fer	--|--|-|---⌫--|----⌫--|
quifua ngele epuis ma lfez	--|-|-⌫----||---|--⌫---|
fuhomehoniz e	-|---|----||
ec hac ez e nfueldesert	|-⌫---⌫-|-⌫|-|-|-----|
dontnulq uidamnedeuneser t	---|--|-⌫-|-------|-|---⌫|
iama i sportot le mo nde	----⌫-⌫|--|--|-|--⌫--|
ainz cheten	---|---|-|
abismepr ofonde	-----|--⌫-----|
don tnulneretornera ia	---⌫|--|-|--------|-|
de dire com	-|---|--|
adampecc ha	---|----⌫-|
ecomentilfu eissillez	|-----|-|-|--------|
edelseintparaischacez	|--|----|-----|-----|
sa ligneecrut	-|-----|---|
equi n asquie qui mo rut	|--|-⌫----||--|--⌫--|
ecomentde ses	|-----|-|--|
ecoment ledeluge uint	|-----|-|-----|---|
comen t larchefuc ompassee	-----⌫||----|-|-⌫-------|
equelgentoutdedenz saluee	|---|---|--|-----|-----|
co mbenno e apres	--⌫---|--⌫|----|
ecoment abrahamnasqu i	|-----|------|-----⌫|
eysaac eysmael	|----||-----|
comd ysaac uintisrael	--||----|---|-----|
esoniume lfrerees a u	|--|----⌫|----|--⌫-⌫|
ecomentioseph fu	|-----|-----|-|
ecomilseruip haraon	|--|-|----|-⌫-----|
quant ilfuhor s delapri s on	----|-|-|---⌫|-|-|---⌫-⌫-|
c omisraelfu	-⌫-|-----|-|
en se ruage	-|--⌫----|
enegyptemultlon ceag e	-|-----|---|---⌫|---⌫|
comentmoyses lenieta	-----|-----||-|---|
q uitantsouenta d eupar la	-⌫-|---|-----||-⌫-|---⌫-|
qui fistlarche ele tabern acle	--|---||----||-|------⌫---|
e porquideu	|--|--|--|
fisttantmi racle	---|---|--⌫----|
eaquiildonalalei	||--|-|---|-|--|
quantli iueude male	----|-|---|-|---|
qui sonmescreantuncor	--|--|--------|----|
aorerentun	-------|-|
comenta pres moyse s uint	-----|-⌫---|-----⌫|---|
iosu equilor	----⌫|--|--|
le ime intint	--⌫|--⌫-----|
ecomentgedeonlefist	|-----|-----|-|---|
quilage ntmadianoccist	--|-|--⌫-|-----|-----|
co mliiugeuindrentapres	--⌫|-|---|-------|----|
