carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
setanztuzplei ns	--|--|--|----⌫-|
a dest éte n espaign e	-⌫|---⌫--|-⌫|-------⌫|
tresqu enl a mercun quis tla	-----|-|-⌫|--|---⌫----⌫|-|
terealtai gne	---|-----⌫--|
niadcastelkideu antlui	||-|-----|-|---⌫--|--|
murnecitetniestremesafraindre	--|-|----|||--|----||-------|
forssarraguce	---|--------|
kiest en unemuntaig ne	-|--|-|--|-------⌫-|
l ireismarsiliela tient kid eu	-⌫|---|-------|-|----|-|-⌫-|
nenaim e t	--|---⌫-⌫|
mahumets erte a pollinrecleimet	------|-⌫--||-⌫-----|--------|
nespoe t guard er quemalsnel	-||---⌫|-----⌫-|--|---|-||
iat eignet	|--⌫-----|
li reismarsilieest eit ensa rraguce	-|---|-------|---⌫--|-|--⌫------|
aleze nestenunuerger	---|-⌫|--|-|-|-----|
suzl umb re	--||---⌫-|
surunperru n demarb rebloiseculchet	--|-|-----⌫|-|----⌫-|---|-|------|
enuirunlu ip lusdeuint milie humes	------|--⌫|-⌫--|-|---|----|----|
ile napel etes esd uxeses	-|-⌫|----⌫-||-⌫-|-⌫-||--|
oez se ignursquelpec chetnus	--|--⌫-----|---|---⌫---|--|
encumbr et	-------⌫-|
l i emperescarl e s	-⌫|------|----⌫-⌫|
defrancedul ce	-|-----|---⌫-|
encestpais	-|---|---|
nosestuenu zcunfundre	--|--|----⌫|--------|
ione nai o stqui	-|--⌫|-|-⌫-|--|
bataille lidunn e	-------|-|----⌫|
ne nai t elgentkila	-||-|-⌫-|---|-|-|
su ederu m pet	--⌫|----⌫-⌫--|
cunsei lezmei cu me mi sauie hum e	------⌫--|--|--⌫-|-|----|---⌫|
s imguarise z	-⌫||-------⌫|
edemortedehunte	|-|---||-|----|
n ia dpaienki un	||-⌫|----|-|-|
sulm o trespu ndet	--|-⌫-⌫|-----⌫---|
f or sblanc andrin s de cast elde	-⌫--⌫|-----⌫------⌫|-|----⌫-|-|
u alfun de	-⌫-----⌫-|
bl ancandri ns futdespl us saiue s	--⌫--------⌫-|--|--|--⌫-|-----⌫|
de uas selagefutasezcheualer	-|---⌫-----|--|---|-------|
prozdomioutpursunseignuraider	------||--|--|--|------|----|
e dist alreioreneuusesmaiez	|---|-|--|--|-|--|------|
ma ndezcarlu n alorguillus	--⌫---|-----⌫|||--------|
fedeilz seruise semult	------|-------⌫||---|
granz amistez	----|------|
uoslid urrezurs eleonsechens	--|-|-⌫----|--||----||----|
set cenzcamelz emil hos turs	--|---|-----||--|---⌫---|
dargentyym ulscargez	|-----|-|-⌫--|-----|
cinquantecarr equenfe r at ca rier	--------|----⌫|-|-|--⌫-⌫-|--⌫---|
benenpurrat luerses	--|-|-----|---|--|
s ol deiers	-⌫--⌫-----|
encesteteread	-|----|---|-|
as ez ost eiét	--⌫-|---⌫----|
enfra nceadais	-|---⌫--|-|--|
s ende i tben repairer	|-|--⌫-⌫|--|-------|
uoslesiur ezal afeste saintmichel	--|-|----⌫-||-⌫|----|----|-----|
s irec eurezlale i de chrestiens	-⌫|---⌫----|-|--⌫|-|---------|
sere zse shom parhon ur	----⌫|--⌫|--|--|---⌫-|
sen uo l tostages e uos	|-|--⌫-⌫|------||--|
lenenueiez	|-|------|
uuint pur luiafiancer	|---|--|--|-------|
enueiu nsilesfilzdenozmuillers	------⌫-||--|---|-|--|-------|
parnumd ocireienue ier aile	--|--||----||----⌫---⌫-|-|
melzquil iperdentle	---|-|-||------|-|
quenusperduns lo nurn eladein tet	--|--|------||-⌫--|-⌫|-|----⌫--|
nenusseiun s	-|--|-----⌫|
cunduizamendeier	------||-------|
distbl ancandrinsparc estemeie d estre	---|--⌫---------|--|-⌫---|---|-⌫----|
eparlabar b ekialpiz	|--|-|---⌫-⌫|-|-|--|
meuen telet	-|---⌫----|
franc eisuerrez sempresdesfere	-----⌫--|-----|------|------|
fr ancsseniruntenfrance	--⌫---||-|----|-|-----|
quant cas cuns	----|---⌫---|
erta sun meil lorr epaire	--||--|----⌫--|-⌫-----|
carlesserat adais asacapele	-----|----|-|--||-|-----|
a seintmi chelt endratmult	|----|--⌫---|-⌫-----|---|
halte fes te	----|---⌫-|
uend rat liiurzsi p asserat li	----⌫--|-|---|-|-⌫------|-|
nor ratdenosparo le sne nuueles	|--⌫--|-|--|----⌫--⌫|-|------|
li reis est	-|---|--|
fierse sis	----||--|
curagespesmes	------|-----|
de noz ostage s ferattrencher l estestes	-|--|------⌫|----|-------|-⌫-|-----|
aseze stmielzqu il i	---|-⌫-|----|-|-||
perdent lestestes	------|--|-----|
quenusperdu nscler eespaigne labele	--|--|-----⌫-|----⌫|-------|-|---|
n e nus aiuns	-⌫|--|----|
lesmalsne l essuffraite s	--|---|-|-⌫-|---------⌫|
dientpa ien iss ipoeti lbenestre	----|--⌫--|---⌫|---|-⌫|--|----|
