asezme pleste	---|-|----||
dellai quehumm enume che uref oil	--|--|--|----⌫|---|---⌫----⌫--|
quel a uer iteuusencunt	--|-⌫|---⌫--|--|-|---|
pur queiil fu	--|---|-|-|
pl u sursmeuntcunt é	--⌫-⌫---|-|--|----⌫-|
eieolaitrouéenescrit	|--||-|-----|-|-----|
detri st ra m e dela reine	-|---⌫--⌫--⌫||-|-|----|
delur a mur que tantf u f i ne	-|--|-⌫--|--|---|-⌫|-⌫-⌫-|
duntileu rentmeint edolur	---|-|--⌫---|-----⌫|----|
puismuru re ntenun iur	---|----⌫--⌫-|-|-|--|
lire ismarkeses teit cu rucié	-|--⌫-|-----|--⌫---|--⌫-----|
u erstristram	-⌫--|-------|
sunne u uzirié	--|--⌫-⌫-|----|
desaterele c u ngea	-|-|---|-|-⌫-⌫---|
pur lareine	--|-|----|
cuntreeen est alez	------|-|--|---|
ensuhtw alesuilfunez	-|-----⌫---||-|-|--|
unan demurattute ntie r	-|-|------|--|-⌫----⌫|
ne potariere r epeirier	-|--|-----|-⌫-------|
mespuissemist en	--|---|-|---|-|
de destr uctiun	-|-----⌫-----|
neuus e smerueilli ezneent	-|--|-⌫----------⌫-|----|
karki eime	--|-|---|
mutleal ment	--|----⌫---|
mut e stdo l enz	--|-⌫-|--⌫-⌫--|
etrespensez	|---------|
qua n til nenadsesuolen tez	---⌫-⌫|-||-|-|--|-----⌫--|
tri stramestdol ent ettrespen si s	---⌫----|--|---⌫--|-|---|---⌫--⌫|
purceo se met de sunpais	--|--|-|--|-|--|---|
e n cornw aille uaittut	-⌫|-----⌫----|---|--|
laulareine maneit	-||-|----|-----|
enlafo resttut sulsemist	-|-|--⌫---|--|--|-|---|
ne uoleitpasque	-|-----|--|--|
humleueist	--|-|----|
enlauespr ee	-|-|-----⌫-|
sen eisseit	|-|------|
quant t ens deherbe rgeresteit	----|-⌫--|-|-----⌫---|-----|
o dpaisanzodpoureg e nt	-⌫|------|-|----|-⌫-⌫-|
p ernei tlanu ithe rb ergement	-⌫-----⌫|-|--⌫-|--⌫--⌫-------|
lesnouele slurenqu ereit	--|------⌫|--|----⌫----|
delreicumilse c unteneit	--|--|--|-|-|-⌫-------|
ceo lidient	--|-|----|
qu i luntoi	-|-⌫|--|-|
barunerent bani	----|----|---|
atintag eldeiuentuenir	|------⌫-|------|----|
sacurt tenir	-|---|----|
ape ntecuste	|--⌫-------|
i serunttui t	|-----|---⌫|
m utiauera i oieed edui t	-⌫-||----|-⌫--||-⌫----⌫|
elarei nei sera	|-|---⌫-||---|
