#ME TA# TextURISGeorguosL	---⌫--|------|---------|
#META#DEAF http//www.deaf-pa g e.de/bibl/bib99s.p h p#SGeorguosL	-----|---|-----------------⌫-⌫------------------⌫-⌫-----------|
#M ETA#T LSGe orge	--⌫---|-⌫||--⌫---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttp s//arlima.net/no/2627	-----|-----|----⌫--------------------|
#META#Author	-----|-----|
#M E TA#Author B or n	--⌫-⌫--|------⌫-⌫--⌫|
#M E TA #AuthorBornAmb	--⌫-⌫--⌫|------------|
#META #AuthorDied	-----⌫|---------|
#ME TA# AuthorD ie dAmb	---⌫--|-------⌫--⌫---|
#ME T A#AuthorFl1	---⌫-⌫-|--------|
#ME TA#Autho rF l2	---⌫--|-----⌫--⌫-|
#META#TextTitle La	-----|--------|-|
uiede s aintGeorg e	--|-|-⌫---|-----⌫|
#M ETA#T extSubt itle	--⌫---|-⌫-------⌫---|
#META#Te xtuols 1	-----|--⌫-----||
#META#Te xtSubihag i ography	-----|--⌫-----|---⌫-⌫------|
#META#TextDom	-----|------|
# META#Translati on	-⌫----|---------⌫-|
#META#Collection	-----|---------|
#MET A# CollectionN o	----⌫-|-----------⌫|
# MET A#T extDescARL u ersoct osyllab iquesàr imes plates	-⌫---⌫-|-⌫---------|-⌫--|---⌫-------⌫----|-|-⌫---|-----|
#META# TextDes cuers8	-----|-------⌫----||
#META#TextD ateARLfind uXII eou de ́ bu t d u	-----|-----⌫-----|--|-⌫|---⌫|-|--⌫-⌫--⌫|-⌫|
XIIIesiècle	----|------|
#META#TextDateAdi f12d13	-----|----------|-----|
#META#Te xt DateMin	-----|--⌫--⌫------|
#MET A#TextD ateM ax	----⌫-|-----⌫----⌫-|
#META#EdEd itor L uzarche	-----|----⌫---|-⌫------|
#META#EdPlaceTo urs	-----|------|--⌫--|
#META#EdP ub l isherB ouserez	-----|---⌫--⌫-⌫----|-⌫------|
#META# Eduol	-----|----|
#META# EdYear185 9	-----|-----|---⌫|
#M ETA#EdPages93-11 7	--⌫---|------|-----⌫|
#ME TA#MsBase Tou rs Biblio th èque m unicipale92 7	---⌫--|-----|---⌫-|------⌫--⌫----|-⌫--------|--⌫|
# ME TA#MsOth er	-⌫--⌫--|-----⌫-|
#META #MsNum 1	-----⌫|----||
#META#MsDateARL	-----|--------|
#META#Ms DateAdi	-----|--⌫------|
#MET A# Form	----⌫-|---|
#META #Complete	-----⌫|-------|
#META#NoW ords	-----|---⌫---|
#M ETA# NoLine s	--⌫---|------⌫|
#META#Dia lAuth	-----|---⌫----|
#META#DialScri be	-----|--------⌫-|
#META# S canURL https//fr.wikisource.org/wi ki/uie_ de_saint_George	-----|-⌫-----|---------------------------⌫-------⌫--------------|
#META#Scan UR IOther	-----|----⌫--⌫-----|
#META #Ar kID	-----⌫|--⌫--|
#META #LccnID	-----⌫|-----|
#META# OclcID	-----|-----|
#META#We bA u thorDauidIoseph Wri sle y	-----|--⌫--⌫-⌫---|----|-----|---⌫---⌫|
#ME TA# OR CIDWebAuthororcid.org/0000-0002-0355-1487	---⌫--|--⌫-----------|----------------------------|
#META# WebR euiewer	-----|----⌫------|
#META#OR CID Reui ewer	-----|--⌫---⌫----⌫---|
#META# MiscInf o k nownasthe BelGen tuersion	-----|-------⌫|-⌫---|-|--|--|---⌫|------|
#META#CCLicense CCBY-NC-SA4.0International	-----|--------|-|-------|--|------------|
§ INCIP IT uIT ABEATI G EOR G IIMILITIS	|-----⌫-|---⌫|----|-⌫---⌫-⌫-|------|
Belgentqui ue nuz es te	--|---|--|--⌫--|--⌫-|
Oïrl ebi ensicomm oisemb le	---|-⌫|--⌫-|-|--|-⌫-|----⌫-|
Le b ie nu ossuic i uenuzdire	-|-⌫--⌫|-⌫-|--|-⌫|----|---|
Iorgele martyre	----|-|------|
Haushomf udeno blelignage	---|--|-⌫|-|--⌫--|------|
Simple spitosetsans oltrage	------⌫|----|-|---|------|
De bonesmorsdesainte u ie	-|----|---|-|-----|-⌫-|
Ettropp rose n cheualerie.	-|---|-⌫--|-⌫|----------|
UnsenpereresDac iens	--|--------|---⌫---|
Qui haet Deu	--|---|--|
etcrestiens	-|--------|
Contre no strelei es triueit	-----|--⌫---|--|--⌫------|
Quantlibo nsains Iorge	----|-|--⌫|----|----|
Sil D aciensentote guise	--|-⌫-----|-|---|----|
uo le itdestruire sainteiglise	--⌫--⌫-|--------|-----|-----|
u ers Ie su-Cri stu ostfairela g uerre	-⌫--|--⌫------⌫-|-⌫--|----|-|-⌫----|
Simandales	-|----|--|
Sesba ronsfist ueniràs ei	--|--⌫---|---|----|-|-⌫-|
Pornosd estrui re	--|--|-⌫------⌫-|
En lacit é deMelitaine	-|-|---⌫-|-|--------|
uindrenttos	-------|--|
multf u de gentplai ne.	---|-⌫|-|---|----⌫--|
D a cienslifelsliplainsdire	-⌫-⌫----|-|---|-|-----||--|
Dist à tosseaus deson	---|-|--|----|-|--|
crestien pu isttenir	-------|--⌫--|----|
Agreuemortle ferai morir	|----|---|-|----|----|
Escor chierliferail ateste	-----⌫----|-|----|-⌫|----|
i ausàgrantmol este.	-⌫--|-|----|---⌫----|
Lesaut res menbresferaipendre	--|---⌫--|------|----|-----|
Oardreotorner encendre.	|----||-----|-|------|
Tos sé aus quitormentsauoient	--|---⌫--|--|------|-------|
Etqui gent tormenté a uoien t	-|--|---|--------|-⌫-----⌫|
Fistueniràso i etcondu ir e	---|----|-|--⌫|-|-----⌫--⌫|
Portosle s crestiens destruire.	--|--|--⌫|--------|---------|
As osperc eierfistglai ues faire	-|-|----⌫---|---|----⌫--|----|
Ettenaillesporles dens tr aire	-|--------|--|--|---|--⌫---|
Etrasors p orlecui rdeschie fs	-|-----|-⌫-|-|---⌫|--|----⌫-|
Escorchi erfist tormenz et griefs	--------⌫-|---|------|-|-----|
charfrir eetles boeles	---|----⌫|-|--|-----|
Fist fai r eàgrantplantép aeles	---|---⌫-⌫|-|----|------|-⌫----|
Porlesco rsdesro npre	--|--|--⌫-|-----⌫---|
etdest raire	-|----⌫----|
Fist uneroé trenchantfair e	---|--|---|--------|----⌫|
Degriefto rmentotma inte	-|----|--⌫----|-|--⌫---|
EnMilitaineautenz saint	-|--------|-|---|----|
En Cap ad os se	-|---⌫--⌫--⌫-|
ertàestage	--|-|-----|
S ains Iorgeentresonlignage.	-⌫---|----|----|--|-------|
sem u tparu erité	-|-⌫-⌫|--|-⌫-----|
EnMilitainelac ité.	-|--------|-|-⌫----|
Là aportamultgrantauer.	--|-----|---|----|----|
Etuost lacouinesauer	-|---|-|-----|----|
Delparlement qui deueitestr e	--|--------|--|-----|----⌫|
Deuantlenp eréorlema istre.	-----||---⌫-----|-|--⌫-----|
Mult semeru eila desgenzfoles	---|-|----⌫---|--|---|----|
Q uiaoréentles idoles	-⌫-|-------|--|-----|
Desymages fais éent f e stes	--|-----|----⌫----|-⌫-⌫---|
Etl or sacrifié e ntbeste s	-|-⌫-|---------⌫-⌫-|-----⌫|
E tD eu de spriseentnos tre	-⌫|-⌫-|--⌫--------|---⌫--|
ta nt gloriosemere.	--⌫-|-------|----|
totson aueir dona	--|--|----|---|
PorDeu qui liguerredona	--|--|--|-|---------|
Dreita ̀le nperé ors e ntoche	----|-⌫||-⌫------⌫-||-⌫-----|
Sains I orge si	----|-⌫---|-|
l idistdeboche	-⌫|---|-|----|
Riennetedotc resti en sui	---|-|-|--|-⌫-----⌫-|--|
Lamerci-Deubastiéssui	-|--------|-------|--|
Nenaimtesymagesnecrei	-||--|--|-----|-|---|
MaisIesu-C rist mon	---|------⌫---|--|
Deu mo nrei .	--|--⌫|---⌫|
Mult ontdé abledeçéu	---|--|---⌫---|------|
Qui e symages ontcréu	--|-⌫|-----|--|----|
Au eugl es so ntmuésetsordes	--⌫----⌫-|--⌫-|----|-|-----|
Quanque tuc reis	------|-|-⌫---|
ne so nt que b ordes.	-|--⌫-|--|-⌫-----|
Ie crei Deuet priqu il	-|---|--|-|--|-|-|
Quiconpa ssa lefirmament	--|-----⌫--|-|--------|
Quifistmeretter rec o mune	--|---|--|-|---⌫-|-⌫-⌫---|
Et s t eleset solei let lu ne	-|-⌫-⌫---|-|-----⌫|-|--⌫-|
Quiu ostenlauirgedes cen dre	--|-⌫--|-|-|----|---⌫---⌫--|
Marie pornostre	----|--|-----|
ch arpren dre.	--⌫-|----⌫---|
e st dreciés	-⌫-|-------|
uersluiDaciens corro ciés.	---|--|------|-----⌫-----|
Iorgedi st-ilmais car m ecrei	----|--⌫----|---|--|-⌫|---|
Fais que sageguerpis talei	---|--|---|------|-|--|
Ce tu u ues	-|-|-⌫--|
ter ee tau eir	---⌫|-⌫|--⌫--|
Dignité etpu issanceaueir.	-------|-|--⌫------|-----|
Apr èsmei auras seigno r ie	---⌫--|--|----|------⌫-⌫-|
Etm onreg nee ntabaillie.	-|-⌫-|---⌫-|-⌫|-|-------|
SainsIorgedist Fos enpereres	----|----|---|--|--------|
T esdignitéssont mu lt	-⌫-|--------|---|--⌫-|
Tapuissancenestpas estable	-|--------||--|--|------|
Ainses t uaineet escoloriable.	---|--⌫|----|-|------------|
Iorge t abiauté m esmuet	----|-⌫|------||-----|
Duelauraisemo r irt estuet.	---|----|-|--⌫-⌫-||------|
Li sain s distN aiesduel de moi	-|----⌫|---||---|---|-|--|
Aince de t auie etde toi.	----|-|-⌫|--|-|-|---|
Dacien st onaagede plore	------⌫|-⌫-|---|--⌫----|
Per dusesnésfus depu te ore.	---⌫--|-|---|--|-|--⌫-|---|
Lorsdis tlifelsSoe s t	---|---⌫|-|---|-|-⌫-⌫|
Briemen t m o ras g e lete iure	-------⌫|-⌫-⌫--|-⌫|-|-|---|
de usquisontenmonreine	--⌫-|--|---|-|--|----|
Agab aRach eetAp oloine	----⌫|----⌫|-|--⌫-----|
Essa mpleauront	----⌫---|-----|
Demo rtsitendront miaus malei.	-|--⌫-|-|-------|----|-|---|
uerraisetide us	-----|-|-|--⌫-|
te deliur e	-|------⌫|
D em esmainset tefe ra	-⌫|-⌫-|----|-|-|--⌫-|
Parle sch euiauset par lagorie	--|--⌫|--⌫-----|-|--|-|----|
Ilfistalors t rainersa i nt Iorge	-|---|----|-⌫-----|--⌫-⌫-|----|
Enlaroélef ist- il metre	-|-|---|-|-⌫----⌫-|----|
Dontnosparle s au is	---|--|----|-⌫|-⌫-|
Laroeesteit defer etdure	-|--|-----|-|--|-|---|
Trenchantpartotàd esmesure	--------|-----|-|-⌫-------|
Broch es iot	-----⌫-||-|
deferag ues	-|--|--⌫--|
Etserres forment es molues	-|-----|------|--⌫-----|
En miauoitglaiue sdr eciés	--⌫-|----|------⌫|--⌫-----|
Dunts aintIorg efumultbl eciés	---|-⌫---|----⌫|-|---|--⌫-----|
Tot led estr en c herent les sies	--|-|-⌫----⌫--⌫-⌫-----|--|---|
Deso nc orsfirent dixparties.	-|--⌫|-⌫--|-----|--|-------|
Daciens comença à rire	------|-------|-|---|
Qu a ntiluitdusaintlemartire.	--⌫-⌫-|-|--|-|----|-|-------|
Mors fu sain sIorge sansrespit	---|-|----⌫|----|---|-----|
licria ende spit	-|---|-|--⌫---|
Iorgebienes por	----|---|-|--|
Oe sttide usqu e stdeuen us	|-⌫-|-|--⌫-|-|-⌫-|-----⌫-|
De usfisticipors onm artir	--⌫-|---|--|--|-⌫-|-⌫----|
Laterremoueir etpartir .	-|----|-----|-|------⌫|
Signe fist	----|---|
q ueiluostdessendre	-⌫-|-|---|--------|
Por à son martir lauier en dre.	--|-|--|-----|-|--|-⌫--⌫---|
Au leu ui ntIesu-Cr istsans dote	-|--|--⌫-|-------⌫--|---|---|
Acesio tan glesensa r ote	---||-⌫|--⌫---|-|-|-⌫--|
Ensemble fist	-------|---|
l es piecesestre	-⌫-|-----|----|
Del corsetseignade	--|---|-|-----|-|
tesmoignenostre liure	--------|-----|----|
Lors fistDeu ssaint Iorg e	---|---|---⌫|----|----⌫|
Lisain shom s ec riafo rment	-|----⌫|--||--⌫--|--⌫----|
D aciensouson tt i	-⌫-----|-|---⌫|-⌫|
Tes gri eu es pei nesettesmanasses	--|---⌫--⌫-|---⌫--|-|--|-------|
Ienepris rienqua n quetufasses.	-|-|---|---|---⌫-⌫--|-|------|
