ditFlorencequi sofrispaisi o n	--|-------|--|-----|-----⌫-⌫|
Commeparest	----|--|--|
or Milesde maletraïson	-|----|-|---|-------|
uoi tmortmort s o n fr ereanmé ces te	---⌫|---|---|-⌫-⌫|--⌫--|-|--|---⌫-|
Puis s e uue tmarier	---|-⌫|---⌫|-----|
ac oitedesperons	|-⌫---||-------|
Mèsparicel apost rec onqiertauPr é	---|--|---|-----⌫-||-|----|-|--⌫-|
Iemai s d em aria genaura i benieçon	-----⌫|-⌫|-⌫----⌫-||----⌫|--------|
Etsauen oitorchosequepr eïsse	-||----⌫--|-|----|--|--⌫-----|
Portresto t l or	--|------⌫||-|
dousegle ne pranroie	--|----|-|-------|
Ie nem i fieroietropresanblefelo n	-|-|||------|---|-------|----⌫|
Dame cerespont Mi les li traït esprouez	---|-|------|--⌫--|-|------⌫-|-----|
Par saintPere	--|----|---|
folieparlez	----|-----|
Amo iller uou sprandra s est liplaiz	|--⌫----|---⌫|------||--|-|----|
Qa rlimiezdesbaro ns s est	--⌫|-|---|--|----⌫-||--|
Lestraï torsapelesesaaressone z	--|-----⌫---|----|--||--------⌫|
Sei gnorfranc cheualier amoi anantand e z	---⌫---|----|--------||--|-|------⌫-⌫|
Ilni aceldeuou snes oit	-||||--|-|---⌫|-|-⌫--|
moultb ienarmez.	----|-⌫--|----||
Lesbons branzacer ins	--|---|----|----⌫--|
pre ̀sde uou s lest ene z	---⌫-|-|---⌫|--|-⌫---⌫|
Qarparicelsign orquian	--|--|---|----⌫-|--|-|
croi z fupenez	----⌫|-|----|
Ne u o usi uadroi t	-|-⌫-⌫-||------⌫|
for ce. II	---⌫-||-|
. denier smenoez	|------⌫|-----|
deuous totesm esuolontez	-|---|----|-⌫-|-------|
S eDeuplai t dit	-⌫|--|----⌫|--|
Florenceiale iorne	-------|-|-|--|-|
O rorr ezdAgrauaincon il s	-⌫|---⌫-||-------|--|-||
estd e menez.	--|-⌫-⌫----||
De lamortde sonpere frerenes	-|-|---|-|--|----⌫----|-||
est pasobliez	--|--|-----|
tostque il pots en e std	---|--|-|--||-|-⌫-||
i elluc a nblez	-⌫----|-⌫----|
Etuient a lapostoile sisi estconfess ez	-|----|||--------|-|||--|-------⌫-|
Ie cuiqastraïtors sar aest orzliurez	-|--||-|--------|---⌫|---⌫--|-----|
Ie i sara ia uecatot.M .	-||----⌫|-⌫------||||
h omesarmez	-⌫---|----|
Si reditAg rauainDeu sa n	--⌫-|--|--⌫-----|---⌫|-⌫|
Qantl ap o sto iles	---||--⌫-⌫---⌫---|
sotlatra ïsonmata l	--|-|---⌫----|----⌫|
Bien conut	---|----|
Agrauaincon	-------|--|
baronnatu ral.	----|----⌫--||
Ilfistarm e r.M.homesqit	-|---|---⌫-⌫||||----|--|
furentuassal	-----|-----|
Son tcintes les espees	|--⌫|-----|--|-----|
Parles rengesde	--|--|-----|-|
Puisesf ublent l e sch apeson	---|---⌫-----|-⌫-⌫|--⌫---|-|
Se igno rdi t lapostoiles	--⌫----⌫|--⌫||---------|
T uitli traïtorsontou p alais	-⌫--|-|-------|---|-|-⌫----|
Nesociez uous miepourDeul	--|----|---|--|---|--||
esper ital	-----⌫---|
Anzoufonzdemach a rtre	--|-|---|-|-|--⌫-⌫---|
Tant queuiegneEsmerez	---|--|-----|------|
Ie c roiqil	-|-⌫--||-|
Qil ocistre nt	|-|-------⌫-|
sonf reremoultpar	--|-⌫---|----|--|
Necroiro itp eslirois	-|------⌫-|-⌫-|-|---|
Oupala issont	-|----⌫-|---|
uenuansanblepari gal	---|-------|--|-⌫--|
Etmontent le sdegrez de	-|------|--⌫|-----|-|
marbreanperial .	-----|-------||
Qantilfurent	---|-|-----|
antre ́ dedanztut	-----⌫|-----|--|
Ch es cunssesist le suen con q es n i ot	--⌫--⌫---|-----|-|---||--⌫-⌫-|||-|
let raïteo le cors	-|-⌫-----||-|---|
desloia l .	-------⌫||
Ila trat e l	-||----⌫||
espeeqa ril sotmoult demal.	----|--⌫|-|--|----|-|--||
Damedeuai uré leper ees perital	------||-⌫---|-|---⌫|--⌫------|
sihardiducprince nechess a l	-|----|--|-----|-|-----⌫-⌫|
MilesditAg rauain tro pestes e sbahiz	----|--|--⌫-----|---⌫|----|-⌫-----|
DeSan s ongau ez	-|---⌫-⌫-||--⌫-|
m ort su i	-⌫--|--⌫|
iemo ult mal baill iz	-|--⌫--|--|-----⌫-|
Danz glozuousnestes	---|---|---||----|
pesanpe re sdesliz	--|----⌫--⌫|-----|
uos auezmort mo n peref r erepou rceeste st raïz	--|---|---|--⌫|-----⌫-⌫--|---⌫|-|----⌫|-⌫----|
Oraprocheliter mesque	-|------|-|---⌫--|--|
u oussarezhoniz	-⌫--|----|----|
Lapost oilesdeRome	|-----⌫----|-|---|
nefupeses ba ïz	-|-|--|--⌫--⌫--|
ass ezfuhardiz	---⌫-|-|-----|
es to ttot sa nglant	-|--⌫|--|--⌫-----|
bienestdr oizuostrediz	---|--|--⌫--|-----|--|
oi lessan glant a tot leuis	--⌫--|---⌫----||--|-|--|
t ortestcil	-⌫--|--|--|
Sanses o cis	-----|-⌫--|
iens cors soitoniz	---|---|---|---|
p esuestis	-⌫-|-----|
Certe mantf uEsm erezt raïs	----|---|-⌫|---⌫---|-⌫----|
Sefreres p a rsaint PodE polis	-|-----|-⌫-⌫|----|-||-⌫----|
N euousgaran tirapastrestozl	-⌫|---|-----⌫---|--|------||
ordeBrandis	-|-|------|
Q uenefussiezdetraiza coues	-⌫-|-|------|------||----|
Com meM ileslanta ntlisansliestfuis	---⌫-|-⌫---||----⌫-|-|---|-|--|---|
Del ahon teqilotfutan zaan	-|-⌫|---⌫-||-|-|-|---⌫||-|
Qa ntore otFlorencel am or telt raïson	--⌫-|--|-|-------|-⌫|-⌫--⌫--|-⌫------|
De g rantduel o tgrant ioie	-|-⌫---|---|-⌫|----|---|
qant eleuitSanson.	---|--|--|-----||
Enuneautet or anfermer e ntM ilon	-|--|---|-⌫-|--------⌫-⌫-|-⌫---|
Anz oufonzdelachartref urent mislig loto n	--|-|---|-|-|------|-⌫----|--|-|-⌫----⌫|
Qil mistrentan priso n trestozd une	|-|-------|-|-----⌫|------||--|
Mile sfuttot par	----⌫|--|--|--|
luinobl emant	--|----⌫----|
Anla p lusautetorque la nli	-|-|-⌫--|---|--|--||-⌫|-|
Fables et c hançonatesfo nt ded euantle	-----|-|-⌫----------|--⌫-|---⌫----|-|
Harperet ui o ler cont eretromanz lire	-----|-|--⌫-⌫--|----⌫-|-|-----|---|
Me ̀si lfumoultdolanz s inottalan	--⌫-|-⌫|-|----|-----|-⌫||-|----|
A lia tregloton	|-|-⌫--|-----|
son ttuita	---⌫|---||
une t i re	--|-⌫-⌫-|
Deuan tces	-----⌫|--|
n alum i e rene chando iledec ire	||---⌫-⌫-⌫-|-|------⌫--|-|-⌫--|
dEs meréet doufortrois	|--⌫----|-|--|---|---|
Qarli uaill arzsanfuitdolor ou set	--|-|-----⌫--||-|---|-----⌫--⌫|-|
plains di re	-----||-⌫-|
Pourseshomesquisontl iuréa	---|--|----|--|---|-⌫----||
te lmartire.	--⌫|------||
Etlib ersuaiaprèspourlui	-|-|-⌫--|--|-----|---|--|
totdesconcon fire	--|---------⌫---|
MèsGrifonne ontmais	---|-----|-|--|---|
d e n ulep art	-⌫|-⌫--|-⌫--|
Q Esmer e z l eschaceo	|-----⌫-⌫|-⌫-|----||
cesde sonanpire	--|-|--|-----|
S ei gno rueezlagentuercuim escors	-⌫--⌫---⌫|---|-|---|--|--|-⌫-|---|
DroituersCostan tenobleicestua nz	----|---|------⌫------|----|--⌫-|
s inousti re	-⌫|---|--⌫-|
Moulti aigranttresor ie saisa nz	----||-|----|-----|-|--|--⌫-|
contredire	---------|
uousan aurezl	---|-|----||
ono ur etieansaraisire	---⌫-|-|-|-|----|---|
MoultestCost antenoble citéde grantdeport	----|--|----⌫--------|----|-|----|-----|
ansontfer mélez	-|---|---⌫--|--|
la mere t.I. g ort	-|--|-⌫||||-⌫--|
Darbreset delorier siotde	|-----|-|-|------⌫||-|-|
moultbo nort.	----|--⌫|--||
Mès Gar sires	---|---⌫----|
s anfutsanzioie et	|-|--|---|---|-|
sanzdeport	---|-----|
Pourseshome s	---|--|----⌫|
qui fur entdeu a ntRo me	--|---⌫--|---⌫-⌫-|--⌫-|
tui t mort.	---⌫|---||
Dro ituersCostantenobleso ntu enuprès dun port	---⌫-|---|------------|--⌫-|-⌫--|----||-|---|
Doudu el etd el ahonte	--|--⌫-|-|-⌫|-⌫|----|
sestapoiez aubort.	|--|-----|-|---||
