pe leusiertunsrichesre is	--⌫---|---|--|-----|--⌫-|
mou tprozmout sages mout corteis	---⌫|---|---|----|---|------|
pargrece alo t	--|----|---⌫|
saseig nori e	-|----⌫----⌫|
e del regne o t moutg rantpartie	|--|----|-⌫|---|-⌫---|-----|
teneit qu itement	-----|--⌫------|
bieneenpai s e	---||-|---⌫||
icistr eisaueitun	----|-⌫--|----|-|
fi zdeso npereedesamere	--⌫|-|--⌫|---||-|-|---|
eso n iertpar nona pelez	---⌫|---|--|--|-⌫----|
en p enelopelacite z	-|-⌫------|-|----⌫|
nesais ie rtreisoc uens	-|--||--⌫-|---||-⌫---|
qua rle l iuresn e	---⌫|-|-⌫----|-⌫|
icist a ueitun	----|-⌫---|-|
qu i es tei tape lez	--⌫|--⌫---⌫|---⌫--|
degrant beaute	-|----|-----|
ede grant pris	|-|----|---|
ede grantsens	|-|----|---|
sicomiotruis	-|--|-|----|
gra ntforce	---⌫-|----|
aueitegrantuertu	----||----|----|
et parm aintregneiert ce seu	-|--|-⌫---|----|---|-|--|
mo ut iertcorteise gen ze proz	--⌫-|---|------||---⌫||---|
emoutestei t amezdetoz	|---|-----⌫|---|-|--|
moutp ordem enotgrantproece	---|-⌫-|---⌫---|----|-----|
e moutamotgloiree	|---|---|-----||
tropiert delui	---|---|-|--|
gran zrepar lan ce	----⌫|-----⌫---⌫-|
e tantaueit faitde senfance	|---|----|---|-||------|
quemoutiertconeuz sis nons	--|---|---|-----|--|---|
parterreseparregi ons	--|-----||--|----⌫--|
quantco uitlireis peleu s	----|-|--|-|---|-----⌫|
queiasonmontot	--|----|-----|
plus eplus	---||---|
equechascunior	|--|------|--|
s essaucot	|-------|
dotosenfupaoren ot	----|-|-|---|-|-|
que tantcreustque tant	--|---|-----|--|---|
quede laterre legetas t	--|-|-|----|-|-----⌫|
c rie ntsei	-⌫---⌫-|--|
que sil uitlon ge ment	--||-|--|---⌫--⌫---|
quil ne l enlaissera	-|-|-||-|-------|
mout agrantdot epele us	---||----|---⌫|----⌫-|
q uele r egnen el i l aistplus	-⌫-|-|-⌫---|-⌫|-⌫|-⌫---|---|
quarseilse n uu eut entremetre	---|-|-||-⌫|--⌫--|---------|
p orradeltothors me tre	-⌫---|--|--|---|--⌫--|
moutotue rslui lecuer	---|-|--⌫-|--|-|---|
nenefais eitse penserno n	-|-|----⌫--|-|-----|--⌫|
sauei r par comfait e m esure	-----⌫|--|--|----⌫|-⌫----|
porreitiaprendr eenginne cure	------|-|------⌫|----|-|---|
alasta male	----||---|
si quelaterrenefust	-|--|-|----|-|---|
nedel riennel poist	-|--|---|-||----|
moutsepenotde lenge ignier	---|-|----|-||----⌫-----|
ia se i t s e	-|--⌫-⌫|-⌫|
quemou tse n celot	--|---⌫||-⌫|----|
nenegun semb lantnen lenmonstrot	-|----|----⌫---|--||-|-------|
eniceltenscotruislisant	-|---|---|-|----|-----|
auintu ne merueil le grant	----|-⌫-|-------⌫-|----|
en lisledecolco senmer	-||---|-|-----⌫|-|--|
ensiloilauctor nomer	---||-||-----|----|
la otcosaibienunm outon	-|-|-|--|---|-|-⌫----|
quitot eaueitd orlato ison	--|---⌫|----||-|-|--⌫---|
ma isne steitriens d	--⌫-||-⌫----|----||
ic elpoeir	--⌫-|----|
neparforcen eparsaueir	-|--|----|-⌫|--|-----|
qu ilseust engeig niernefaire	-|-|----|------⌫---|-|----|
c om e ntdil ueclepoist traire	-⌫--⌫-⌫-||--⌫--|-|----|-----|
arienn esteitchose seue	|---||-----|----|---|
comentla toison	-----|-|-----|
on quesnusomsaueir ne	--⌫---|--|-|-----|-|
esacheizb ien	|------|-⌫--|
tiels la g uardot	----|-|-⌫-----|
ia delauei r	-|-||----⌫|
neustenuie	|---|----|
nushomqui ne nperd istlau ie	--|--|--||-⌫|----⌫--|-|-⌫-|
maintse quideren tessai er	----|-|--------⌫|-----⌫-|
quipuisnenporentrepair ier	--|---||-|-----|------⌫--|
pele usfudema l porpens	----⌫-|-|-|--⌫|------|
ne ui t enginne lue net ens	-|--⌫|----|-|--|-|-⌫--|
c omfaitementpoistourer	-⌫-|--------|----|----|
neuo a mortliurer	---||---|-----|
ses niesesteitm ou t	--|---|-----|-⌫--⌫|
mais ne uoleitpas n en	---|-|-----|--|-⌫||
monstr ernefa ireaucun	------⌫-|-|--⌫--|----|
sem bla nt	---⌫---⌫-|
quil leha is t	-|-|-|--⌫--⌫|
ne tantne q ua nt	-|---|-|-⌫--⌫-|
porpensas eiquilreque rreit	-------|-⌫-|-|-|-----⌫----|
e en toz sens porchacereit	|-|--|---|-----------|
comentiason la	-----|----|-|
si qu eiamaisneenretornast	-|--⌫|-----|-|-|--------|
bie n s iet silli puet	---⌫|-⌫--||-|||---|
fa ire aler	--⌫--|---|
nel estuet	-||-----|
mais delui	---|-|--|
repairi ernadotance	-------⌫-|||------|
ainzestd e cobienafiance	---|--|-⌫|-|---||-----|
q uelaiertsafinsla	-⌫-|-|---|-|---|-|
ne i amaisn	-|-⌫----||
enrepairera	-|--------|
ne demorapa s puisunmeis	-|-----|--⌫|---|-|---|
