mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
egyp te siotunmulth a uthome	----⌫-|-|-|-|---|-⌫-⌫-|---|
aper eetmult h aute dame amere et	|---⌫|-|---|-⌫---|---||---|-|
gran treligio n	----⌫|-------⌫|
pl ai nne si fu	--⌫--⌫--|-|-|
gardezetnorri z	-----|-|-----⌫|
grantamoret	----|---|-|
parsig rant	--|-|-⌫---|
d iligenceet	-⌫-------|-|
part el c urequil nequ eno i ssoit	--|-⌫-|-⌫--|-|-|-|--⌫---⌫-⌫----|
nulerien se sonperenonet	---|---|-|--|---|--|-|
sa mere e tlamaisniede	-|---|-⌫|-|------|-|
e t qua nt	-⌫|---⌫-|
unquesnefu	-----|-|-|
ensi niez ne apris	----⌫---|-|----|
e n semble	-⌫-⌫-----|
autresanf anzdefablesque l e scriture	-----|---⌫--|-|-----|--||-⌫-------|
contoientquelipoete	--------|--|-|----|
auo ientfait	---⌫---|---|
e t co n lisoites	-⌫||-⌫|-----|-|
e sco lesmes	-⌫---⌫--|--|
i lquiestoit	-⌫|--|-----|
enten tis atotesbones hueures	-----⌫--||----|----|------|
demoroittoztenset	-------|--|---|-|
enmaiso nsa nzfai re	-|-----⌫|--⌫-|---⌫-|
nulefolienenule	---|----|-|---|
mauuai seanfanc eetmult	------⌫-|------⌫|-|---|
souuen talo i tal i glieseensemble	------⌫|---⌫-⌫|||-⌫-----|-------|
son pereetsa m e renene	--|---|-|-|-⌫-⌫-|-|-|
siuo i tunquesle s anfanzq ui	----⌫-⌫|-----|--⌫|-----|-⌫-|
estoient d eson aagedefaire	-------|-⌫|--|---|-|----|
anfances me slescho sesc on	-------|--⌫|--|---⌫--||-|
con s eill oitensainteiglisequi	---⌫-⌫----⌫--|-|-----|-----|--|
a u sa ludel	-⌫|--⌫-|-||
e mmees toie nt	-⌫--|--⌫----⌫-|
profit des co m man demenz	-----|--|--⌫-⌫---⌫-----|
gar doit il e treten oit enson	---⌫---|-|-⌫|-----⌫--|-|--|
cueretertmult humilianz	---|-|--|---|--------|
etobedianza sonpereetasame re	-|-------||--|---|-||-|--⌫-|
neun quesn enno i a	-|--⌫---||----⌫-⌫|
acels qui ensemble luie sto ient	|---|--|-------|--|-⌫---⌫---|
siconli plussor	-|--|-|------|
s ue lent fai re quisuntn ouri	-⌫--⌫---|---⌫-|--|---|-⌫---|
docementet soefnonq ues	-------|-|---||---⌫--|
ne deman dan ulles	-|-----⌫-|-⌫----|
uian des sinon	----⌫--|-|--|
celesqui a pareilli e sl ifurent	----|--|-⌫--------⌫-⌫|-⌫|-----|
nene requeroit au trechoseq uece	-|-|--------|--⌫--|----|-⌫-|-|
con lido nn oitet	|-|-|--⌫--⌫--|-|
celisofisoit moultbien	-|-|-------|----|---|
quantsa intanthoi ne	----|--⌫--|------⌫-|
furentm orzp ere	-----|-⌫--|-⌫--|
remestensem bl elui tant	-----|-----⌫--⌫|--|---|
suelementunesoe petite	--------|--|--|-----|
suersipri st	---|-|---⌫-|
lacure d e sa maison	-|---|-⌫|-|-----|
desamaisnieetde	-|-|------|-|-|
seroretmulthonestemen tuni orauint	----|-|---|----------⌫|-|-⌫-|----|
lisainz e nf es aloit	-|----|-⌫--⌫-|----|
i g lieseapresce ques on	-⌫-⌫----|----|-|--|-⌫-|
mereauoien t estémorz	---|------⌫|----|---|
et si n erentmie yy	-|-||----|--|-|
m oispas ez	-⌫--|---⌫-|
auoientesté	------|----|
misen ter re si comi l aloit	--|-|---⌫-|-|--|-⌫|----|
uoieilseprist	---|-|-|----|
porpensercomme ntliapostre	--------|-----⌫-|-|------|
auoientlaissiélor richesespor	------|-------|--|-------|--|
nostre s eig noretliplusor ap r esen	-----|-⌫---⌫--|-|-|-----|--⌫-⌫-|-|
auoi en t totue ndu	----⌫--⌫|--|--⌫--|
qu an q uilauoient et	--⌫--⌫-⌫|-|------|-|
mis aupiezdes	--|-|---|--|
apostre spordep artir	-------⌫|--|---⌫----|
aupou resets ipristapens erqu elor	-|---⌫--|-|-⌫|----||----⌫-|--⌫|--|
espera nc e ertmult	------⌫--⌫|--|---|
grantetboneporauoirla	----|-|---|--|----|-|
gloired es cielsdementi ersqu	-----|-⌫-|----|-------⌫----|
il pensoitce si	-|------|-|-|
igl isedontau intsi comlen	---⌫--|---|--⌫--|-|--|--|
leu a ngileouilertescri tce que	|--⌫-⌫----|-|-|--|-----⌫|-|--|
nostre seignordistau riche	-----|------|---|-|----|
home se tu	---|-|-|
uielsest reparfaiz	----|---⌫-|------|
ue nt quanqu e tua ssi	--⌫-|------⌫|-|-⌫|-|
deparau poureset sim	----|-|-----|-|-||
granttre sorelcieletquant l i e nf es	----|---⌫--|-|---|-|----|-⌫|-⌫--⌫-|
l e ntendi	|-⌫-----|
bien etquant	---|-|----|
il ot o iilre tinten samemoire	-|-|-⌫|-|--⌫---|-|-|------|
comde par deetausi	--|-|--|-|-|---|
concele escriturefust porlu i	--|---|--------|---|--|--⌫|
raconteeetsi tra i st a lui lo	-------|-|-|---⌫-⌫-||--|-|
comma ndementdeno streseignoretapres	-----⌫------|-|--⌫---|------|-|----|
loseruise separti	-|------|-|----|
maintena ntdomostiers i	--------⌫-|-|------|-⌫|
maisonet d epartiet	-----|-|-⌫-----|-|
a sesuoisinsetdona	|--|------|-|---|
yyboniersd e	-|------|-⌫|
b oneterrequ ilauoitpor	-⌫--|----|-|-|----|--|
ilne n chaisten aucunemolest e	-||-⌫|-----|-|-----|------⌫|
ne aucunsmausnen ueni st	-|-----|---||-|----⌫-|
neal uin a	-||-⌫-|||
p arauentureet	-⌫-|-------|-|
totes lesautrescho ses	----|--|-----|---⌫--|
quil auoit sic omde	-|-|----|-|-⌫-|-|
sen ase m bl amult	|-|---⌫-⌫--⌫|---|
auoirqu il departietdona au	----|-|-|------|-|---|-|
po ure smesneporqu an t en	--⌫---⌫|--|-------⌫--⌫|-|
retintilun	-----|-|-|
