c ilqui mistcestcontee nromans	-⌫-|--|---|---|----|-⌫|-----|
o u ilaf et noter	-⌫|-||-⌫-|----|
biauschans	----|----|
porrame nb rancedeschancons	--|----⌫--⌫----|--|-------|
ses prisetsesre n ons	--|---|-|--|--⌫-⌫--|
uoist enrain cienenc hampaigne	----|-|----⌫---|-|-⌫--------|
li b iausmi leslapr egne	-|-⌫---|--⌫--||---⌫---|
denantue lunsdespreus de l re gn e	-|------⌫|--|--|----|--⌫|--⌫--⌫|
car aus si comlen	--|---⌫-|--|--|
met lagraine	--|-|-----|
es drasporauoirlosetpris	-|---|--|----|--|-|---|
einsiailchan setsonsm i s	----||-|----⌫|-|---|-⌫-⌫|
en cestuiromans delarose	-|-----|-----|-|-|---|
unenouel ech ose	--|-----⌫|--⌫--|
desautre s sidiuers	--|-----⌫|-|-----|
etbrodez par	-|-----|--|
lieus debiausuers	----|-|----|---|
queuilains n e lpo rroits auoir	--|------|-⌫||--⌫----|-⌫----|
cesa chiezde	-|--⌫----|-|
bienacist l e sautrespassez	---||---|-⌫-⌫|-----|-----|
ia nulsni ertde l	-|---||-⌫--|-||
oirl assez	--|-⌫----|
ca r s enuieult len ichante	--⌫||-|-----|--||-----|
etsestfez par sigrant delit	-||--|--|--|-|----|----|
quetuit cilsen	--|---|--||-|
es ioiront	--⌫------|
qui cha n tere tlirelorront	--|---⌫-⌫--|-⌫|---||-----|
qu il lorsera nouuiaus	-|-|--|---|-------|
il contedarmeset	-|----||----|-|
et chanteda mbede us ensamble	-|-----||-⌫-----⌫-|-------|
sestauisachascun e t	|--|---||------|-⌫|
quecilq uia fetl eromans	--|--|-⌫-||--|-⌫|-----|
quiltrouast	-|-|------|
t o z les moz deschan s	-⌫-⌫|--|--|--|----⌫|
si a fierent aceuls delconte	-|-⌫------||----|--|----|
sicommence icison conte	-|-------|--|--|----|
enlempireo ulialemant	-||-----|-⌫|-|------|
onte stéma i ntio retm a i ntan	--|-⌫---|--⌫-⌫-|--⌫|-|-⌫-⌫-⌫-|-|
si com l i contesditseg nor	-|--|-⌫|-----|--|---⌫--|
otiadisunemp ereor	-|----|-|---⌫----|
corras otnondep a rs on	-----|-|--|-|-⌫-⌫|-⌫-|
luifuemp erere	--|-|---⌫----|
mout le tindr ent lesgenz apreu	---|-|-----⌫--|--|---||---|
ne u osauroiehuicontépre u	-|-⌫-|-----|--|-----|---⌫|
quelsh onsilfu c arneporroie	----|-⌫--|-|-|-⌫-|-|------|
gra nts ieg edet roie	---⌫-|-⌫---⌫|-|-⌫---|
n o thomesibien ente c hie ́	|-⌫|---|-|---|----⌫-⌫---⌫|
s iha imoutuilainpechie	-⌫|--⌫|---|-----|-----|
ete n est eme ng ier a fu	-|-⌫|---⌫|--⌫--⌫--||-|
d e scelehorequeilnez	-⌫-⌫|---|---|--|-|--|
issir desa b ouche	----|-|-|-⌫----|
grantsereme n t ne laitr eproche	----|------⌫-⌫|-|---|-⌫------|
mou tsecontint com	---⌫|-|------|--|
sage s rois	----⌫|---|
tot fistpar decr ezet par lois	--|---|--|----⌫-|-|--|---|
u ers s agent c e quefere	-⌫--|-⌫|---|-⌫|--|---|
o nque shomeneme sconnut	-⌫----⌫|---|-|--⌫------|
porpouertene porriche ce	--|------|-|--|-----⌫-|
bi enafferoitasa hautece	--⌫-|-------||-|------|
cequ ilerts a geset cortois	-|-|-|--|-⌫-⌫--|-|------|
dededuit doiseax et de	-|-----||-----|-|-|
nesauo itn us homaua ntlui	-|----⌫-|-⌫-|--|---⌫-|--|
il ualoitdetelsr oiszzmui	-|-----|-|---|-⌫--|-|--|
comila p uiselregne eu	--|-||-⌫--|-|----|-|
del anceet de scu	-|-⌫---|-||-⌫--|
con queroit tozsesan emi s	---⌫------|--|--|--⌫---⌫|
iaarba les ti ersn i fust	-|----⌫---⌫--⌫--|||---|
porsaguerree n	--|-|-----|-⌫|
par auertepar mauueste	--|-----|--|-------|
lestienentor e lihau thome	--|------|--⌫|-|---⌫|---|
po r demi letr esor de rom e	--⌫|---|-|--⌫---|-|---⌫|
ne uousistilad roit	-|------|-||-⌫---|
qu nse neustprodome	|-⌫-|-⌫|---|------|
enso nostne s sonanemi	-|--⌫|--|--⌫|--|----|
etsiportoitlescud e mi	-|-|------||---|-⌫-⌫-|
augentilcon te declermon t	-|-----|---⌫-|-|-------⌫|
aulionrampantcontremo nt	-|---|------|--------⌫-|
do r etd azur	|-⌫|-||---|
etdautre part	-||----|---|
plusestoi thardizdunliepart	---|-----⌫|-----||-|------|
quant il ertarm ezlescu pris	----|-|--|---⌫-||---|---|
e t sauez dontge moutl e	-⌫|----|---|-|---|-⌫|
sa iusticee t s e nuoiseure	-|------|-⌫||-⌫--------|
parert desigr anttemp reure	--|--|-|-|--⌫--|----⌫----|
q enn itrouas t iapointdoutrage	|-|||------⌫|-|----||------|
sahauteceet son	-|------|-|--|
bes soitmoutselonc s afranchise	---⌫---|---|-----|-⌫|--------|
sestoitatoutegentelise	|-----||----|--------|
apersetdous e t	----|-|---|-⌫|
sef rans hom se	-|-⌫---|--|-|
f ust en luimis	-⌫--|-|--|--|
deriensdont	-|----|---|
nusle querelast	--|-|--------|
marsd orqu ilidon ast	---||-|--⌫|-|---⌫--|
nelsoufristilaf orsiugier	-||-------|-||-⌫--------|
i lnehao itpasdelegi er	-⌫|-|---⌫-|--|-|----⌫-|
nen a moitriens	-||-⌫---|----|
co nt resonor	--⌫--⌫-||---|
quant ilsauoit uiel uau as so r	----|-|-----|---|---⌫--⌫--⌫|
ne dameueueenpou erte	-|---|---|-|---⌫---|
a ciaus estoitsamainouerte	|----|-----|-|---|-----|
et donoitrobes etauoir	-|-----|----|-|----|
neuoloi tautr emoeble	-|-----⌫|----⌫|-----|
plen te decheualiers	----⌫-|-|---------|
ioiax dr asde	----|--⌫-|-|
soieet destriers	---|-|--------|
lorsdo noiti lagrantp lente	---|--⌫---|-⌫||----|-⌫----|
to ziors et i ueret este	--⌫|---|-|-⌫--|-|---|
es toit sacorsgranze tp leniere	--⌫---|-|---|----|-⌫|-⌫------|
de mainte diuerse m aniere	-|-----|------|-⌫-----|
i fes oitchasc unssonmestier	|---⌫--|-----⌫--|--|------|
il nele ssoitboncheualier	-|-|--⌫----|--|--------|
ens onp ais porquil	-|-⌫-|-⌫--|--|-|-|
quil nere tenist	-|-|-|--⌫-----|
sel oncsonpris	---⌫--|--|---|
t erre ouchas tiax	-⌫---|-|----⌫---|
neporto itautres mangon i ax	-|-----⌫-|-----|------⌫-⌫-|
ases g u erresn	|--|-⌫-⌫----||
autrespe rr ieres	-----|--⌫--⌫----|
cilportentlanceset banieres	--|------|-----|-|-------|
porlui aupartirdeles tor	--|--|-|-----|-||--⌫--|
cilprenoient le shautestors	--|--------|--⌫|-----|---|
cilardoient	--|-------|
lesgranzchasti ax	--|----|------⌫-|
n ipo rtentau tres mangoniax	||--⌫----|--⌫---|--------|
delost de hors	-||--|-|---|
acesdedenz	|--|-----|
il menia ssent aincoisasdenz	-|-----⌫----|------|-|---|
les ho urdeisdeso r lesmur s	--|--⌫-----|----⌫|--|---⌫|
biene n ertlorsiresseurs	---|-⌫|--|--|----|----|
iana sseist riensnefustprise	-||-⌫-----|----|-|---|----|
auoi tla chose emprise	----⌫|-|----|------|
doit ro isamass er	---|--⌫-|-----⌫-|
por quilpu istconfondreetqua sse r	--|-|-|--⌫--|--------|-|---⌫---⌫|
s es anem is asonp ie met re	-⌫-|----⌫-||--|-⌫-|---⌫-|
sot icis tent r emetre	--|----⌫|---⌫-⌫-----|
qu il nauo iten corpoint d efeme	-|-||---⌫-|--⌫--|----|-⌫|---|
mesleuoe ila ceaus de son	--|-|---⌫-||----|-|--|
en eustil p rocha inement	-|---|-|-⌫-----⌫------|
moutenparloient tuit souent	---|-|--------|---|-----|
baronli un as autres	----|-|-|-|-----|
secizbersq uiestmieudresd autres	-|--|---|-⌫-|--|-------||-----|
mue rtsanzh oirnossomestuit mort	---⌫-|---|-⌫--|--|----|---|---|
natureles prente t remo rt	-----|--|----|-⌫|----⌫-|
aentr ax norrizesté	|---|-|-----|----|
et silo ramaintio r	-|-|--⌫||----|--⌫|
m out granthon oret fet	-⌫--|----|---⌫-|-|--|
g ra ntbie n	-⌫--⌫-|---⌫|
etsil moro i ts an zhoirporr ien	-||-|----⌫-⌫|-⌫--⌫|---|--|-⌫--|
n eseroien t il iameslie	-⌫|-------⌫|-|----|--|
eno nt mout	-|-⌫-|---|
ar re snie ́	--⌫--⌫----⌫|
liplus hautpr ince d eso nregne	-|---|---|--⌫---|-⌫|--⌫|----|
m esgenurecequi	-⌫-|-------|--|
enlu iregne	-|--⌫|----|
nelilessoitpas acorder	-|||------|--|------|
ainz fet lesgranz tre z encord er	---|--|--|----|---⌫|------⌫-|
ses aucubes	--|------|
sespauellons	--|--------|
enestequa ntilest	-|---|---⌫-|-|--|
de deduireenprezet en boi s	-|------|-|---|-|-|---⌫|
descitezsen issentma nois	--|----||-|-----|--⌫---|
en cezgranzfo r ez por esbatre	-|--|----|--⌫-⌫-|--|------|
ded enzyyiorneesouyy	---⌫--|-|------|-|-|
neless oitcon tene contesse	-|----⌫--|---⌫-|-|-------|
nechast el aine ne duchesse	-|-----⌫--⌫---|-|-------|
ne dame quil n	-|---|-|-||
enuoiast querre	-------|-----|
dedenzy yi or neesd eter re	-----|-⌫|-⌫--⌫---|-⌫|---⌫-|
ne uauassor abone uile	-|-------||---|---|
nedonastpas unebi lle	-|-----|--|--|--⌫--|
quecoustast mesquagrefustfet	--|-------|----||--|---|--|
porcequ i lueut	--|-|-|-⌫|---|
quilsoit retret	-|-|---|-----|
ertmorz ap ressa uie	--|---|--⌫--|-|--|
d ebiaus gieus et s anzuilo n ie	-⌫|----|----|-|-⌫--|----⌫-⌫-|
se ioeouo ec ses	-|--|---⌫-|--|
compaignons	----------|
ilporp e nselesochesons	-|----⌫-⌫--|--|-------|
co mme n tc hascuns feraamie	--⌫---⌫-⌫|-⌫------|---|---|
orsachiezqu	-|------|-|
il ni faudramie	-|||-----|--|
qu ilnel aitporriens	-|-|-||--|--|----|
quil puist fere	-|-|----|---|
l ibonsroisli	-⌫|---|---|-|
fra nsde bonere	---⌫-|--⌫-----|
il sauoitto zles tors da mors	-|-----|--⌫|--|---||-⌫---|
aumatin quant paroitliiors	-|----|----|-----|-|---|
lore s uenoientliarchier	----⌫|-------|-|------|
ded euant s on tref	-|-⌫----|-⌫-|---|
porhuchier	--|------|
seg norsirons enbos	---⌫--||----|-|--|
lor s oissiez sonercezcors	---⌫|------|----|--|---|
poresuellierc ez	--|--------|-⌫-|
che ualiers	---⌫------|
etces u iex che nu zcroupoiers	-|--|-⌫--|---⌫--⌫|---------|
fesoit chascun bailli erzza rt	-----|------|------⌫-|-|-⌫-|
onquesuoirpu isl etens	-----|---|--⌫-|-⌫|---|
emp ereres ne sotuuidi er	---⌫-----|-|--|-----⌫-|
si bienpauellon	-|---|-------|
d encombrier	|---------|
mout estoitsages etuoiseus	---|-----|----|-|------|
asi alousetas	-|-⌫----|-|-|
fesoit bail lier	-----|----⌫---|
espiez et cors	-----|-|---|
simon toitouoeci usqaubos	-|---⌫---|----|-⌫--|-|--|
po r cequ eil	--⌫|-|--⌫|-|
ne ret orn assent	-|---⌫---⌫-----|
asunsa proié	-|--||-----|
quil a lassent	-|-|-⌫------|
boissoner o uoecl esarchiers	--------|-⌫---|-⌫-|-------|
etliaut reasliemier s	-|-|---⌫-|-|-------⌫|
poursi eurequi sontbonas	------⌫---|--|---|--|-|
