In cipitlapidarius	--⌫----|---------|
Euacisregi s	-----|----⌫|
Arabieq uemmisit	-----|-⌫--|----|
Neroniimperatoriperfranc i genam li ngu am	-----|---------|--|-----⌫-⌫----|--⌫---⌫-|
lisant que	-----|--|
Euaxlireisde	---|-|---|-|
Arabi e enueiatad	-----⌫|------|-|
Ner onleemp erurde	---⌫-|-|---⌫---|-|
Rumeunliurequeil	---|-|----|--|-|
li escr ist desnatures d es pieresde	-|----⌫--|--|------|-⌫-|-----|-|
lurmanieresetd elur nunset d e lur	--|-------|-|-⌫|--|---|-|-⌫|--|
en queletere e lessuntet quel e	-|----|---|-⌫--|---|-|----⌫|
puissa n cee les unt	------⌫-⌫-|-⌫--|--|
M ulthisunt lesue rtuzcuuertes maisles aies	-⌫--|-|---|--|--⌫---|-------|---|--|---|
enueithombienapertes	-|---|--|---|------|
Limirieitrouentgra nz aiesalu rmedecineset	-|----||------|---⌫-|---||--⌫|--------|-|
p lusurs ai ses enuie nt acelski s euent	-⌫-----|--⌫--|-|---⌫-||---|-|-⌫----|
ne n ulss age shomnedeitdu ter que	-|-⌫--|-⌫---⌫|--|-|---|--⌫--|--|
Deus niaitmisegrantuertutenp ieresaltresi	---|||--|---|----|-----|-|-⌫----|------|
cumeil at en herbes	---|-|-|-|-----|
Adamase stc lerecume c ristalmais que ele ad	-----|-⌫-|-⌫---|---|-⌫-----|---|--|--|-|
colur de ferbrun itsi	----|-|--|----⌫-|-|
latro uet l	-|---⌫--||
Eleestdes i grantdurece que	--|--|-|-⌫|----|-----|--|
neparferne	-|--|--|-|
potestr edepeci edeneen nulemanierese	--|----⌫|------⌫--|-|-|---|------|-|
çonest p arle	--||--|-⌫-|-|
chautsancdelbucuhomla	----|---|--|--||--|-|
muilletquehom l a de piecet su rl e enclumeo dmalz	------|--|--|-⌫|--⌫-----|--⌫|-⌫|------|-⌫|---|
etdesaguespiereskienfruissen tentaill etho m	-|--|----|-----|-|-|--------⌫|-------⌫-|--⌫|
lesaltresgemes	--|-----|----|
Ices tenestmie	----⌫-||--|--|
g reindredeu nep e t ite nuiz	-⌫------|-|-⌫-|-⌫-⌫-⌫--|---|
Arabiead une	-----|-|--|
man ieredeadamaski n estmie s idure ka r	---⌫---|-|-----|-||--|--|-⌫|---|--⌫|
homl a pot depecier senz sanc	--|-⌫|--|-------|---|---|
N est sibe lenedes i	|--|-|--⌫-|-|-|-⌫|
grant prizia seitiço queeleseit greinur	----|---|-|---|---|--|--|---|------|
Untierza dam as esten	-|----|-⌫---⌫-|--|-|
Cypreli quarze n	----|-|----|-⌫|
Grece Atuz	----||--|
icezes tnatureatra ir efer	---|--⌫|-----||---⌫--⌫|--|
Ice ste pi ereusentenc hanteur alurench auntemen tetele dunet	---⌫--|--⌫--|----|---⌫------||--|----⌫--------⌫|-|--|----|
ahumeki la por tetsur	|---|-|-|---⌫--|--|
seiforceetuertutet	--|----|-|-----|-|
sidefentde	-|-----|-|
griefssungesdefanthomeset detuzue nims	-----|-----|-|--------|-|-|--|--⌫---|
irese t tençun	---|-⌫|------|
etele sanetlesforsenezetesta	-|--|----|--|-------|-|--||
humedefensiuncuntresese nemis	---|--------|-----|--|-⌫----|
estre close enor uen	----|----|-|-||-|
argent siladeit	-----|-|-|---|
lumporterelsenes trebraz	|-|-----|-|-----⌫--|---|
Ac hateses t issiapeleepur un eewe ki	--⌫----|--⌫|---|-----|--|--⌫|--|-|
Siziliekialtr esiadnu m	------|-|----⌫--|-|--⌫|
Eleestneiremesqueele	--|--|----|--|--|--|
adplusursf igu res ala fiede	-|------|-⌫---⌫--||-|----|
a lafiede de bes tesque	|-|----|-|---⌫--|--|
nature iad	-----||-|
Une altremaniere deachate	--|----|------|-|-----|
troue thome nlis lede	-----⌫|--|-⌫||--⌫-|-|
Creteki resembletcoral kia tgra ins	----|-|--------|----|-|-⌫|---⌫--|
I ce stees tbone cuntre uenim	-⌫--⌫--|--⌫|---|-----|----|
un alt rem an ierede	-|---⌫-|-⌫--⌫---|-|
achate usunt braunchesdear breset farains enta lliez	-----||---|--------|-|--⌫---|-|------|----⌫----|
Icestetoutseitetcunfortet	-----|---|---|-|--------|
maniereest	------|--|
demirrequantlo mleart	-|----|----||-⌫|-|--|
Unaltreia d ki	-|----||-⌫|-|
atsanguines te ches	-|--------|--⌫---|
kiatcolurde	-|-|----|-|
ciremaispu r ceoqu emulten	---|---|--⌫|--|--⌫|---|-|
e stsiestuile	-⌫-|-|--|---|
A ch atedefen t home silidunet force si lf ait de	-⌫--⌫--|-----⌫|---|-|-|----|----|--⌫|-⌫--|-|
ettelkid unet bon	-|--|-|-⌫---|--|
cunseilebienenestc reut	------||---|-|--|-⌫---|
Sap hirestcuuen able alde ide	---⌫--|--|-----⌫---|-|--⌫|-|
r eieleestresp lendis saunteesemblante alcie l	-⌫-|--|--|----⌫------⌫-----||--------|-|---⌫|
qua ntilest	---⌫-|-|--|
pursanz nuessi	--|---|---|-|
n estnu le	|--|--⌫-|
kiaitgr einuruertut	-|--|--⌫----|-----|
ne bealtéd	-|-------|
ape let sirtite spurc eoquehomla troueten l a	---⌫--|-------⌫|--|-⌫-|--|--|-|-----|-|-⌫|
grauel e de	------⌫|-|
L ibie aprés	-⌫---|-----|
