#META# TextURIP erc e u alKu	-----|------|-⌫---⌫-⌫-⌫---|
#META#DEA Fn od ata	-----|---⌫|-⌫--⌫--|
#M ETA#FEW	--⌫---|--|
#META#ARLIMAhttps/ / www .arlima .net/ad/chretien_de_troyes.html# g r a	-----|-----|------⌫-⌫---⌫-------⌫--------------------------------⌫-⌫-⌫|
#META#AuthorChrétiendeTr o yes	-----|-----|--------|-|--⌫-⌫--|
#META#AuthorBorn	-----|---------|
#ME TA#AuthorBornAmb	---⌫--|------------|
#ME TA#A uthorDied	---⌫--|-⌫--------|
#META#AuthorDie dA mb	-----|---------⌫--⌫-|
#ME TA# Aut horFl1	---⌫--|---⌫-----|
#META#AuthorFl2	-----|--------|
#META# TextTitlePerceual	-----|--------|-------|
#MET A# TextSubtit leLe	----⌫-|----------⌫-|-|
#M ETA# Textuols	--⌫---|-------|
#META# TextSub i rom an c e	-----|-------⌫|---⌫--⌫-⌫|
#M ETA# TextDomlit	--⌫---|------|--|
#M ETA#Tr a nslationf alse	--⌫---|--⌫-⌫-------|-⌫---|
#META#Collection	-----|---------|
#META#Colle ct ionNo	-----|-----⌫--⌫----|
# META#TextDescARL u e rsoctos yllabi ques à	-⌫----|----------|-⌫-⌫-|-----⌫------⌫---|-|
rimes plates	----|-----|
#META#T extDescuers8	-----|-⌫----------||
# ME TA # Te xtDateARL11 8 2-1190	-⌫--⌫--⌫|--⌫--------|--⌫-⌫-----|
#M ET A# TextDateAd i	--⌫--⌫-|----------⌫|
#META#TextDateMin 1 182	-----|----------|-⌫--|
#MET A#TextDate Max	----⌫-|--------⌫--|
#META# EdEditor Pierr e	-----|-------|-----⌫|
# M ET A#E dPlaceOt tawa/Nancy	-⌫-⌫--⌫-|-⌫-----|--⌫---------|
#META#EdPu blisherLab or a toire defra n ç ais ancienATILF	-----|----⌫------|---⌫--⌫-⌫----|-|---⌫-⌫--⌫--|-----|----|
#META#Eduol	-----|----|
#ME TA#EdYear	---⌫--|-----|
#META# E dPages	-----|-⌫-----|
#ME TA# MsBase	---⌫--|-----|
#META#MsOther	-----|------|
# META#M s Num17	-⌫----|-⌫-⌫--|-|
#META#MsDateAR L	-----|--------⌫|
#META#M sDateAd i	-----|-⌫-------⌫|
#META# Formu	-----|---||
#META#Completetrue	-----|-------|---|
#META #NoWords	-----⌫|------|
#ME TA# NoLines	---⌫--|------|
#META#DialAuth	-----|-------|
#META# DialScribe	-----|---------|
#M E TA# ScanURLhttp//t xm.ish-l yo n.c nrs.f r/bfm/pd f/Per ceualKu. pdf	--⌫-⌫--|------|-------⌫--------⌫--⌫---⌫-----⌫--------⌫-----⌫--------⌫--|
#MET A# ScanURIOt her	----⌫-|---------⌫--|
#META#Ark ID	-----|---⌫-|
#MET A# LccnID	----⌫-|-----|
#M ET A# Ocl cID	--⌫--⌫-|---⌫--|
#META#WebAuthorPierr eKunstman	-----|--------|-----⌫|-------|
#META#ORCIDWebAuthor	-----|-------------|
# META#WebReui ewer	-⌫----|-------⌫---|
#META#ORCIDReuie wer	-----|----------⌫--|
# META #MiscInfo	-⌫----⌫|-------|
Foli oandpage number sn eed	----⌫|--|---|------⌫|-⌫--|
ref ormatting	---⌫--------|
#META# CC Li c ense	-----|--⌫--⌫-⌫---|
Quipe titsem epetit	--|--⌫--|---⌫|----|
et quiauquesrecoilli ru ialt	-|--|-----|--------⌫|-⌫---|
sa semanceespande	-|------|------|
acentdoble s	|---|-----⌫|
caranterrequ iri enne uaut	--|-|----|--⌫|--⌫-|-|---|
bonese man ceiseche etf aut.	---|--⌫---⌫-||----|-|-⌫---|
Cres tienss emeet fetseman ce	----⌫----|-⌫--|-|--|-----⌫-|
d unromans	|-|-----|
q ueilancom a nce	-⌫-|-|-----⌫-⌫--|
et silesem e ansibon	-|-|-|---⌫|-|-|--|
qui l ne puetestre	-|-⌫|-|---|----|
s anzgrantpreu	-⌫--|----|---|
le fet por	-|--|--|
leplusprod ome	-|---|----⌫--|
quisoit anlempire	--|---|-||-----|
C estlicuensPheli pesdeFl andres	|--|-|----|-----⌫--|-|--⌫-----|
qu imialzualtne fi stAlixandres	--⌫|----|---|-|--⌫-|---------|
cil q ue land itquitant fu	--|-⌫-||-|-⌫-|--|---|-|
Mesie p roue raique licuens	--|-|-⌫----⌫--|--|-|----|
ualtmialz qu ecist ne	---|----|--⌫|---|-|
anluiam ass ez	-|--|--⌫---⌫-|
tozlesuicese ttoz	--|--|----|-⌫|--|
cuenses t mondesetsax .	----|--⌫|-----|-|---⌫|
Lic u ensest	-|-⌫-⌫--|--|
n e scot e	|-⌫----⌫|
uila in gapne paroleestote	----⌫-|--|-|-----|-----|
quique ilsoit	--|--|-|---|
ce p o iselui.	-|-⌫-⌫--|---|
Licu ensainm edroite	-|--⌫--|----⌫|-----|
e tleautéetSain te	-⌫|------|-|----⌫-|
uilenie het	------|--|
sest plus largesque l anne se t	|--|---|-----|--||-|-|--⌫|
quildone se lonc	-|-|---|--⌫---|
l Euangile	|-------|
sanzyp ocrisyeetsanz g u ile	---|--⌫------|-|---|-⌫-⌫--|
quidi t Ne saichet asenestre	--|--⌫|-|-----|-⌫|-------|
le bienquantlefera	-|---|----|-|---|
lade stre.	-|--⌫----|
C illesaiche q ui	-⌫-|-|-----|-⌫-|
lere çoit	-|--⌫----|
etDexquitozlessegrez	-|--|--|--|--|-----|
et se ttotes les	-|--⌫|----|--|
repostaill es	----------⌫-|
quisont es	--|---|-|
cuerse tesantr ailles.	----|-⌫|-|----⌫------|
L Euangile porcoiditele	|-------|--|--|--|--|
Tesbiensatas enestrecel e	--|----||-|-⌫------|---⌫|
Las enestreseloncl estoire	-|-⌫------|-----||------|
senefielauainnegloire	------|-|-----|-----|
(361b.41 )	--------⌫|
quiuintdefauseyp ocris ie.	--|---|-|----|--⌫-----⌫--|
Etla dest requesenefi e	-|-|----⌫-|--|------⌫|
Charité quide	-------|--|-|
uante e nçoi s	----|-⌫-----⌫|
