#ME TA# TextURIAigarB	---⌫--|------|-----|
#META# DEAFhttp//www.deaf-p age.de/bi bl/ bib99a .php#AigarB	-----|---|----------------⌫---------⌫---⌫------⌫----------|
#ME TA#FEW	---⌫--|--|
#META#ARLIMAhttps// ww w.arlima.net/ad/aigar_et_maurin . html	-----|-----|-------⌫--⌫-------------------------------⌫-⌫---|
#ME TA#Au thor	---⌫--|--⌫---|
#META#AuthorBorn	-----|---------|
#META# AuthorB ornAmb	-----|-------⌫-----|
#META#Au thorDied	-----|--⌫-------|
#META#AuthorDiedAmb	-----|------------|
#MET A#AuthorFl1	----⌫-|--------|
#MET A# Au tho rFl2	----⌫-|--⌫---⌫---|
#META# TextTitle Aiga ret	-----|--------|----⌫|-|
#META # TextSubtitle	-----⌫|-----------|
# ME TA#T extuols	-⌫--⌫--|-⌫------|
#META# Tex tSubiepic	-----|---⌫----|---|
#META#Text Dom lit	-----|----⌫--|--|
#META #Translati onfalse	-----⌫|---------⌫-|----|
#META#Coll ection	-----|----⌫-----|
#META#CollectionNo	-----|-----------|
# META#TextDescARLuersdécasyl labique s rép artisenlaissesmono rimes	-⌫----|----------|---|--------⌫-------⌫|----⌫----|-|------|----⌫----|
#META#TextDe scuers	-----|------⌫-----|
#META#Te xtDa teARL12e	-----|--⌫----⌫----|--|
#META# TextD ateAdi	-----|-----⌫-----|
#META#TextDateMin1 166	-----|----------|-⌫--|
#M ETA# TextDa teMax	--⌫---|------⌫----|
# META# EdEditor Alfred	-⌫----|-------|-----|
#META#EdP l ac e	-----|---⌫-⌫--⌫|
#META#E dPublisherRomanischeF orschungen	-----|-⌫---------|---------|-⌫---------|
#META#Eduol14	-----|----|-|
#META#EdYear1903	-----|-----|---|
#ME TA#EdPages1 -102	---⌫--|------|-⌫---|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
#ME TA#MsN u m1	---⌫--|---⌫-⌫||
#META#MsDateARL	-----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
#M ETA# Formu	--⌫---|---||
#META#Complete true	-----|-------|---|
#META# NoWords	-----|------|
#M ETA#NoLines	--⌫---|------|
#META# DialAuthocci tan	-----|-------|----⌫--|
# META # D ia lS cribe	-⌫----⌫|-⌫--⌫--⌫----|
#META #ScanURLhttps//archi u e .org/ d etai ls/romanisc heforsch14franu oft	-----⌫|------|------------⌫-⌫-⌫-----⌫-⌫----⌫-----------⌫---------------⌫--|
#MET A# ScanURIOther	----⌫-|-----------|
# META# ArkID ark/13960/t93 77i81 z	-⌫----|----|-------------⌫-----⌫|
#ME TA#Lccn I D	---⌫--|----⌫-⌫|
#META# Oc lcI D	-----|--⌫---⌫|
#MET A# We bAuth or Dau id	----⌫-|--⌫-----⌫-|---⌫-|
I osephWr isley	-⌫----|--⌫----|
#M E TA #ORCIDWebAuth ororcid.org/0000-00 02-03 55-1487	--⌫-⌫--⌫|------------⌫-|-----------------⌫-----⌫------|
#META#WebReuiewer	-----|----------|
#META#OR CIDReuiewer	-----|--⌫----------|
#META# MiscInfo editionis basedo n afragmentary	-----|-------|------|-|----|-⌫||----------|
manuscri pt allgap s haue beenren dered as. ..	--------⌫-|--|---⌫|---|---|---⌫----|-|-⌫-|
# ME TA# CCLicenseCC BY-NC-SA4.0Inte rnational	-⌫--⌫--|--------|-|-------|--|----⌫--------|
K e dun es taisen	-⌫||-|--⌫---|-|
acdosabatus.	-|--|------|
PointFortu n ete	----|-----⌫-⌫-||
uenclos saismen us.	---|--|---|---⌫--|
uan sen ferir liioue nesel	--||-|----|-|----⌫--|-|
Per lo sblizons passelo fers	--|--⌫|------|----|-|---|
E pei llsosber s sesent en tas cors nus	|---⌫--|-----⌫|-|----⌫--⌫|-|---|--|
Fraignentlesastesmaisnon es uns	--------|--|----|---|--|-|--|
Maurinssenpasseeclaimeel s c onfondus	------||-|----||-----|--⌫|-⌫-------|
Kecelsolesensele r em asus	-|--|--|-|-|---|-⌫-|---|
A i reisAigars ue scomeserobus	-⌫|---|-----|--⌫|--|-|-----|
Oi nepoifilsocatentt	-|--|-|---||-----||
E nons aid ont	|--|-⌫-|-⌫--|
ka n c p laisnonfosobus	|-⌫-⌫|-⌫---|--|-|----|
M ais molter prosquanterr econogu s	-⌫--|---|-|---|----|-|-⌫-------⌫|
Tost o s afarsteietera a	--|-⌫-⌫|----|-|-----||
Losocors broce	-|-----|----|
elcaples es	-|-----|-|
li cap les que tenentlibaron .	-|---⌫--|--|-----|-|-----⌫|
Draugue deS aure	------|-|-⌫---|
poigalsocorsFolcon	---|-|-----|-----|
Elfilsdelreifait	-|---|--|--|---|
sontorpercambon	--|--|--|-----|
KAimontapele amie e	|-----|----|---||
con paignon	---⌫------|
De Mirasuauslofilalcomte	-|--------|-|--|-|----|
Un soldader de	-|-------|-|
Seuassausesefresconquert on	-|------|-||---|------|-⌫-|
Celuenc br oç antentrelsr e nsa bandon	--|---|--⌫---⌫--|------|-⌫-⌫-||-----|
p resseuaitiostara bandon	-⌫----|---|-----||-----|
escut uadaur un lion	----||||--|-|---|
lopis totlofer li repon	-|--|--|-|--|-|----|
Kant lastefraign ou laier e enlarç on	---||---|----|-⌫-|-----⌫|-||----⌫-|
Elo comsDraugue feritsi	|-|---|------|----|-|
lui el son	--|-|--|
a stel ab atetel	-⌫--||--⌫---|-|
P re ntloca ua ubalçandeQuarrion	-⌫--⌫-|-|--⌫--⌫|------|-|-------|
Elodonetsonfraire enguiardo n.	|-|----|--|-----|-|-------⌫-|
Aitan tl a force p... m sel go n fanon.	-----⌫|-⌫|----||--|-⌫|-|--⌫-⌫-----|
E li reiaupoignentabe spor on	|-|----|-------|-|-⌫----⌫-|
Emainentlosder er	|------|--|---⌫-|
el pratFrimon	-|---|-----|
Olorsontbornes lo sbarres	|--|---|-----|--⌫|-----|
el bu isson	-|--⌫----|
Eli arcerelser u ent el	|-|----|-|---⌫-⌫--|-|
Ke tengutnancce n cauaus	-|-----||--|--⌫|-----|
Mil cauai lle rs estreBorel	--|-----⌫---⌫-|----|----|
Kill or daraseluena	|-|-⌫-|---||-|--||
Mi lliur esdaur ni	--⌫|----⌫-||--|||
au ra maint mangon.	--⌫-|----|------|
Elfi ls del rei	-|--⌫-|--|--|
delt ornars essomon	--|-⌫----||------|
Reniass enuaio totesapr ison .	-----||-|--||---|-|--⌫----⌫|
Ma uriss en	--⌫---||-|
ua ielpr atioste el	--⌫|-|--⌫-|----|-|
Eeils enuant	|--||-|---|
tuitreni at	---|----⌫-|
CedisSica rs	-|--|----⌫-|
Maurin creesenmei	-----|----|-|--|
Huia trentean s	--||-----|--⌫|
queauges a ut allei	--|----|-⌫--⌫-|--|
Keiatosesans de uosn on fole i.	-|-|----|--|-|--|-⌫-|----⌫-|
Molt ofe tmaluilshond ai talagr e i.	---||--⌫|--|---|--||--⌫--|---⌫-⌫-|
Perte auas fete	----|---|---|
enonsabesperkei	|--|----|--|--|
Kifetbatailleconsa forcenon	-|--|-------||---|----|--|
Desconfisesper raisoneper	--------|-|--|-----||--|
Elireial ca ualcen taesp l e i .	|-|----|--⌫------⌫||---⌫-⌫-⌫-⌫|
Deso sPerideal moste rsant	----⌫|-----|-|-----⌫|---|
Es her berias lanuite lfilsdel	-|---⌫-----|-|---|-⌫|---|--|
L abe sGuillelm elord oneitlo	|---⌫|--------⌫|--|-⌫----|-|
Nit raisosb erc	-|-⌫---|---⌫--|
nidesçant sonbaldre[i]	-|-------|--|--------|
Tr os almatin quelo iorsl orpare i	--⌫-|-|----|--|-|---|-⌫-|----⌫|
Kelmes . ..mil...lo	--|--|-⌫-|--|--|-|
... del ..	--|--|-|
ung o nfano n	-|-⌫-⌫-----⌫|
S os Elroidep as sarel o rabei.	-⌫-|------|-⌫--⌫---|-⌫|-----|
persiguent e cadus...cocrei .	---------||----|--|-|----⌫|
Licom sM au rins lo rrengelotor n ei	-|---⌫|-⌫--⌫---|--⌫|----|-|---⌫-⌫-|
Eripocfa rcelqui ernon	-||--|--⌫|--|--|-|--|
Lorabeipassent	-|----|------|
e m esclentlostorneis	|-⌫------|--|------|
E p ocifar celquiben es a pres.	|-⌫-||--|--|--|--|-|-⌫----|
K aMaur in i oiglo coms T ie bausdeBles	||----⌫-|-⌫--|-|---|-⌫--⌫---|-|---|
Eab Be rtranBer en ger sli Dan eis	|-|--⌫----|---⌫--⌫---⌫|-|---⌫--|
E abDr augon M an igos d Espa neis	|-|--⌫----|-⌫--⌫---||----⌫---|
EabFolco nRainersde Loon eis.	|-|-----⌫|------|-|----⌫---|
Entrerenspoinsqui d armesescortes	----|---|----|--||----|-|-----|
Ben ies tante Nor mantetF rances.	--||--⌫---||---⌫---|-|-⌫------|
presse laio sontpluses pes	-----|--||---|---|--⌫--|
IoinsaSi carMilaues lo Ga le is	----||--⌫--|------|-|--⌫--⌫-|
Ta nt g ra nss edonentperl os	--⌫-|-⌫--⌫-|-⌫|-----|--|-⌫-|
