un e ma nieredes	--⌫|--⌫----|--|
qu id est reloials emblantfont	--⌫||---⌫-|----|-⌫------|---|
etdeconseil si	-|-|------|-|
bi en celer	--⌫-|----|
quilsec o n ui e ntene us	-|-|-|-⌫-⌫-⌫--⌫-⌫-|-|-⌫-|
e t qu antauie ntque ons i	-⌫|--⌫--|----⌫-|--|-|||
descu eure	-----⌫---|
t antquilse uentla mor et	-⌫--|-|-|--⌫---||-⌫--|-|
silespa n dent parle pais	-||----⌫-⌫---|--|-|---|
sien fontleurgasetleurri s	-|-|---|---|--|-|---|--⌫|
siau ientque	-|--⌫---|--|
cilio ieen	--|--⌫-|-|
quile conseiladescouuert	--|-|------||---------|
ettant com lamor estplus grant	-|---|--||---|--|---|----|
sontplus m arili	---|---|-⌫--|-|
quantliuns deusl au t re mesc roit	----|-|--||--||--⌫-⌫-|----⌫---|
aitc equecele rdoit	--|-⌫|--|----⌫|---|
et s ouuenttelmesc hiefenu ient	-|-⌫-----|--|----⌫---|-|-⌫---|
quelamorfail lir	--||---|----⌫--|
en conuient	-|-------|
a grantdouleureta	|----|------|-||
uergoi gne	------⌫--|
sicomila u in tenborgoigne	-|--|-|-⌫-⌫--⌫|-|--------|
duncheu alier preu	|-|----⌫----|---|
etdel a dam ede uerg i	-|-|-⌫|---⌫|-|----⌫|
q u elicheualierstantpria	-⌫-⌫|-|---------|---|---|
quela dameliotria	--|-|---|-|----|
par itelco nuenan ts amor	--|---|--⌫------⌫||---|
qu ilseus t ca l eu ree tau	-|-|----⌫||||--⌫-|-⌫|-|
queparluiseroi tdescou uerte	--|--|--|-----⌫|------⌫----|
leur amorily a uroitpert e	---|---|-||-⌫----|----⌫|
etde lam or etde l	-|-||--⌫-|-|-||
quel e l iaroitfetde	-|--⌫|-⌫|----|--|-|
etacele am or	-||---|--⌫-|
deuiserentqu em zz uergie r	---------|-|-|-|------⌫|
li cheualierstousseuzseroit	-|---------|---|---|-----|
quele li metroit	-|--|-|------|
nesere muastdun	-|-|--⌫----||-|
deuant q uezz petit chiennet	-----|-⌫-|-|----|-------|
ue rro itpar	--⌫---⌫-|--|
leuergi er aler	-|-----⌫-|---|
erlors ue nist	-|---|--⌫---|
sansdemourer	---|-------|
enlachambreet	-|-|------|-|
seustbie n	----|---⌫|
caceleeure	||---|---|
que la da metant	--|-|--⌫-|---|
s e uleme nt	-⌫-⌫-----⌫-|
ai nsinclefirentlong uement	--⌫----|-|-----|----⌫-----|
etfulamo rdou cee tcelee	-|-||---⌫|---⌫-|-⌫|----|
queforseu s nelesot riens	--|---|--⌫|-|-|--|----|
licheu ali ersfu	-|----⌫---⌫--|-|
biausetcointes	----|-|------|
e t par saualour fua coint es	-⌫|--|-|-----|-|-⌫-----⌫-|
q uibourgoi gnetenoit	-⌫-|-------⌫--|-----|
souuentet uenoit	------|-|-----|
a laco u rtet	|-|--⌫-⌫-|-|
que laduchoiselaama	--|-|-------||---|
etli m ous tra semblantdamor	-|-|-⌫---⌫--|-------||---|
il neustl ecuerail lours	-||---|-⌫|---|---⌫----|
biens epeust ape rceu oir	---|-⌫|----|---⌫----⌫--|
pa rsemblantque llamastpor	--⌫|-------|-|-⌫||----|--|
mespo ursembl an t	--|--⌫-|-----⌫--⌫|
li ch eu alierssemblantn enfist	-|--⌫--⌫-----|-------||-|---|
neonque snus nes en percut	-|-----⌫|--|-||-|-----|
qu eleuersliam oreus t	-|--|---|-|--⌫-|---⌫|
tant que elleeno t gra ntanui	---|--|---|-|-⌫|---⌫-|---|
quel e parla zz iouralui	-|--⌫|----|-|---||--|
et mistare isonpar mos tiex	-|---||--⌫---|--|--|---|
sireu ousiestesbiauset pr eus	---|-⌫--|-----|----|-|--⌫--|
ce dienttu itla dieumerci	-|----|--⌫-|-|---|----|
siauriésbiendeserui	-|------|---|------|
amieenzz haut li eu	---|-|-|---|--⌫-|
qu ene ussié s h ounouretpreu	-|-|-⌫------⌫|-⌫-----|-|---|
querroitortelamie	-------|-|--|---|
mada mefet	-|--⌫-|--|
an c orace miseme ntente	--⌫-⌫-||-|---||-⌫-----|
ellelongueatente	---|-----|-----|
uouspourr oi tnuirecem est	---|-----⌫--⌫|----|-||--|
se lou queuoussoiésamis	-|--|--|---|-----|---|
en zzhaut leu	-|-|---|--|
seuous uee ́s	-|---|---⌫-|
queuous i so iés	--|---||--⌫---|
bien amés	---|----|
cilr es pont m a dame parfoi	--|-⌫--⌫---|-⌫|---|--|--|
iene sa i miebienpour quoi	-|-|--⌫|--|---|---|---|
c emeditesnequ e	-⌫|-|----|-|--⌫|
nesuineneconte	-|--|-|-|----|
quesi hautem entamerd oi e	--|-|------⌫--|---|-⌫--⌫|
etsi nens ui pas	-|-||-|-⌫-|--|
a de u sdoie	|--⌫-⌫|---|
damerdamesiso uuerai ne	|---|---|-|--⌫------⌫-|
seie bieni m e toiepa in e	-|-|---||-⌫-⌫---|--⌫--⌫|
sie stes distellesedeuient	-|-⌫---|---|---|-|------|
mainte pl u s gra nsmerueilleaui ent	-----|--⌫-⌫|---⌫-|--------|---⌫--|
etau teleauerra	-|--⌫---|-----|
ditesmoise uous sauésore	----|--|-|---|-----|--|
uous ai mamor	---|-||---|
qui sui hau te dame honnoree	--|--|---⌫-|---|-------|
et cilre spont inelep as	-|--|--⌫----|------⌫-|
mes bienuoudroie uostreamor	--|---|-------|-----|---|
auoir par bienetpar	----|--|---|-|--|
mesde telamor dieu me gart	--|-|--|---|---|-|---|
uoustourtcelepart	---|----|---|---|
o ula hontemonseigno rg ise	-⌫|-|----|--|------⌫|-⌫--|
fuerneanulegui s e	---|-||---|---⌫-⌫|
ne fero iet elmes pro ison	-|----⌫-|-⌫-|---⌫---⌫---|
commedefere traison	----|-|---|------|
sicuiuert ne si des loial	-|------|-|-|---⌫----|
enuers monseignour na tural	-----|--|-------|--⌫----|
fid ist e lle qu if uma rrie	-|-⌫--|-⌫--|--⌫|-⌫|--⌫---|
dantmu sar tetquiu ousem pri e	---|--⌫---⌫|-|--|-⌫--|-|---⌫|
bien lesa imes tant uou sendi	---|-|--⌫|--|---|---⌫|-|-|
celene ti ntaliplus	---|-|--⌫-||-|---|
mes gran scourous etgra ntdehet	--|----⌫|------|-|---⌫-|----|
enot aucu e r etpui spensa	-|-|-|--⌫-⌫|-|---⌫|----|
biensen uenger a	---||-|------⌫|
sifuel leformen t iree	-|-|--⌫-|------⌫|---|
la nuitquant	-|---|----|
ellefucouchie	---|-|------|
iouste leducaso upi rer	-----|-|--||--⌫---⌫--|
commen ca et puis	------⌫-|-|---|
aplou r er	|----⌫-⌫-|
et liduserrantli dema nde	-|-|--|-----|-|----⌫--|
quece quelea etlicomand e	--|||-|--||-|-|------⌫|
manuie m aintenant	|----|-⌫--------|
di stcelle	--⌫-|----|
iai du e ilgra nt	|-|--⌫-⌫-|---⌫-|
decequ eneset nushauzhom	-|-|--⌫|-|--|--|---|--|
quifoi liporteneq u inon	--|--|-|----|-|-⌫-⌫|--|
mes plusdebienet d	--|---|-|---|-||
ouneur font	-----|---|
quileu r tra itressont	--|---⌫|---⌫----|---|
etsinese napercoit	-|-|-||-⌫|-------|
pa rfoidamecedistlidus	--⌫|--|---|-|---|-|--|
iene saipo ur quiuousle dites	-|-|--|--⌫-|--|---|-|----|
mesdetel chos esuiiecuites	--|-|--|----⌫|--|-|-----|
carsac hiésseie	--|---⌫----|-|-|
ma lementtel	--⌫-----|--|
chos ehar r oie	----⌫|---⌫-⌫--|
haés dont	----|---|
fetellecelui	--|---|----|
nomma quine	----|--|-|
demoipr oier aulonc duior	-|--|--⌫---|-|---|-|--|
queieli donnasse	--|-|-|-------|
et medistque m outa lonc tamps	-|-|---|--|-⌫--||---|----|
quil aestéence po ur pen s	-|-||----|-|-|--⌫--⌫---⌫|
nonques mes nele mosadir e	|-----|--|-|-||--|---⌫|
etieme po urpens ai biausire	-|-|-|--⌫------⌫-|---|---|
tantostqueiel e uousdir oie	------|--|-|-⌫|---|---⌫--|
pertestrech oseur a ie	---|----|--⌫--|--⌫-⌫-|
apieca a ce bae ́	|----||-|---⌫|
que de cec	--|-|-||
ail lorsn a	---⌫---|||
nouueleoie nenauon	------|--||-|---|
s i uous requier en	-⌫|---|------|-|
uostrehou nour si i	-----|---⌫---|-||
comuo us sa uésqueilest	--|--⌫-|--⌫---|--|-|--|
li dusaqui semble	-|--||--|-----|
lidist ien	-|---||-|
u err ebiena	-⌫---⌫|---||
et moutpartant	-|---|--|---|
sicom iecuit	-|--|-|---|
f ucelenui t	-⌫|---|---⌫|
lidu s onq uesdormir	-|--⌫|---⌫--|-----|
pourle cheuali e r qu il amot	---|-|-------⌫-⌫|-|-|---|
etp ource tout enui t ueilla	-|-⌫--|-|----⌫|---⌫|-----|
l e ndemainparmatinl eua	|-⌫------|--|----|-⌫--|
etfis tcel uialui uenir	-|---⌫|---⌫-||--|----|
quesa fame li fetha ir	--|-|---|-|--|--⌫-|
sa nsceque	--⌫-|-|--|
ri ensn iamespri s	--⌫--||||------⌫|
maintenant l aaraisonmis	---------||||-----|--|
se ulaseuletni otqu eeu s	--⌫-||---|-|||-|--⌫|--⌫|
ce rtes dist	--⌫---|---|
ilqu ec est grans deus	-|--⌫||--|----|---|
quant pr ouece aués et	----|--⌫----|----|-|
uou sloi aute	---⌫|---⌫---|
queuosf uissiésd ebo ne foi	--|--|-⌫-------|-⌫|--⌫-|--|
loialatoutle mainzue rs	----||---|-|----|--⌫-|
ai uers u ous	-|---|-⌫--|
do mu ous estuenue	--⌫|-⌫--|--|----|
etsitraitresse	-|-|---------|
que proieauésla d ucesse	--|----|----|-|-⌫-----|
etrequisede	-|------|-|
fetgrant uilen ie	--|----|-----⌫-|
queplusuilai nenestuet querre	--|---|-----⌫-||-----|-----|
issiés erranthors	------|-----|---|
sien i réserra nt	-|-|-⌫---|----⌫-|
s an sdoute	-⌫--⌫|----|
ie lauousue etdeff ens tout e	-|-|---|-|-|----⌫--|----⌫|
se ientre ́s netant	-||-----⌫-|-|---|
quede s ma intenantenauan t	--|--⌫|--⌫-------|-|----⌫|
uous i porroiefereprendre	---||------|---|------|
sachiésie	-------|-|
uousferoiependre	---|-----|-----|
qua nt lic h e ualie rsceente nt	---⌫-|-|-⌫-⌫-⌫-----⌫-|-|----⌫-|
diree tdema u ta lent espran t	|--|-⌫|-|--⌫-⌫--⌫---|------⌫|
siquetuitlimembrelitr emb lent	-|--|---|-|-----|-|--⌫---⌫---|
qu ant de samie liremembre	--⌫--|-||---|-|-------|
dont ilsetqu	---|-|--|-|
enpu etioir	-|--⌫-|---|
senestp ar aleret	-||--|-⌫-|---|-|
dom l idus	--|-⌫|--|
u eutqu ils o it	-⌫--|-|-|-⌫-⌫-|
etdautrepartli fetmout m al	-||----|---|-|--|---|-⌫-|
cequa traitre d es loial	-|-||------|-⌫--⌫----|
set ie nt ses	-|-⌫--⌫-|--|
sie st ensi grant desconfort	-|-⌫-|-|-|----|---------|
qua mort se tie nt etmalb ailli	-||---|-|---⌫-|-|----⌫----|
sire d istil pour dieu merci	---|-⌫--|-|---|---|----|
ne creés pasnenepe ns és	-|-----|--|-|-|--⌫--⌫--|
queio nquesfuissesio ssés	--||-⌫----|-----|-|-⌫----|
ce q uememetés ato rtseure	-|-⌫-|-|-----||--⌫-|----|
queiepensse iour neeure	--|-|-----|---|-|---|
malfetquileuous a dit	--|--|--|-|---||--|
neuous uaut	-|---|---|
du squepoi n tnenya	--⌫|--|---⌫-⌫||-|||
elle meisme scon té m a	---|------⌫|---⌫--|||
en quel maniereet	-|---|------|-|
enqu el guise	-|--⌫-|----|
uous l au és	---||--⌫--|
pro i eetrequise	---⌫-⌫|-|------|
co mmetr icherres enu ieus	--⌫--|--⌫-------|---⌫---|
ette lchose deistes uous	-|--⌫|----|------|---|
puet estre	---|----|
dontellese test	---|---|-|---|
madamed is tcequili ple st	-|---|-⌫--⌫|-|--|-|---⌫-|
lors dist lidusau cheualiers	---|---|-|--|-|---------|
se uous me	-|---|-|
uoule ́s fiancier	-----⌫-|-------|
paruostreloiel sere ment	--|-----|----|----⌫---|
qu euousme dirésura iement	--⌫|---|-|-----|---⌫-----|
cequeieuou s	-|--|-|---⌫|
demanderai	---------|
par uostredit certainzserai	--|-----|--|-------|----|
seuousauriés fet ounon	-|---|------|--|-|--|
ce dontiesuien soupecon	-|---|-|--|-|-------|
moutconuoiteetdesire	---|-------|-|-----|
aietersons eigneurd elire	|----|--|-⌫------|-⌫||--|
queila uerslui sansde s e rtes	--|-||---|--|---|--⌫-⌫-⌫---|
redoutecelepe rte	------|---|--⌫--|
ou ce le estquitant l i agree	-|--⌫-|--|--|---|-⌫|----|
resp ontqu e tou tsanzc o ntredit	----⌫--|--⌫|---⌫|---|-⌫-⌫------|
fera c eque lidu sa dit	---|-⌫|--|-|--⌫||--|
car ilnesenpr ant	--|-|-||-|--⌫--|
m ie ga rde	-⌫-|--⌫--|
ace qu elidus se prant garde	|-|--⌫|-|--|-|----|----|
quelid us ueil ledemander	--|-|-⌫-|----⌫-|-------|
deriensfors de	-|----|---|-|
c eleprie re	-⌫--|----⌫-|
le serement en t elmanier e	-|-------|-|-⌫-|------⌫|
len fistlidus etcil len	|-|---|-|--|-|--||-|
maintenant a dit	---------||--|
sac iésparfineuerite	---⌫---|--|---|-----|
que cequeie	--|-|--|-|
u ous ai amé	-⌫--|-|---|
caenar riere defincuer	-|-|--⌫----|-|--|---|
nemele roitcroirea	-|-|--⌫---|-----||
queuous telmeffetettelhonte	--|---|--|-----|-|--|----|
duc essemecon t e	---⌫---|-|---⌫-⌫|
ne tantn e lateniss e uoire	-|---|-⌫|-|------⌫|----|
se c en elemefe i s tcr oire	-|-⌫|-⌫|-|-|--⌫-⌫-⌫|--⌫---|
et me meist en grant d outa nce	-|-|----|-|----|-⌫----⌫--|
qu antre gartuostre contenan ce	--⌫--|--⌫---|-----|--------⌫-|
de courtoisieetdautrer iens	-|---------|-||----|-⌫---|
len puetsauoirmo ut	--|---|-----|--⌫-|
et qua ntdailleurnes apercoit	-|---⌫-||------|-||-------|
assesquamésdamoise leou dame	----|-|----|-------⌫-|-|---|
i e mepens	-⌫|-|---|
soit mafame	---|-|---|
quime distq ueuou slapriés	--|-|---|-⌫-|---⌫|-|-----|
enpuis estr edesu oie ́s	-|---|----⌫|----⌫---⌫-|
quene cuit qu ensiuoitl	--|-|---|-|---|---||
pour rien s que uousmepuissiez f ere	---|----⌫|--|---|-|-------|-⌫--|
seuousn emeditez	-|---|-⌫|-|----|
quaille urs	-|-----⌫--|
amésentel lieu p aramours	----|-|--|---|-⌫-|-----|
le ssiéssansnuledoute	--⌫-----|---|---|----|
sauo ir enlaue rite toute	----⌫-|-|-|--⌫---|----|
s e fere neuoulés	-⌫|---|-|------|
compariur esuousena lé s	--|------⌫-|---|-|-⌫---⌫|
horsdema te rresans de l ai	---|-|-|--⌫--|---|--⌫-⌫-|
sil nesetnul	--|-|--|--|
conseildes oy	------|-|-⌫-|
g eua parti sifort	-⌫-||----|-|---|
quelun etlautret ient	--||-|-||----|-⌫---|
etci ldist lauerite	-||-⌫|---|-|-----|
quildi r asenes e	-|-|--⌫-⌫|-|-|-⌫|
a m orts e tientsilme ffait tant	|-⌫--|-⌫|----||-|--⌫----|---|
quiltrespassel econuenan t	-|-|--------|-⌫|--------⌫|
dameetsamiea	---|-||---||
quilset mou t bienquilla perdra	-|-|--|---⌫|---|-|-|-|-----|
celecepue ta perce uoir	|--|-|---⌫|-⌫-----⌫---|
ets ilnedi stau duc	-||-|-|--⌫-|-|--|
pariureses tet foime nt ie	-------|--⌫|-|--|--⌫--⌫-|
etpert lepai s etsa mie	-|---|-|---⌫|-||-⌫--|
mes dupaisnelichausist	--|-|---|-|-|-------|
amieliremainsist	---|-|---------|
queseurtoute rien spe rdre crient	--|---|----|----⌫|--⌫---|-----|
et pourc equ	-|---|-⌫|-|
adesli souui ent	---|-|-----⌫--|
ioieetdousoulas	---|-|--|-----|
quilaeuentreses bras	-|-||-|----|--|---|
sisapensec i lla	-||-----||-⌫|-|
parsonmeffetlapert	--|--|-----|-|---|
quantparsoinel	----|--|--|-||
enpeu tmener	-|---⌫|----|
commentp o rr a sensl idurer	------|-⌫-⌫--⌫|---|-⌫|----|
qu ia ucuer	--⌫|-⌫|---|
dis t enun uerdunechancon	---⌫|-|-|--||--|------|
pardie ua mors for smesta	--|---⌫|-⌫---|---⌫||--||
dudous soulas et de la co m paignie	-|---|-----|-|-|-|--⌫-⌫------|
du biau sem bla nt quelmes oloitmons trer	-|---|---⌫---⌫-|-|-|-|-⌫----|----⌫---|
celequ i miertdo uc e	---|--⌫||---|--⌫--⌫|
dameet amie	---|-|---|
etquant regartsasimple cortoisi e	-|----|-----|-|-----|--------⌫|
etles d ou smo s qu a m oi	-|--|-⌫--⌫|--⌫|-||-⌫-|
so l oitparler	--⌫-⌫--|-----|
comme ntme puet	-----⌫-|-|---|
li cuersou corsdurer	-|----|-|---|----|
quantil nep a rtcertestrope st m a uuez	----|-|-|-⌫-⌫-|-----|---|-⌫-|-⌫-⌫---|
li c heu al iersatelan goisse	-|-⌫---⌫--⌫---||--|--⌫-----|
ne set se leuoiren quenoisse	-|--|-|-|---|-|--------|
ouil men tetl e stle p ais	-|-|---⌫|-|-⌫-⌫-|-|-⌫--|
dontlidusueutqui lsoiteschis	---|-|--|---|-|-⌫|---|-----|
quineset l iq uiexli uautm iex	--|-|--|-⌫|-⌫---|-|---|-⌫--|
leu edu cuerli	|--⌫|-|---|-|
mon te auz eus	---⌫-|--|--|
porlangoisse quenli	--||-------|-|-|-|
etli dessentpa rmi lafach e	-|-|------|--⌫--|-|----⌫|
siquil en o tleuismoi llié	-|-|-|-|-⌫|-|--|---⌫----|
l i dusnenotp a s le	-⌫|--||-|-|-⌫-⌫|-|
quereconn oistre	--|------⌫-----|
lidistinelepas	-|---|-------|
bi en uoiq ue	--⌫-|--|-⌫-|
ne uo usfiéspas	-|--⌫-|----|--|
enmo i ta ntcomuous deu s sie ́s	-|--⌫|--⌫-|--|---|---⌫-⌫---⌫-|
c uidiés uouss eu ous	-⌫------|---|-⌫|-⌫--|
uostreconseilpriueement	-----|------|---------|
quei eldeisse a lagent	--|-⌫||-----||-|---|
iemele r oieauant sa nsdoute	-|-|--⌫-⌫--|----|--⌫-|----|
trair eles d enslunapres la utre	-----⌫|--|-⌫--||-|----||-⌫---|
hahadistil si re merci	-|-|---|-|--⌫-|----|
ienes aiqueiedoiedire	-|-|-⌫-|--|-|---|---|
foiq u edoia sainte marie	--|-⌫-⌫|--||-----|----|
nequeie doie	-|--|-|---|
u oudroiemie xm orir	-⌫------|---⌫|-⌫---|
qu eperdrecequeie perdroie	--⌫|-----|-|--|-|-------|
ceueritedit	-|-----|--|
uo usauoie	--⌫-|----|
nesil esto itde	-||-|----⌫-|-|
queie le usse	--|-||-⌫---|
eniou rqu i	-|---⌫|--⌫|
monu iuant	--|-⌫----|
etdistlidus ieuouscrea nt	-|---|-|--|-|---|----⌫-|
suslecorsetl amede	--|-|---|-||--|-|
etsus lamor ets us	-|--||---|-|-⌫-|
quei euo u s doid euostre	--|-⌫|--⌫-⌫|--|-⌫|-----|
entre stoutmon aage	-|---⌫----|--|---|
n eniertacreaturenee	|-|---||-------|--|
par olenule racontee	---⌫--|---|-------|
nesemblant f et	-|-------|-⌫-|
etcilemplorant lia dit	-|--|-|------|-||--|
s ireie le uous di ensi	-⌫--|-|-|---|-|---|
iaimuost re	|--|----⌫-|
niece de ue rgi	----|-|--⌫--|
etellemo i	-|---|--⌫|
ta ntc ompuet	--⌫-||-|---|
