artus li boinsroisdebretag ne	----|-|----|---|-|------⌫-|
lac uiproechenous en s eigne	-|-⌫-|------|---|--⌫-⌫----|
so ions preu etcorto is	--⌫---|---|-|-----⌫-|
tint court si ri ch e comme me	---|----|-|--⌫--⌫|----|-|
a cele festeki t a nt ecouste	|---|----|-|-⌫-⌫--⌫|-----|
doi tn o mme rlapentecouste	---⌫|-⌫-⌫---⌫|-|----------|
la coursfuacar d ueilen gales	-|----|-||---⌫-⌫---|-|----|
apres mengierpar micessales	----|------|---⌫-|--|----|
licheuali ers atropeleren t	-|-------⌫-||-----------⌫|
lau d ameslesapelerent	-||-⌫---|--|--------|
etdamoisieles et	-|----------|-|
pu chieles	--⌫------|
liunraco ntoientnouueles	-|-|----⌫------|-------|
li autr eparloientdamours	-|----⌫|--------||-----|
desangoisses etdes dol o ur s	--|--------|-|--|---⌫-⌫--⌫|
etdesgrans biens qu	-|--|----|----|-|
lides cipledes on couu ent	-|---⌫----|-|-⌫-|----⌫--|
kie st oitriches etboins	-|-⌫--⌫--|-----|-|----|
maisori a mout pau dessoins	---|-|||---|--|--|----|
carbie npri es l	--|---⌫|---⌫-||
ontiatoutla issie	--|-|---|--⌫----|
senestlacou rs moutabaissie	|-|--|-|---⌫-|---|-------|
ca r cilki so loientamer	--⌫|--|-|--⌫-----|---|
sefaisoientcourtoisclamer	-|--------|-------|-----|
etpr euetlargeethonne rable	-|--⌫-|-|----|-|-----⌫----|
o resta mour s	-⌫|--|-⌫----⌫|
to urn eeafable	--⌫---⌫-||----|
p our ch ouq ue ch i lki nient	-⌫--|--⌫-|-⌫-|--⌫-⌫|-|----|
nensentent	|-|------|
dient ki laime ntetsi mentent	----||-⌫|----⌫-|-|-|------|
icilfable etm enchongefont	---|----|-|-⌫-------|---|
uantentetdroitni ont	------|-|----|||--|
maispour parlerdecheaus	---|---|-----|-|-----|
lai ssonscea usk ien u ieduren t	---⌫----|---⌫-|-⌫|-|-⌫-|-----⌫|
kencor uaut miexchemest	|----|---|---|--||--|
unscortoismors cuns uilains	--|------|---||--|------|
plaistarecon ter	-----||-----⌫--|
cosekifaiche a r amemb rer	---|-|-----||-⌫-----⌫--|
fudeteltemoing	-|-|--|------|
conen paroleetpries etloi ng	|-|-|-----|-|----|-|---⌫-|
acortdetan tasb arons	----|-|---⌫|-|-⌫----|
que tousi ou rs maisdur asesnons	--|---|-⌫--⌫-|---|---⌫|--|---|
et pourluison tram enteu	-|---|--|---⌫|---⌫----|
liboinch eual ieresleu	-|---|--⌫----⌫--|----|
kienhonnoursetraueilli erent	-|-|------|-|---------⌫----|
iourmou tsesme rueillierent	---|---⌫||----⌫-----------|
delroi kientreaus	--|--|-|----|--|
et teusiotkimoutpes a	-|---||-|-|---|---⌫|
etkimoutgra nt paroleen fise nt	-|-|---|---⌫-|-----|-|----⌫-|
