Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
Kath erine etcommancelaui esain te	----⌫----|-|-------|-|--⌫|----⌫-|
Flandres mandeq ueie me ste	-------|----|-⌫-|-|--⌫--|
en rom a n zlaui e	-|---⌫-⌫-⌫|-|--⌫|
du nebe neure e uiergequeelemoutainme	|-⌫-|--⌫-----⌫|-----|--|--|---|----|
Geneuieu e	--------⌫|
P uisquilli plest etel eleueult mes	-⌫--|-|-|-|----|-|--⌫|-|----|--|
ententisas on seruise car por l ui ai	-------||-⌫-|------|--|--|-⌫-|-|
iec esteoeuree mpris e	-|-⌫---|----|-⌫-----⌫|
fetelemet reen	--|--|---⌫-|-|
r om anzque	-⌫--⌫--|--|
c ilqui neseuent	-⌫-|--|-|-----|
l estr e oient	-⌫----⌫|----|
sauiee tentende ntet qu	-|--|-⌫|-------⌫-|-|-|
ilsamendentp ourlauiede la beneoite	-||-------|-⌫--|-|--|-|-|-------|
D i exdequi touz	-⌫-⌫-|-|--|---|
biensnest se il li uient aplesir	----|---|-|-|-|----||-----|
imete sa partque sanzs aidene	|---|-|---|--|---||---|-|
uoeilieriensf ere	----|-|----|-⌫--|
Orsiuoeil commen c ier etdireuoir	-|-|----|------⌫-⌫--|-|---|---|
seieo nque spu isto ut	-|-|-⌫----⌫|--⌫-|--⌫-|
au tre sicomme ie let ruis	--⌫---⌫-|----|-|-|-⌫---|
enlest oirede lui	-||---⌫---|-|--|
Dieuquitou tlemonde	---|--|---⌫|-|----|
fistqueil le praingneengré	---|--|-|-|-------|-|---|
Gen euieuene f umiee str oitederoisn edecontes	---⌫-----|-|-⌫|--|-⌫---⌫---|-|---|-⌫|-|-----|
a inçoizfu	-⌫------|-|
fil l edunborioisetdune	---⌫-⌫||-|------|-||--|
Ellefuplais anza	---|-|-----⌫--||
Elle fuhumbl e simple	---|-|-----⌫|-----|
am iab ledoucep arfai t e u eri table	--⌫---⌫-|----|-⌫-----⌫-⌫|-⌫---⌫----|
Ses peressi ot	--|----|-|-|
Seuerins e t	-------|-⌫|
f u needeléz	-⌫|--|-----|
Pa ris dune uilequiano n	--⌫--||--|---|--||--⌫|
Girondeets ifude	------|-|-⌫|-|-|
moutbonrenomcommefa mequi	---|--|----|----|--⌫-|--|
estoitdebasse	-----|-|----|
Cu i chaustLe nneconq uiert pas parlingnage	--⌫|-----||-⌫|-|----⌫----|--|--|-------|
nep aramisleresg ne	-|-⌫-|---|-|----⌫-|
Cristainçoiz couie nt por auoir le tric hiere t d eceuoirl e	----|-------|-----⌫-|--|----|-|----⌫---|-⌫|-⌫------|-⌫|
deab leausintaur ichehomeco mme	----⌫-|-----|-|-⌫---|---|--⌫--|
S alemonssinous tesmoin g ne qu eli sain shome squi	-⌫------|-|---|-------⌫-⌫-|--⌫|-|----⌫|----⌫|--|
lorsestoientauo ientencoustume e te n us	---|-------|---⌫---|-|-------|-⌫|-⌫|-|
queil a loienten	--|-|-⌫-----|-|
Bretai ng nequi es tf elen esse terre etestrange	------⌫--⌫-|--|--⌫|-⌫----⌫---|----|-|-------|
Celeco n t ree	---|--⌫-⌫-⌫--|
estoit leiordelors apelee	-----|-|--|-|---|-----|
Bretaingnemeso rendroitest	---------|--|-⌫-------|--|
elea pe lee	--|-⌫--⌫--|
Engleterre	---------|
es toitmoutpetite etp oreulz	--⌫---|---|-----|-|-⌫-|---|
mi ex aferm erencreanceet geterleshors	--⌫-|-----⌫-|-|------|-|----|--|---|
d efollieetd e m auuesse	-⌫|-----|-|-⌫|-⌫------|
esperancesesmurentduis aintho me	--------||-------|--|-⌫---|--⌫-|
deleurl euxdont l i	-|---|-⌫--|---|-⌫|
un s otnon	--⌫|-|--|
Germains et liautres	-------|-|-|-----|
Il i auoi tgensqu i	-||----⌫|---|--⌫|
e sto ients anzfoietsialoient	-⌫---⌫---|-⌫--|--|-|-|------|
D ieu etcontre sacreance	-⌫--|-|-----|-|------|
Le s gens lesape loie n t	--⌫|---|--|---⌫----⌫-⌫|
Arrienspor c equ il necreoientmieelbapte sme	------|--|-⌫|-|-|-|-------|--|-|-----⌫--|
einço izfesoientse mblant quilfuss e n tbon screstiensmes	------⌫-|-------|--⌫-----|-|-|----⌫-⌫-⌫|---⌫|--------|--|
il e stoie ntfaxet mauués	-|-⌫-----⌫-|--|-|------|
I cil fauxpeuplesdesloia ussiuou l o itprou er qu ecil	-⌫--|---|------|-------⌫-|-|---⌫-⌫-⌫-|----⌫-|--⌫|--|
ie rt apaiéza	--⌫-|------||
Dam edie uquinauoit pasreceubaptesme	---⌫----⌫|--||----|--|----|-------|
Me sicelefausegentc reoientet afe rmoient qu eporce	--⌫|----|----|---|-⌫------|-|---⌫------|--⌫|--|-|
q uele pereetlamere eussentestécrestiensqu	-⌫-|-|---|-|-|---|------|----|--------|-|
iles tregeneré zen	-|--⌫|---------⌫|-|
Di eup ourquoiil soit	--⌫-|-⌫--|---|-|---|
I Iengendréz	-⌫|---------|
Mes cestnoienzcarce ne	--||--|-----|--|-|-|
puet estreai nçoiz estoit	---|----|--⌫-----|-----|
arrierenest rederechief si commes ains	------|----⌫-|-|------|-|----|-⌫---|
Iehanzquipor	-----|--|--|
Dieusoufri mainzt rauaxnousraco n t equecilqui	---|-----|----|-⌫----|---|----⌫-⌫-⌫|--|--|--|
estlauéz parsaint	--|-----|--|----|
bapt esmesera sauf	----⌫---|---|---|
Damedieusinou s	-------|-|---⌫|
r edist a ill eur s	-⌫----|-⌫---⌫---⌫|
quesenousu oulon s	--|-|---|-⌫-----⌫|
est ree n sagloirei lnous	---⌫-|-⌫|-|-----|-⌫|---|
co uientestre r egenerézdeueet d e	--⌫----|----|-⌫--------||--|-|-⌫|
quelifolqui	--|-|--|--|
estoient m auuéset	-------|-⌫-----|-|
desloialn orri ss oient lemale t se moi en t par	-------|-⌫----⌫--⌫----|-|--|-⌫|--⌫---⌫--⌫|--|
la co ntreeleursmençonge sli duisa ins	-|--⌫----|----|---------⌫|-|--|--⌫--|
uoldrentestre e n c el	-------|----|-⌫|-⌫-|
pa is iusquatantqu e ilaient	--⌫-|----|----|--⌫|-|----|
to utle u rmal dest ruit et eul zconue rtizetq ue	--⌫-|--⌫-⌫|--|----⌫---|-|---⌫|-----⌫---|-|-⌫-|
ilcroienten	-|------|-|
Ici lduisainzqu e	---⌫|--|----|--⌫|
D iextientenuertuz sont uenuz a	-⌫--|----|-|-----|---|----||
Nusnedemo raen	--|-|----⌫-|-|
laui lequi	-|--⌫-|--|
tantostnecoureus tenco ntreeulzet u ie nn enttuita	------|-|-------⌫|----⌫---|---|-|-⌫--⌫--⌫--|---||
grant esp loitca rilsauoi en t bie nque	----|---⌫---|--⌫|-|-----⌫--⌫|---⌫|--|
Diex f esoitpor	---|-⌫----|--|
eulsuert uzetmir acles	---|----⌫-|-|---⌫----|
Entrecezgenzi estuenuz unspre cieustr esors qui	----|--|---||--|----|--|---⌫----|--⌫----|--|
mout estoitg racieulzenuers	---|-----|-⌫-------|-----|
Die u Ce st	---⌫||-⌫-|
unesai ntedamois e llequiest	--|---⌫--|------⌫-⌫--|--|--|
Geneui eue en qui	------⌫--|-|--|
Dieuafaitenouele	---||----|-----|
Esperiznel a	------|-|-⌫|
mestreenoublicaril aia	-----|-|----|--|-||-|
fetdeluiso n	--|-|--|--⌫|
Ele estoitmo ut ioe n ne	--|-----|--⌫-|---⌫-⌫-|
daagemes ele esto i tsage	|---|--|--|----⌫-⌫|---|
El eestoitpetitede cors mes	--⌫|-----|-----|-|---|--|
ele estoitpar fa itedec u eren	--|-----|---⌫--⌫--|-|-⌫-⌫-|-|
D amed ieu	-⌫----⌫--|
Et porluifera	-|--|--|---|
Diexen core main tbiaumiracle	---|--⌫---|----⌫|---|------|
