quide cueri	--|-|---||
uoldrae ntendre	-----|-⌫------|
bie n porrao ir	---⌫|----|-⌫-|
e aprendre	|-------|
qu anquelenfei th ui en terre	--⌫----|--|---⌫|-⌫-|-|----|
nestpor l amordeuco nquerr e	|--|--||---|--|--⌫------⌫|
totpe rduquarala m ort	--|--⌫--|---||-|-⌫--|
itro ue nusautre confo rt	|---⌫-|--|----|-----⌫-|
selebiennonqu ila feit	-|-|---|--|-|-||---|
esachec hesconsentre seit	|----|-⌫------|-----⌫---|
qu ece queilfeiten sa	--⌫|-|--|-|---|-|-|
tr oueala fin senz p lusd aie	--⌫--||-|--|---|-⌫--||--|
uau trichece nelignages	---⌫|------|-|-------|
uosdiqu i l feit quesag es	--|-|-|-⌫|---|--|---⌫-|
q uien sauieespleit etant	-⌫-|-|-|--|-------⌫|---|
quen lafin deu	-|-|-|--|--|
meisa garantno	---||-----|||
p oetaueir	-⌫--|----|
se i ln afeit	-|-⌫|||---|
que ce quedex e chier	--|-|--|--||----|
e meimentledignefust	|------|-|----|---|
oudex f utmis quar	-|--|-⌫-|--|---|
silnefus t	|-|-|---⌫|
sanz fineri ont t uitdamp né	---|--|---⌫--|-⌫--|----⌫--|
cil quideue et d	--|--||--|-||
adansunt né	---|---|--|
cesonttuitcil quio resunt	-|---|---|--|--|-⌫-|---|
equifur entet qui	|--|---⌫--|-|--|
mesdexpar la	--|--|--|-|
qui detot sonpoei rnen eure	--|-|--|--|----⌫|--|---|
s ertettien t chiereime etaore	-⌫--|-|----⌫|----|---|-|---|
cequia sauuétot lemon de	-|--||-----|--|-|---⌫-|
debienp enser	-|---|-⌫----|
cuermo nde	---|--⌫--|
entendezca trestu ituersmei	-------|-|------⌫-|---|--|
orreizquoment et pa rqu ei	-----|------|-|--⌫|--⌫-|
l a seint ismecroizfuttrouee	-⌫|-----⌫---|----|--|-----|
merueille gr a nteesprouee	--------|--⌫-⌫-||-------|
iporreizaprend reet oir	|------|------⌫-|-|--|
apres sidexme	----|-|--|-|
decequeie plusaim etue il	-|-|--|-|---|--|-|--⌫-|
porreizoiroude rrenfeil	------|--|-|--⌫---|---|
essa uce ment lemiracle	----⌫---⌫---|-|------|
qui iaauint	--|-|----|
orfeite spe iz sim	-|-----⌫|--⌫-|-||
orell esmerendez	-----⌫-|-|-----|
ce nosla ueireestoire	-|--|-|----|------|
qu ana celtempoire	-|-||--|-------|
queli ami s de useintsiluestre	--|-|---⌫|--⌫|----|--------|
ert deromeapoistoiree	--|-|---|---------||
quecost ent insadonc re neit	--|----⌫---⌫--|----|--⌫---|
totle mondeteneit	--|-|----|-----|
en z ensameinla	--⌫|-|-|---|-|
se igno rie	--⌫----⌫--|
nens ereit	|-|-⌫----|
huiladesmeo ie	--|-|----|-⌫-|
nel enneuos porreitpasdire	-|-⌫-|-|--|------|--|---|
lado lor nemartire	-|--⌫--|-|------|
costenti ns	--------⌫-|
a ce usqui d amede	|--⌫-|--|-⌫----|
n e q uipar	-⌫|-⌫-|--|
tantostc omil	------|-⌫-|-|
esteittrouez	-----|-----|
q uealamortne	-⌫-||-|---|-|
fust liurez	---|-----|
igleser emese	-----|-⌫----|
qu ilneust	-|-||---|
fondueetr ese	-----|-|-⌫--|
tan t parhaeitcrestiente	---⌫|--|----|---------|
mesdexquientelorfent e	--|--|--|-|--|------⌫|
ne uole it pasles suenstenir	-|----⌫-|--|--|----|----|
se mpresafeitunmaluenir	--⌫----||---|-|--|----|
sigra ntsurlecors coste ntin	-|---⌫-|--|-|---|-----⌫---|
que deslechiefiusquen lafin	--|--|-|----|----|-|-|--|
esteitmesiaussi finement	-----|------|-|-------|
qu esece ste estoi re	--⌫|-|--⌫--|-----⌫-|
n us plus misausnepoei t estre	-⌫-|---|-----|-|----⌫|----|
elapostoire	||--------|
seints eluestre	----|-⌫-------|
qui conseilliernesesaueit	--|----------|-|-|-----|
depoor quil auei t	-|---|-|-|----⌫|
oles su enssen	|--|--⌫--||-|
esteitfoiz	-----|---|
iosteromeenunpleseiz	----|---|-|-|------|
quia u npaisant	--||-⌫|------|
queuosir eege	--|--|--⌫-|-|
eml empereor notqu i restre	-||-------||-|-|-⌫-----|
boenfisicienne boenmestre	---|-------|-|---|-----|
ne p o t lentrouerpr es ne long	-|-⌫-⌫|--|-----|--⌫-|-|---|
qui ne uenistacestbeso g	--|-|-----||---|----⌫|
qu ar ceste choseertmout	--⌫-|----|----|--|---|
meteient peine	-------|----|
es tquiue iruose n d ie	--⌫|--|--⌫-|--|-⌫|-⌫-|
engre iot sa maladie	-----⌫--|-|------|
n esaue it	-⌫|----⌫-|
mescon seil d e	--|---⌫---|-⌫|
eeuesquesde	|-------|-|
senuie nent	|-|---⌫---|
al empereor	||-------|
q u imo utertengrant effreor	-⌫-⌫|--⌫-|--|-|----|------|
de ceq u egarirnepo eit	-|-|-⌫-⌫|----|-|--⌫--|
sire font seil orend reit	---|---|-|-|-----⌫---|
auonentrenosconsei l pri s	---|----|--|------⌫|---⌫|
deu os garirce nosestuis	-|-⌫-|----|-|--|--|--|
seuoscree znos t reconseil	-|--|----⌫|---⌫-⌫-|------|
s eignorsfe ts	-⌫------|--⌫||
qu e telparolemaueiz di te	--⌫|--|-----||----|--⌫-|
si uil chose nesidespite	-|--|----|-|-|------|
neporreit estree nnul e	-|------|----|-⌫|---⌫|
quenef acepar tel	--|-|-⌫--|--|--|
que gecerte inementseusse	--|-|-----⌫------|-----|
queparc egarir enpeus se	--|--|-⌫|----|-|----⌫-|
oiezfont silla medecin e	---|---||-|-|-------⌫|
oucap ito i reestla peci ne	-|---⌫---⌫-⌫-|--|-|----⌫-|
qui de c ha ut sanciertto te pleine	--|-|-⌫--⌫-|---|---|--⌫-|-----|
ecest echo se	|----⌫|---⌫-|
estm outcerteine	--|-⌫--|-------|
tan tost comi sereizbagni ez	---⌫---|--||-----|-----⌫-|
e de sdous braz	|--⌫|---|---|
unpo isa gniez	-|--⌫|--⌫----|
qu autres isereizseins	-|------⌫|-----|----|
coma uior queuospri stli	--|-⌫|--|--|--|---⌫-|-|
q uantlempererelaoi	-⌫---||-------|||-|
ded enz soncuersen esi oi	---⌫--|--|---||-|---⌫-|
qui futliezde cestcouenant	--|--|---|-|---|-------|
ainzliontdit	---|-|--|--|
pargr antamor	--|--⌫--|---|
e mperere p arladolcor	-⌫------|-⌫-|-|-----|
des e nfenzfete	--|-⌫----|---|
un eparoletiert retr ete	--⌫|-----||---|----⌫--|
quedeusnostre sire temande	--|---|-----|---|-|----|
i lleueltet	-⌫|-|---|-|
si leconmande	-|-|-------|
quetu decestee nfermete	--|-|-|----|-⌫-------|
soiesbriementpar l uigité	----|-------|--|-⌫-|----|
peisseau enir	-----|--⌫---|
fei un sue nhomeateiuenir	--|-|---⌫|---||--|----|
quelen parnon	--|--|--|--|
cl eimeseluestre	--⌫---|--------|
ecilt e nseigneratotlestre	|--||-⌫--------|--||----|
com tuuendrasagarison	--|-|------||------|
presestdi cice	---|--||-⌫-|-|
i oste rome estenun	-⌫---|---|--|-|-|
tapizchies unprodome	----|----|-|------|
quid eementnostreseigno r	--|-⌫|----|-----|------⌫|
d e mo renifetgreignor	-⌫-⌫--⌫-|||--|-------|
liap ostremeis	-|--⌫----|---|
en trenant	--⌫------|
sesuanoirentmentenant	|----------|--------|
quantlempereresesue illa	----||-------||----⌫---|
poezsaueir grantmerueil le a	---|-----|----|-------⌫-||
decequ au eueo i	-|-|-||-⌫-||-⌫|
nonporquant moltsen	----------|---||-|
quarmolt parag rantuolente	---|---|--||-⌫---|------|
ensa san te	-|-|---⌫-|
licheualierm eintenant mo uent	-|--------|-⌫--------|--⌫---|
all uisontuenue t sitrouent	-|-⌫-|---|---|-⌫|-|------|
seint souestre entreses	----|-------|----|--|
agen oiz s ier tli	|---⌫--||---⌫|-|
bonshom mis	---|--|--|
quarn uleored ore isonfere	---|-⌫--|--||---⌫---|---|
n e se sauoitteni rnetere	-⌫|-|-----|----⌫|-|---|
cil quiuen u sont	--|--|---⌫|---|
qualtorendreitsein z	-|--|--------|----⌫|
co ntred it	--⌫-----⌫-|
s i len ont eue ffreor	|-⌫|-|--|-|-⌫-----|
nefe tmiea esmeruei llier	-|--⌫|--||--------⌫----|
seigno rfe tsilaparei ll ier	------⌫|--⌫||-|------⌫--⌫--|
nosd eu o nstuit a cest martire	--|-⌫--⌫-⌫-|---||---|------|
cestio r de s nos tres ire	---|--⌫|--⌫|---⌫--|-⌫--|
legrantguer redon nos ueltrendre	-|----|----⌫----|--|---|-----|
al onnosenseinzplusatendre	--⌫-|--|-|----|---|------|
siliuron noscorsa martire	-|-----|--|---||------|
quiporno s otsigrant e nn ui	--|--|--⌫|-|-|----|-⌫--⌫-|
licheualierlesontmenez	-|--------|--|--|----|
laplus droite uoi equ ilsorent	-|---|-----|---⌫|-|-|-----|
etalancoisquilonq uesporent	-|||-----|-|-|---⌫--|-----|
a lorseigno r s ontreuenuz	|--|------⌫|-⌫--|------|
lemperere nesest tenuz	|-------|-||--|----|
qu e tantost com	--⌫|------|--|
c ia ls quiuenentaconeu	-⌫--⌫-|--|-----||----|
lique lsdels est eit	-|---⌫-||--|---⌫--|
ce porque iillaueitmandé	-|--|---⌫|-||----|-----|
so ues tre a	--⌫---⌫--||
que porlede	--|--|-|-|
cese nef ie	-|--⌫---⌫-|
queilaueitu eula n uit	--|-|----|-⌫-|-|-⌫--|
mesporc equine uosennuit	--|--|-⌫|-||-|--|-----|
de reco rdertante parol e	-|----⌫---|----|-----⌫|
lauisionquinest pasfol e	-|-----|--||--|--|---⌫|
li adi t edechief ench ief	-||--⌫-⌫|-|----|-|--⌫--|
empe rereneuos seit grief	----⌫---|-|--|---|----|
feit liseinzhuemquarsede pl est	---|-|----|---|---|-|-|--⌫--|
dequitozbiensabonde etnest	-|--|--|----|-----|-|---|
la ueritesaureiziato t e	-|-----|------|-|--⌫-⌫|
decedome stes	-|-|--|-⌫---|
em pererelidui prodome	--⌫-----|-|--|------|
qu iuersuosuindrenten	--⌫|---|--|-------|-|
uostre some	-----|---|
cesont apostre ihesucrist	-|---|------|----|----|
quedeus lessa enterreetmist	--|---|----|-|----|-|---|
poressauciercrestiente	--|--------|---------|
quipa ruosa t oz i orz	--|--⌫|--||-⌫-|-⌫--|
destruit e etmo rte	--------⌫|-|--⌫--|
etconfondue	-|--------|
tan tebele iglise fondue	---⌫-|---|-----|-----|
tant crestien s	---|--------⌫|
morz adolor	---||----|
mesneporquan t	--|---------⌫|
quedespetizen fan zfe istes	--|--|----|--⌫---⌫|--⌫----|
qu ant ledueldes meresueistes	--⌫--|-|---|--|----|------|
