#META#TextU RI	-----|-----⌫-|
Alex i sOctP	----⌫-⌫----|
#META#DEAFh ttp//ww w. deaf-page.de/fr/bibl/ bib99a.php#Alex isOctP	-----|---|-⌫-------⌫--⌫---------------------⌫---------------⌫-----|
#ME TA#TLSAle x .R	---⌫--|-|----⌫-⌫||
#M ETA # FEW	--⌫---⌫|--|
#META#ARLIMA	-----|-----|
ht t ps//www.arlima .net/no/ 114	--⌫-⌫--------------⌫--------⌫--|
#META#Author	-----|-----|
#META # AuthorBorn	-----⌫|---------|
#META #Aut horBornAmb	-----⌫|---⌫---------|
#META#Au tho rDied	-----|--⌫---⌫----|
#META# AuthorDiedAmb	-----|------------|
# META#A utho rFl1	-⌫----|-⌫----⌫---|
#META#A uthorFl2	-----|-⌫-------|
#META# Text Title La u iedesaint	-----|----⌫----|-|-⌫-|-|----|
Alexi en uersoctosyllabiques	----|-|---|--------------|
#META#TextSubt itle	-----|--------⌫---|
#META#Textuols 1	-----|-------||
#META#Tex tSubi hag iogr aphy	-----|---⌫----|---⌫----⌫---|
#META # TextDom	-----⌫|------|
# M E TA#Transl ation	-⌫-⌫-⌫--|------⌫----|
#ME TA# Colle ction	---⌫--|-----⌫----|
#MET A# Collectio nNo	----⌫-|---------⌫--|
#META#TextDescAR Luersoctosyllabi quesàrimes	-----|----------⌫|---|-----------⌫---|-|----|
#META#Te xtDesc uers8	-----|--⌫------⌫---||
#META# Te xtDate ARLdéb utd uXI IIe siècle	-----|--⌫------⌫--|----⌫-|-⌫|--⌫--|------|
#META# TextDateAdi	-----|----------|
#META# TextDateM in	-----|---------⌫-|
#META#TextDateMax	-----|----------|
# M ETA#EdEditor Par isGaston	-⌫-⌫---|-------|---⌫-|-----|
#META# EdPl ace	-----|----⌫--|
# META#EdPubli sher	-⌫----|-------⌫---|
#META#Eduol 83 0	-----|----|--⌫|
#META# EdYear1879	-----|-----|---|
#M ETA#EdPage s163-180	--⌫---|------⌫|------|
#ME TA#MsBase BnF	---⌫--|-----|--|
#META#M sOt her	-----|-⌫---⌫--|
#META#MsNum1	-----|----||
#META#M sDateA R L	-----|-⌫------⌫-⌫|
#META #MsDate Adi	-----⌫|------⌫--|
#M ET A#Form u	--⌫--⌫-|---||
#META #Completet rue	-----⌫|-------|-⌫--|
#META#NoWords54 61	-----|------|--⌫-|
#META#NoLines964	-----|------|--|
#META#Di alAuth	-----|--⌫-----|
#META# Di alSc ribe	-----|--⌫----⌫---|
#META#Scan URLhttp//www. persee.fr/doc/r oma_0035-8029_1879 _num _8_30 _6463	-----|----⌫--|----------⌫---------------⌫------------------⌫----⌫-----⌫----|
#MET A#ScanURIOther	----⌫-|-----------|
# META #ArkID	-⌫----⌫|----|
#META#LccnID	-----|-----|
#ME TA#OclcID	---⌫--|-----|
#META#WebAutho r DauidIoseph W risley	-----|--------⌫|----|-----|-⌫-----|
#META#O RCIDWebAutho rorc id. org/0 000-0002 -0355-1487	-----|-⌫------------⌫|---⌫---⌫-----⌫--------⌫---------|
#MET A#WebReuiewer	----⌫-|----------|
#MET A#OR CID Reui ewer	----⌫-|--⌫---⌫----⌫---|
#META#MiscI nfo	-----|-----⌫--|
#M ETA #CCLicense CCBY -NC-S A4.0Interna tional	--⌫---⌫|--------|-|--⌫-----⌫|--|-------⌫-----|
Pageu01P169	----------|
§Icico mm ence le prologueen	---|--⌫--⌫---|-|-------|-|
l auiesaintAlex i.	-⌫|--|----|----⌫-|
Bonepa r roleb oe nleut ient	---|--⌫-⌫---|-⌫--⌫|--|-⌫---|
Etci l qui lotetla retien t	-|--⌫|--||-|-|-|------⌫|
Et met aourefetque	-|--||---|--|--|
E t cilnefet pass ondemage	-⌫|--|-|--|--|-⌫-|-----|
enceis f etso npr eu	-----|-⌫-|--⌫|--⌫-|
uersDeuquientens etenl eu	---|--|--|-|---|-|-|-⌫-|
Limer ira genendo utrien	-|---⌫--|-||-|--⌫-|---|
Kar ilguer redonetotbien.	--|-|----⌫-----|--|----|
Por c emespristalantd edire	--|-⌫||-|---|-----|-⌫|---|
Unc ontede bone matire	-|-⌫---|-|---|-----|
Porcrestiensedifie r	--|--------|------⌫|
mestme stier	|--|--⌫----|
Q ueboneparolemetien ge	-⌫-|---|-----|-|----⌫-|
Boenleuuers Deuquime	---|--|---|--|--|-|
mei ntienge	---⌫------|
seruiseet telmeface	------|-|--|-|---|
Que ie leueief ace aface	--|-|-|---|-⌫--||---|
§Or commen celauie saintA lexi.	--|------⌫-|-|--|----|-⌫----|
F olio 30b	-⌫----⌫--|
I adisauint ceditlestoiere	-⌫---|----|-|--||-------|
Queduifrère Arch a deetH onoire	--|--|-----|----⌫-⌫-|-|-⌫-----|
Furentemperére deRome	-----|--------|-|---|
Ensembleenlortens	-------|-|--|---|
outu n home	--|-⌫|---|
Enlacitéboenc restien	-|-|----|---|-⌫------|
KiaueitnonE ufemien	-|----|--|-⌫------|
Pageu01P17 0	----------⌫|
Ri ch eshomert	--⌫--⌫-|--|--|
d e g rant noblec e	-⌫|-⌫---|------⌫|
poerd e granthautece	---|-⌫|----|------|
plushautpor u er ité	---|---|--|-⌫--⌫---|
Delac ortetde	-|-|-⌫--|-|-|
Mespo rce ne	--|--⌫|-|-|
lessotil mie	-----|-|--|
fustde boneu ie	---|-|---|-⌫-|
ameit Deu ets ai nte iglise	----|--|-|-⌫--⌫--|-----|
Et quanquapent asonseruise.	-|-----|----||--|-------|
I l erthome	-⌫|--|---|
deboen af ere	-|---|--⌫--|
cre ableet d ebenere	---⌫---|-|-⌫------|
E ta umoniers	-⌫|-⌫-------|
et ch a ritables	-|--⌫-⌫-------|
Treisf eizl e iorerentles	----|-⌫--|-⌫|--|----|--|
Aparreléesrichement	----------|--------|
Enson ost elapouregent	-|--|---⌫-||----|---|
Ausuu euesetausorfelin s	--|--⌫---|-|--|-------⌫|
Austr espassanzaus pelerins	--|--⌫--------|--|-------|
qu ime s ti er	--⌫|--⌫-⌫--⌫-|
enauei ent	-|----⌫--|
Deulerequerei ent.	--|-|--------⌫---|
Etq uant c e rt quemengieruoleit	-|-⌫---||-⌫-|--|------|-----|
Anonesicomme ilsoleit	|---|-|----|-|-----|
Menioutmèsson mengier nertpas	------|---|--|------||--|--|
Farsidechu f les ne	----|-|---⌫-⌫--|-|
Debo rdes n edel echeries	-|--⌫---|-⌫|-|-⌫-------|
Deguer seiz nede	-|----⌫---|-|-|
gl outonnies	--⌫--------|
Eins au e it	---|--⌫-⌫-|
conpai gnie	------⌫---|
Pro desom esde s ainteuie	---⌫-----⌫-|-|-⌫----|--|
