doit fabl esauoir	---|----⌫-|----|
puetdeue nir uoir	---|----⌫--|---|
dont sa i ge	---|--⌫|-|
bienqu e il mauint	---|--⌫|-||----|
q uens oni ant unsonge meuint	-⌫|-|-⌫---⌫--|-|----|-|---|
pelerinsseroie	-------|-----|
iem atornai e t	-||------|-⌫|
prismauoie	---|-|---|
tout droit	---|----|
uerslacitedenfer	---|-|---||----|
er raita ntquaresme et yu er	--⌫--|--⌫-|-------|-|--⌫-|
qua dro ite eureifui uenus	-||---⌫--|---||--|----|
c eus que g	-⌫--|--||
neuousfera ic i nul	-|---|----⌫|-⌫|--|
deuan tqueiaierenducont e	-----⌫---||--|----|----⌫|
auintenla uoie	----|-|-|---|
ple sa ntche mi netbele	---⌫--⌫-|---⌫--⌫|-|---|
true uent cilqui enferuont querre	----⌫---|--|--|----|---|-----|
quant ie mepartidemater re	----|-|-|----|-|-|---⌫-|
porceq uelico ntesna nuit	--|-|-⌫-|-|--⌫---||-⌫---|
enuinglapremierenuit	-|---|-|-------|---|
a c onuoitiselac ite	|-⌫--------|-|-⌫--|
en te rrede	-|--⌫--|-|
deslea ute	------⌫--|
est la citeq ueie u osdi	--|-|---|-⌫-|-|-⌫-|-|
parunmercredi	--|-|-------|
herbergai chiesenuie	--------|----|----|
plesant o steletbele uie	------|-⌫---|-|---|--|
eumes etsac hiez	----|-|---⌫---|
s ansg uile	-⌫--|-⌫---|
ladamede l au i le	-|---|-|-⌫|-⌫-⌫-|
en uiebi en	--⌫--|--⌫-|
meherberi a	-|-------⌫|
ostel auoecnousma nia	----|----|---|--⌫--|
tricherielasue rr apine	--------|-|---⌫|-⌫----|
etauariscesa	-|-------|-|
uintauoeclisicom mo isamble	---|----|-|-|--|--⌫|-----|
por moiueoirtoute sensamble	--|--|----|-----⌫|-------|
etuindrentetgrantioie firent	-|-------|-|----|---|-----|
de cequen lorpaismeuirent	-|-|-|-|--|---|-|-----|
et tantost sanzcontremander	-|------|---|-----------|
uintauarisc e	---|-------⌫|
queie n oueles lideiss e	--|-|-⌫-----|-|-----⌫|
de sauerse tli apreisse	--⌫|----|-⌫|-|-------|
l orfezetlorcon tenemen z	-⌫-|--|-|--|---⌫-------⌫|
ch ascunsdesesparenz	--⌫-----|-|--|-----|
sed emainema demandé	-|-⌫-----|||-------|
eti eli ai tant ostconté	-|-⌫|-|-|----⌫--|-----|
zzconteq ueletintabuen	-|----|-⌫|--|---||---|
contaiqueli suen	-----|--|-|---|
a uoientdupaischac i é	-⌫-----|-|---|----⌫-⌫-|
l arguece et tant sest porchacié	-⌫------|-|---||--|---------|
que larguece n auoit	--|-------||----|
torne rec etnene s auoit	--|-|---⌫-|-|-|-⌫----|
quele partele p uetdurer	----|---|--|-⌫--|----|
ne lepo tmes	-|-|--⌫|--|
plusendurer	---|------|
largu e c e a in z	-----⌫-⌫-⌫|-⌫--⌫|
est si mal enpoi nt	--|-|--|-|---⌫-|
que chie sles richesnena	--|----⌫|--|-----||-||
ce li contaigr antioie en	-|-|-----|--⌫--|---|-|
et tricheriea z z	-|--------||-⌫|
mer ede mandaerraument	-|-⌫---⌫----|--------|
queie lid eissecomment	--|-|-|-⌫----|------|
l itricheor se	-⌫|-------|-|
ma intenoient	--⌫---------|
lisetenoient	-|-|-------|
se le uoirl isauoie es pondre	-|-|---|-⌫|-----|--⌫-----|
etiequi tostliu oi l resp ondre	-|-|--|---|-|-⌫--⌫|----⌫----|
li disde sonuoloir zzpou	-|--|-|--|-----|-|--|
que tr icherie estenpoitou	--|--⌫------|--|-|-----|
iusticedameetuiscont esse	------|---|-|-------⌫---|
et aporprendre sa promesse	-||--|------|-|-------|
si comn ous dison	-|--|-⌫--|----|
formé chastel detrahison	-----|------|-|-------|
tropha u tle	---|--⌫-⌫|-|
plusdiuersdu monde	---|-----|-|----|
don tpoitousietal aroond e	---⌫|-----|---||-⌫|-----⌫|
toze ncloset cainspargr ant force	--|-⌫----|-|----|--|--⌫--|----|
t riche riequ isenefforce	-⌫-----⌫--|--⌫||-|------|
l asigarnidefaussete	||-|----|-|-------|
quenaus nafoi	-|-|--|||--|
n e leaut e	-⌫|-----⌫|
cerespondiie atricherie	-|-------|-||--------|
mesqui q u e tieg n eauilonie	--|--|-⌫-⌫|----⌫-⌫||------|
i edist ou tuoirn end o utezrien	-⌫|--|-⌫--⌫|---||-|-⌫-⌫---|---|
cardes p oiteuins	--|--|-⌫-------|
sai ie bien	--|-|---|
ce us qui connoi ssent	--⌫-|--|------⌫----|
lorcou uine	--|---⌫---|
q uede lorroiaumeest r oine	-⌫-|-|--|------|--|-⌫---|
tricheriesicommoi sam ble	--------|-|--|--|---⌫--|
elsetlitresto ut ensamble	--|-|-|------⌫-|-------|
sontde c on seila par leme nt	---|-|-⌫--⌫---||---⌫----⌫-|
ado nc senristmoltduremen t	---⌫-||-|---|---|-------⌫|
tricherieet	--------|-|
grant ioieenfist	----|---|-|---|
et puistout	-|---|---|
enri antmedist	-|--⌫--|-|---|
iai tozlespoiteuinsnorri z	|-|--|--|--------|-----⌫|
seils acordent	-|-||-------|
biau s ami sn	----⌫|---⌫||
est mie merueille	--|--|--------|
ata ntdepartinostreueille	---⌫-|------|-----|-----|
chascuns asono st el ala	-------||--|-⌫--⌫-|--|
etiequi toz seu s remez la	-|-|--|--|---⌫|----|-|
auoecmo stesseiusquauior	----||-⌫-----|----|-|--|
etl endemainsa nz nul seior	-||-------|--⌫-|--|----|
leuaimatin etpr is congie	----|----|-|--⌫-|-----|
au chemi ncom gie	-|-----⌫|--|--|
estoie fez le iord euant	-----|--|-|--|-⌫----|
citelaauant	---|-|----|
tornai asene strepartie	-----||----⌫---|-----|
tantqueieuing a fo imentie	---|--|-|---||--⌫|-----|
lacorte la mal	-|----|-|--|
c ompassee	-⌫-------|
trespas se e	-------⌫--⌫|
nia qu un petitet deuoie	|||-|-|------|-|---|
de cequedire	-|-|--|---|
uou sdeuoie	---⌫|-----|
elp remierchief nonpasencoste	-|-⌫-----|----|--|--|------|
tr ou uaitolirzzdi uersoste	--⌫--⌫--|----|-|--⌫---|---|
dementirotle	-|-----|-|-|
ma i stir e	--⌫-⌫----⌫|
def oi mentieestm es t re	-|-⌫-|-----|--|-⌫--⌫-⌫-|
c ortoisestoi t	-⌫-----|-----⌫|
e tdeb onere	-⌫|---⌫----|
durementmeplot sonafere	-------|-|---|--|----|
o luime retint au disn er	|--|-|-----|-|----⌫-|
longuesdemorer	------|------|
moienquerre	--|-------|
commenttol irsenceste terre	------|---⌫--|-|----|----|
u nssiens f illeus semaintenoit	-⌫-|----|-⌫-----|-|---------|
