adam sirefourméteai	---|---|------|-|-|
debenl esai	-|--|-⌫|--|
fourme ́am unsembl ant	------⌫||-⌫-|-----⌫--|
amaimagene taife itdeterre	|-|------||-|--⌫-|-|----|
ne moideuezia mais m o uerguere	-|--|----|-|---|-⌫-⌫--|----|
nen frai gemais	--|---|-|---|
tecr er rai	-|--⌫--⌫--|
muncreaturoberai	--|------|-----|
ietaidun é bo n	-||-|---⌫-|--⌫|
cu mpainun	--⌫------|
ta femme euaanou n	-|----|--||---⌫|
cees t tafemmeetunpareil	-|--⌫|-|----||--|-----|
deuez estre ben	----|----|--|
tuaime luieeleame tei	-|---|--||--|--|--|
siserezb e n	-|----|-⌫-⌫|
ambeduidemoi	------|-|--|
elesoitatuncomandement	--|---||--|----------|
e uus a mbedeu s	|--|-⌫------⌫|
a mun tal ent	|--|---⌫--|
detaco stelai fou rmee	-|-|--⌫--||-|---⌫---|
nestpase stran gede teies t nee	|--|--|-⌫-----⌫-|-|--|--⌫|--|
iolaplasmaid etoncors	-|-|------|-⌫|--|---|
detei eiss it nonpasde fors	-|--|----⌫-|--|--|-|---|
tu lag ouern eparraison	-|-|-⌫-----⌫|--|-----|
nait entreuusi atenc on	|--|----|--|-⌫|----⌫-|
m aisgr antamorgr ant conseruage	-⌫--|--⌫--|---|--⌫--|---------|
telsoit laleide	--|---|-|--|-|
a teiparleraieuain	|--|-------|----|
co gar de tu n eltenezen ua in	-|---⌫-|-|-⌫||----|-|--⌫-|
si uosfa ire	-|--|--⌫--|
e nt onco rsgarderasbonte	-⌫|-⌫-|--⌫-|-------|----|
a im eth onortoncreat or	-⌫-|-|-⌫---|--|-----⌫-|
em o i re conui s	|-⌫-⌫|--⌫-----⌫|
amoiseruir mettonporpens	|--|-----|--|--|------|
tut ta for ce et ot t un	--|-|---⌫-||-⌫-|-⌫-|
adamaime et luitiench ier	---|---|-|--|---|--⌫--|
ilest marid	-|--|----|
etusamullier	|-|-|------|
alui soiest ot	|--|----|-⌫-|
tensencline	---|------|
ne nissirdesa	--⌫|----|-|-|
disc ipline	----⌫-----|
l ui serfeaimparbon coraie	-⌫-|---||--|--|--|-----|
carco e st droizde ma ri ag e	--|-|-⌫-|----|-|--⌫--⌫--⌫|
f ais bon adiu toire	-⌫--|--|----⌫----|
io temettraiod l ui en gloire	-|-|------|-|-⌫-|-|-----|
s ir ea tonplaisir	-⌫--⌫||--|------|
uoldrai de	------|-|
rien issir	---|----|
toi conustraias eignor	--|--------||-⌫-----|
lui aparailleetaf orzor	--||-------|-||-⌫----|
io luiserra itot	-|--|-----⌫|--|
de m oiaurabonconsei l	-|-⌫-|---|--|------⌫|
l e to npleisirlet onseruise	-⌫|--⌫|------|-|-⌫-|------|
f raisire en	-⌫--|---|-|
t o teguise	-⌫-⌫-|----|
escoteada mee ntent marai son	-----|---⌫||-⌫----|-|---⌫--|
io ta iformé ortedorraiitel	-||-⌫|-----|-|-|-----|---|
tottenspoezuiure situtiensmon	--|---|---|----|-|-|----|--|
e serrassain snensentirasfric z ion	|-----|----⌫|--|-------|----⌫-⌫--|
ian auras faimp o r bosoingnebeueras	-||----|---|-⌫-⌫|------|-|------|
ianauerasf raitia	-||-----|-⌫---|-|
chaltnesentiras	----|-|-------|
en ioiei ane tela ssaras	-|---|-⌫|-|-|--⌫-----|
eendeduitiadolor ne sau ras	|-|-----|-|----|-|---⌫--|
tute t auie	---|-⌫|--|
demene rase nioie	------⌫--|-⌫|---|
tutiorsserra n en	--|---|----|-⌫-|
estr atpasxxx	----⌫-|--|--|
lententd oncs afo l oie	|-----|-⌫--||---⌫-⌫--|
detoteterr e auezlaseignor ie	-|---|----⌫|---|-|-------⌫-|
dois els desbest esedaltremanant ie	|---⌫--|--|----⌫-|||----|------⌫-|
apet ituussoit qui	|---⌫-|--|---|--|
uuspor teenuie	--|---⌫-|----|
cartotli monduu s	--|--|-|---|--⌫|
ie r tenxxx	--⌫-⌫|-|--|
enuostrecors uusmetebien	-|-----|---|--|--||---|
kiadteldun	-|-|--|--|
n est pas liez apal	|--|--|---||--|
tut enbalance orepen d iez par	--|-|------|--|---⌫-⌫--|--|
