la u ctoritenosdituneraisonpor uoir	|-⌫-⌫------|--|--|--|-----|--|---|
keelconmenchementde senset desauoir	-|-|------------|-|---|-|-|-----|
c onuient ila	-⌫------|-||
chascumsparfim droitestouuoir	-------|--|--|----|--------|
am orde dieuet dou tededenzson c uerauoir	--⌫-|-|---|-|---⌫-|-----|--|-⌫--|----|
ke r o nditquelonmeainmeque	--⌫|-⌫|--|--||---|----|--|
ille d ou teetcrient	-|-|-⌫--⌫-|-|-----|
est doutem esde	--|----|-⌫-|-|
ch en mes ouuient	--⌫-|-|-⌫------|
quedo u te	--|--⌫-⌫-|
s a n z amor amo ntdege ntr euient	-⌫-⌫-⌫|---||--⌫-|-|--⌫-|-⌫-----|
etseruiret do ut ermalgreeuzlorconuient	-|-----|-|--⌫--⌫-|-----|--|--|-------|
meslarai son	--|-|---⌫--|
diuinenosmostre	-----|--|-----|
cesteaffaire	----|------|
q u ilnosconu ientadieu deuz	-⌫|-|--|----⌫---||---|---|
se ru isesfa ire	--⌫--⌫---|--⌫--|
e t do uteriche est pormielx de sfaire	-⌫|--⌫---|---|--|--|----|--⌫-----|
lesgranzmalxdont	--|----|---|---|
la charnossemont amalfaire	-|---|--|-----||--|----|
dunechose faitdexanostouz grant	|--|----|---|--||--|---|----|
ka peinnen os	||-----|-⌫-|
souuientdel uinedes	-------|-|-⌫-|-|-||
enfe rn a uoit	----⌫||-⌫---|
t antmal ne tantdo u lor	-⌫--|--|-|---|--⌫-⌫--|
ianese retrai roit nus honsdesa	-|-|-|------⌫---|--|---|-|-|
dontnesauuechilforssolem entpor doute	---|-|----|---|---|-----⌫--|--|----|
quilcrient des	-|-|-----|--|
ennemisla semble	------||-⌫-----|
et laroute	-|-|----|
mes s a conoissanche est sien deu zme itiez	--|-⌫|-----------|--|-|-|---⌫|--⌫----|
quilneuoitquedum oil	-|-|-|---|--||-|--|
et enlaut rea la goute	-|-||---⌫-||-|----|
m ort estchilquilne	-⌫--|--|---|---|-|
uoitforsque	---|------|
quipo rfuire nferfaitas ame	--|--⌫|---|-⌫---|---|||--|
nosq uilporlamoist ie	--|-⌫--|--||------⌫-|
agrantse ignor desch euz	|----|--⌫----|--|--⌫--|
lefait sillasauore pl us douchementquem il z	-|---|--|-|-----|--⌫-|---------|--|-⌫--⌫|
ker daml e dexnosditgel	--|----⌫-⌫--|--|--|-||
sai wer aiement	--|---⌫------|
quemtro ismanieresfontlesg enzlor	-|-|---⌫-|-------|---|--|-⌫--|--|
s a uuement	-⌫-⌫------|
lorsau oreass ezplusdou chemen t	--|---⌫--|---⌫-|---|---⌫------⌫|
k ele s deuzne f e roientensembleomniement	-⌫|--⌫|---|-|-⌫-⌫-----|-------|--------|
lesunesgens se sauuentpor	--|---|---|-|------|--|
re dotdela painne	--⌫--|-|-|-----|
quil denfer	---||----|
naistetsort	----|-|---|
siorde et si willainme	-|---|-|-|--------|
ke cilqu illa sembatet	-|--|--⌫-|-||----|-|
qu ionla lemainnne	--⌫|-|-|-|------|
se n tt ouziorlesdoulo rs etmaleuie	--⌫-⌫|-⌫-----|--|-----⌫-|-|---|--|
l i autres	-⌫|-----|
pri en t tantetenfa izeten d i s	---⌫--⌫|---|-|-|--⌫-|-|-|-⌫-⌫|
porestreenlagrantioiequi e st em paradis	--|----|-|-|----|---|--|-⌫-|-|------|
qui es laissentafairele smalsetlesmortex	-||--⌫-------||----|--⌫|---|-|--|-----|
pora uo irl adesore et	--|-⌫--⌫-|-⌫|-----|-|
lag l oire	-|-⌫-⌫---|
etlors l is	-|---|-⌫-|
liti er sontmontplus	-|--⌫--⌫|--|---|---|
droits enset de	----|-⌫--|-|-|
montm eillor	---|-⌫-----|
k e rtant ainme ntetd outent lordroit seig nordegloire	-⌫-⌫|---|-----⌫-|-|-⌫-----|--|----|----⌫--|-|-----|
keporsagrantdouchoret	-|--|-|----|------|-|
parsagrantuictore	--|-|----|------|
fuient ypocrisieettout ewainn eglore	-----|--------|-|----⌫|-----⌫|----|
chilaimmen te tcilcri ementihesuqu e geuos	---|------⌫|-⌫|--|---⌫----|----|--⌫|-|--|
e tcroientquil rechu t en	-⌫|------|-|-|-----⌫|-|
fameforme d	---|----||
etsostintdela mort	-|------|-|-|---|
sigrie f faisettel s omme	-|----⌫|---|-|--|-⌫---|
c o mq uespuisennemine potdormir f erm sonme	|-⌫--⌫--|---|-----|-|--|-----|-⌫--|----|
chesteamorche stedout eet chestegranzpitie z	-----|---|---⌫--|----⌫|-|-----|----|-----⌫|
fetqu ion tlespechiezet l es	--|-||--⌫|--|------|-|-⌫-|
mauz despeciez	---|--------|
keri l paraimm e	--|-⌫|-------⌫|
dieu desi gr anzamistiez	---|-|-|--⌫--|-------|
quelirecor sde luilorsa u oredentiez	--|-|-----⌫|-|--|--|--⌫-⌫--|------|
pritcascunsquilsoitacesgensfr eree t	---|------|-|-|---||--|---|--⌫--|-⌫|
kertouzlesaimmede x	--|---|--|----|--⌫|
enti erementde cuer	----⌫------|-|---|
e t sont detelm eriteetmis asihau t	-⌫|---|-|--|-⌫----|-|--||-|---⌫|
quela onlesre tie nt	--|-|-|--|--⌫---⌫-|
gete o lesa utrepuer	---||--|-⌫---|---|
chensidoit ca scu nsdieu	---|-|---|--⌫---⌫-|---|
amer etcrem ir	---|-|----⌫-|
ker i lpu etde	--|-⌫|--⌫-|-|
touzmausoster	---|---|----|
et escremir	-|-------|
nenc ontreson commant nedoitnusho ms	|---⌫----|--|------|-|---|--|--⌫-|
kerplusestdoux	--|---|--|---|
etpiusconieplus miremir	-|---|--|-|---|||----|
tro issauue mensai	---⌫-|-----⌫---|-|
etpuisque d e	-|------|-⌫|
tr ouuermeu ienttens etsaisons	--⌫----|-|-⌫---|---|-|------|
toutesma pa role ie rte t	-----|-|--⌫---|--⌫-|-⌫|
tou te maraisons	---⌫-|-|------|
de direa uctoritesetmozpleinsdesarmo ns	-|---|-⌫--------|-|--|-----|-|-----⌫-|
troplo nguementme	---|--⌫-------|-|
sui et d e ceus etfains	--|-|-⌫-⌫---|-|----|
kerde gr ant	--|-|--⌫--|
bient rouuerne me prendoit	---|-⌫-----|-|-|-------|
nu l fains	--⌫|----|
orsuimoitieenfers	-|--|-----|-----|
etl autre moitie sain s	-||----|-----|----⌫|
siwoil dire dedieu de sa mere	-|---|---|-|---|-|-|---|
e tdessains	-⌫|--|----|
lapremie r e raisons po r quoiiewoil	-|------⌫-⌫|------|--⌫|---|-|---|
chest porme rchiprierdamle d ieu etrouuer	-|--|--|--⌫---|----|-----⌫-⌫--|-|-----|
quilnesouffre	-|-|-|------|
en moncorstantdepechiecouue r	-|--|---|---|-|-----|-----⌫|
keonl epuist a	-|-|-⌫|----||
mame enlafim deman der	|--|-|-|--|-----⌫--|
l autre r aison	|----|-⌫----|
si est p or rec euoirsante	-|--|-⌫-|---⌫----|----|
decorsquil	-|---|---|
ma in t efoizma por luiencha nté	--⌫--⌫-⌫|---|||--|--|-----⌫---|
mesiemai orde	--|-||-|-|-|
tantaatiet want é	---|---|-|----⌫-|
kedeschanter li	-|---------|-|
woilch enque liai chanté	---|--⌫-|--|-|-|------|
iel i a i trop	-|-⌫|-⌫|---|
cha ntésilideschant erai	---⌫---|-|-|--------⌫---|
en chantéiele	--⌫------|-|-|
renchante ra i	---------⌫--⌫|
et por despitdeluimew antetwanterai	-|--|-----|-|--|-|-⌫--|-|-------|
k emes sauo lenteuole nti er sneferai	-⌫|--|-|--⌫----|----⌫---⌫--⌫|-|----|
