#ME TA#TextURIErecF	---⌫--|------|----|
#META#DE AFh t tp//www.deaf-page.d e/ fr/bib l/b ib99e. php#ErecF	-----|--⌫-|-⌫-⌫-------------------⌫--⌫------⌫---⌫------⌫--------|
#META#TLErec	-----|-|---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttps//www.a r li ma.net/ad/chretien_de_ tr o yes.html#ere	-----|-----|------------⌫-⌫--⌫----------------------⌫--⌫-⌫-----------|
#META# AuthorChrétiende Tr oye s	-----|-----|--------|-|--⌫---⌫|
# META#Author B or n1 130	-⌫----|------⌫-⌫--⌫|-⌫--|
#META#AuthorB ornAmbc	-----|-------⌫-----||
#META# AuthorDied 1180	-----|---------|---|
#META #Auth orDie dA mba	-----⌫|----⌫-----⌫--⌫-||
#META#AuthorFl1	-----|--------|
# META # AuthorFl2	-⌫----⌫|--------|
# META#TextTitle Ericet	-⌫----|--------|---|-|
#META# TextSubtitl e	-----|-----------⌫|
#ME TA#Textuols	---⌫--|-------|
#META# Text S ubi	-----|----⌫-⌫--|
#META #TextDoml it	-----⌫|------|-⌫-|
# META#Translation	-⌫----|----------|
#META#C ollection	-----|-⌫--------|
#M ETA#CollectionNo	--⌫---|-----------|
#META#Text DescARLuersoctosyllabiquesa ̀rim es	-----|----⌫------|---|--------------|-⌫|---⌫-|
#META#TextDescuers 8	-----|-----------||
#META# Tex tDa teARL117 0	-----|---⌫---⌫----|---⌫|
#META# TextDateAdi 1170	-----|----------|---|
#META#TextDateMin	-----|----------|
#META# TextDateMa x	-----|----------⌫|
# META#EdEditorFoerst erWendel in	-⌫----|-------|------⌫-|------⌫-|
#META#EdPlaceHall e	-----|------|----⌫|
#META# EdPub lisher	-----|-----⌫-----|
#META# Eduol	-----|----|
#META# EdYear	-----|-----|
#META# EdPages	-----|------|
#META#MsBaseH[ P8]	-----|-----|--⌫--|
#META # MsOther	-----⌫|------|
#META# MsNu m1 3	-----|----⌫|-⌫|
# META#M s Date ARL	-⌫----|-⌫-⌫----⌫--|
#META#MsDateAdi	-----|--------|
#META#For mu	-----|---⌫||
#META#Com pl ete true	-----|---⌫--⌫--|---|
#META#NoWords39059	-----|------|----|
#META# No Li nes 6 956	-----|--⌫--⌫--|-⌫--|
# META #DialAuth	-⌫----⌫|-------|
#META#Dial S cribe	-----|----⌫-⌫----|
#META #ScanURL	-----⌫|------|
https//fr.wikisou rce.org/wiki/%C3% 89rec_et_%C3%89nide	-----------------⌫-----------------⌫------------------|
#META# ScanURIOther	-----|-----------|
#META #ArkID	-----⌫|----|
#META# LccnID	-----|-----|
#ME TA# O clcID	---⌫--|-⌫----|
#META#WebAuthorfr.wi kisource.org	-----|--------|-----⌫-----------|
#META#ORCIDWebAut hor	-----|-----------⌫--|
#META#WebReuiewer	-----|----------|
#META#ORCIDR euiewer	-----|------⌫------|
#M ETA#MiscI n fomissingpageandfolionu mbers	--⌫---|-----⌫-⌫-|------|---|--|----|--⌫----|
#M ETA # CCLicense CCBY-NC-SA 4.0International	--⌫---⌫|--------|-|-------|--|------------|
LIuil ainsditanson r espit	-|---⌫---|--|-|--|-⌫----|
Quetelchos ea	--|--|----⌫||
l anan de s pit	|-|-|--⌫-⌫--|
Q ui moutuaut	-⌫-|---|---|
mi auz que l annecuide.	--⌫--|--||-|-|-----|
fetbienqu ison estuide	--|---|--⌫|--|------|
Atorn ea san	-----⌫||--|
quelqu eil let	---|--⌫|-||-|
Carquisone stuide an trele t	--|--|--|-⌫-----|--⌫-----⌫|
pue ttelchos eteisir	---⌫|--|----⌫|-----|
Qui mout uandroitpuis	--|---|-------|---|
aplei si r.	|----⌫--⌫-|
Por ce ditCrestiiensdeTroies	--|-|--|---------|-|-----|
Quere isonsest	--|--⌫----|--|
que totes uoies	--|----|----|
Doitcha scu nspanseretantand re	---|---⌫---⌫-|-----|-|------⌫-|
Abien diree t	|---|---|-⌫|
Et tret d u n conted auan tur e	-|---||-⌫|----||----⌫---⌫|
U nemoutbeleco niointur e	-⌫-|---|---|--⌫--------⌫|
Par qua npuet prou eretsa uoir	--|-|-⌫|---|----⌫-|-|--⌫---|
Que cil ne fet miesauoir	--|--|-|--|--|-----|
Quisasciance nab ando ne	--|-|------||--⌫----⌫-|
TantconDe uslagr ace	---|--|--⌫-|-|--⌫--|
l a ndone.	|-⌫|----|
filLacestlicontes	--|--|--|-|-----|
Qu edeua ntroise tdeu a ntc ontes	--⌫|----⌫-|---|-⌫|---⌫-⌫-|-⌫----|
Depecieret corronpres uelent	-------|-|--------|-⌫-----|
deconteruiureuuelent.	-|-----|----|-------|
Des or comancerail estoir e	--|-|---------||------⌫|
Quitozior z mes ier tanmemoi re	--|--|---⌫|--|---⌫|-|-----⌫-|
Tantcondurr acrestiantez	---|--|----⌫|----------|
Dece sest Cr es tiiensuante z .	-|-||--|--⌫--⌫-----|-----⌫-⌫|
UN iordePasq ueautansnouel	-|--|-|----⌫-|-|---|----|
A car adigans on	|---⌫-----|-⌫-|
Ot li rois Artus	-|-|---|----|
cortte n ue.	---|--⌫-⌫--|
Ains siriche	---|-|----|
Car mo uti otb uenscheual iers	--|--⌫-||-|-⌫---|------⌫---|
Hardizet corageusetfiers	-----|-|-------|-|----|
Etriche sda mes	-|-----⌫|--⌫--|
e t puceles	-⌫|------|
roisianteset beles.	---|-----|-|-----|
Mes einçoi s quela corz fauss is t	--|-------⌫|--|-|---|-----⌫--⌫|
a se s cheualiersdist	|--⌫|---------|---|
Quil uoloit	-|-|-----|
leblanccerfchacier	-|----|---|------|
costumeressaucier .	------|----------⌫|
Mon seignor	--|------|
Gauuain neplotmie	------|-|---|--|
Quantilotlaparoleoi ̈e.	----|-|-|-|-----|--⌫--|
Sirefet ilde cestechace	---|--|-|-|----|----|
Nauroizuos ianegre ́ ne	|-----|--|-|-|---⌫|-|
Nossauomes	--|------|
bien tu it pieç	---|--⌫-|----|
Quelcos tume liblans cersa.	---|---⌫---|-|----|---|-|
bl anccerfocirre pu et	--⌫--|---|-----|--⌫-|
Parreisonb eisier li estue t	--|-----|-⌫-----|-|-----⌫|
Despucelesdeu ostrec ort	--|------|-|-⌫----|-⌫--|
La plusbele aquoiqueiltort.	-|---|---||---|--|-|----|
Mausanporroit	---|-|------|
uenir moutgranz	----|---|----|
Ancorea ilceanzcincçanz	-----||-|----|---|----|
Dameiselesdehau zpa rages	---------|-|---⌫|--⌫----|
Fill esaroisiantes et sages	----⌫-||---|-----|-|----|
Nen ian u len et ami	-||||-⌫-⌫-||-|--|
Cheualier uaillant	--------|-------|
Qu icha scunsdesresnieruoudroit	--⌫|---⌫----|---------|-------|
Ou fustatortoufusta	-|---||---|-|---||
Quecelequiliatalante	--|---|--|-|-------|
Estlaplusbeleet la	--|-|---|---|-|-|
pl u siante.	--⌫-⌫|-----|
Liroisrespon tCe	-|---|------⌫|-|
sai ie bien	--|-|---|
Me spor cen	--⌫|--|-||
anleira iierien.	-|-----⌫|-|----|
Car nedoit estrecontred ite	--|-|---|----|-------⌫--|
Parolepuis querois	-----|---|--|---|
Demainmatinagrantdeduit	-----|----||----|-----|
Irons chacierleblanccerftuit	----|------|-|----|---|---|
Anlaforest auantureuse.	-|-|-----|-----------|
Cestech ace iertmout	----|--⌫--|---|---|
deliteuse.	---------|
EINSIestlach osea t o rn ee	----|--|-|--⌫--|-⌫-⌫-⌫--⌫-|
Alandemain al a iornee.	||-------|||-⌫------|
Landem ainlu és qu eilaiorn e	|-----⌫--|--⌫--|--⌫|-|-----⌫|
Lirois se lieue sisat or ne	-|---|-|----|-||--⌫--⌫-|
Etp ora ler	-|-⌫-|-⌫--|
anl aforest	-|-⌫|-----|
D u neco rt ecote seuest .	|-⌫-|--⌫--⌫|---|-|----⌫|
Lesch eualie rsfetesuellier	--|--⌫------⌫-|--|--------|
Leschaceors aparellier.	--|-------|----------|
Ia so n ttuitmonté s isan	-|--⌫-⌫|---|-----|-⌫||-|
Lorars etlorsaietesont.	--|--|-|--|------|---|
Aprésausmon telar eï n e	-----|--|---⌫-|-|-⌫---⌫-⌫|
Ansan bl eol iune meschine.	-----⌫--⌫||-⌫|--|--------|
Puceleestoit	-----|-----|
fi lle deroi	--⌫--|-|--|
E t s istsor	-⌫|-⌫--|--|
unblancpale froi.	-|----|----⌫----|
Aprés l e ssiutaesperon	-----|-⌫-⌫|---||------|
Unscheuali ersErecotnon.	--|-------⌫--|---|-|---|
D elaTableReo nde est oit	-⌫|-|----|---⌫--|---⌫--|
Moutgr antlos	---|--⌫--|--|
a nlacor tau oit.	-⌫|-|---⌫|--⌫---|
Ni ot cheualier	||-|--------|
Etf utant biaus	-|-⌫|---|----|
quannu le terre	-|-|--⌫-|----|
Ne steüst plusbe ldeluiquerr e .	|-⌫------|---|--⌫|-|--|-----⌫-⌫|
Moutestoitbi au setpreuze tianz	---|-----|--⌫--⌫|-|----|-⌫|---|
Etn auoit pasuintetcincanz.	-||----|--|---|-|---|---|
Onquesnushondesonaage	-----|--|--|-|--|---|
Ne fud eg reignoruassel age.	-|-|-⌫|-⌫------|------⌫---|
Qu ediroiede sesbontez	--⌫|-----|-|--|-----|
S or uncheual estoit	-⌫-|-|-----|-----|
Af ubl ezd	--⌫---⌫-||
u nmante le rmin	-⌫|-----⌫|-⌫---|
Galopantuinttot le chemin	-------|---|--|-|-----|
dundiasprenoble	|-|------|----|
QuifufezanCos tantino ble .	--|-|--|-|---⌫-------⌫---⌫|
paileauoit	----|----|
Moutbienfeit eset	---|---|----⌫-|-|
bien tailli ee s	---|------⌫--⌫|
ese stri ers afichiez	-|-⌫----⌫--|-------|
U nsesperonsaor chauci ez	-⌫-|-------||-|------⌫-|
Sinot armeolui apo rtee	-||-|---||--|---⌫---|
Forsquetant	---|--|---|
solemants espee.	-------||-----|
Lareïneuintateignant	-|-----|---|--------|
uneruepoignant.	--|--|--------|
Dame fetil	---|--|-|
a n cest e	-⌫|----⌫|
Siluospl eisoit ouos	|-|--|--⌫-----||--|
Ieneuing çapor aut reafe ire	-|-|---|--|--|---⌫-|---⌫--|
Forsporuo sc o npeig niea	---|--|--⌫|-⌫-⌫-----⌫--||
Etlareïn elan me rcie	-|-|-----⌫||-|--⌫---|
Biaus amisuostre	----|---|-----|
conpe ignie	-----⌫----|
A imiem ou tce	-⌫-|-|-⌫--⌫|-|
sac hiez deuoir	---⌫---|-|---|
Carnepuisp asmellor	--|-|---|-⌫-|-----|
LORScheuauchentagrantesploit	---|----------||----|------|
Anla forestui enent t ot	-|-|-----|--⌫----|-⌫-|
Cilqui deuant	--|--|-----|
i er en talé	-⌫--⌫--⌫|---|
Auoien tialecerfleué.	------⌫|-|-|---|-----|
L iuncor nent li	-⌫|-|---⌫---|-|
autreh u ient	----|-⌫-⌫---|
Li chien aprés lecerfsesbru ient	-|----|-----|-|---||-----⌫---|
Co r en tangr e ssen t eta baien t	--⌫-⌫--⌫|----⌫-⌫----⌫|-|-⌫-----⌫|
Liarchierespessemant	-|------|----------|
traie nt .	-----⌫--⌫|
Deua ntaus	----⌫-|--|
toz chaçoitli rois	--|-------|-|---|
Sor un chaceoresp anois.	--|-|------|---⌫-----|
LA reïne Guenieureestoit	-|-----|--------|-----|
El boisoules chie nsesc outoi t	-|---|-|--|----⌫-|---⌫-----⌫|
LezliEre c etsapuce l e	--|-|---⌫|-|-|----⌫-⌫|
Q uimoutestoitcorto ise etbele	-⌫-|---|-----|-----⌫--|-|---|
Mesdaus tantesloignié esto ient	--||--|---|---------|----⌫---|
Cilqu i le c erf chacié auoient	--|--⌫|-|-⌫--|------|------|
Quannepooitdaus oïrr ien	-|-|-|----||--|---|-⌫--|
Necorne chace or nech i en	-|--|-|-----⌫-|-|--⌫-⌫-|
Por orellie r	--|-------⌫|
etescouter	-|-------|
Silorroientho me corne r	|-|-------|--⌫-|-----⌫|
Necridechien de nule part.	-|--|-|----|-|---|----|
Tui ttroifurent anunessart	---⌫|---|-----|-|-|-----|
Delezl ech e min a re st é	----|-⌫|--⌫-⌫--|-⌫--⌫--⌫-|
i o ren t po	|-⌫---⌫|-|
Quantiluiren tun cheua li er	----|-|-----⌫|-|-----⌫--⌫-|
uenirarmésorson	----|----|--|--|
Lescuaucollalanceel poing.	|---|-|--|-|----|-|-----|
Lareïne le uit	-|-----|-|--|
cheua uchoitadestre	-----⌫-----||-----|
Unepucel ede	--|-----⌫|-|
gran testre	----⌫|----|
E t deuantaussorunron cin	-⌫|-----|--|--|-|---⌫--|
ue noit unsna ins totlechemin	--⌫---|--|--⌫--|--|-|-----|
Et otansa main aportee	-|-|-|-|---|------|
Unecorgieean sonnoee.	--|------|-|--|----|
LareineGuenie ureu oit	-|----|------⌫--|-⌫--|
Lechaualierbe let adroit	-|--------|--⌫|-|-----|
Et desapucele etde l ui	-|-|-|-----|-|-|-⌫-|
